id,console-name,product-name,loose-price
842373,Pokemon Legendary Collection,Abra #67,$1.22
2253750,Pokemon Legendary Collection,Abra [Reverse Holo] #67,$88.04
842308,Pokemon Legendary Collection,Alakazam #1,$33.99
2253685,Pokemon Legendary Collection,Alakazam [Reverse Holo] #1,$212.29
842343,Pokemon Legendary Collection,Arcanine #36,$3.13
2253719,Pokemon Legendary Collection,Arcanine [Reverse Holo] #36,$152.25
842309,Pokemon Legendary Collection,Articuno #2,$19.01
2253686,Pokemon Legendary Collection,Articuno [Reverse Holo] #2,$148.74
842327,Pokemon Legendary Collection,Beedrill #20,$4.99
2253703,Pokemon Legendary Collection,Beedrill [Reverse Holo] #20,$63.14
842413,Pokemon Legendary Collection,Bill #108,$1.05
2253789,Pokemon Legendary Collection,Bill [Reverse Holo] #108,$51.11
6149121,Pokemon Legendary Collection,Blister Pack,$3059.38
2245073,Pokemon Legendary Collection,Booster Box,$24219.33
2245074,Pokemon Legendary Collection,Booster Pack,$2525.50
842374,Pokemon Legendary Collection,Bulbasaur #68,$3.09
2253751,Pokemon Legendary Collection,Bulbasaur [Reverse Holo] #68,$219.27
842328,Pokemon Legendary Collection,Butterfree #21,$5.00
2253704,Pokemon Legendary Collection,Butterfree [Reverse Holo] #21,$116.14
842375,Pokemon Legendary Collection,Caterpie #69,$1.02
2253752,Pokemon Legendary Collection,Caterpie [Reverse Holo] #69,$55.95
842411,Pokemon Legendary Collection,Challenge #106,$1.83
2253787,Pokemon Legendary Collection,Challenge [Reverse Holo] #106,$86.35
842310,Pokemon Legendary Collection,Charizard #3,$86.97
5075418,Pokemon Legendary Collection,Charizard [Box Topper] #S1,$754.69
4787624,Pokemon Legendary Collection,Charizard [Holo] #3,$150.00
10809806,Pokemon Legendary Collection,Charizard [Jumbo] #1,
2253687,Pokemon Legendary Collection,Charizard [Reverse Holo] #3,$909.23
842376,Pokemon Legendary Collection,Charmander #70,$1.72
2253753,Pokemon Legendary Collection,Charmander [Reverse Holo] #70,$276.25
842344,Pokemon Legendary Collection,Charmeleon #37,$2.99
2253720,Pokemon Legendary Collection,Charmeleon [Reverse Holo] #37,$144.96
842311,Pokemon Legendary Collection,Dark Blastoise #4,$12.00
5075986,Pokemon Legendary Collection,Dark Blastoise [Box Topper] #S2,$229.99
4955027,Pokemon Legendary Collection,Dark Blastoise [Holo] #4,$55.00
10809807,Pokemon Legendary Collection,Dark Blastoise [Jumbo] #2,
2253688,Pokemon Legendary Collection,Dark Blastoise [Reverse Holo] #4,$400.00
842345,Pokemon Legendary Collection,Dark Dragonair #38,$3.70
2253721,Pokemon Legendary Collection,Dark Dragonair [Reverse Holo] #38,$195.31
842312,Pokemon Legendary Collection,Dark Dragonite #5,$64.99
2253689,Pokemon Legendary Collection,Dark Dragonite [Reverse Holo] #5,$375.00
842313,Pokemon Legendary Collection,Dark Persian #6,$29.99
2253690,Pokemon Legendary Collection,Dark Persian [Reverse Holo] #6,$70.75
842314,Pokemon Legendary Collection,Dark Raichu #7,$17.49
4642901,Pokemon Legendary Collection,Dark Raichu [Box Topper] #S3,$165.72
8675644,Pokemon Legendary Collection,Dark Raichu [Holo] #7,$29.99
10809808,Pokemon Legendary Collection,Dark Raichu [Jumbo] #3,
2253691,Pokemon Legendary Collection,Dark Raichu [Reverse Holo] #7,$167.61
842315,Pokemon Legendary Collection,Dark Slowbro #8,$19.99
2253692,Pokemon Legendary Collection,Dark Slowbro [Reverse Holo] #8,$90.96
842316,Pokemon Legendary Collection,Dark Vaporeon #9,$49.55
2253693,Pokemon Legendary Collection,Dark Vaporeon [Reverse Holo] #9,$188.74
842346,Pokemon Legendary Collection,Dark Wartortle #39,$2.34
2253722,Pokemon Legendary Collection,Dark Wartortle [Reverse Holo] #39,$169.99
842347,Pokemon Legendary Collection,Dewgong #40,$2.19
2253723,Pokemon Legendary Collection,Dewgong [Reverse Holo] #40,$74.59
842348,Pokemon Legendary Collection,Dodrio #41,$1.31
2253724,Pokemon Legendary Collection,Dodrio [Reverse Holo] #41,$44.22
842377,Pokemon Legendary Collection,Doduo #71,$0.97
2253754,Pokemon Legendary Collection,Doduo [Reverse Holo] #71,$45.87
842378,Pokemon Legendary Collection,Dratini #72,$1.30
2253755,Pokemon Legendary Collection,Dratini [Reverse Holo] #72,$120.38
842379,Pokemon Legendary Collection,Drowzee #73,$1.00
2253756,Pokemon Legendary Collection,Drowzee [Reverse Holo] #73,$60.65
842380,Pokemon Legendary Collection,Eevee #74,$3.50
2156351,Pokemon Legendary Collection,Eevee [Reverse Holo] #74,$289.19
842329,Pokemon Legendary Collection,Electrode #22,$3.27
2253705,Pokemon Legendary Collection,Electrode [Reverse Holo] #22,$60.48
842412,Pokemon Legendary Collection,Energy Retrieval #107,$0.98
2253788,Pokemon Legendary Collection,Energy Retrieval [Reverse Holo] #107,$44.42
842381,Pokemon Legendary Collection,Exeggcute #75,$1.00
2253757,Pokemon Legendary Collection,Exeggcute [Reverse Holo] #75,$45.88
842330,Pokemon Legendary Collection,Exeggutor #23,$4.49
2253706,Pokemon Legendary Collection,Exeggutor [Reverse Holo] #23,$75.32
842349,Pokemon Legendary Collection,Fearow #42,$2.00
2253725,Pokemon Legendary Collection,Fearow [Reverse Holo] #42,$48.00
842317,Pokemon Legendary Collection,Flareon #10,$34.86
2253694,Pokemon Legendary Collection,Flareon [Reverse Holo] #10,$170.63
842405,Pokemon Legendary Collection,Full Heal Energy #100,$1.11
2253781,Pokemon Legendary Collection,Full Heal Energy [Reverse Holo] #100,$34.99
842382,Pokemon Legendary Collection,Gastly #76,$1.38
2253758,Pokemon Legendary Collection,Gastly [Reverse Holo] #76,$130.48
842318,Pokemon Legendary Collection,Gengar #11,$60.75
2253695,Pokemon Legendary Collection,Gengar [Reverse Holo] #11,$550.00
842383,Pokemon Legendary Collection,Geodude #77,$0.73
2253759,Pokemon Legendary Collection,Geodude [Reverse Holo] #77,$49.44
842350,Pokemon Legendary Collection,Golduck #43,$3.56
2253726,Pokemon Legendary Collection,Golduck [Reverse Holo] #43,$77.22
842331,Pokemon Legendary Collection,Golem #24,$3.99
2253707,Pokemon Legendary Collection,Golem [Reverse Holo] #24,$71.82
842351,Pokemon Legendary Collection,Graveler #44,$1.47
2253727,Pokemon Legendary Collection,Graveler [Reverse Holo] #44,$52.15
842384,Pokemon Legendary Collection,Grimer #78,$0.64
2253760,Pokemon Legendary Collection,Grimer [Reverse Holo] #78,$58.45
842352,Pokemon Legendary Collection,Growlithe #45,$6.25
2253728,Pokemon Legendary Collection,Growlithe [Reverse Holo] #45,$120.00
842319,Pokemon Legendary Collection,Gyarados #12,$27.59
2253696,Pokemon Legendary Collection,Gyarados [Reverse Holo] #12,$205.00
842353,Pokemon Legendary Collection,Haunter #46,$3.87
2253729,Pokemon Legendary Collection,Haunter [Reverse Holo] #46,$134.07
842320,Pokemon Legendary Collection,Hitmonlee #13,$29.12
2253697,Pokemon Legendary Collection,Hitmonlee [Reverse Holo] #13,$58.59
842332,Pokemon Legendary Collection,Hypno #25,$5.06
2253708,Pokemon Legendary Collection,Hypno [Reverse Holo] #25,$65.00
842354,Pokemon Legendary Collection,Ivysaur #47,$4.26
2253730,Pokemon Legendary Collection,Ivysaur [Reverse Holo] #47,$136.06
842321,Pokemon Legendary Collection,Jolteon #14,$24.99
2253698,Pokemon Legendary Collection,Jolteon [Reverse Holo] #14,$174.79
842333,Pokemon Legendary Collection,Jynx #26,$4.82
2253709,Pokemon Legendary Collection,Jynx [Reverse Holo] #26,$64.41
842355,Pokemon Legendary Collection,Kabuto #48,$1.32
2253732,Pokemon Legendary Collection,Kabuto [Reverse Holo] #48,$198.21
842334,Pokemon Legendary Collection,Kabutops #27,$5.99
2253710,Pokemon Legendary Collection,Kabutops [Reverse Holo] #27,$101.07
842356,Pokemon Legendary Collection,Kadabra #49,$3.99
2253731,Pokemon Legendary Collection,Kadabra [Reverse Holo] #49,$103.92
842357,Pokemon Legendary Collection,Kakuna #50,$1.70
2253733,Pokemon Legendary Collection,Kakuna [Reverse Holo] #50,$47.75
842322,Pokemon Legendary Collection,Machamp #15,$15.00
2253699,Pokemon Legendary Collection,Machamp [Reverse Holo] #15,$124.42
842358,Pokemon Legendary Collection,Machoke #51,$1.94
2253734,Pokemon Legendary Collection,Machoke [Reverse Holo] #51,$67.24
842385,Pokemon Legendary Collection,Machop #79,$0.55
2253761,Pokemon Legendary Collection,Machop [Reverse Holo] #79,$60.93
844766,Pokemon Legendary Collection,Magikarp #52,$4.00
2253735,Pokemon Legendary Collection,Magikarp [Reverse Holo] #52,$204.14
842386,Pokemon Legendary Collection,Magnemite #80,$0.99
2253762,Pokemon Legendary Collection,Magnemite [Reverse Holo] #80,$51.25
