id,console-name,product-name,loose-price
957586,Pokemon Legendary Treasures,Altaria #92,$1.21
957717,Pokemon Legendary Treasures,Altaria [Reverse Holo] #92,$4.50
957526,Pokemon Legendary Treasures,Articuno #32,$4.67
957664,Pokemon Legendary Treasures,Articuno [Reverse Holo] #32,$5.33
957618,Pokemon Legendary Treasures,Audino #RC17,$2.99
957603,Pokemon Legendary Treasures,Bianca #109,$0.25
9312178,Pokemon Legendary Treasures,Bianca [League] #109,$1.23
957732,Pokemon Legendary Treasures,Bianca [Reverse Holo] #109,$1.88
957594,Pokemon Legendary Treasures,Black Kyurem EX #100,$6.24
2244995,Pokemon Legendary Treasures,Booster Box,$5275.45
2244996,Pokemon Legendary Treasures,Booster Pack,$249.50
957601,Pokemon Legendary Treasures,Bouffalant #107,$2.49
957730,Pokemon Legendary Treasures,Bouffalant [Reverse Holo] #107,$4.19
957499,Pokemon Legendary Treasures,Carnivine #5,$0.43
957639,Pokemon Legendary Treasures,Carnivine [Reverse Holo] #5,$2.82
957604,Pokemon Legendary Treasures,Cedric Juniper #110,$0.66
957733,Pokemon Legendary Treasures,Cedric Juniper [Reverse Holo] #110,$0.89
957571,Pokemon Legendary Treasures,Chandelure EX #77,$8.00
957513,Pokemon Legendary Treasures,Charizard #19,$34.84
5699275,Pokemon Legendary Treasures,Charizard [Cosmos Holo] #19,$28.63
957653,Pokemon Legendary Treasures,Charizard [Reverse Holo] #19,$40.00
957511,Pokemon Legendary Treasures,Charmander #17,$1.31
5165998,Pokemon Legendary Treasures,Charmander [Build-a-Bear] #17,$14.99
957651,Pokemon Legendary Treasures,Charmander [Reverse Holo] #17,$15.00
957512,Pokemon Legendary Treasures,Charmeleon #18,$5.00
957652,Pokemon Legendary Treasures,Charmeleon [Reverse Holo] #18,$11.99
957498,Pokemon Legendary Treasures,Cherubi #4,$0.44
957638,Pokemon Legendary Treasures,Cherubi [Reverse Holo] #4,$1.92
957599,Pokemon Legendary Treasures,Cinccino #105,$2.20
957620,Pokemon Legendary Treasures,Cinccino #RC19,$6.80
957728,Pokemon Legendary Treasures,Cinccino [Reverse Holo] #105,$3.99
957585,Pokemon Legendary Treasures,Cobalion #91,$1.77
957716,Pokemon Legendary Treasures,Cobalion [Reverse Holo] #91,$2.26
957556,Pokemon Legendary Treasures,Croagunk #62,$0.53
957690,Pokemon Legendary Treasures,Croagunk [Reverse Holo] #62,$1.52
957605,Pokemon Legendary Treasures,Crushing Hammer #111,$0.64
957734,Pokemon Legendary Treasures,Crushing Hammer [Reverse Holo] #111,$0.99
957508,Pokemon Legendary Treasures,Crustle #14,$1.00
