id,console-name,product-name,loose-price
924977,Pokemon Legends Awakened,Anorith #46,$0.73
925123,Pokemon Legends Awakened,Anorith [Reverse Holo] #46,$2.39
924949,Pokemon Legends Awakened,Armaldo #18,$2.00
925095,Pokemon Legends Awakened,Armaldo [Reverse Holo] #18,$2.99
924950,Pokemon Legends Awakened,Azelf #19,$4.64
925071,Pokemon Legends Awakened,Azelf LV. X #140,$34.84
7321978,Pokemon Legends Awakened,Azelf [League Holo] #19,$4.83
925096,Pokemon Legends Awakened,Azelf [Reverse Holo] #19,$6.50
925014,Pokemon Legends Awakened,Beldum #83,$0.88
925015,Pokemon Legends Awakened,Beldum #84,$0.50
925159,Pokemon Legends Awakened,Beldum [Reverse Holo] #83,$2.99
925160,Pokemon Legends Awakened,Beldum [Reverse Holo] #84,$2.48
924951,Pokemon Legends Awakened,Bellossom #20,$2.47
925097,Pokemon Legends Awakened,Bellossom [Reverse Holo] #20,$3.48
925016,Pokemon Legends Awakened,Bellsprout #85,$1.33
925161,Pokemon Legends Awakened,Bellsprout [Reverse Holo] #85,$6.49
2245033,Pokemon Legends Awakened,Booster Box,$7339.62
2245034,Pokemon Legends Awakened,Booster Pack,$206.25
925060,Pokemon Legends Awakened,Bubble Coat #129,$3.74
925203,Pokemon Legends Awakened,Bubble Coat [Reverse Holo] #129,$9.65
925061,Pokemon Legends Awakened,Buck's Training #130,$1.09
4034749,Pokemon Legends Awakened,Buck's Training [Prerelease Staff] #130,$19.72
6904854,Pokemon Legends Awakened,Buck's Training [Prerelease] #130,$12.52
925204,Pokemon Legends Awakened,Buck's Training [Reverse Holo] #130,$2.20
925017,Pokemon Legends Awakened,Buneary #86,$0.50
925162,Pokemon Legends Awakened,Buneary [Reverse Holo] #86,$2.74
924978,Pokemon Legends Awakened,Camerupt #47,$0.62
925124,Pokemon Legends Awakened,Camerupt [Reverse Holo] #47,$1.75
924979,Pokemon Legends Awakened,Castform #48,$2.01
924980,Pokemon Legends Awakened,Castform Rain Form #49,$2.00
925863,Pokemon Legends Awakened,Castform Rain Form [Reverse Holo] #49,$5.21
