id,console-name,product-name,loose-price
962555,Pokemon Lost Thunder,Adventure Bag #167,$1.94
962616,Pokemon Lost Thunder,Adventure Bag #228,$8.76
962774,Pokemon Lost Thunder,Adventure Bag [Reverse Holo] #167,$3.25
962556,Pokemon Lost Thunder,Aether Foundation Employee #168,$0.25
962775,Pokemon Lost Thunder,Aether Foundation Employee [Reverse Holo] #168,$0.48
962510,Pokemon Lost Thunder,Alolan Diglett #122,$0.32
962735,Pokemon Lost Thunder,Alolan Diglett [Reverse Holo] #122,$0.99
962511,Pokemon Lost Thunder,Alolan Dugtrio #123,$1.23
962736,Pokemon Lost Thunder,Alolan Dugtrio [Reverse Holo] #123,$4.66
7845250,Pokemon Lost Thunder,Alolan Exeggutor 3-Pack Blister,$118.40
962506,Pokemon Lost Thunder,Alolan Meowth #118,$0.35
962732,Pokemon Lost Thunder,Alolan Meowth [Reverse Holo] #118,$1.06
962520,Pokemon Lost Thunder,Alolan Ninetales GX #132,$8.99
962593,Pokemon Lost Thunder,Alolan Ninetales GX #205,$29.42
962613,Pokemon Lost Thunder,Alolan Ninetales GX #225,$54.50
962507,Pokemon Lost Thunder,Alolan Persian #119,$0.99
962733,Pokemon Lost Thunder,Alolan Persian [Reverse Holo] #119,$3.52
962441,Pokemon Lost Thunder,Alolan Vulpix #53,$0.72
962671,Pokemon Lost Thunder,Alolan Vulpix [Reverse Holo] #53,$1.97
7845251,Pokemon Lost Thunder,Altaria 3-Pack Blister,$151.05
962466,Pokemon Lost Thunder,Ampharos #78,$1.14
962694,Pokemon Lost Thunder,Ampharos [Reverse Holo] #78,$1.09
962398,Pokemon Lost Thunder,Ariados #10,$0.42
962634,Pokemon Lost Thunder,Ariados [Reverse Holo] #10,$0.51
962524,Pokemon Lost Thunder,Azumarill #136,$0.69
962747,Pokemon Lost Thunder,Azumarill [Reverse Holo] #136,$1.97
962395,Pokemon Lost Thunder,Bayleef #7,$1.06
962631,Pokemon Lost Thunder,Bayleef [Reverse Holo] #7,$1.69
962450,Pokemon Lost Thunder,Beartic #62,$0.32
962679,Pokemon Lost Thunder,Beartic [Reverse Holo] #62,$0.60
962414,Pokemon Lost Thunder,Beautifly #26,$0.57
962647,Pokemon Lost Thunder,Beautifly [Reverse Holo] #26,$0.76
962587,Pokemon Lost Thunder,Blacephalon GX #199,$20.33
962607,Pokemon Lost Thunder,Blacephalon GX #219,$35.74
962440,Pokemon Lost Thunder,Blacephalon GX #52,$8.09
962541,Pokemon Lost Thunder,Blissey #153,$1.18
5807314,Pokemon Lost Thunder,Blissey [Cosmos Holo] #153,$2.04
962762,Pokemon Lost Thunder,Blissey [Reverse Holo] #153,$1.45
962469,Pokemon Lost Thunder,Blitzle #81,$0.25
962697,Pokemon Lost Thunder,Blitzle [Reverse Holo] #81,$0.44
2244953,Pokemon Lost Thunder,Booster Box,$1578.44
2244954,Pokemon Lost Thunder,Booster Pack,$38.49
962454,Pokemon Lost Thunder,Brionne #66,$0.53
962683,Pokemon Lost Thunder,Brionne [Reverse Holo] #66,$2.03
962458,Pokemon Lost Thunder,Bruxish #70,$0.25
962686,Pokemon Lost Thunder,Bruxish [Reverse Holo] #70,$0.36
5221473,Pokemon Lost Thunder,Build & Battle Box,$74.14
962505,Pokemon Lost Thunder,Carbink #117,$0.28
962531,Pokemon Lost Thunder,Carbink #143,$0.36
962731,Pokemon Lost Thunder,Carbink [Reverse Holo] #117,$0.38
962754,Pokemon Lost Thunder,Carbink [Reverse Holo] #143,$0.84
962415,Pokemon Lost Thunder,Cascoon #27,$0.22
962648,Pokemon Lost Thunder,Cascoon [Reverse Holo] #27,$0.52
962407,Pokemon Lost Thunder,Celebi #19,$5.95
962491,Pokemon Lost Thunder,Chandelure #103,$1.97
962717,Pokemon Lost Thunder,Chandelure [Reverse Holo] #103,$2.19
962540,Pokemon Lost Thunder,Chansey #152,$1.85
962761,Pokemon Lost Thunder,Chansey [Reverse Holo] #152,$5.49
962392,Pokemon Lost Thunder,Chikorita #5,$0.41
962394,Pokemon Lost Thunder,Chikorita #6,$0.49
962629,Pokemon Lost Thunder,Chikorita [Reverse Holo] #5,$0.68
962630,Pokemon Lost Thunder,Chikorita [Reverse Holo] #6,$0.77
962461,Pokemon Lost Thunder,Chinchou #73,$0.20
962689,Pokemon Lost Thunder,Chinchou [Reverse Holo] #73,$0.45
962557,Pokemon Lost Thunder,Choice Helmet #169,$0.29
962617,Pokemon Lost Thunder,Choice Helmet #229,$5.68
962776,Pokemon Lost Thunder,Choice Helmet [Reverse Holo] #169,$0.51
962517,Pokemon Lost Thunder,Cobalion #129,$0.74
962742,Pokemon Lost Thunder,Cobalion [Reverse Holo] #129,$0.94
962488,Pokemon Lost Thunder,Cofagrigus #100,$1.33
962714,Pokemon Lost Thunder,Cofagrigus [Reverse Holo] #100,$1.68
962419,Pokemon Lost Thunder,Combee #31,$0.25
962652,Pokemon Lost Thunder,Combee [Reverse Holo] #31,$0.37
962558,Pokemon Lost Thunder,Counter Gain #170,$0.47
962618,Pokemon Lost Thunder,Counter Gain #230,$11.28
962777,Pokemon Lost Thunder,Counter Gain [Reverse Holo] #170,$1.97
962449,Pokemon Lost Thunder,Cubchoo #61,$0.20
962678,Pokemon Lost Thunder,Cubchoo [Reverse Holo] #61,$0.48
962559,Pokemon Lost Thunder,Custom Catcher #171,$0.39
962619,Pokemon Lost Thunder,Custom Catcher #231,$5.10
962778,Pokemon Lost Thunder,Custom Catcher [Reverse Holo] #171,$0.42
962533,Pokemon Lost Thunder,Cutiefly #145,$0.43
962755,Pokemon Lost Thunder,Cutiefly [Reverse Holo] #145,$0.50
962427,Pokemon Lost Thunder,Cyndaquil #39,$0.35
962428,Pokemon Lost Thunder,Cyndaquil #40,$0.40
962659,Pokemon Lost Thunder,Cyndaquil [Reverse Holo] #39,$0.66
962660,Pokemon Lost Thunder,Cyndaquil [Reverse Holo] #40,$1.34
962530,Pokemon Lost Thunder,Dedenne #142,$2.99
962472,Pokemon Lost Thunder,Dedenne #84,$0.76
962753,Pokemon Lost Thunder,Dedenne [Reverse Holo] #142,$5.68
962700,Pokemon Lost Thunder,Dedenne [Reverse Holo] #84,$0.99
962445,Pokemon Lost Thunder,Delibird #57,$0.25
