id,console-name,product-name,loose-price
921377,Pokemon Majestic Dawn,Aerodactyl #15,$3.55
921477,Pokemon Majestic Dawn,Aerodactyl [Reverse Holo] #15,$5.27
921412,Pokemon Majestic Dawn,Aipom #50,$1.00
921413,Pokemon Majestic Dawn,Aipom #51,$0.99
921512,Pokemon Majestic Dawn,Aipom [Reverse Holo] #50,$3.70
921513,Pokemon Majestic Dawn,Aipom [Reverse Holo] #51,$2.13
921397,Pokemon Majestic Dawn,Ambipom #35,$0.57
921497,Pokemon Majestic Dawn,Ambipom [Reverse Holo] #35,$2.49
921363,Pokemon Majestic Dawn,Articuno #1,$17.99
921463,Pokemon Majestic Dawn,Articuno [Reverse Holo] #1,$9.03
8136633,Pokemon Majestic Dawn,Blister Pack,
2245039,Pokemon Majestic Dawn,Booster Box,$5900.00
2245040,Pokemon Majestic Dawn,Booster Pack,$261.98
921378,Pokemon Majestic Dawn,Bronzong #16,$1.41
921478,Pokemon Majestic Dawn,Bronzong [Reverse Holo] #16,$2.75
921414,Pokemon Majestic Dawn,Bronzor #52,$0.79
921514,Pokemon Majestic Dawn,Bronzor [Reverse Holo] #52,$2.49
921415,Pokemon Majestic Dawn,Buneary #53,$0.55
921515,Pokemon Majestic Dawn,Buneary [Reverse Holo] #53,$2.05
921416,Pokemon Majestic Dawn,Burmy Sandy Cloak #54,$0.30
921516,Pokemon Majestic Dawn,Burmy Sandy Cloak [Reverse Holo] #54,$1.98
921454,Pokemon Majestic Dawn,Call Energy #92,$12.57
921554,Pokemon Majestic Dawn,Call Energy [Reverse Holo] #92,$14.99
921417,Pokemon Majestic Dawn,Chatot #55,$1.00
921517,Pokemon Majestic Dawn,Chatot [Reverse Holo] #55,$2.66
921418,Pokemon Majestic Dawn,Chimchar #56,$1.03
921419,Pokemon Majestic Dawn,Chimchar #57,$0.88
921518,Pokemon Majestic Dawn,Chimchar [Reverse Holo] #56,$3.20
921519,Pokemon Majestic Dawn,Chimchar [Reverse Holo] #57,$5.15
8280238,Pokemon Majestic Dawn,Chimchar [Stamped] #56,$5.18
921420,Pokemon Majestic Dawn,Chingling #58,$3.16
921520,Pokemon Majestic Dawn,Chingling [Reverse Holo] #58,$5.51
921421,Pokemon Majestic Dawn,Combee #59,$1.05
921521,Pokemon Majestic Dawn,Combee [Reverse Holo] #59,$3.99
921364,Pokemon Majestic Dawn,Cresselia #2,$8.34
921464,Pokemon Majestic Dawn,Cresselia [Reverse Holo] #2,$6.25
921422,Pokemon Majestic Dawn,Croagunk #60,$0.24
921522,Pokemon Majestic Dawn,Croagunk [Reverse Holo] #60,$1.50
921455,Pokemon Majestic Dawn,Darkness Energy #93,$0.90
921555,Pokemon Majestic Dawn,Darkness Energy [Reverse Holo] #93,$3.66
921365,Pokemon Majestic Dawn,Darkrai #3,$17.97
921465,Pokemon Majestic Dawn,Darkrai [Reverse Holo] #3,$16.58
921441,Pokemon Majestic Dawn,Dawn Stadium #79,$4.98
921541,Pokemon Majestic Dawn,Dawn Stadium [Reverse Holo] #79,$12.95
