id,console-name,product-name,loose-price
1180062,Pokemon McDonalds 2019,Alolan Dugtrio #11,$4.99
1180053,Pokemon McDonalds 2019,Alolan Exeggutor #2,$5.68
1180061,Pokemon McDonalds 2019,Alolan Meowth #10,$5.42
1180055,Pokemon McDonalds 2019,Alolan Sandshrew #4,$4.00
1180052,Pokemon McDonalds 2019,Caterpie #1,$7.80
1180063,Pokemon McDonalds 2019,Eevee #12,$10.00
1180058,Pokemon McDonalds 2019,Gastly #7,$8.94
1180056,Pokemon McDonalds 2019,Lapras #5,$7.00
1180054,Pokemon McDonalds 2019,Magmar #3,$3.54
1180059,Pokemon McDonalds 2019,Mankey #8,$4.15
1180060,Pokemon McDonalds 2019,Onix #9,$4.75
1180057,Pokemon McDonalds 2019,Pikachu #6,$12.03
