id,console-name,product-name,loose-price
10616089,Pokemon Mega Evolution,3 Pack Blister: Golduck,$26.09
10616090,Pokemon Mega Evolution,3 Pack Blister: Psyduck,$32.29
10616160,Pokemon Mega Evolution,Abra #54,$0.25
10616372,Pokemon Mega Evolution,Abra [Reverse Holo] #54,$0.55
10616217,Pokemon Mega Evolution,Acerola's Mischief #113,$0.18
10616255,Pokemon Mega Evolution,Acerola's Mischief #165,$3.59
10669969,Pokemon Mega Evolution,Acerola's Mischief #183,$31.45
10616425,Pokemon Mega Evolution,Acerola's Mischief [Reverse Holo] #113,$0.17
10616257,Pokemon Mega Evolution,Air Balloon #166,$3.00
10616163,Pokemon Mega Evolution,Alakazam #56,$0.65
10616374,Pokemon Mega Evolution,Alakazam [Reverse Holo] #56,$1.01
10616118,Pokemon Mega Evolution,Bayleef #9,$0.83
10616329,Pokemon Mega Evolution,Bayleef [Reverse Holo] #9,$0.92
10616216,Pokemon Mega Evolution,Bewear #112,$0.15
10616424,Pokemon Mega Evolution,Bewear [Reverse Holo] #112,$0.35
10616084,Pokemon Mega Evolution,Booster Box,$232.25
10616095,Pokemon Mega Evolution,Booster Bundle,$45.00
10616086,Pokemon Mega Evolution,Booster Pack,$6.99
10616218,Pokemon Mega Evolution,Boss's Orders: Ghetsis #114,$0.19
10616426,Pokemon Mega Evolution,Boss's Orders: Ghetsis [Reverse Holo] #114,$0.30
10669959,Pokemon Mega Evolution,Buddy-Buddy Poffin #167,$4.17
10616096,Pokemon Mega Evolution,Build & Battle Box,$47.99
10616110,Pokemon Mega Evolution,Bulbasaur #1,$0.57
10616235,Pokemon Mega Evolution,Bulbasaur #133,$18.23
10616322,Pokemon Mega Evolution,Bulbasaur [Reverse Holo] #1,$0.99
10646415,Pokemon Mega Evolution,Bulbasaur [Stamped] #133,$24.16
10616272,Pokemon Mega Evolution,Buneary #107,$0.21
10616419,Pokemon Mega Evolution,Buneary [Reverse Holo] #107,$0.14
10616121,Pokemon Mega Evolution,Celebi #12,$0.54
10616332,Pokemon Mega Evolution,Celebi [Reverse Holo] #12,$0.39
10616138,Pokemon Mega Evolution,Centiskorch #30,$0.40
10616349,Pokemon Mega Evolution,Centiskorch [Reverse Holo] #30,$0.15
10811011,Pokemon Mega Evolution,Checklane Blister: Lycanroc,$13.07
10810991,Pokemon Mega Evolution,Checklane Blister: Wailord,$12.79
10616140,Pokemon Mega Evolution,Chi-Yu #31,$0.08
10616350,Pokemon Mega Evolution,Chi-Yu [Reverse Holo] #31,$0.11
10616117,Pokemon Mega Evolution,Chikorita #8,$0.33
10616328,Pokemon Mega Evolution,Chikorita [Reverse Holo] #8,$0.45
10616137,Pokemon Mega Evolution,Cinderace #28,$0.89
10616347,Pokemon Mega Evolution,Cinderace [Reverse Holo] #28,$0.21
10616148,Pokemon Mega Evolution,Clauncher #37,$0.32
10616355,Pokemon Mega Evolution,Clauncher [Reverse Holo] #37,$0.15
10616241,Pokemon Mega Evolution,Clawitzer #141,$2.28
10616146,Pokemon Mega Evolution,Clawitzer #38,$0.23
10616356,Pokemon Mega Evolution,Clawitzer [Reverse Holo] #38,$0.18
10616143,Pokemon Mega Evolution,Corphish #33,$0.18
10616352,Pokemon Mega Evolution,Corphish [Reverse Holo] #33,$0.10
10616191,Pokemon Mega Evolution,Crawdaunt #85,$0.10
10616401,Pokemon Mega Evolution,Crawdaunt [Reverse Holo] #85,$0.36
10616183,Pokemon Mega Evolution,Croagunk #78,$0.06
10616394,Pokemon Mega Evolution,Croagunk [Reverse Holo] #78,$0.14
10616211,Pokemon Mega Evolution,Delibird #105,$0.10
10616250,Pokemon Mega Evolution,Delibird #152,$2.95
10616417,Pokemon Mega Evolution,Delibird [Reverse Holo] #105,$0.21
10616127,Pokemon Mega Evolution,Dhelmise #18,$0.12
10616338,Pokemon Mega Evolution,Dhelmise [Reverse Holo] #18,$0.10
10616202,Pokemon Mega Evolution,Dialga #95,$0.70
10616409,Pokemon Mega Evolution,Dialga [Reverse Holo] #95,$0.50
10616149,Pokemon Mega Evolution,Drizzile #40,$0.25
10616358,Pokemon Mega Evolution,Drizzile [Reverse Holo] #40,$0.23
10616269,Pokemon Mega Evolution,Eiscue #44,$0.08
10616362,Pokemon Mega Evolution,Eiscue [Reverse Holo] #44,$0.15
10616155,Pokemon Mega Evolution,Electrike #49,$0.15
10616367,Pokemon Mega Evolution,Electrike [Reverse Holo] #49,$0.20
10616082,Pokemon Mega Evolution,Elite Trainer Box [Mega Gardevoir],$78.48
10616101,Pokemon Mega Evolution,Elite Trainer Box [Mega Lucario],$81.00
10616102,Pokemon Mega Evolution,Elite Trainer Box [Pokemon Center Gardevoir],$157.75
10616083,Pokemon Mega Evolution,Elite Trainer Box [Pokemon Center Lucario],$151.89
10616219,Pokemon Mega Evolution,Energy Switch #115,$0.17
10616427,Pokemon Mega Evolution,Energy Switch [Reverse Holo] #115,$0.20
10616085,Pokemon Mega Evolution,Enhanced Booster Box,$239.99
10616113,Pokemon Mega Evolution,Exeggcute #4,$0.12
10616324,Pokemon Mega Evolution,Exeggcute [Reverse Holo] #4,$0.22
10616236,Pokemon Mega Evolution,Exeggutor #135,$5.40
10616114,Pokemon Mega Evolution,Exeggutor #5,$0.10
10616325,Pokemon Mega Evolution,Exeggutor [Reverse Holo] #5,$0.40
10616209,Pokemon Mega Evolution,Fearow #103,$0.12
10616416,Pokemon Mega Evolution,Fearow [Reverse Holo] #103,$0.25
10616220,Pokemon Mega Evolution,Fighting Gong #116,$0.60
10669961,Pokemon Mega Evolution,Fighting Gong #168,$3.20
10616428,Pokemon Mega Evolution,Fighting Gong [Reverse Holo] #116,$0.86
10616221,Pokemon Mega Evolution,Forest of Vitality #117,$0.54
10616429,Pokemon Mega Evolution,Forest of Vitality [Reverse Holo] #117,$0.99
10616151,Pokemon Mega Evolution,Frosmoth #43,$0.12
10616361,Pokemon Mega Evolution,Frosmoth [Reverse Holo] #43,$0.19
10616247,Pokemon Mega Evolution,Garganacl #147,$2.89
10616189,Pokemon Mega Evolution,Garganacl #84,$0.16
10616400,Pokemon Mega Evolution,Garganacl [Reverse Holo] #84,$0.24
10616205,Pokemon Mega Evolution,Gholdengo #99,$0.10
10616413,Pokemon Mega Evolution,Gholdengo [Reverse Holo] #99,$0.39
10616173,Pokemon Mega Evolution,Gimmighoul #67,$0.06
10616384,Pokemon Mega Evolution,Gimmighoul [Reverse Holo] #67,$0.20
10616199,Pokemon Mega Evolution,Grafaiai #92,$0.09
10616407,Pokemon Mega Evolution,Grafaiai [Reverse Holo] #92,$0.13
10616171,Pokemon Mega Evolution,Greavard #65,$0.65
10616382,Pokemon Mega Evolution,Greavard [Reverse Holo] #65,$0.42
10616169,Pokemon Mega Evolution,Grumpig #63,$0.11
10616380,Pokemon Mega Evolution,Grumpig [Reverse Holo] #63,$0.19
10616214,Pokemon Mega Evolution,Gumshoos #110,$0.16
10616251,Pokemon Mega Evolution,Gumshoos #153,$3.53
10616422,Pokemon Mega Evolution,Gumshoos [Reverse Holo] #110,$0.25
10989081,Pokemon Mega Evolution,Half Booster Box,$122.65
10616179,Pokemon Mega Evolution,Hariyama [Holo] #73,$0.40
10616389,Pokemon Mega Evolution,Hariyama [Reverse Holo] #73,$0.31
10616161,Pokemon Mega Evolution,Heliolisk #53,$0.10
10616371,Pokemon Mega Evolution,Heliolisk [Reverse Holo] #53,$0.14
10616244,Pokemon Mega Evolution,Helioptile #143,$3.74
10616159,Pokemon Mega Evolution,Helioptile #52,$0.28
10616370,Pokemon Mega Evolution,Helioptile [Reverse Holo] #52,$0.22
10669945,Pokemon Mega Evolution,Houndstone #145,$3.02
10616172,Pokemon Mega Evolution,Houndstone #66,$0.11
10616383,Pokemon Mega Evolution,Houndstone [Reverse Holo] #66,$0.50
10616242,Pokemon Mega Evolution,Inteleon #142,$3.09
10616268,Pokemon Mega Evolution,Inteleon #41,$0.17
10616359,Pokemon Mega Evolution,Inteleon [Reverse Holo] #41,$0.20
10616222,Pokemon Mega Evolution,Iron Defender #118,$0.10
10616430,Pokemon Mega Evolution,Iron Defender [Reverse Holo] #118,$0.15
10616238,Pokemon Mega Evolution,Ivysaur #134,$17.00
10616111,Pokemon Mega Evolution,Ivysaur #2,$0.99
10616323,Pokemon Mega Evolution,Ivysaur [Reverse Holo] #2,$1.12
10616164,Pokemon Mega Evolution,Jynx #57,$0.14
10616375,Pokemon Mega Evolution,Jynx [Reverse Holo] #57,$0.40
10616162,Pokemon Mega Evolution,Kadabra #55,$0.25
10616373,Pokemon Mega Evolution,Kadabra [Reverse Holo] #55,$0.40
10616166,Pokemon Mega Evolution,Kirlia #59,$0.76
11364312,Pokemon Mega Evolution,Kirlia [Cosmos Holo] #59,$1.97
