id,console-name,product-name,loose-price
920642,Pokemon Mysterious Treasures,Abomasnow #19,$1.40
920767,Pokemon Mysterious Treasures,Abomasnow [Reverse Holo] #19,$2.20
920692,Pokemon Mysterious Treasures,Abra #69,$5.83
920816,Pokemon Mysterious Treasures,Abra [Reverse Holo] #69,$6.70
920624,Pokemon Mysterious Treasures,Aggron #1,$6.93
920749,Pokemon Mysterious Treasures,Aggron [Reverse Holo] #1,$3.33
920693,Pokemon Mysterious Treasures,Aipom #70,$0.73
920817,Pokemon Mysterious Treasures,Aipom [Reverse Holo] #70,$1.99
920626,Pokemon Mysterious Treasures,Alakazam #2,$17.25
920750,Pokemon Mysterious Treasures,Alakazam [Reverse Holo] #2,$12.99
920625,Pokemon Mysterious Treasures,Ambipom #3,$3.99
920751,Pokemon Mysterious Treasures,Ambipom [Reverse Holo] #3,$1.93
920643,Pokemon Mysterious Treasures,Ariados #20,$1.21
920868,Pokemon Mysterious Treasures,Ariados [Reverse Holo] #20,$2.02
920740,Pokemon Mysterious Treasures,Armor Fossil #116,$0.43
920863,Pokemon Mysterious Treasures,Armor Fossil [Reverse Holo] #116,$0.95
920694,Pokemon Mysterious Treasures,Aron #71,$2.91
920818,Pokemon Mysterious Treasures,Aron [Reverse Holo] #71,$5.98
920627,Pokemon Mysterious Treasures,Azelf #4,$5.00
920752,Pokemon Mysterious Treasures,Azelf [Reverse Holo] #4,$5.35
920695,Pokemon Mysterious Treasures,Barboach #72,$0.46
920819,Pokemon Mysterious Treasures,Barboach [Reverse Holo] #72,$3.11
920644,Pokemon Mysterious Treasures,Bastiodon #21,$1.94
920768,Pokemon Mysterious Treasures,Bastiodon [Reverse Holo] #21,$2.25
920664,Pokemon Mysterious Treasures,Bayleef #41,$2.10
920788,Pokemon Mysterious Treasures,Bayleef [Reverse Holo] #41,$3.14
920733,Pokemon Mysterious Treasures,Bebe's Search #109,$1.02
920856,Pokemon Mysterious Treasures,Bebe's Search [Reverse Holo] #109,$3.44
920696,Pokemon Mysterious Treasures,Bidoof #73,$0.59
920820,Pokemon Mysterious Treasures,Bidoof [Reverse Holo] #73,$3.60
920631,Pokemon Mysterious Treasures,Blissey #5,$3.60
5427869,Pokemon Mysterious Treasures,Blissey [2008 World Championships] #5,
920753,Pokemon Mysterious Treasures,Blissey [Reverse Holo] #5,$4.95
7918863,Pokemon Mysterious Treasures,Blister Pack,$363.33
2245041,Pokemon Mysterious Treasures,Booster Box,$1999.98
2245042,Pokemon Mysterious Treasures,Booster Pack,$128.42
920628,Pokemon Mysterious Treasures,Bronzong #6,$3.34
920754,Pokemon Mysterious Treasures,Bronzong [Reverse Holo] #6,$2.04
920697,Pokemon Mysterious Treasures,Bronzor #74,$0.22
920821,Pokemon Mysterious Treasures,Bronzor [Reverse Holo] #74,$1.80
920698,Pokemon Mysterious Treasures,Buizel #75,$1.24
920822,Pokemon Mysterious Treasures,Buizel [Reverse Holo] #75,$4.00
920629,Pokemon Mysterious Treasures,Celebi #7,$9.85
920755,Pokemon Mysterious Treasures,Celebi [Reverse Holo] #7,$4.06
920699,Pokemon Mysterious Treasures,Chansey #76,$1.37
920823,Pokemon Mysterious Treasures,Chansey [Reverse Holo] #76,$4.71
920700,Pokemon Mysterious Treasures,Chikorita #77,$1.50
920824,Pokemon Mysterious Treasures,Chikorita [Reverse Holo] #77,$5.00
920645,Pokemon Mysterious Treasures,Chimecho #22,$1.66
920769,Pokemon Mysterious Treasures,Chimecho [Reverse Holo] #22,$2.36
920665,Pokemon Mysterious Treasures,Chingling #42,$4.49
920789,Pokemon Mysterious Treasures,Chingling [Reverse Holo] #42,$9.99
920666,Pokemon Mysterious Treasures,Cranidos #43,$0.81
920790,Pokemon Mysterious Treasures,Cranidos [Reverse Holo] #43,$2.34
920701,Pokemon Mysterious Treasures,Croagunk #78,$0.78
920825,Pokemon Mysterious Treasures,Croagunk [Reverse Holo] #78,$1.27
920646,Pokemon Mysterious Treasures,Crobat #23,$2.92
920770,Pokemon Mysterious Treasures,Crobat [Reverse Holo] #23,$3.74
920667,Pokemon Mysterious Treasures,Croconaw #44,$2.88
920791,Pokemon Mysterious Treasures,Croconaw [Reverse Holo] #44,$5.30
920702,Pokemon Mysterious Treasures,Cyndaquil #79,$1.40
920826,Pokemon Mysterious Treasures,Cyndaquil [Reverse Holo] #79,$4.50
920743,Pokemon Mysterious Treasures,Darkness Energy #119,$0.71
920866,Pokemon Mysterious Treasures,Darkness Energy [Reverse Holo] #119,$2.61
920668,Pokemon Mysterious Treasures,Dewgong #45,$0.90
920792,Pokemon Mysterious Treasures,Dewgong [Reverse Holo] #45,$2.29
920669,Pokemon Mysterious Treasures,Dodrio #46,$0.50
920793,Pokemon Mysterious Treasures,Dodrio [Reverse Holo] #46,$1.13
920703,Pokemon Mysterious Treasures,Doduo #80,$0.25
920827,Pokemon Mysterious Treasures,Doduo [Reverse Holo] #80,$1.65
920670,Pokemon Mysterious Treasures,Dunsparce #47,$1.00
920794,Pokemon Mysterious Treasures,Dunsparce [Reverse Holo] #47,$3.43
920734,Pokemon Mysterious Treasures,Dusk Ball #110,$0.65
920857,Pokemon Mysterious Treasures,Dusk Ball [Reverse Holo] #110,$2.25
920745,Pokemon Mysterious Treasures,Electivire LV. X #121,$15.25
920704,Pokemon Mysterious Treasures,Electrike #81,$0.99
920828,Pokemon Mysterious Treasures,Electrike [Reverse Holo] #81,$1.20
920705,Pokemon Mysterious Treasures,Exeggcute #82,$0.50
920829,Pokemon Mysterious Treasures,Exeggcute [Reverse Holo] #82,$1.79
920647,Pokemon Mysterious Treasures,Exeggutor #24,$1.31
920771,Pokemon Mysterious Treasures,Exeggutor [Reverse Holo] #24,$1.99
920630,Pokemon Mysterious Treasures,Feraligatr #8,$8.40
920756,Pokemon Mysterious Treasures,Feraligatr [Reverse Holo] #8,$6.00
920706,Pokemon Mysterious Treasures,Finneon #83,$0.45
920830,Pokemon Mysterious Treasures,Finneon [Reverse Holo] #83,$0.99
920735,Pokemon Mysterious Treasures,Fossil Excavator #111,$1.27
920858,Pokemon Mysterious Treasures,Fossil Excavator [Reverse Holo] #111,$4.70
920671,Pokemon Mysterious Treasures,Gabite #48,$1.53
4135424,Pokemon Mysterious Treasures,Gabite [Prerelease Staff] #48,$57.04
6226298,Pokemon Mysterious Treasures,Gabite [Prerelease] #48,$13.86
920795,Pokemon Mysterious Treasures,Gabite [Reverse Holo] #48,$2.77
10561151,Pokemon Mysterious Treasures,Gabite [Snowflake Stamped] #48,$35.24
920632,Pokemon Mysterious Treasures,Garchomp #9,$10.45
920757,Pokemon Mysterious Treasures,Garchomp [Reverse Holo] #9,$8.39
920707,Pokemon Mysterious Treasures,Geodude #84,$0.69
920831,Pokemon Mysterious Treasures,Geodude [Reverse Holo] #84,$3.15
920708,Pokemon Mysterious Treasures,Gible #85,$0.76
920832,Pokemon Mysterious Treasures,Gible [Reverse Holo] #85,$4.72
920672,Pokemon Mysterious Treasures,Girafarig #49,$1.08
920796,Pokemon Mysterious Treasures,Girafarig [Reverse Holo] #49,$2.97
920648,Pokemon Mysterious Treasures,Glalie #25,$1.68
920772,Pokemon Mysterious Treasures,Glalie [Reverse Holo] #25,$1.69
920673,Pokemon Mysterious Treasures,Golbat #50,$0.69
920797,Pokemon Mysterious Treasures,Golbat [Reverse Holo] #50,$1.99
920674,Pokemon Mysterious Treasures,Graveler #51,$0.38
920798,Pokemon Mysterious Treasures,Graveler [Reverse Holo] #51,$2.74
920649,Pokemon Mysterious Treasures,Gyarados #26,$5.48
920773,Pokemon Mysterious Treasures,Gyarados [Reverse Holo] #26,$9.49
920675,Pokemon Mysterious Treasures,Happiny #52,$3.91
920799,Pokemon Mysterious Treasures,Happiny [Reverse Holo] #52,$6.40
5428223,Pokemon Mysterious Treasures,Happiny [Stamped] #52,$8.65
920633,Pokemon Mysterious Treasures,Honchkrow #10,$3.99
920758,Pokemon Mysterious Treasures,Honchkrow [Reverse Holo] #10,$2.99
920709,Pokemon Mysterious Treasures,Kricketot #86,$0.46
920833,Pokemon Mysterious Treasures,Kricketot [Reverse Holo] #86,$2.00
920650,Pokemon Mysterious Treasures,Kricketune #27,$0.83
920774,Pokemon Mysterious Treasures,Kricketune [Reverse Holo] #27,$1.49
920676,Pokemon Mysterious Treasures,Lairon #53,$1.20
920800,Pokemon Mysterious Treasures,Lairon [Reverse Holo] #53,$2.86
920736,Pokemon Mysterious Treasures,Lake Boundary #112,$1.44
920859,Pokemon Mysterious Treasures,Lake Boundary [Reverse Holo] #112,$4.00
920710,Pokemon Mysterious Treasures,Larvitar #87,$1.16
920834,Pokemon Mysterious Treasures,Larvitar [Reverse Holo] #87,$2.72
920746,Pokemon Mysterious Treasures,Lucario LV. X #122,$26.33
920634,Pokemon Mysterious Treasures,Lumineon #11,$4.30
920759,Pokemon Mysterious Treasures,Lumineon [Reverse Holo] #11,$2.93
920711,Pokemon Mysterious Treasures,Magby #88,$1.30
920835,Pokemon Mysterious Treasures,Magby [Reverse Holo] #88,$4.22
920712,Pokemon Mysterious Treasures,Magikarp #89,$1.64
920836,Pokemon Mysterious Treasures,Magikarp [Reverse Holo] #89,$8.00
920677,Pokemon Mysterious Treasures,Magmar #54,$0.99
920801,Pokemon Mysterious Treasures,Magmar [Reverse Holo] #54,$3.41
920635,Pokemon Mysterious Treasures,Magmortar #12,$4.00
920747,Pokemon Mysterious Treasures,Magmortar LV. X #123,$19.02
920760,Pokemon Mysterious Treasures,Magmortar [Reverse Holo] #12,$4.04
920651,Pokemon Mysterious Treasures,Manectric #28,$1.95
920775,Pokemon Mysterious Treasures,Manectric [Reverse Holo] #28,$1.88
920652,Pokemon Mysterious Treasures,Mantine #29,$1.64
920776,Pokemon Mysterious Treasures,Mantine [Reverse Holo] #29,$2.82
920678,Pokemon Mysterious Treasures,Masquerain #55,$0.50
920802,Pokemon Mysterious Treasures,Masquerain [Reverse Holo] #55,$2.50
920636,Pokemon Mysterious Treasures,Meganium #13,$7.62
920761,Pokemon Mysterious Treasures,Meganium [Reverse Holo] #13,$4.67
920637,Pokemon Mysterious Treasures,Mesprit #14,$5.46
920762,Pokemon Mysterious Treasures,Mesprit [Reverse Holo] #14,$3.82
920744,Pokemon Mysterious Treasures,Metal Energy #120,$1.12
920865,Pokemon Mysterious Treasures,Metal Energy [Reverse Holo] #120,$2.28
920653,Pokemon Mysterious Treasures,Mr. Mime #30,$2.52
920777,Pokemon Mysterious Treasures,Mr. Mime [Reverse Holo] #30,$3.25
920742,Pokemon Mysterious Treasures,Multi Energy #118,$1.97
920867,Pokemon Mysterious Treasures,Multi Energy [Reverse Holo] #118,$2.00
920714,Pokemon Mysterious Treasures,Murkrow #90,$0.99
920837,Pokemon Mysterious Treasures,Murkrow [Reverse Holo] #90,$2.24
