id,console-name,product-name,loose-price
6939531,Pokemon Neo Destiny,2-Pack Blister,$1226.21
6948316,Pokemon Neo Destiny,Blister Pack,$1049.99
2189370,Pokemon Neo Destiny,Booster Box,$16496.25
2189371,Pokemon Neo Destiny,Booster Box [1st Edition],
2189372,Pokemon Neo Destiny,Booster Pack,$859.45
2189373,Pokemon Neo Destiny,Booster Pack [1st Edition],$1866.31
762553,Pokemon Neo Destiny,Broken Ground Gym #92,$12.50
2183293,Pokemon Neo Destiny,Broken Ground Gym [1st Edition] #92,$17.42
762554,Pokemon Neo Destiny,Chansey #31,$9.66
2183294,Pokemon Neo Destiny,Chansey [1st Edition] #31,$26.56
762555,Pokemon Neo Destiny,Counterattack Claws #97,$1.49
2183296,Pokemon Neo Destiny,Counterattack Claws [1st Edition] #97,$2.97
762556,Pokemon Neo Destiny,Cyndaquil #61,$2.49
2183295,Pokemon Neo Destiny,Cyndaquil [1st Edition] #61,$8.10
762557,Pokemon Neo Destiny,Dark Ampharos #1,$58.49
2183297,Pokemon Neo Destiny,Dark Ampharos [1st Edition] #1,$147.00
762558,Pokemon Neo Destiny,Dark Ariados #17,$6.00
2183298,Pokemon Neo Destiny,Dark Ariados [1st Edition] #17,$8.98
762559,Pokemon Neo Destiny,Dark Crobat #2,$60.88
2183299,Pokemon Neo Destiny,Dark Crobat [1st Edition] #2,$130.88
762560,Pokemon Neo Destiny,Dark Croconaw #32,$5.16
2183300,Pokemon Neo Destiny,Dark Croconaw [1st Edition] #32,$11.69
762561,Pokemon Neo Destiny,Dark Donphan #3,$37.27
2183301,Pokemon Neo Destiny,Dark Donphan [1st Edition] #3,$77.20
762562,Pokemon Neo Destiny,Dark Espeon #4,$179.04
2183302,Pokemon Neo Destiny,Dark Espeon [1st Edition] #4,$359.90
762564,Pokemon Neo Destiny,Dark Exeggutor #33,$4.24
2183303,Pokemon Neo Destiny,Dark Exeggutor [1st Edition] #33,$14.13
762563,Pokemon Neo Destiny,Dark Feraligatr #5,$90.75
2183304,Pokemon Neo Destiny,Dark Feraligatr [1st Edition] #5,$170.00
762565,Pokemon Neo Destiny,Dark Flaaffy #34,$3.12
2183305,Pokemon Neo Destiny,Dark Flaaffy [1st Edition] #34,$14.20
762566,Pokemon Neo Destiny,Dark Forretress #35,$3.00
2183306,Pokemon Neo Destiny,Dark Forretress [1st Edition] #35,$7.13
762567,Pokemon Neo Destiny,Dark Gengar #6,$280.05
2183307,Pokemon Neo Destiny,Dark Gengar [1st Edition] #6,$757.50
762568,Pokemon Neo Destiny,Dark Haunter #36,$7.99
2183308,Pokemon Neo Destiny,Dark Haunter [1st Edition] #36,$44.50
762569,Pokemon Neo Destiny,Dark Houndoom #7,$96.45
2183309,Pokemon Neo Destiny,Dark Houndoom [1st Edition] #7,$194.61
762570,Pokemon Neo Destiny,Dark Magcargo #18,$2.93
2183310,Pokemon Neo Destiny,Dark Magcargo [1st Edition] #18,$13.81
762571,Pokemon Neo Destiny,Dark Octillery #62,$1.73
2183311,Pokemon Neo Destiny,Dark Octillery [1st Edition] #62,$3.92
762572,Pokemon Neo Destiny,Dark Omanyte #37,$3.86
2183312,Pokemon Neo Destiny,Dark Omanyte [1st Edition] #37,$7.99
762573,Pokemon Neo Destiny,Dark Omastar #19,$11.57
2183313,Pokemon Neo Destiny,Dark Omastar [1st Edition] #19,$23.41
762574,Pokemon Neo Destiny,Dark Porygon2 #8,$40.75
2183314,Pokemon Neo Destiny,Dark Porygon2 [1st Edition] #8,$91.10
762575,Pokemon Neo Destiny,Dark Pupitar #38,$3.22
2183315,Pokemon Neo Destiny,Dark Pupitar [1st Edition] #38,$9.04
762576,Pokemon Neo Destiny,Dark Quilava #39,$3.35
2183316,Pokemon Neo Destiny,Dark Quilava [1st Edition] #39,$12.10
762577,Pokemon Neo Destiny,Dark Scizor #9,$70.16
2183317,Pokemon Neo Destiny,Dark Scizor [1st Edition] #9,$202.50
762578,Pokemon Neo Destiny,Dark Slowking #20,$22.00
2183318,Pokemon Neo Destiny,Dark Slowking [1st Edition] #20,$84.85
762579,Pokemon Neo Destiny,Dark Typhlosion #10,$26.04
2183319,Pokemon Neo Destiny,Dark Typhlosion [1st Edition] #10,$203.58
762580,Pokemon Neo Destiny,Dark Tyranitar #11,$139.00
2183320,Pokemon Neo Destiny,Dark Tyranitar [1st Edition] #11,$249.99
762581,Pokemon Neo Destiny,Dark Ursaring #21,$11.88
2183321,Pokemon Neo Destiny,Dark Ursaring [1st Edition] #21,$32.99
762582,Pokemon Neo Destiny,Dark Wigglytuff #40,$5.83
2183322,Pokemon Neo Destiny,Dark Wigglytuff [1st Edition] #40,$19.99
762583,Pokemon Neo Destiny,Dratini #63,$3.80
2183323,Pokemon Neo Destiny,Dratini [1st Edition] #63,$8.50
762587,Pokemon Neo Destiny,EXP. ALL #93,$9.54
2183327,Pokemon Neo Destiny,EXP. ALL [1st Edition] #93,$7.18
762584,Pokemon Neo Destiny,Energy Amplifier #98,$1.81
2183324,Pokemon Neo Destiny,Energy Amplifier [1st Edition] #98,$3.00
762585,Pokemon Neo Destiny,Energy Stadium #99,$2.20
2183325,Pokemon Neo Destiny,Energy Stadium [1st Edition] #99,$5.48
762586,Pokemon Neo Destiny,Exeggcute #64,$1.61
2183326,Pokemon Neo Destiny,Exeggcute [1st Edition] #64,$2.92
762588,Pokemon Neo Destiny,Gastly #65,$2.57
2183328,Pokemon Neo Destiny,Gastly [1st Edition] #65,$7.49
762589,Pokemon Neo Destiny,Girafarig #66,$2.69
2183329,Pokemon Neo Destiny,Girafarig [1st Edition] #66,$3.91
762590,Pokemon Neo Destiny,Gligar #67,$0.99
