id,console-name,product-name,loose-price
7210313,Pokemon Neo Discovery,2-Pack Blister,$1028.24
762417,Pokemon Neo Discovery,Beedrill #18,$7.67
2158428,Pokemon Neo Discovery,Beedrill [1st Edition] #18,$17.72
6777992,Pokemon Neo Discovery,Blister Pack,$877.50
2189376,Pokemon Neo Discovery,Booster Box,$34374.99
2189377,Pokemon Neo Discovery,Booster Box [1st Edition],$18949.43
2189374,Pokemon Neo Discovery,Booster Pack,$387.13
2189375,Pokemon Neo Discovery,Booster Pack [1st Edition],$551.00
762418,Pokemon Neo Discovery,Butterfree #19,$3.85
2158429,Pokemon Neo Discovery,Butterfree [1st Edition] #19,$13.47
762419,Pokemon Neo Discovery,Caterpie #53,$1.56
2158430,Pokemon Neo Discovery,Caterpie [1st Edition] #53,$3.78
762423,Pokemon Neo Discovery,Corsola #37,$3.00
2158431,Pokemon Neo Discovery,Corsola [1st Edition] #37,$6.99
762420,Pokemon Neo Discovery,Dunsparce #54,$1.27
2158432,Pokemon Neo Discovery,Dunsparce [1st Edition] #54,$3.00
762421,Pokemon Neo Discovery,Eevee #38,$4.44
2158433,Pokemon Neo Discovery,Eevee [1st Edition] #38,$15.86
762422,Pokemon Neo Discovery,Energy Ark #75,$0.99
2158434,Pokemon Neo Discovery,Energy Ark [1st Edition] #75,$1.72
886571,Pokemon Neo Discovery,Espeon #1,$151.25
762424,Pokemon Neo Discovery,Espeon #20,$13.00
2158435,Pokemon Neo Discovery,Espeon [1st Edition] #1,$403.75
2158436,Pokemon Neo Discovery,Espeon [1st Edition] #20,$40.70
762425,Pokemon Neo Discovery,Forretress #2,$15.35
886572,Pokemon Neo Discovery,Forretress #21,$6.30
2158437,Pokemon Neo Discovery,Forretress [1st Edition] #2,$38.64
2158438,Pokemon Neo Discovery,Forretress [1st Edition] #21,$10.13
762426,Pokemon Neo Discovery,Fossil Egg #72,$1.05
2158439,Pokemon Neo Discovery,Fossil Egg [1st Edition] #72,$2.99
886573,Pokemon Neo Discovery,Hitmontop #22,$4.89
762427,Pokemon Neo Discovery,Hitmontop #3,$10.75
2158441,Pokemon Neo Discovery,Hitmontop [1st Edition] #22,$11.64
2158440,Pokemon Neo Discovery,Hitmontop [1st Edition] #3,$49.78
762428,Pokemon Neo Discovery,Hoppip #55,$1.14
2158442,Pokemon Neo Discovery,Hoppip [1st Edition] #55,$2.35
886574,Pokemon Neo Discovery,Houndoom #23,$9.51
762429,Pokemon Neo Discovery,Houndoom #4,$42.27
2158444,Pokemon Neo Discovery,Houndoom [1st Edition] #23,$21.94
2158443,Pokemon Neo Discovery,Houndoom [1st Edition] #4,$128.99
886575,Pokemon Neo Discovery,Houndour #24,$9.90
886576,Pokemon Neo Discovery,Houndour #39,$2.19
762430,Pokemon Neo Discovery,Houndour #5,$38.00
2158446,Pokemon Neo Discovery,Houndour [1st Edition] #24,$18.00
2158447,Pokemon Neo Discovery,Houndour [1st Edition] #39,$6.50
2158445,Pokemon Neo Discovery,Houndour [1st Edition] #5,$111.11
762431,Pokemon Neo Discovery,Hyper Devolution Spray #73,$1.72
2158448,Pokemon Neo Discovery,Hyper Devolution Spray [1st Edition] #73,$2.40
762432,Pokemon Neo Discovery,Igglybuff #40,$3.99
2158449,Pokemon Neo Discovery,Igglybuff [1st Edition] #40,$7.99
762433,Pokemon Neo Discovery,Kabuto #56,$1.92
2158450,Pokemon Neo Discovery,Kabuto [1st Edition] #56,$4.12
886577,Pokemon Neo Discovery,Kabutops #25,$7.50
762434,Pokemon Neo Discovery,Kabutops #6,$46.00
2158452,Pokemon Neo Discovery,Kabutops [1st Edition] #25,$17.07
2158451,Pokemon Neo Discovery,Kabutops [1st Edition] #6,$106.11
762435,Pokemon Neo Discovery,Kakuna #41,$1.55
2158453,Pokemon Neo Discovery,Kakuna [1st Edition] #41,$3.70
762436,Pokemon Neo Discovery,Larvitar #57,$1.37
2158454,Pokemon Neo Discovery,Larvitar [1st Edition] #57,$2.94
886578,Pokemon Neo Discovery,Magnemite #26,$6.49
762437,Pokemon Neo Discovery,Magnemite #7,$17.25
2158456,Pokemon Neo Discovery,Magnemite [1st Edition] #26,$10.00
2158455,Pokemon Neo Discovery,Magnemite [1st Edition] #7,$41.15
762438,Pokemon Neo Discovery,Mareep #58,$1.02
2158457,Pokemon Neo Discovery,Mareep [1st Edition] #58,$2.36
