id,console-name,product-name,loose-price
7557930,Pokemon Neo Genesis,2-Pack Blister,$1249.99
762345,Pokemon Neo Genesis,Aipom #26,$2.12
2324836,Pokemon Neo Genesis,Aipom [1st Edition] #26,$4.89
10807012,Pokemon Neo Genesis,Aligates #159,
762323,Pokemon Neo Genesis,Ampharos #1,$17.73
2324837,Pokemon Neo Genesis,Ampharos [1st Edition] #1,$51.22
762396,Pokemon Neo Genesis,Arcade Game #83,$2.99
2324838,Pokemon Neo Genesis,Arcade Game [1st Edition] #83,$6.98
762346,Pokemon Neo Genesis,Ariados #27,$1.89
2324839,Pokemon Neo Genesis,Ariados [1st Edition] #27,$2.97
762324,Pokemon Neo Genesis,Azumarill #2,$15.75
2324840,Pokemon Neo Genesis,Azumarill [1st Edition] #2,$44.98
762347,Pokemon Neo Genesis,Bayleef #28,$3.99
1431253,Pokemon Neo Genesis,Bayleef #29,$3.53
2324841,Pokemon Neo Genesis,Bayleef [1st Edition] #28,$5.09
2324842,Pokemon Neo Genesis,Bayleef [1st Edition] #29,$4.86
762325,Pokemon Neo Genesis,Bellossom #3,$17.63
2324843,Pokemon Neo Genesis,Bellossom [1st Edition] #3,$34.99
762412,Pokemon Neo Genesis,Berry #99,$1.00
2324844,Pokemon Neo Genesis,Berry [1st Edition] #99,$1.99
762404,Pokemon Neo Genesis,Bill's Teleporter #91,$1.21
2324845,Pokemon Neo Genesis,Bill's Teleporter [1st Edition] #91,$1.99
2189378,Pokemon Neo Genesis,Booster Box,$15398.30
2189379,Pokemon Neo Genesis,Booster Box [1st Edition],$16031.25
2189380,Pokemon Neo Genesis,Booster Pack,$542.69
2189381,Pokemon Neo Genesis,Booster Pack [1st Edition],$767.85
762405,Pokemon Neo Genesis,Card-Flip Game #92,$1.31
2324846,Pokemon Neo Genesis,Card-Flip Game [1st Edition] #92,$3.54
762369,Pokemon Neo Genesis,Chikorita #53,$1.82
1431251,Pokemon Neo Genesis,Chikorita #54,$2.87
2324847,Pokemon Neo Genesis,Chikorita [1st Edition] #53,$5.00
2324848,Pokemon Neo Genesis,Chikorita [1st Edition] #54,$4.78
762370,Pokemon Neo Genesis,Chinchou #55,$1.16
2324849,Pokemon Neo Genesis,Chinchou [1st Edition] #55,$2.00
762348,Pokemon Neo Genesis,Clefairy #30,$3.25
2324850,Pokemon Neo Genesis,Clefairy [1st Edition] #30,$5.69
762339,Pokemon Neo Genesis,Cleffa #20,$7.47
2324851,Pokemon Neo Genesis,Cleffa [1st Edition] #20,$16.49
762349,Pokemon Neo Genesis,Croconaw #31,$2.94
2324835,Pokemon Neo Genesis,Croconaw #32,$2.55
2324852,Pokemon Neo Genesis,Croconaw [1st Edition] #31,$5.50
2324942,Pokemon Neo Genesis,Croconaw [1st Edition] #32,$4.42
762371,Pokemon Neo Genesis,Cyndaquil #56,$1.78
1431250,Pokemon Neo Genesis,Cyndaquil #57,$2.36
2324853,Pokemon Neo Genesis,Cyndaquil [1st Edition] #56,$8.50
2324854,Pokemon Neo Genesis,Cyndaquil [1st Edition] #57,$7.15
10809810,Pokemon Neo Genesis,Cyndaquil [Jumbo] #57,
2210073,Pokemon Neo Genesis,Darkness Energy #104,$4.99
2324855,Pokemon Neo Genesis,Darkness Energy [1st Edition] #104,$7.26
762340,Pokemon Neo Genesis,Donphan #21,$3.50
2324856,Pokemon Neo Genesis,Donphan [1st Edition] #21,$7.49
762413,Pokemon Neo Genesis,Double Gust #100,$2.04
2324857,Pokemon Neo Genesis,Double Gust [1st Edition] #100,$3.41
762397,Pokemon Neo Genesis,Ecogym #84,$3.00
2324858,Pokemon Neo Genesis,Ecogym [1st Edition] #84,$4.00
762350,Pokemon Neo Genesis,Electabuzz #33,$1.99
2324859,Pokemon Neo Genesis,Electabuzz [1st Edition] #33,$4.94
762341,Pokemon Neo Genesis,Elekid #22,$3.93
2324860,Pokemon Neo Genesis,Elekid [1st Edition] #22,$10.00
762398,Pokemon Neo Genesis,Energy Charge #85,$2.16
2324861,Pokemon Neo Genesis,Energy Charge [1st Edition] #85,$3.95
762326,Pokemon Neo Genesis,Feraligatr #4,$66.83
2511630,Pokemon Neo Genesis,Feraligatr #5,$66.55
2324862,Pokemon Neo Genesis,Feraligatr [1st Edition] #4,$139.99
2583475,Pokemon Neo Genesis,Feraligatr [1st Edition] #5,$150.00
1431248,Pokemon Neo Genesis,Fighting Energy #106,$1.30
2324863,Pokemon Neo Genesis,Fighting Energy [1st Edition] #106,$1.90
1431247,Pokemon Neo Genesis,Fire Energy #107,$0.74
2324864,Pokemon Neo Genesis,Fire Energy [1st Edition] #107,$2.49
762351,Pokemon Neo Genesis,Flaaffy #34,$2.79
2324865,Pokemon Neo Genesis,Flaaffy [1st Edition] #34,$4.79
762399,Pokemon Neo Genesis,Focus Band #86,$7.79
2324866,Pokemon Neo Genesis,Focus Band [1st Edition] #86,$12.70
762352,Pokemon Neo Genesis,Furret #35,$2.44
2324867,Pokemon Neo Genesis,Furret [1st Edition] #35,$3.35
762372,Pokemon Neo Genesis,Girafarig #58,$1.35
2324868,Pokemon Neo Genesis,Girafarig [1st Edition] #58,$3.10
762373,Pokemon Neo Genesis,Gligar #59,$1.35
2324869,Pokemon Neo Genesis,Gligar [1st Edition] #59,$2.94
762353,Pokemon Neo Genesis,Gloom #36,$2.39
2324870,Pokemon Neo Genesis,Gloom [1st Edition] #36,$4.21
762406,Pokemon Neo Genesis,Gold Berry #93,$3.55
2324871,Pokemon Neo Genesis,Gold Berry [1st Edition] #93,$3.39
762354,Pokemon Neo Genesis,Granbull #37,$1.85
2324872,Pokemon Neo Genesis,Granbull [1st Edition] #37,$2.98
1431246,Pokemon Neo Genesis,Grass Energy #108,$0.87
2324873,Pokemon Neo Genesis,Grass Energy [1st Edition] #108,$2.44
762327,Pokemon Neo Genesis,Heracross #6,$28.49
2324874,Pokemon Neo Genesis,Heracross [1st Edition] #6,$55.20
762374,Pokemon Neo Genesis,Hoothoot #60,$1.72
2324875,Pokemon Neo Genesis,Hoothoot [1st Edition] #60,$3.49
762375,Pokemon Neo Genesis,Hoppip #61,$1.07
2324876,Pokemon Neo Genesis,Hoppip [1st Edition] #61,$2.20
762376,Pokemon Neo Genesis,Horsea #62,$1.75
2324877,Pokemon Neo Genesis,Horsea [1st Edition] #62,$3.05
762328,Pokemon Neo Genesis,Jumpluff #7,$8.00
2324878,Pokemon Neo Genesis,Jumpluff [1st Edition] #7,$24.64
762329,Pokemon Neo Genesis,Kingdra #8,$10.50
2324879,Pokemon Neo Genesis,Kingdra [1st Edition] #8,$49.99
762355,Pokemon Neo Genesis,Lanturn #38,$1.47
2324880,Pokemon Neo Genesis,Lanturn [1st Edition] #38,$3.44
762356,Pokemon Neo Genesis,Ledian #39,$2.22
2324881,Pokemon Neo Genesis,Ledian [1st Edition] #39,$3.84
762377,Pokemon Neo Genesis,Ledyba #63,$1.34
2324882,Pokemon Neo Genesis,Ledyba [1st Edition] #63,$2.49
1431245,Pokemon Neo Genesis,Lightning Energy #109,$0.75
2324883,Pokemon Neo Genesis,Lightning Energy [1st Edition] #109,$2.00
762330,Pokemon Neo Genesis,Lugia #9,$266.65
2324884,Pokemon Neo Genesis,Lugia [1st Edition] #9,$1338.79
762342,Pokemon Neo Genesis,Magby #23,$4.14
2324885,Pokemon Neo Genesis,Magby [1st Edition] #23,$6.41
762357,Pokemon Neo Genesis,Magmar #40,$1.66
2324886,Pokemon Neo Genesis,Magmar [1st Edition] #40,$3.60
762378,Pokemon Neo Genesis,Mantine #64,$1.62
2324887,Pokemon Neo Genesis,Mantine [1st Edition] #64,$2.67
762379,Pokemon Neo Genesis,Mareep #65,$1.90
2324888,Pokemon Neo Genesis,Mareep [1st Edition] #65,$3.93
762380,Pokemon Neo Genesis,Marill #66,$1.47
2324889,Pokemon Neo Genesis,Marill [1st Edition] #66,$2.37
762400,Pokemon Neo Genesis,Mary #87,$3.65
2324890,Pokemon Neo Genesis,Mary [1st Edition] #87,$4.75
762331,Pokemon Neo Genesis,Meganium #10,$32.53
2371277,Pokemon Neo Genesis,Meganium #11,$48.55
2324891,Pokemon Neo Genesis,Meganium [1st Edition] #10,$93.97
2386675,Pokemon Neo Genesis,Meganium [1st Edition] #11,$80.93
762338,Pokemon Neo Genesis,Metal Energy #19,$11.20
2324892,Pokemon Neo Genesis,Metal Energy [1st Edition] #19,$22.05
762358,Pokemon Neo Genesis,Miltank #41,$3.49
2324893,Pokemon Neo Genesis,Miltank [1st Edition] #41,$4.95
762407,Pokemon Neo Genesis,Miracle Berry #94,$1.45
2324894,Pokemon Neo Genesis,Miracle Berry [1st Edition] #94,$2.00
762414,Pokemon Neo Genesis,Moo-Moo Milk #101,$1.09
2324895,Pokemon Neo Genesis,Moo-Moo Milk [1st Edition] #101,$2.87
762343,Pokemon Neo Genesis,Murkrow #24,$3.49
2324896,Pokemon Neo Genesis,Murkrow [1st Edition] #24,$7.29
762381,Pokemon Neo Genesis,Natu #67,$1.32
2324897,Pokemon Neo Genesis,Natu [1st Edition] #67,$2.49
762408,Pokemon Neo Genesis,New Pokedex #95,$1.14
2324898,Pokemon Neo Genesis,New Pokedex [1st Edition] #95,$3.00
762359,Pokemon Neo Genesis,Noctowl #42,$3.42
2324899,Pokemon Neo Genesis,Noctowl [1st Edition] #42,$6.24
762382,Pokemon Neo Genesis,Oddish #68,$1.62
2324900,Pokemon Neo Genesis,Oddish [1st Edition] #68,$3.35
762383,Pokemon Neo Genesis,Onix #69,$1.39
2324901,Pokemon Neo Genesis,Onix [1st Edition] #69,$3.65
762360,Pokemon Neo Genesis,Phanpy #43,$1.81
2324902,Pokemon Neo Genesis,Phanpy [1st Edition] #43,$4.60
762332,Pokemon Neo Genesis,Pichu #12,$53.00
2324903,Pokemon Neo Genesis,Pichu [1st Edition] #12,$158.00
762384,Pokemon Neo Genesis,Pikachu #70,$3.66
2324904,Pokemon Neo Genesis,Pikachu [1st Edition] #70,$15.08
762361,Pokemon Neo Genesis,Piloswine #44,$2.57
2324905,Pokemon Neo Genesis,Piloswine [1st Edition] #44,$3.73
762401,Pokemon Neo Genesis,Pokegear #88,$2.55
2324906,Pokemon Neo Genesis,Pokegear [1st Edition] #88,$2.65
762415,Pokemon Neo Genesis,Pokemon March #102,$1.39
2324907,Pokemon Neo Genesis,Pokemon March [1st Edition] #102,$3.00
762409,Pokemon Neo Genesis,Professor Elm #96,$1.98
2324908,Pokemon Neo Genesis,Professor Elm [1st Edition] #96,$3.13
2418111,Pokemon Neo Genesis,Psychic Energy #110,$0.80
2158421,Pokemon Neo Genesis,Psychic Energy [1st Edition] #110,$2.28
762362,Pokemon Neo Genesis,Quagsire #45,$3.98
2324909,Pokemon Neo Genesis,Quagsire [1st Edition] #45,$6.72
762363,Pokemon Neo Genesis,Quilava #46,$2.75
1431252,Pokemon Neo Genesis,Quilava #47,$2.86
2324910,Pokemon Neo Genesis,Quilava [1st Edition] #46,$7.12
2324911,Pokemon Neo Genesis,Quilava [1st Edition] #47,$6.99
2183444,Pokemon Neo Genesis,Recycle Energy #105,$4.12
2324912,Pokemon Neo Genesis,Recycle Energy [1st Edition] #105,$5.79
6389494,Pokemon Neo Genesis,Recycle Energy [Cosmos Holo],$12.70
762364,Pokemon Neo Genesis,Seadra #48,$1.64
2324913,Pokemon Neo Genesis,Seadra [1st Edition] #48,$4.08
762385,Pokemon Neo Genesis,Sentret #71,$1.49
2324914,Pokemon Neo Genesis,Sentret [1st Edition] #71,$3.37
762386,Pokemon Neo Genesis,Shuckle #72,$1.91
2324915,Pokemon Neo Genesis,Shuckle [1st Edition] #72,$3.64
762333,Pokemon Neo Genesis,Skarmory #13,$18.43
2324916,Pokemon Neo Genesis,Skarmory [1st Edition] #13,$48.01
762365,Pokemon Neo Genesis,Skiploom #49,$1.35
2324917,Pokemon Neo Genesis,Skiploom [1st Edition] #49,$2.12
762334,Pokemon Neo Genesis,Slowking #14,$38.19
2324918,Pokemon Neo Genesis,Slowking [1st Edition] #14,$118.75
762387,Pokemon Neo Genesis,Slowpoke #73,$4.27
2324919,Pokemon Neo Genesis,Slowpoke [1st Edition] #73,$4.58
762344,Pokemon Neo Genesis,Sneasel #25,$4.72
2324920,Pokemon Neo Genesis,Sneasel [1st Edition] #25,$9.75
762388,Pokemon Neo Genesis,Snubbull #74,$1.50
2324921,Pokemon Neo Genesis,Snubbull [1st Edition] #74,$3.00
762389,Pokemon Neo Genesis,Spinarak #75,$1.35
2324922,Pokemon Neo Genesis,Spinarak [1st Edition] #75,$1.79
762410,Pokemon Neo Genesis,Sprout Tower #97,$1.45
2324923,Pokemon Neo Genesis,Sprout Tower [1st Edition] #97,$2.99
762390,Pokemon Neo Genesis,Stantler #76,$1.41
2324925,Pokemon Neo Genesis,Stantler [1st Edition] #76,$2.12
762335,Pokemon Neo Genesis,Steelix #15,$26.00
2324924,Pokemon Neo Genesis,Steelix [1st Edition] #15,$57.45
762391,Pokemon Neo Genesis,Sudowoodo #77,$2.38
2324926,Pokemon Neo Genesis,Sudowoodo [1st Edition] #77,$4.14
762366,Pokemon Neo Genesis,Sunflora #50,$2.99
2324927,Pokemon Neo Genesis,Sunflora [1st Edition] #50,$4.51
762392,Pokemon Neo Genesis,Sunkern #78,$1.47
2324928,Pokemon Neo Genesis,Sunkern [1st Edition] #78,$2.38
762402,Pokemon Neo Genesis,Super Energy Retrieval #89,$2.48
2324929,Pokemon Neo Genesis,Super Energy Retrieval [1st Edition] #89,$4.85
762416,Pokemon Neo Genesis,Super Rod #103,$1.20
2324930,Pokemon Neo Genesis,Super Rod [1st Edition] #103,$3.42
762411,Pokemon Neo Genesis,Super Scoop Up #98,$1.46
2324931,Pokemon Neo Genesis,Super Scoop Up [1st Edition] #98,$2.88
762393,Pokemon Neo Genesis,Swinub #79,$1.41
2324932,Pokemon Neo Genesis,Swinub [1st Edition] #79,$1.99
762403,Pokemon Neo Genesis,Time Capsule #90,$2.19
2324933,Pokemon Neo Genesis,Time Capsule [1st Edition] #90,$3.16
762367,Pokemon Neo Genesis,Togepi #51,$5.60
2324935,Pokemon Neo Genesis,Togepi [1st Edition] #51,$15.14
762336,Pokemon Neo Genesis,Togetic #16,$24.50
2324934,Pokemon Neo Genesis,Togetic [1st Edition] #16,$73.55
762394,Pokemon Neo Genesis,Totodile #80,$1.84
1431249,Pokemon Neo Genesis,Totodile #81,$2.01
2324936,Pokemon Neo Genesis,Totodile [1st Edition] #80,$8.00
