id,console-name,product-name,loose-price
7210690,Pokemon Neo Revelation,2-Pack Blister,$1999.99
762492,Pokemon Neo Revelation,Aerodactyl #15,$6.14
2427393,Pokemon Neo Revelation,Aerodactyl [1st Edition] #15,$15.83
762493,Pokemon Neo Revelation,Aipom #41,$1.47
2427394,Pokemon Neo Revelation,Aipom [1st Edition] #41,$2.64
762494,Pokemon Neo Revelation,Ampharos #1,$38.74
2427395,Pokemon Neo Revelation,Ampharos [1st Edition] #1,$100.00
762495,Pokemon Neo Revelation,Balloon Berry #60,$1.34
2427396,Pokemon Neo Revelation,Balloon Berry [1st Edition] #60,$2.17
762496,Pokemon Neo Revelation,Blissey #2,$34.71
2427397,Pokemon Neo Revelation,Blissey [1st Edition] #2,$61.72
6779127,Pokemon Neo Revelation,Blister Pack,$705.04
2189384,Pokemon Neo Revelation,Booster Box,$12145.30
2189385,Pokemon Neo Revelation,Booster Box [1st Edition],$34938.85
2189382,Pokemon Neo Revelation,Booster Pack,$486.90
2189383,Pokemon Neo Revelation,Booster Pack [1st Edition],$924.68
762497,Pokemon Neo Revelation,Celebi #16,$9.99
886589,Pokemon Neo Revelation,Celebi #3,$70.64
2427398,Pokemon Neo Revelation,Celebi [1st Edition] #16,$16.55
2427399,Pokemon Neo Revelation,Celebi [1st Edition] #3,$155.27
9028835,Pokemon Neo Revelation,Celebi [Double Holo Error] #3,$99.99
762498,Pokemon Neo Revelation,Chinchou #42,$1.11
2427400,Pokemon Neo Revelation,Chinchou [1st Edition] #42,$2.17
762499,Pokemon Neo Revelation,Crobat #4,$33.40
2427401,Pokemon Neo Revelation,Crobat [1st Edition] #4,$55.00
762500,Pokemon Neo Revelation,Delibird #5,$29.99
2427402,Pokemon Neo Revelation,Delibird [1st Edition] #5,$47.59
762501,Pokemon Neo Revelation,Entei #17,$11.00
886590,Pokemon Neo Revelation,Entei #6,$87.63
2427403,Pokemon Neo Revelation,Entei [1st Edition] #17,$28.85
2427404,Pokemon Neo Revelation,Entei [1st Edition] #6,$210.83
762502,Pokemon Neo Revelation,Farfetch'd #43,$1.56
2427405,Pokemon Neo Revelation,Farfetch'd [1st Edition] #43,$2.99
762503,Pokemon Neo Revelation,Flaaffy #28,$2.04
2427406,Pokemon Neo Revelation,Flaaffy [1st Edition] #28,$3.53
762504,Pokemon Neo Revelation,Geodude #44,$1.05
2427407,Pokemon Neo Revelation,Geodude [1st Edition] #44,$2.40
762505,Pokemon Neo Revelation,Golbat #29,$1.74
2427408,Pokemon Neo Revelation,Golbat [1st Edition] #29,$3.28
762506,Pokemon Neo Revelation,Goldeen #45,$1.50
2427409,Pokemon Neo Revelation,Goldeen [1st Edition] #45,$4.28
762507,Pokemon Neo Revelation,Graveler #30,$2.11
2427410,Pokemon Neo Revelation,Graveler [1st Edition] #30,$3.25
762508,Pokemon Neo Revelation,Healing Field #61,$1.32
2427411,Pokemon Neo Revelation,Healing Field [1st Edition] #61,$1.80
9152621,Pokemon Neo Revelation,Ho-Oh [1st Edition Double Holo Error] #7,
9152619,Pokemon Neo Revelation,Ho-Oh [Double Holo Error] #7,$217.50
762509,Pokemon Neo Revelation,Ho-oh #18,$14.36
886591,Pokemon Neo Revelation,Ho-oh #7,$126.53
2427412,Pokemon Neo Revelation,Ho-oh [1st Edition] #18,$25.24
2427413,Pokemon Neo Revelation,Ho-oh [1st Edition] #7,$322.50
762510,Pokemon Neo Revelation,Houndoom #8,$147.61
10492393,Pokemon Neo Revelation,Houndoom [1st Edition Double Holo Error] #8,$1643.64
2427414,Pokemon Neo Revelation,Houndoom [1st Edition] #8,$289.82
7845248,Pokemon Neo Revelation,Houndoom [Double Holo Error] #8,$225.02
762511,Pokemon Neo Revelation,Jumpluff #9,$19.86
2427415,Pokemon Neo Revelation,Jumpluff [1st Edition] #9,$48.59
762512,Pokemon Neo Revelation,Jynx #31,$3.25
2427416,Pokemon Neo Revelation,Jynx [1st Edition] #31,$8.90
762513,Pokemon Neo Revelation,Kingdra #19,$7.16
2427417,Pokemon Neo Revelation,Kingdra [1st Edition] #19,$13.50
762514,Pokemon Neo Revelation,Lanturn #32,$1.97
2427418,Pokemon Neo Revelation,Lanturn [1st Edition] #32,$2.70
762515,Pokemon Neo Revelation,Lugia #20,$20.00
2427419,Pokemon Neo Revelation,Lugia [1st Edition] #20,$46.10
762516,Pokemon Neo Revelation,Magcargo #33,$1.84
2427420,Pokemon Neo Revelation,Magcargo [1st Edition] #33,$4.24
762517,Pokemon Neo Revelation,Magneton #10,$21.25
2427421,Pokemon Neo Revelation,Magneton [1st Edition] #10,$44.83
762518,Pokemon Neo Revelation,Misdreavus #11,$35.74
2427422,Pokemon Neo Revelation,Misdreavus [1st Edition] #11,$58.50
8740601,Pokemon Neo Revelation,Misdreavus [Double Holo Error] #11,$36.13
762519,Pokemon Neo Revelation,Murkrow #46,$1.55
2427423,Pokemon Neo Revelation,Murkrow [1st Edition] #46,$2.99
762520,Pokemon Neo Revelation,Octillery #34,$2.50
2427424,Pokemon Neo Revelation,Octillery [1st Edition] #34,$3.99
762521,Pokemon Neo Revelation,Old Rod #64,$1.00
2427425,Pokemon Neo Revelation,Old Rod [1st Edition] #64,$2.79
762522,Pokemon Neo Revelation,Paras #47,$1.00
2427426,Pokemon Neo Revelation,Paras [1st Edition] #47,$2.29
762523,Pokemon Neo Revelation,Parasect #35,$1.70
2427427,Pokemon Neo Revelation,Parasect [1st Edition] #35,$3.99
762524,Pokemon Neo Revelation,Piloswine #36,$1.66
2427428,Pokemon Neo Revelation,Piloswine [1st Edition] #36,$2.00
762525,Pokemon Neo Revelation,Pokemon Breeder Fields #62,$1.89
2427429,Pokemon Neo Revelation,Pokemon Breeder Fields [1st Edition] #62,$6.27
762526,Pokemon Neo Revelation,Porygon2 #12,$29.48
2427430,Pokemon Neo Revelation,Porygon2 [1st Edition] #12,$81.23
762527,Pokemon Neo Revelation,Quagsire #48,$2.39
2427431,Pokemon Neo Revelation,Quagsire [1st Edition] #48,$3.78
762528,Pokemon Neo Revelation,Qwilfish #49,$1.41
2427432,Pokemon Neo Revelation,Qwilfish [1st Edition] #49,$2.33
762529,Pokemon Neo Revelation,Raichu #21,$7.50
2427433,Pokemon Neo Revelation,Raichu [1st Edition] #21,$19.75
762530,Pokemon Neo Revelation,Raikou #13,$79.75
886592,Pokemon Neo Revelation,Raikou #22,$10.74
2427434,Pokemon Neo Revelation,Raikou [1st Edition] #13,$225.00
2427435,Pokemon Neo Revelation,Raikou [1st Edition] #22,$29.99
762531,Pokemon Neo Revelation,Remoraid #50,$1.37
2427436,Pokemon Neo Revelation,Remoraid [1st Edition] #50,$2.33
762532,Pokemon Neo Revelation,Rocket's Hideout #63,$6.99
2427437,Pokemon Neo Revelation,Rocket's Hideout [1st Edition] #63,$15.54
