id,console-name,product-name,loose-price
6943479,Pokemon Next Destinies,2-Pack Blister,$216.52
955861,Pokemon Next Destinies,Amoonguss #9,$0.58
955963,Pokemon Next Destinies,Amoonguss [Reverse Holo] #9,$0.99
955864,Pokemon Next Destinies,Arcanine #12,$3.00
955865,Pokemon Next Destinies,Arcanine #13,$1.27
4034100,Pokemon Next Destinies,Arcanine [Prerelease Staff] #12,$206.55
4916255,Pokemon Next Destinies,Arcanine [Prerelease] #12,$35.00
955966,Pokemon Next Destinies,Arcanine [Reverse Holo] #12,$5.64
955967,Pokemon Next Destinies,Arcanine [Reverse Holo] #13,$7.24
955879,Pokemon Next Destinies,Articuno #27,$5.26
955980,Pokemon Next Destinies,Articuno [Reverse Holo] #27,$5.05
955882,Pokemon Next Destinies,Basculin #30,$0.49
955983,Pokemon Next Destinies,Basculin [Reverse Holo] #30,$1.05
955889,Pokemon Next Destinies,Beartic #37,$1.23
955990,Pokemon Next Destinies,Beartic [Reverse Holo] #37,$2.81
955914,Pokemon Next Destinies,Beheeyem #62,$1.43
956013,Pokemon Next Destinies,Beheeyem [Reverse Holo] #62,$0.45
8051545,Pokemon Next Destinies,Black Kyurem Box,$551.18
6430772,Pokemon Next Destinies,Blister Pack,$255.00
955899,Pokemon Next Destinies,Blitzle #47,$0.40
955999,Pokemon Next Destinies,Blitzle [Reverse Holo] #47,$0.64
2245007,Pokemon Next Destinies,Booster Box,$8138.76
2245008,Pokemon Next Destinies,Booster Pack,$139.98
955928,Pokemon Next Destinies,Bronzong #76,$0.33
956027,Pokemon Next Destinies,Bronzong [Reverse Holo] #76,$0.67
955927,Pokemon Next Destinies,Bronzor #75,$0.42
956026,Pokemon Next Destinies,Bronzor [Reverse Holo] #75,$1.15
955953,Pokemon Next Destinies,Chandelure #101,$86.55
955872,Pokemon Next Destinies,Chandelure #20,$1.56
955974,Pokemon Next Destinies,Chandelure [Reverse Holo] #20,$2.15
955938,Pokemon Next Destinies,Cilan #86,$0.61
956046,Pokemon Next Destinies,Cilan [Reverse Holo] #86,$1.10
955937,Pokemon Next Destinies,Cinccino #85,$2.00
956035,Pokemon Next Destinies,Cinccino [Reverse Holo] #85,$1.24
955888,Pokemon Next Destinies,Cubchoo #36,$0.26
955989,Pokemon Next Destinies,Cubchoo [Reverse Holo] #36,$0.78
955912,Pokemon Next Destinies,Darmanitan #60,$4.00
956011,Pokemon Next Destinies,Darmanitan [Reverse Holo] #60,$6.98
955869,Pokemon Next Destinies,Darumaka #17,$0.27
955971,Pokemon Next Destinies,Darumaka [Reverse Holo] #17,$1.54
955944,Pokemon Next Destinies,Double Colorless Energy #92,$0.98
956041,Pokemon Next Destinies,Double Colorless Energy [Reverse Holo] #92,$1.92
955913,Pokemon Next Destinies,Elgyem #61,$0.39
956012,Pokemon Next Destinies,Elgyem [Reverse Holo] #61,$1.19
955952,Pokemon Next Destinies,Emboar #100,$52.50
955901,Pokemon Next Destinies,Emolga #49,$0.36
956001,Pokemon Next Destinies,Emolga [Reverse Holo] #49,$0.99
955939,Pokemon Next Destinies,Exp. Share #87,$0.50
956036,Pokemon Next Destinies,Exp. Share [Reverse Holo] #87,$2.47
955929,Pokemon Next Destinies,Ferroseed #77,$0.23
956028,Pokemon Next Destinies,Ferroseed [Reverse Holo] #77,$0.50
955859,Pokemon Next Destinies,Foongus #8,$0.55
955962,Pokemon Next Destinies,Foongus [Reverse Holo] #8,$1.55
955886,Pokemon Next Destinies,Frillish #34,$0.49
955987,Pokemon Next Destinies,Frillish [Reverse Holo] #34,$1.13
955909,Pokemon Next Destinies,Gardevoir #57,$8.30
956008,Pokemon Next Destinies,Gardevoir [Reverse Holo] #57,$11.42
955904,Pokemon Next Destinies,Grimer #52,$0.34
956004,Pokemon Next Destinies,Grimer [Reverse Holo] #52,$1.50
955862,Pokemon Next Destinies,Growlithe #10,$0.99
955863,Pokemon Next Destinies,Growlithe #11,$1.00
955964,Pokemon Next Destinies,Growlithe [Reverse Holo] #10,$9.75
955965,Pokemon Next Destinies,Growlithe [Reverse Holo] #11,$5.00
955940,Pokemon Next Destinies,Heavy Ball #88,$0.62
956037,Pokemon Next Destinies,Heavy Ball [Reverse Holo] #88,$2.83
955917,Pokemon Next Destinies,Hippopotas #65,$0.20
956016,Pokemon Next Destinies,Hippopotas [Reverse Holo] #65,$0.94
955918,Pokemon Next Destinies,Hippowdon #66,$0.35
956017,Pokemon Next Destinies,Hippowdon [Reverse Holo] #66,$0.48
955955,Pokemon Next Destinies,Hydreigon #103,$100.28
955887,Pokemon Next Destinies,Jellicent #35,$1.19
955988,Pokemon Next Destinies,Jellicent [Reverse Holo] #35,$1.81
955930,Pokemon Next Destinies,Jigglypuff #78,$1.32
956029,Pokemon Next Destinies,Jigglypuff [Reverse Holo] #78,$2.64
955908,Pokemon Next Destinies,Kirlia #56,$1.00
956007,Pokemon Next Destinies,Kirlia [Reverse Holo] #56,$1.67
955856,Pokemon Next Destinies,Kricketot #3,$0.48
955958,Pokemon Next Destinies,Kricketot [Reverse Holo] #3,$0.50
955857,Pokemon Next Destinies,Kricketune #4,$0.36
955959,Pokemon Next Destinies,Kricketune [Reverse Holo] #4,$0.51
955890,Pokemon Next Destinies,Kyurem EX #38,$7.59
955948,Pokemon Next Destinies,Kyurem EX #96,$48.45
955871,Pokemon Next Destinies,Lampent #19,$0.37
955973,Pokemon Next Destinies,Lampent [Reverse Holo] #19,$0.50
955877,Pokemon Next Destinies,Lapras #25,$0.99
955878,Pokemon Next Destinies,Lapras #26,$1.62
955978,Pokemon Next Destinies,Lapras [Reverse Holo] #25,$4.99
955979,Pokemon Next Destinies,Lapras [Reverse Holo] #26,$2.23
955941,Pokemon Next Destinies,Level Ball #89,$1.41
2513837,Pokemon Next Destinies,Level Ball [2014 World Championship] #89,$1.43
956038,Pokemon Next Destinies,Level Ball [Reverse Holo] #89,$3.30
955870,Pokemon Next Destinies,Litwick #18,$0.66
955972,Pokemon Next Destinies,Litwick [Reverse Holo] #18,$1.75
955916,Pokemon Next Destinies,Lucario #64,$8.34
956015,Pokemon Next Destinies,Lucario [Reverse Holo] #64,$12.14
955896,Pokemon Next Destinies,Luxio #44,$0.86
955897,Pokemon Next Destinies,Luxio #45,$0.25
955996,Pokemon Next Destinies,Luxio [Reverse Holo] #44,$1.49
955997,Pokemon Next Destinies,Luxio [Reverse Holo] #45,$1.30
955898,Pokemon Next Destinies,Luxray #46,$2.98
5428269,Pokemon Next Destinies,Luxray [Cracked Ice Holo] #46,$10.71
955998,Pokemon Next Destinies,Luxray [Reverse Holo] #46,$2.84
955932,Pokemon Next Destinies,Meowth #80,$0.84
10024588,Pokemon Next Destinies,Meowth [Reverse Holo Stars] #80,
956031,Pokemon Next Destinies,Meowth [Reverse Holo] #80,$2.99
955906,Pokemon Next Destinies,Mewtwo EX #54,$9.71
955950,Pokemon Next Destinies,Mewtwo EX #98,$100.25
8136989,Pokemon Next Destinies,Mewtwo Ex [Jumbo] #54,$8.87
955919,Pokemon Next Destinies,Mienfoo #67,$0.25
956018,Pokemon Next Destinies,Mienfoo [Reverse Holo] #67,$1.29
955920,Pokemon Next Destinies,Mienshao #68,$0.33
956019,Pokemon Next Destinies,Mienshao [Reverse Holo] #68,$0.47
955936,Pokemon Next Destinies,Minccino #84,$0.88
956034,Pokemon Next Destinies,Minccino [Reverse Holo] #84,$1.82
955866,Pokemon Next Destinies,Moltres #14,$3.26
5316835,Pokemon Next Destinies,Moltres [Cosmos Holo] #14,$4.43
955968,Pokemon Next Destinies,Moltres [Reverse Holo] #14,$3.29
955905,Pokemon Next Destinies,Muk #53,$1.19
956005,Pokemon Next Destinies,Muk [Reverse Holo] #53,$1.91
955910,Pokemon Next Destinies,Munna #58,$0.27
956009,Pokemon Next Destinies,Munna [Reverse Holo] #58,$0.87
955911,Pokemon Next Destinies,Musharna #59,$1.69
956010,Pokemon Next Destinies,Musharna [Reverse Holo] #59,$3.99
955923,Pokemon Next Destinies,Nuzleaf #71,$0.37
956022,Pokemon Next Destinies,Nuzleaf [Reverse Holo] #71,$0.41
955880,Pokemon Next Destinies,Panpour #28,$0.43
955981,Pokemon Next Destinies,Panpour [Reverse Holo] #28,$0.99
955858,Pokemon Next Destinies,Pansage #6,$0.25
955960,Pokemon Next Destinies,Pansage [Reverse Holo] #6,$1.22
955867,Pokemon Next Destinies,Pansear #15,$0.70
955969,Pokemon Next Destinies,Pansear [Reverse Holo] #15,$2.15
955933,Pokemon Next Destinies,Persian #81,$1.45
956032,Pokemon Next Destinies,Persian [Reverse Holo] #81,$2.09
955935,Pokemon Next Destinies,Pidove #83,$0.51
956033,Pokemon Next Destinies,Pidove [Reverse Holo] #83,$1.15
955891,Pokemon Next Destinies,Pikachu #39,$3.84
955991,Pokemon Next Destinies,Pikachu [Reverse Holo] #39,$12.64
955854,Pokemon Next Destinies,Pinsir #1,$0.62
955956,Pokemon Next Destinies,Pinsir [Reverse Holo] #1,$0.87
955942,Pokemon Next Destinies,Pokemon Center #90,$0.27
956039,Pokemon Next Destinies,Pokemon Center [Reverse Holo] #90,$1.49
955945,Pokemon Next Destinies,Prism Energy #93,$3.45
956042,Pokemon Next Destinies,Prism Energy [Reverse Holo] #93,$6.97
955892,Pokemon Next Destinies,Raichu #40,$2.45
8576449,Pokemon Next Destinies,Raichu [Cosmos Holo] #40,$50.22
955992,Pokemon Next Destinies,Raichu [Reverse Holo] #40,$6.61
955907,Pokemon Next Destinies,Ralts #55,$1.08
956006,Pokemon Next Destinies,Ralts [Reverse Holo] #55,$2.51
955934,Pokemon Next Destinies,Regigigas EX #82,$9.01
955951,Pokemon Next Destinies,Regigigas EX #99,$47.50
955873,Pokemon Next Destinies,Reshiram #21,$1.23
955874,Pokemon Next Destinies,Reshiram EX #22,$12.00
955947,Pokemon Next Destinies,Reshiram EX #95,$79.00
955975,Pokemon Next Destinies,Reshiram [Reverse Holo] #21,$3.02
955915,Pokemon Next Destinies,Riolu #63,$1.12
956014,Pokemon Next Destinies,Riolu [Reverse Holo] #63,$2.60
955926,Pokemon Next Destinies,Scrafty #74,$1.73
956025,Pokemon Next Destinies,Scrafty [Reverse Holo] #74,$1.58
955925,Pokemon Next Destinies,Scraggy #73,$0.53
956024,Pokemon Next Destinies,Scraggy [Reverse Holo] #73,$1.59
955855,Pokemon Next Destinies,Seedot #2,$0.36
955957,Pokemon Next Destinies,Seedot [Reverse Holo] #2,$0.83
956045,Pokemon Next Destinies,Shaymin EX #5,$9.99
955946,Pokemon Next Destinies,Shaymin EX #94,$28.83
955924,Pokemon Next Destinies,Shiftry #72,$1.17
956023,Pokemon Next Destinies,Shiftry [Reverse Holo] #72,$1.17
955894,Pokemon Next Destinies,Shinx #42,$0.50
955895,Pokemon Next Destinies,Shinx #43,$0.38
8444644,Pokemon Next Destinies,Shinx [Cracked Ice] #43,$10.91
955994,Pokemon Next Destinies,Shinx [Reverse Holo] #42,$2.19
955995,Pokemon Next Destinies,Shinx [Reverse Holo] #43,$3.49
955881,Pokemon Next Destinies,Simipour #29,$0.62
955982,Pokemon Next Destinies,Simipour [Reverse Holo] #29,$0.75
955860,Pokemon Next Destinies,Simisage #7,$0.50
955961,Pokemon Next Destinies,Simisage [Reverse Holo] #7,$0.50
955868,Pokemon Next Destinies,Simisear #16,$0.75
955970,Pokemon Next Destinies,Simisear [Reverse Holo] #16,$0.61
955943,Pokemon Next Destinies,Skyarrow Bridge #91,$0.25
956040,Pokemon Next Destinies,Skyarrow Bridge [Reverse Holo] #91,$0.41
8876574,Pokemon Next Destinies,Sleeved Booster Pack,$550.00
955921,Pokemon Next Destinies,Sneasel #69,$0.30
956020,Pokemon Next Destinies,Sneasel [Reverse Holo] #69,$0.99
955876,Pokemon Next Destinies,Starmie #24,$0.62
955977,Pokemon Next Destinies,Starmie [Reverse Holo] #24,$1.09
955875,Pokemon Next Destinies,Staryu #23,$0.67
955976,Pokemon Next Destinies,Staryu [Reverse Holo] #23,$0.76
955884,Pokemon Next Destinies,Vanillish #32,$0.30
955985,Pokemon Next Destinies,Vanillish [Reverse Holo] #32,$0.74
955883,Pokemon Next Destinies,Vanillite #31,$0.50
955984,Pokemon Next Destinies,Vanillite [Reverse Holo] #31,$0.95
955885,Pokemon Next Destinies,Vanilluxe #33,$1.02
955986,Pokemon Next Destinies,Vanilluxe [Reverse Holo] #33,$0.96
955922,Pokemon Next Destinies,Weavile #70,$0.50
956021,Pokemon Next Destinies,Weavile [Reverse Holo] #70,$1.23
11370388,Pokemon Next Destinies,White Kyurem Box,
955931,Pokemon Next Destinies,Wigglytuff #79,$1.99
956030,Pokemon Next Destinies,Wigglytuff [Reverse Holo] #79,$3.43
955893,Pokemon Next Destinies,Zapdos #41,$3.79
955993,Pokemon Next Destinies,Zapdos [Reverse Holo] #41,$3.97
955900,Pokemon Next Destinies,Zebstrika #48,$1.30
956000,Pokemon Next Destinies,Zebstrika [Reverse Holo] #48,$1.67
955902,Pokemon Next Destinies,Zekrom #50,$1.40
955903,Pokemon Next Destinies,Zekrom EX #51,$14.95
955949,Pokemon Next Destinies,Zekrom EX #97,$132.52
956003,Pokemon Next Destinies,Zekrom EX [Reverse Holo] #51,$2.99
956002,Pokemon Next Destinies,Zekrom [Reverse Holo] #50,$2.79
955954,Pokemon Next Destinies,Zoroark #102,$119.84
