id,console-name,product-name,loose-price
955667,Pokemon Noble Victories,Accelgor #12,$0.94
8209872,Pokemon Noble Victories,Accelgor [Cracked Ice] #12,$2.15
955769,Pokemon Noble Victories,Accelgor [Reverse Holo] #12,$1.46
8597926,Pokemon Noble Victories,Accelgor [Series Championship] #12,$7.20
955665,Pokemon Noble Victories,Amoonguss #10,$0.96
955767,Pokemon Noble Victories,Amoonguss [Reverse Holo] #10,$1.55
955721,Pokemon Noble Victories,Archen #66,$1.27
955823,Pokemon Noble Victories,Archen [Reverse Holo] #66,$3.96
955722,Pokemon Noble Victories,Archeops #67,$8.63
955824,Pokemon Noble Victories,Archeops [Reverse Holo] #67,$10.36
955740,Pokemon Noble Victories,Audino #85,$0.42
955842,Pokemon Noble Victories,Audino [Reverse Holo] #85,$2.11
955742,Pokemon Noble Victories,Axew #86,$0.36
955843,Pokemon Noble Victories,Axew [Reverse Holo] #86,$1.92
955711,Pokemon Noble Victories,Beheeyem #56,$3.38
955813,Pokemon Noble Victories,Beheeyem [Reverse Holo] #56,$4.08
955731,Pokemon Noble Victories,Bisharp #76,$0.53
955737,Pokemon Noble Victories,Bisharp #82,$1.44
955833,Pokemon Noble Victories,Bisharp [Reverse Holo] #76,$2.77
955839,Pokemon Noble Victories,Bisharp [Reverse Holo] #82,$1.93
955690,Pokemon Noble Victories,Blitzle #35,$3.20
955792,Pokemon Noble Victories,Blitzle [Reverse Holo] #35,$5.77
2245009,Pokemon Noble Victories,Booster Box,$3999.95
2245010,Pokemon Noble Victories,Booster Pack,$132.48
955681,Pokemon Noble Victories,Carracosta #26,$4.55
955783,Pokemon Noble Victories,Carracosta [Reverse Holo] #26,$5.97
955715,Pokemon Noble Victories,Chandelure #60,$11.97
955817,Pokemon Noble Victories,Chandelure [Reverse Holo] #60,$14.31
955755,Pokemon Noble Victories,Cobalion #100,$40.00
955739,Pokemon Noble Victories,Cobalion #84,$1.79
955841,Pokemon Noble Victories,Cobalion [Reverse Holo] #84,$1.51
955701,Pokemon Noble Victories,Cofagrigus #46,$2.03
955702,Pokemon Noble Victories,Cofagrigus #47,$2.47
955803,Pokemon Noble Victories,Cofagrigus [Reverse Holo] #46,$2.35
955804,Pokemon Noble Victories,Cofagrigus [Reverse Holo] #47,$3.12
955719,Pokemon Noble Victories,Conkeldurr #64,$2.69
955720,Pokemon Noble Victories,Conkeldurr #65,$1.48
955821,Pokemon Noble Victories,Conkeldurr [Reverse Holo] #64,$2.52
955822,Pokemon Noble Victories,Conkeldurr [Reverse Holo] #65,$3.50
955746,Pokemon Noble Victories,Cover Fossil #90,$0.41
955847,Pokemon Noble Victories,Cover Fossil [Reverse Holo] #90,$0.62
955662,Pokemon Noble Victories,Crustle #7,$0.78
955764,Pokemon Noble Victories,Crustle [Reverse Holo] #7,$1.15
955687,Pokemon Noble Victories,Cryogonal #32,$0.54
955688,Pokemon Noble Victories,Cryogonal #33,$0.99
8597935,Pokemon Noble Victories,Cryogonal [League] #32,$2.18
955789,Pokemon Noble Victories,Cryogonal [Reverse Holo] #32,$1.69
955790,Pokemon Noble Victories,Cryogonal [Reverse Holo] #33,$1.70
955732,Pokemon Noble Victories,Deino #77,$1.44
955834,Pokemon Noble Victories,Deino [Reverse Holo] #77,$1.88
955744,Pokemon Noble Victories,Druddigon #89,$1.31
955846,Pokemon Noble Victories,Druddigon [Reverse Holo] #89,$1.11
955706,Pokemon Noble Victories,Duosion #51,$1.02
955808,Pokemon Noble Victories,Duosion [Reverse Holo] #51,$3.00
955738,Pokemon Noble Victories,Durant #83,$0.88
955840,Pokemon Noble Victories,Durant [Reverse Holo] #83,$3.36
955661,Pokemon Noble Victories,Dwebble #6,$0.75
955763,Pokemon Noble Victories,Dwebble [Reverse Holo] #6,$2.13
955695,Pokemon Noble Victories,Eelektrik #40,$1.28
955797,Pokemon Noble Victories,Eelektrik [Reverse Holo] #40,$16.65
955696,Pokemon Noble Victories,Eelektross #41,$2.76
955798,Pokemon Noble Victories,Eelektross [Reverse Holo] #41,$2.60
955709,Pokemon Noble Victories,Elgyem #54,$1.14
955710,Pokemon Noble Victories,Elgyem #55,$0.40
955811,Pokemon Noble Victories,Elgyem [Reverse Holo] #54,$0.80
955812,Pokemon Noble Victories,Elgyem [Reverse Holo] #55,$3.75
955692,Pokemon Noble Victories,Emolga #37,$0.54
955794,Pokemon Noble Victories,Emolga [Reverse Holo] #37,$2.60
955735,Pokemon Noble Victories,Escavalier #80,$2.30
7671882,Pokemon Noble Victories,Escavalier [Cracked Ice] #80,$2.45
5810720,Pokemon Noble Victories,Escavalier [National Championships Staff] #80,$59.99
10021281,Pokemon Noble Victories,Escavalier [National Championships] #80,$10.35
955837,Pokemon Noble Victories,Escavalier [Reverse Holo] #80,$1.57
955745,Pokemon Noble Victories,Eviolite #91,$0.35
955848,Pokemon Noble Victories,Eviolite [Reverse Holo] #91,$1.58
955664,Pokemon Noble Victories,Foongus #9,$0.47
955766,Pokemon Noble Victories,Foongus [Reverse Holo] #9,$0.99
955741,Pokemon Noble Victories,Fraxure #87,$0.44
2250620,Pokemon Noble Victories,Fraxure [Crosshatch Reverse Holo] #87,$5.00
6139294,Pokemon Noble Victories,Fraxure [Pokemon League] #87,$2.83
955844,Pokemon Noble Victories,Fraxure [Reverse Holo] #87,$0.67
955685,Pokemon Noble Victories,Frillish #30,$1.11
955787,Pokemon Noble Victories,Frillish [Reverse Holo] #30,$1.20
955704,Pokemon Noble Victories,Garbodor #49,$1.00
955806,Pokemon Noble Victories,Garbodor [Reverse Holo] #49,$3.84
955716,Pokemon Noble Victories,Gigalith #61,$1.95
955818,Pokemon Noble Victories,Gigalith [Reverse Holo] #61,$2.40
955726,Pokemon Noble Victories,Golett #71,$0.75
955828,Pokemon Noble Victories,Golett [Reverse Holo] #71,$1.11
955727,Pokemon Noble Victories,Golurk #72,$2.46
955829,Pokemon Noble Victories,Golurk [Reverse Holo] #72,$4.80
955718,Pokemon Noble Victories,Gurdurr #63,$0.56
955820,Pokemon Noble Victories,Gurdurr [Reverse Holo] #63,$1.19
955743,Pokemon Noble Victories,Haxorus #88,$5.20
955845,Pokemon Noble Victories,Haxorus [Reverse Holo] #88,$4.22
955673,Pokemon Noble Victories,Heatmor #18,$0.61
955775,Pokemon Noble Victories,Heatmor [Reverse Holo] #18,$1.18
955734,Pokemon Noble Victories,Hydreigon #79,$7.09
955836,Pokemon Noble Victories,Hydreigon [Reverse Holo] #79,$4.99
955686,Pokemon Noble Victories,Jellicent #31,$3.19
955788,Pokemon Noble Victories,Jellicent [Reverse Holo] #31,$3.16
955663,Pokemon Noble Victories,Karrablast #8,$0.56
955765,Pokemon Noble Victories,Karrablast [Reverse Holo] #8,$2.10
8597918,Pokemon Noble Victories,Karrablast [Series Championship] #8,$2.18
955689,Pokemon Noble Victories,Kyurem #34,$3.95
955791,Pokemon Noble Victories,Kyurem [Reverse Holo] #34,$5.54
955714,Pokemon Noble Victories,Lampent #59,$1.62
955816,Pokemon Noble Victories,Lampent [Reverse Holo] #59,$9.43
955729,Pokemon Noble Victories,Landorus #74,$3.00
955831,Pokemon Noble Victories,Landorus [Reverse Holo] #74,$4.92
955674,Pokemon Noble Victories,Larvesta #19,$0.31
955675,Pokemon Noble Victories,Larvesta #20,$0.25
955776,Pokemon Noble Victories,Larvesta [Reverse Holo] #19,$2.30
955777,Pokemon Noble Victories,Larvesta [Reverse Holo] #20,$2.13
955658,Pokemon Noble Victories,Leavanny #3,$1.62
955760,Pokemon Noble Victories,Leavanny [Reverse Holo] #3,$1.77
955660,Pokemon Noble Victories,Lilligant #5,$1.91
955762,Pokemon Noble Victories,Lilligant [Reverse Holo] #5,$6.00
955712,Pokemon Noble Victories,Litwick #57,$0.91
955713,Pokemon Noble Victories,Litwick #58,$1.13
955814,Pokemon Noble Victories,Litwick [Reverse Holo] #57,$4.88
955815,Pokemon Noble Victories,Litwick [Reverse Holo] #58,$2.91
955757,Pokemon Noble Victories,Meowth #102,$58.74
955724,Pokemon Noble Victories,Mienfoo #69,$0.64
955826,Pokemon Noble Victories,Mienfoo [Reverse Holo] #69,$0.84
955725,Pokemon Noble Victories,Mienshao #70,$0.35
955827,Pokemon Noble Victories,Mienshao [Reverse Holo] #70,$2.36
955756,Pokemon Noble Victories,N #101,$153.00
955747,Pokemon Noble Victories,N #92,$1.97
955849,Pokemon Noble Victories,N [Reverse Holo] #92,$8.99
955678,Pokemon Noble Victories,Palpitoad #23,$0.89
955780,Pokemon Noble Victories,Palpitoad [Reverse Holo] #23,$2.92
955671,Pokemon Noble Victories,Pansear #16,$0.25
955773,Pokemon Noble Victories,Pansear [Reverse Holo] #16,$1.08
955730,Pokemon Noble Victories,Pawniard #75,$0.79
955736,Pokemon Noble Victories,Pawniard #81,$0.97
955832,Pokemon Noble Victories,Pawniard [Reverse Holo] #75,$1.32
955838,Pokemon Noble Victories,Pawniard [Reverse Holo] #81,$6.58
955659,Pokemon Noble Victories,Petilil #4,$0.72
955761,Pokemon Noble Victories,Petilil [Reverse Holo] #4,$2.19
955748,Pokemon Noble Victories,Plume Fossil #93,$0.68
955850,Pokemon Noble Victories,Plume Fossil [Reverse Holo] #93,$0.69
955707,Pokemon Noble Victories,Reuniclus #52,$1.33
955708,Pokemon Noble Victories,Reuniclus #53,$0.78
955809,Pokemon Noble Victories,Reuniclus [Reverse Holo] #52,$1.67
955810,Pokemon Noble Victories,Reuniclus [Reverse Holo] #53,$2.00
955749,Pokemon Noble Victories,Rocky Helmet #94,$0.29
955851,Pokemon Noble Victories,Rocky Helmet [Reverse Holo] #94,$0.50
9210286,Pokemon Noble Victories,Scraggy 2-Pack Blister,$200.00
955679,Pokemon Noble Victories,Seismitoad #24,$1.99
955781,Pokemon Noble Victories,Seismitoad [Reverse Holo] #24,$2.55
955656,Pokemon Noble Victories,Sewaddle #1,$0.96
955758,Pokemon Noble Victories,Sewaddle [Reverse Holo] #1,$0.99
955666,Pokemon Noble Victories,Shelmet #11,$1.39
955768,Pokemon Noble Victories,Shelmet [Reverse Holo] #11,$1.97
10717073,Pokemon Noble Victories,Shelmet [Series Championship Staff] #11,$30.40
8597924,Pokemon Noble Victories,Shelmet [Series Championship] #11,$4.13
955672,Pokemon Noble Victories,Simisear #17,$0.52
955774,Pokemon Noble Victories,Simisear [Reverse Holo] #17,$0.73
955705,Pokemon Noble Victories,Solosis #50,$0.37
955807,Pokemon Noble Victories,Solosis [Reverse Holo] #50,$0.69
955697,Pokemon Noble Victories,Stunfisk #42,$0.48
955723,Pokemon Noble Victories,Stunfisk #68,$0.92
955799,Pokemon Noble Victories,Stunfisk [Reverse Holo] #42,$0.50
955825,Pokemon Noble Victories,Stunfisk [Reverse Holo] #68,$0.99
955750,Pokemon Noble Victories,Super Rod #95,$2.97
955852,Pokemon Noble Victories,Super Rod [Reverse Holo] #95,$7.99
955657,Pokemon Noble Victories,Swadloon #2,$0.80
955759,Pokemon Noble Victories,Swadloon [Reverse Holo] #2,$1.89
955728,Pokemon Noble Victories,Terrakion #73,$2.49
955754,Pokemon Noble Victories,Terrakion #99,$31.13
955830,Pokemon Noble Victories,Terrakion [Reverse Holo] #73,$3.33
955717,Pokemon Noble Victories,Timburr #62,$1.00
955819,Pokemon Noble Victories,Timburr [Reverse Holo] #62,$1.49
955680,Pokemon Noble Victories,Tirtouga #25,$1.60
955782,Pokemon Noble Victories,Tirtouga [Reverse Holo] #25,$8.00
955703,Pokemon Noble Victories,Trubbish #48,$2.99
955805,Pokemon Noble Victories,Trubbish [Reverse Holo] #48,$9.15
955677,Pokemon Noble Victories,Tympole #22,$0.33
955779,Pokemon Noble Victories,Tympole [Reverse Holo] #22,$0.41
955693,Pokemon Noble Victories,Tynamo #38,$0.49
955694,Pokemon Noble Victories,Tynamo #39,$0.50
955795,Pokemon Noble Victories,Tynamo [Reverse Holo] #38,$4.00
955796,Pokemon Noble Victories,Tynamo [Reverse Holo] #39,$5.90
955683,Pokemon Noble Victories,Vanillish #28,$0.69
955785,Pokemon Noble Victories,Vanillish [Reverse Holo] #28,$1.35
955682,Pokemon Noble Victories,Vanillite #27,$0.45
955784,Pokemon Noble Victories,Vanillite [Reverse Holo] #27,$1.00
955684,Pokemon Noble Victories,Vanilluxe #29,$1.75
955786,Pokemon Noble Victories,Vanilluxe [Reverse Holo] #29,$2.00
955669,Pokemon Noble Victories,Victini #14,$7.95
955670,Pokemon Noble Victories,Victini #15,$3.87
955698,Pokemon Noble Victories,Victini #43,$7.71
955753,Pokemon Noble Victories,Victini #98,$119.25
10809777,Pokemon Noble Victories,Victini [Jumbo] #15,$21.00
4083541,Pokemon Noble Victories,Victini [Prerelease Staff] #43,$129.25
4083540,Pokemon Noble Victories,Victini [Prerelease] #43,$26.00
955771,Pokemon Noble Victories,Victini [Reverse Holo] #14,$4.99
955772,Pokemon Noble Victories,Victini [Reverse Holo] #15,$4.99
955800,Pokemon Noble Victories,Victini [Reverse Holo] #43,$13.00
955668,Pokemon Noble Victories,Virizion #13,$1.80
955752,Pokemon Noble Victories,Virizion #97,$25.99
955770,Pokemon Noble Victories,Virizion [Reverse Holo] #13,$2.00
955676,Pokemon Noble Victories,Volcarona #21,$1.99
955778,Pokemon Noble Victories,Volcarona [Reverse Holo] #21,$4.00
955751,Pokemon Noble Victories,Xtransceiver #96,$1.00
955853,Pokemon Noble Victories,Xtransceiver [Reverse Holo] #96,$1.34
955699,Pokemon Noble Victories,Yamask #44,$0.28
955700,Pokemon Noble Victories,Yamask #45,$0.46
955801,Pokemon Noble Victories,Yamask [Reverse Holo] #44,$2.00
955802,Pokemon Noble Victories,Yamask [Reverse Holo] #45,$1.20
955691,Pokemon Noble Victories,Zebstrika #36,$0.63
955793,Pokemon Noble Victories,Zebstrika [Reverse Holo] #36,$1.64
955733,Pokemon Noble Victories,Zweilous #78,$0.99
955835,Pokemon Noble Victories,Zweilous [Reverse Holo] #78,$3.13
