id,console-name,product-name,loose-price
5605653,Pokemon Obsidian Flames,Absol ex #135,$1.47
5605732,Pokemon Obsidian Flames,Absol ex #214,$2.34
5605678,Pokemon Obsidian Flames,Altaria #160,$0.25
5605897,Pokemon Obsidian Flames,Altaria [Reverse Holo] #160,$0.50
5605528,Pokemon Obsidian Flames,Amoonguss #10,$0.21
5605767,Pokemon Obsidian Flames,Amoonguss [Reverse Holo] #10,$0.25
5605539,Pokemon Obsidian Flames,Arboliva #21,$0.15
5605777,Pokemon Obsidian Flames,Arboliva [Reverse Holo] #21,$0.35
5605562,Pokemon Obsidian Flames,Armarouge #44,$0.18
5605797,Pokemon Obsidian Flames,Armarouge [Reverse Holo] #44,$0.25
5605747,Pokemon Obsidian Flames,Artazon #229,$3.09
5605704,Pokemon Obsidian Flames,Arven #186,$1.29
5669074,Pokemon Obsidian Flames,Arven [Reverse Holo] #186,$2.00
5605691,Pokemon Obsidian Flames,Audino #173,$0.15
5605909,Pokemon Obsidian Flames,Audino [Reverse Holo] #173,$0.25
5605612,Pokemon Obsidian Flames,Baltoy #94,$0.07
5605843,Pokemon Obsidian Flames,Baltoy [Reverse Holo] #94,$0.12
5605626,Pokemon Obsidian Flames,Barboach #108,$0.18
5605855,Pokemon Obsidian Flames,Barboach [Reverse Holo] #108,$0.15
5605572,Pokemon Obsidian Flames,Beartic #54,$0.09
5605807,Pokemon Obsidian Flames,Beartic [Reverse Holo] #54,$0.23
5605719,Pokemon Obsidian Flames,Bellibolt #201,$3.49
5605595,Pokemon Obsidian Flames,Bellibolt #77,$0.18
5605596,Pokemon Obsidian Flames,Bellibolt #78,$0.50
5605828,Pokemon Obsidian Flames,Bellibolt [Reverse Holo] #77,$0.20
5605829,Pokemon Obsidian Flames,Bellibolt [Reverse Holo] #78,$0.25
5605521,Pokemon Obsidian Flames,Bellossom #3,$0.25
5605760,Pokemon Obsidian Flames,Bellossom [Reverse Holo] #3,$0.26
5605667,Pokemon Obsidian Flames,Bisharp #149,$0.20
7108826,Pokemon Obsidian Flames,Bisharp [Cosmos Holo] #149,$0.50
5605889,Pokemon Obsidian Flames,Bisharp [Reverse Holo] #149,$0.30
5605628,Pokemon Obsidian Flames,Bonsly #110,$0.23
5605857,Pokemon Obsidian Flames,Bonsly [Reverse Holo] #110,$0.61
