id,console-name,product-name,loose-price
762766,Pokemon POP Series 5,Bill's Maintenance #6,$6.10
762768,Pokemon POP Series 5,Boost Energy #8,$3.41
2332116,Pokemon POP Series 5,Booster Pack,$1839.29
762770,Pokemon POP Series 5,Charmander #10,$11.05
762765,Pokemon POP Series 5,Charmeleon #5,$25.52
762764,Pokemon POP Series 5,Double Rainbow Energy #4,$14.00
762775,Pokemon POP Series 5,Espeon [Gold Star] #16,$4480.25
762761,Pokemon POP Series 5,Ho-Oh #1,$10.30
762777,Pokemon POP Series 5,Ho-Oh [Holo] #1,$11.56
762762,Pokemon POP Series 5,Lugia #2,$25.34
762778,Pokemon POP Series 5,Lugia [Holo] #2,$32.25
762771,Pokemon POP Series 5,Meowth #11,$5.99
762763,Pokemon POP Series 5,Mew #3,$186.36
4199693,Pokemon POP Series 5,Mew [Error] #3,$200.00
762779,Pokemon POP Series 5,Mew [Holo] #3,$164.64
762773,Pokemon POP Series 5,Pelipper #14,$2.70
762781,Pokemon POP Series 5,Pelipper [Holo] #14,$5.24
762772,Pokemon POP Series 5,Pikachu #12,$36.19
4557501,Pokemon POP Series 5,Pikachu #13,$22.00
762780,Pokemon POP Series 5,Pikachu [Holo] #12,$133.63
762769,Pokemon POP Series 5,Rainbow Energy #9,$5.99
762767,Pokemon POP Series 5,Rare Candy #7,$11.21
762776,Pokemon POP Series 5,Umbreon [Gold Star] #17,$2312.51
762774,Pokemon POP Series 5,Zangoose #15,$2.49
762782,Pokemon POP Series 5,Zangoose [Holo] #15,$4.42
