id,console-name,product-name,loose-price
5287300,Pokemon Paldea Evolved,Abomasnow #11,$0.18
5287578,Pokemon Paldea Evolved,Abomasnow [Reverse Holo] #11,$0.17
5287531,Pokemon Paldea Evolved,Annihilape ex #242,$3.46
5287498,Pokemon Paldea Evolved,Arctibax #209,$11.47
5287348,Pokemon Paldea Evolved,Arctibax #59,$0.22
5287621,Pokemon Paldea Evolved,Arctibax [Reverse Holo] #59,$0.23
5287460,Pokemon Paldea Evolved,Artazon #171,$0.39
10909778,Pokemon Paldea Evolved,Artazon [Prize Pack Cosmos Holo] #171,$0.91
10909583,Pokemon Paldea Evolved,Artazon [Prize Pack] #171,$0.93
5287722,Pokemon Paldea Evolved,Artazon [Reverse Holo] #171,$0.33
5287334,Pokemon Paldea Evolved,Azumarill #45,$0.12
5287608,Pokemon Paldea Evolved,Azumarill [Reverse Holo] #45,$0.12
5287567,Pokemon Paldea Evolved,Basic Grass Energy #278,$6.99
5287568,Pokemon Paldea Evolved,Basic Water Energy #279,$7.49
5287499,Pokemon Paldea Evolved,Baxcalibur #210,$17.00
5401627,Pokemon Paldea Evolved,Baxcalibur #60,$1.79
8692817,Pokemon Paldea Evolved,Baxcalibur [Asia Exclusive Gym Promo] #60,$19.83
6837190,Pokemon Paldea Evolved,Baxcalibur [Cosmos Holo] #60,$3.48
5287349,Pokemon Paldea Evolved,Baxcalibur [Holo] #60,$0.65
6657678,Pokemon Paldea Evolved,Baxcalibur [Prize Pack] #60,$1.83
5287622,Pokemon Paldea Evolved,Baxcalibur [Reverse Holo] #60,$0.24
5287526,Pokemon Paldea Evolved,Bellibolt ex #237,$3.00
5287368,Pokemon Paldea Evolved,Bellibolt ex #79,$1.00
5287436,Pokemon Paldea Evolved,Bombirdier #147,$0.08
5287701,Pokemon Paldea Evolved,Bombirdier [Reverse Holo] #147,$0.12
5287290,Pokemon Paldea Evolved,Booster Box,$435.46
7556189,Pokemon Paldea Evolved,Booster Bundle,$68.34
5287288,Pokemon Paldea Evolved,Booster Pack,$10.80
5401632,Pokemon Paldea Evolved,Boss's Orders #172,$0.58
5287537,Pokemon Paldea Evolved,Boss's Orders #248,$7.25
5287554,Pokemon Paldea Evolved,Boss's Orders #265,$15.79
10909781,Pokemon Paldea Evolved,Boss's Orders [Ghetsis] [Prize Pack Holo] #172,$0.91
10909587,Pokemon Paldea Evolved,Boss's Orders [Ghetsis] [Prize Pack] #172,$0.76
5287461,Pokemon Paldea Evolved,Boss's Orders [Holo] #172,$0.39
5287723,Pokemon Paldea Evolved,Boss's Orders [Reverse Holo] #172,$0.55
5287313,Pokemon Paldea Evolved,Brambleghast #24,$0.12
5287590,Pokemon Paldea Evolved,Brambleghast [Reverse Holo] #24,$0.15
5287487,Pokemon Paldea Evolved,Bramblin #198,$6.99
5287311,Pokemon Paldea Evolved,Bramblin #22,$0.09
5287312,Pokemon Paldea Evolved,Bramblin #23,$0.15
5287588,Pokemon Paldea Evolved,Bramblin [Reverse Holo] #22,$0.15
5287589,Pokemon Paldea Evolved,Bramblin [Reverse Holo] #23,$0.20
5287462,Pokemon Paldea Evolved,Bravery Charm #173,$1.55
10909784,Pokemon Paldea Evolved,Bravery Charm [Prize Pack Holo] #173,$1.70
10909589,Pokemon Paldea Evolved,Bravery Charm [Prize Pack] #173,$1.75
5287724,Pokemon Paldea Evolved,Bravery Charm [Reverse Holo] #173,$1.66
8848154,Pokemon Paldea Evolved,Build & Battle Display Box,$434.35
10608601,Pokemon Paldea Evolved,Build & Battle Stadium,$127.97
8460321,Pokemon Paldea Evolved,Build And Battle Box,$55.49
5287463,Pokemon Paldea Evolved,Calamitous Snowy Mountain #174,$0.15
5287725,Pokemon Paldea Evolved,Calamitous Snowy Mountain [Reverse Holo] #174,$0.50
5287464,Pokemon Paldea Evolved,Calamitous Wasteland #175,$0.12
5287726,Pokemon Paldea Evolved,Calamitous Wasteland [Reverse Holo] #175,$0.25
5287387,Pokemon Paldea Evolved,Ceruledge #98,$0.37
6675476,Pokemon Paldea Evolved,Ceruledge [Cosmos Holo] #98,$0.55
5287655,Pokemon Paldea Evolved,Ceruledge [Reverse Holo] #98,$0.22
5287344,Pokemon Paldea Evolved,Cetitan #55,$0.15
5287617,Pokemon Paldea Evolved,Cetitan [Reverse Holo] #55,$0.13
5287342,Pokemon Paldea Evolved,Cetoddle #53,$0.25
5287343,Pokemon Paldea Evolved,Cetoddle #54,$0.11
