id,console-name,product-name,loose-price
9042112,Pokemon Paldean Fates,5-Mini Tin Set,$210.14
6277019,Pokemon Paldean Fates,Abomasnow #101,$2.48
6277067,Pokemon Paldean Fates,Abra #148,$5.66
6277134,Pokemon Paldean Fates,Alakazam ex #215,$4.49
6277090,Pokemon Paldean Fates,Annihilape #171,$3.00
6276966,Pokemon Paldean Fates,Annihilape #47,$0.16
6277209,Pokemon Paldean Fates,Annihilape [Reverse Holo] #47,$0.22
6277022,Pokemon Paldean Fates,Arboliva #104,$2.25
6277048,Pokemon Paldean Fates,Arctibax #129,$2.56
6277033,Pokemon Paldean Fates,Armarouge #115,$3.28
6276934,Pokemon Paldean Fates,Armarouge #15,$0.18
6277178,Pokemon Paldean Fates,Armarouge [Reverse Holo] #15,$0.19
6276995,Pokemon Paldean Fates,Artazon #76,$0.30
6277232,Pokemon Paldean Fates,Artazon [Reverse Holo] #76,$0.41
6277154,Pokemon Paldean Fates,Arven #235,$9.95
6276996,Pokemon Paldean Fates,Atticus #77,$0.15
10909674,Pokemon Paldean Fates,Atticus [Prize Pack] #77,$0.07
6277233,Pokemon Paldean Fates,Atticus [Reverse Holo] #77,$0.22
6276969,Pokemon Paldean Fates,Barboach #50,$0.12
6277212,Pokemon Paldean Fates,Barboach [Reverse Holo] #50,$0.15
6277049,Pokemon Paldean Fates,Baxcalibur #130,$3.13
6277105,Pokemon Paldean Fates,Bisharp #186,$2.34
6276914,Pokemon Paldean Fates,Booster Bundle,$113.71
6973278,Pokemon Paldean Fates,Booster Bundle Display,$1199.99
6276913,Pokemon Paldean Fates,Booster Pack,$15.49
6276931,Pokemon Paldean Fates,Camerupt #12,$0.10
6277175,Pokemon Paldean Fates,Camerupt [Reverse Holo] #12,$0.15
6277024,Pokemon Paldean Fates,Capsakid #106,$2.08
6277081,Pokemon Paldean Fates,Ceruledge #162,$6.22
6276959,Pokemon Paldean Fates,Ceruledge #40,$0.61
6397098,Pokemon Paldean Fates,Ceruledge [Pokemon Day] #40,$4.27
6277202,Pokemon Paldean Fates,Ceruledge [Reverse Holo] #40,$0.21
6277032,Pokemon Paldean Fates,Charcadet #114,$5.02
6276933,Pokemon Paldean Fates,Charcadet #14,$0.08
6277177,Pokemon Paldean Fates,Charcadet [Reverse Holo] #14,$0.22
6277153,Pokemon Paldean Fates,Charizard ex #234,$208.86
6276973,Pokemon Paldean Fates,Charizard ex #54,$4.42
6277027,Pokemon Paldean Fates,Charmander #109,$19.35
6276926,Pokemon Paldean Fates,Charmander #7,$0.71
9908238,Pokemon Paldean Fates,Charmander [Cosmos Holo] #7,$2.45
6277170,Pokemon Paldean Fates,Charmander [Reverse Holo] #7,$0.88
6277028,Pokemon Paldean Fates,Charmeleon #110,$12.00
6276927,Pokemon Paldean Fates,Charmeleon #8,$0.55
9908235,Pokemon Paldean Fates,Charmeleon [Cosmos Holo] #8,$2.00
6277171,Pokemon Paldean Fates,Charmeleon [Reverse Holo] #8,$0.25
6277160,Pokemon Paldean Fates,Chi-Yu ex #241,$7.98
6277161,Pokemon Paldean Fates,Chien-Pao ex #242,$6.77
6276949,Pokemon Paldean Fates,Chimecho #30,$0.09
6277192,Pokemon Paldean Fates,Chimecho [Reverse Holo] #30,$0.20
6276939,Pokemon Paldean Fates,Chinchou #20,$0.08
6277183,Pokemon Paldean Fates,Chinchou [Reverse Holo] #20,$0.18
6277069,Pokemon Paldean Fates,Cleffa #150,$3.25
6277146,Pokemon Paldean Fates,Clive #227,$1.29
6277155,Pokemon Paldean Fates,Clive #236,$16.37
6276997,Pokemon Paldean Fates,Clive #78,$0.11
6277234,Pokemon Paldean Fates,Clive [Reverse Holo] #78,$0.19
6276970,Pokemon Paldean Fates,Clobbopus #51,$0.09
6277213,Pokemon Paldean Fates,Clobbopus [Reverse Holo] #51,$0.20
6276953,Pokemon Paldean Fates,Cottonee #34,$0.15
6277196,Pokemon Paldean Fates,Cottonee [Reverse Holo] #34,$0.14
6277114,Pokemon Paldean Fates,Cyclizar #195,$2.17
6276989,Pokemon Paldean Fates,Cyclizar #70,$0.11
6277227,Pokemon Paldean Fates,Cyclizar [Reverse Holo] #70,$0.11
6277080,Pokemon Paldean Fates,Dachsbun #161,$5.35
6276958,Pokemon Paldean Fates,Dachsbun #39,$0.36
6277201,Pokemon Paldean Fates,Dachsbun [Reverse Holo] #39,$0.41
6276955,Pokemon Paldean Fates,Dedenne #36,$0.16
6277198,Pokemon Paldean Fates,Dedenne [Reverse Holo] #36,$0.53
6277120,Pokemon Paldean Fates,Ditto #201,$18.32
6277119,Pokemon Paldean Fates,Dodrio #200,$3.00
6277118,Pokemon Paldean Fates,Doduo #199,$3.61
6277021,Pokemon Paldean Fates,Dolliv #103,$2.26
6277045,Pokemon Paldean Fates,Dondozo #126,$2.67
6276968,Pokemon Paldean Fates,Donphan #49,$0.08
6277211,Pokemon Paldean Fates,Donphan [Reverse Holo] #49,$0.53
6277075,Pokemon Paldean Fates,Drifblim #156,$2.23
6277074,Pokemon Paldean Fates,Drifloon #155,$4.56
6276998,Pokemon Paldean Fates,Electric Generator #79,$0.14
6277235,Pokemon Paldean Fates,Electric Generator [Reverse Holo] #79,$0.19
6277053,Pokemon Paldean Fates,Electrode #134,$3.50
6276912,Pokemon Paldean Fates,Elite Trainer Box,$280.00
6276918,Pokemon Paldean Fates,Elite Trainer Box [Pokemon Center],$403.32
6277030,Pokemon Paldean Fates,Entei #112,$8.17
6277133,Pokemon Paldean Fates,Espathra ex #214,$1.92
6276925,Pokemon Paldean Fates,Espathra ex #6,$0.80
6276943,Pokemon Paldean Fates,Exeggcute #23,$0.10
6277186,Pokemon Paldean Fates,Exeggcute [Reverse Holo] #23,$0.09
6276942,Pokemon Paldean Fates,Exeggutor #24,$0.55
6277187,Pokemon Paldean Fates,Exeggutor [Reverse Holo] #24,$0.40
6276957,Pokemon Paldean Fates,Fidough #38,$0.13
6277200,Pokemon Paldean Fates,Fidough [Reverse Holo] #38,$0.25
6277042,Pokemon Paldean Fates,Finizen #123,$4.00
6277130,Pokemon Paldean Fates,Flamigo #211,$2.77
6277083,Pokemon Paldean Fates,Flittle #164,$2.00
6276960,Pokemon Paldean Fates,Flittle #41,$0.11
6277203,Pokemon Paldean Fates,Flittle [Reverse Holo] #41,$0.19
6277165,Pokemon Paldean Fates,Forretress ex #2,$0.84
6277131,Pokemon Paldean Fates,Forretress ex #212,$1.44
6277047,Pokemon Paldean Fates,Frigibax #128,$3.36
6276936,Pokemon Paldean Fates,Frigibax #17,$0.07
6277180,Pokemon Paldean Fates,Frigibax [Reverse Holo] #17,$0.17
6277136,Pokemon Paldean Fates,Gardevoir ex #217,$6.48
6277152,Pokemon Paldean Fates,Gardevoir ex #233,$107.98
6276948,Pokemon Paldean Fates,Gardevoir ex #29,$1.40
6277097,Pokemon Paldean Fates,Garganacl #178,$1.84
6276974,Pokemon Paldean Fates,Gastly #55,$0.20
6277215,Pokemon Paldean Fates,Gastly [Reverse Holo] #55,$0.20
6276976,Pokemon Paldean Fates,Gengar #57,$0.20
6277217,Pokemon Paldean Fates,Gengar [Reverse Holo] #57,$1.25
6276986,Pokemon Paldean Fates,Gholdengo #67,$0.18
6277225,Pokemon Paldean Fates,Gholdengo [Reverse Holo] #67,$0.26
6276963,Pokemon Paldean Fates,Gimmighoul #44,$0.14
6277206,Pokemon Paldean Fates,Gimmighoul [Reverse Holo] #44,$0.09
6277098,Pokemon Paldean Fates,Glimmet #179,$1.81
6277137,Pokemon Paldean Fates,Glimmora ex #218,$1.15
6277011,Pokemon Paldean Fates,Gloom #93,$3.31
6277109,Pokemon Paldean Fates,Grafaiai #190,$2.01
6276971,Pokemon Paldean Fates,Grapploct #52,$0.18
6277214,Pokemon Paldean Fates,Grapploct [Reverse Holo] #52,$0.15
11324574,Pokemon Paldean Fates,Great Tusk Ex & Iron Treads Ex Premium Collection,$139.99
6276972,Pokemon Paldean Fates,Great Tusk ex #53,$0.72
6276961,Pokemon Paldean Fates,Greavard #42,$0.07
6277204,Pokemon Paldean Fates,Greavard [Reverse Holo] #42,$0.15
6277125,Pokemon Paldean Fates,Greedent #206,$1.99
6276975,Pokemon Paldean Fates,Haunter #56,$0.25
6277216,Pokemon Paldean Fates,Haunter [Reverse Holo] #56,$0.50
6277094,Pokemon Paldean Fates,Hawlucha #175,$7.97
6276932,Pokemon Paldean Fates,Heat Rotom #13,$0.32
6277176,Pokemon Paldean Fates,Heat Rotom [Reverse Holo] #13,$0.25
6277014,Pokemon Paldean Fates,Hoppip #96,$2.99
6277087,Pokemon Paldean Fates,Houndstone #168,$1.95
6276962,Pokemon Paldean Fates,Houndstone #43,$0.25
6277205,Pokemon Paldean Fates,Houndstone [Reverse Holo] #43,$0.15
10366757,Pokemon Paldean Fates,International Tin: Charizard Ex,$80.00
10366755,Pokemon Paldean Fates,International Tin: Great Tusk Ex,$41.00
10366756,Pokemon Paldean Fates,International Tin: Iron Treads Ex,$70.00
6277156,Pokemon Paldean Fates,Iono #237,$24.98
6276999,Pokemon Paldean Fates,Iono #80,$0.46
6277236,Pokemon Paldean Fates,Iono [Reverse Holo] #80,$1.31
6276985,Pokemon Paldean Fates,Iron Treads ex #66,$0.60
6277117,Pokemon Paldean Fates,Jigglypuff #198,$7.48
6277147,Pokemon Paldean Fates,Judge #228,$1.00
6277016,Pokemon Paldean Fates,Jumpluff #98,$2.43
6277068,Pokemon Paldean Fates,Kadabra #149,$5.17
6277065,Pokemon Paldean Fates,Kilowattrel #146,$1.92
6276941,Pokemon Paldean Fates,Kilowattrel #22,$0.09
6277185,Pokemon Paldean Fates,Kilowattrel [Reverse Holo] #22,$0.14
6277106,Pokemon Paldean Fates,Kingambit #187,$3.12
6277073,Pokemon Paldean Fates,Kirlia #154,$5.78
6276947,Pokemon Paldean Fates,Kirlia #28,$0.25
6277191,Pokemon Paldean Fates,Kirlia [Reverse Holo] #28,$0.35
6277078,Pokemon Paldean Fates,Klefki #159,$5.04
6277164,Pokemon Paldean Fates,Koraidon ex #245,$10.18
6276940,Pokemon Paldean Fates,Lanturn #21,$0.07
6277184,Pokemon Paldean Fates,Lanturn [Reverse Holo] #21,$0.13
6276935,Pokemon Paldean Fates,Lapras #16,$0.20
6277179,Pokemon Paldean Fates,Lapras [Reverse Holo] #16,$0.24
6277126,Pokemon Paldean Fates,Lechonk #207,$5.90
6276990,Pokemon Paldean Fates,Lechonk #71,$0.15
6277228,Pokemon Paldean Fates,Lechonk [Reverse Holo] #71,$0.15
6277093,Pokemon Paldean Fates,Lucario #174,$14.31
6277055,Pokemon Paldean Fates,Luxio #136,$4.08
6277056,Pokemon Paldean Fates,Luxray #137,$7.77
6277107,Pokemon Paldean Fates,Mabosstiff #188,$1.95
6276982,Pokemon Paldean Fates,Mabosstiff #63,$0.12
6277222,Pokemon Paldean Fates,Mabosstiff [Reverse Holo] #63,$0.16
6276928,Pokemon Paldean Fates,Magmar #9,$0.10
6277172,Pokemon Paldean Fates,Magmar [Reverse Holo] #9,$0.12
7418798,Pokemon Paldean Fates,Magmortar #10,$0.28
6276929,Pokemon Paldean Fates,Magmortar [Holo] #10,$0.17
6277173,Pokemon Paldean Fates,Magmortar [Reverse Holo] #10,$0.15
6277088,Pokemon Paldean Fates,Mankey #169,$3.24
6276964,Pokemon Paldean Fates,Mankey #45,$0.09
6277207,Pokemon Paldean Fates,Mankey [Reverse Holo] #45,$0.10
6276922,Pokemon Paldean Fates,Maractus #3,$0.11
6277168,Pokemon Paldean Fates,Maractus [Reverse Holo] #3,$0.14
6276981,Pokemon Paldean Fates,Maschiff #62,$0.19
7917206,Pokemon Paldean Fates,Maschiff [Costco Cosmos Holo] #62,$2.98
6277221,Pokemon Paldean Fates,Maschiff [Reverse Holo] #62,$0.12
6277129,Pokemon Paldean Fates,Maushold #210,$11.92
6276993,Pokemon Paldean Fates,Maushold #74,$0.23
6277231,Pokemon Paldean Fates,Maushold [Reverse Holo] #74,$0.86
6276916,Pokemon Paldean Fates,Meowscarada ex Premium Collection Box,$169.36
6277135,Pokemon Paldean Fates,Mew ex #216,$22.00
6277151,Pokemon Paldean Fates,Mew ex #232,$507.59
6277076,Pokemon Paldean Fates,Mime Jr #157,$2.73
6276950,Pokemon Paldean Fates,Mime Jr #31,$0.15
6277193,Pokemon Paldean Fates,Mime Jr [Reverse Holo] #31,$0.25
6277079,Pokemon Paldean Fates,Mimikyu #160,$17.99
