id,console-name,product-name,loose-price
8675459,Pokemon Paradox Rift,3 Pack Blister,$19.74
5952951,Pokemon Paradox Rift,Absol #113,$0.40
5953205,Pokemon Paradox Rift,Absol [Reverse Holo] #113,$0.50
5952972,Pokemon Paradox Rift,Aegislash #134,$0.16
5953048,Pokemon Paradox Rift,Aegislash #210,$6.59
5983536,Pokemon Paradox Rift,Aegislash [Holo] #134,$0.29
5953225,Pokemon Paradox Rift,Aegislash [Reverse Holo] #134,$0.20
5952973,Pokemon Paradox Rift,Aegislash ex #135,$0.80
5953069,Pokemon Paradox Rift,Aegislash ex #230,$2.01
10809468,Pokemon Paradox Rift,Aegislash ex [Jumbo] #135,
5952983,Pokemon Paradox Rift,Aipom #145,$0.10
5953049,Pokemon Paradox Rift,Aipom #211,$9.39
5953232,Pokemon Paradox Rift,Aipom [Reverse Holo] #145,$0.19
5953071,Pokemon Paradox Rift,Altaria ex #232,$2.97
5953092,Pokemon Paradox Rift,Altaria ex #253,$40.38
5952978,Pokemon Paradox Rift,Altaria ex [Holo] #140,$0.73
5952984,Pokemon Paradox Rift,Ambipom #146,$0.08
5953233,Pokemon Paradox Rift,Ambipom [Reverse Holo] #146,$0.12
5952997,Pokemon Paradox Rift,Ancient Booster Energy Capsule #159,$0.13
6021782,Pokemon Paradox Rift,Ancient Booster Energy Capsule [Cosmos Holo] #159,$0.35
10909866,Pokemon Paradox Rift,Ancient Booster Energy Capsule [Prize Pack Cosmos Holo] #159,$0.18
10909670,Pokemon Paradox Rift,Ancient Booster Energy Capsule [Prize Pack] #159,$0.17
5953244,Pokemon Paradox Rift,Ancient Booster Energy Capsule [Reverse Holo] #159,$0.16
8675305,Pokemon Paradox Rift,Arctibax 3-Pack Blister,$39.01
5953057,Pokemon Paradox Rift,Armarouge ex #218,$2.09
5952865,Pokemon Paradox Rift,Armarouge ex [Holo] #27,$1.00
5953102,Pokemon Paradox Rift,Beach Court #263,$3.51
5952848,Pokemon Paradox Rift,Blipbug #10,$0.10
5953114,Pokemon Paradox Rift,Blipbug [Reverse Holo] #10,$0.14
10366750,Pokemon Paradox Rift,Blister Pack: Pineco,$7.99
10366749,Pokemon Paradox Rift,Blister Pack: Sinistea,$6.71
5953033,Pokemon Paradox Rift,Blitzle #195,$5.65
5952899,Pokemon Paradox Rift,Blitzle #62,$0.25
5953161,Pokemon Paradox Rift,Blitzle [Reverse Holo] #62,$0.17
5952994,Pokemon Paradox Rift,Bombirdier ex #156,$0.84
5953073,Pokemon Paradox Rift,Bombirdier ex #234,$2.23
5952837,Pokemon Paradox Rift,Booster Box,$231.08
5952836,Pokemon Paradox Rift,Booster Bundle,$33.57
5952838,Pokemon Paradox Rift,Booster Pack,$8.50
5952846,Pokemon Paradox Rift,Bounsweet #8,$0.11
5953112,Pokemon Paradox Rift,Bounsweet [Reverse Holo] #8,$0.15
5952961,Pokemon Paradox Rift,Brute Bonnet #123,$0.34
5953045,Pokemon Paradox Rift,Brute Bonnet #207,$9.00
