id,console-name,product-name,loose-price
12368452,Pokemon Perfect Order,3 Pack Blister: Chikorita,$25.44
12368538,Pokemon Perfect Order,Aegislash #58,$0.35
12368633,Pokemon Perfect Order,Aegislash [Reverse Holo] #58,
12368662,Pokemon Perfect Order,Amaura #23,$0.12
12368508,Pokemon Perfect Order,Amaura [Reverse Holo] #23,$0.49
12368506,Pokemon Perfect Order,Antique Jaw Fossil #68,$0.44
12368640,Pokemon Perfect Order,Antique Jaw Fossil [Reverse Holo] #68,
12368678,Pokemon Perfect Order,Antique Sail Fossil #69,$0.10
12368507,Pokemon Perfect Order,Antique Sail Fossil [Reverse Holo] #69,$0.29
12368651,Pokemon Perfect Order,Ariados #2,$0.06
12368559,Pokemon Perfect Order,Ariados [Reverse Holo] #2,$0.45
12368667,Pokemon Perfect Order,Aromatisse #36,$0.10
12368587,Pokemon Perfect Order,Aromatisse [Reverse Holo] #36,$2.24
12368663,Pokemon Perfect Order,Aurorus #24,$11.15
12368510,Pokemon Perfect Order,Aurorus #92,$7.99
12368509,Pokemon Perfect Order,Aurorus [Reverse Holo] #24,$0.42
12368671,Pokemon Perfect Order,Barbaracle #43,$0.10
12368487,Pokemon Perfect Order,Barbaracle [Reverse Holo] #43,$0.50
12368486,Pokemon Perfect Order,Binacle #42,$0.14
12368628,Pokemon Perfect Order,Binacle [Reverse Holo] #42,$1.37
12368453,Pokemon Perfect Order,Booster Box,$208.03
12368454,Pokemon Perfect Order,Booster Bundle,$46.41
12368456,Pokemon Perfect Order,Booster Pack,$10.15
12368458,Pokemon Perfect Order,Build & Battle Box,$46.44
12368609,Pokemon Perfect Order,Bunnelby #64,$0.10
12368637,Pokemon Perfect Order,Bunnelby [Reverse Holo] #64,
12368603,Pokemon Perfect Order,Chien-Pao #54,$0.34
12385654,Pokemon Perfect Order,Chien-Pao [Reverse Holo] #54,$0.29
12368579,Pokemon Perfect Order,Clefairy #30,$0.20
12368580,Pokemon Perfect Order,Clefairy #94,$35.38
12368624,Pokemon Perfect Order,Clefairy [Reverse Holo] #30,$1.49
12368679,Pokemon Perfect Order,Core Memory #70,$1.51
12368495,Pokemon Perfect Order,Core Memory [Reverse Holo] #70,$0.49
12368477,Pokemon Perfect Order,Crushing Hammer #71,$0.08
12368641,Pokemon Perfect Order,Crushing Hammer [Reverse Holo] #71,
12368656,Pokemon Perfect Order,Dartrix #11,$0.08
12368524,Pokemon Perfect Order,Dartrix [Reverse Holo] #11,$0.25
12368526,Pokemon Perfect Order,Decidueye ex #100,$3.98
12368525,Pokemon Perfect Order,Decidueye ex #12,$1.49
12368576,Pokemon Perfect Order,Dedenne #29,$0.26
12368577,Pokemon Perfect Order,Dedenne #93,$8.00
12368623,Pokemon Perfect Order,Dedenne [Reverse Holo] #29,$1.88
12368529,Pokemon Perfect Order,Dewgong #19,$0.49
12385628,Pokemon Perfect Order,Dewgong [Reverse Holo] #19,$1.49
12368610,Pokemon Perfect Order,Diggersby #65,$0.23
12368638,Pokemon Perfect Order,Diggersby [Reverse Holo] #65,
12368675,Pokemon Perfect Order,Doublade #57,$1.25
12368537,Pokemon Perfect Order,Doublade #98,$5.45
12368536,Pokemon Perfect Order,Doublade [Reverse Holo] #57,$0.42
12368601,Pokemon Perfect Order,Drapion #52,$0.23
12368602,Pokemon Perfect Order,Drapion #97,$4.70
12368632,Pokemon Perfect Order,Drapion [Reverse Holo] #52,$1.49
12368459,Pokemon Perfect Order,Elite Trainer Box,$79.95
12368461,Pokemon Perfect Order,Elite Trainer Box [Pokemon Center],$141.96
12368479,Pokemon Perfect Order,Energy Recycler #108,$3.75
12368474,Pokemon Perfect Order,Energy Search #72,$0.31
12368642,Pokemon Perfect Order,Energy Search [Reverse Holo] #72,$2.03
12368546,Pokemon Perfect Order,Energy Swatter #73,$0.20
12368643,Pokemon Perfect Order,Energy Swatter [Reverse Holo] #73,$1.68
12368583,Pokemon Perfect Order,Espurr #33,$0.62
12368584,Pokemon Perfect Order,Espurr #95,$7.37
12368626,Pokemon Perfect Order,Espurr [Reverse Holo] #33,$0.99
12368567,Pokemon Perfect Order,Fletchinder #13,$0.12
12368621,Pokemon Perfect Order,Fletchinder [Reverse Holo] #13,
12368566,Pokemon Perfect Order,Fletchling #66,$0.10
12368639,Pokemon Perfect Order,Fletchling [Reverse Holo] #66,$1.49
12368480,Pokemon Perfect Order,Forest of Vitality #109,$7.72
12368677,Pokemon Perfect Order,Furfrou #67,$0.25
12368611,Pokemon Perfect Order,Furfrou [Reverse Holo] #67,$0.11
12368597,Pokemon Perfect Order,Gastly #48,$0.20
12368630,Pokemon Perfect Order,Gastly [Reverse Holo] #48,$1.60
12368599,Pokemon Perfect Order,Gengar #50,$2.44
12384636,Pokemon Perfect Order,Gengar [EB Games Stamped] #50,$113.12
12385651,Pokemon Perfect Order,Gengar [Gamestop] #50,$119.48
12385649,Pokemon Perfect Order,Gengar [Reverse Holo] #50,$3.59
12368684,Pokemon Perfect Order,Growing Grass Energy #86,
12368532,Pokemon Perfect Order,Growing Grass Energy [Reverse Holo] #86,$0.29
12368673,Pokemon Perfect Order,Haunter #49,$0.20
12368598,Pokemon Perfect Order,Haunter [Reverse Holo] #49,$0.67
12368596,Pokemon Perfect Order,Hawlucha #46,$0.08
12368629,Pokemon Perfect Order,Hawlucha [Reverse Holo] #46,$1.25
12368669,Pokemon Perfect Order,Hippopotas #39,$0.25
12368592,Pokemon Perfect Order,Hippopotas [Reverse Holo] #39,$0.17
12368670,Pokemon Perfect Order,Hippowdon #40,$0.17
12368593,Pokemon Perfect Order,Hippowdon [Reverse Holo] #40,$0.63
12368482,Pokemon Perfect Order,Hole-Digging Shovel #74,$0.22
12368644,Pokemon Perfect Order,Hole-Digging Shovel [Reverse Holo] #74,
12368674,Pokemon Perfect Order,Honedge #56,$0.30
12368535,Pokemon Perfect Order,Honedge [Reverse Holo] #56,$0.43
12368555,Pokemon Perfect Order,Jacinthe #110,$7.24
12368556,Pokemon Perfect Order,Jacinthe #122,$33.49
12368553,Pokemon Perfect Order,Jacinthe #75,$0.35
12368645,Pokemon Perfect Order,Jacinthe [Reverse Holo] #75,$1.75
12368475,Pokemon Perfect Order,Judge #76,$0.26
12368646,Pokemon Perfect Order,Judge [Reverse Holo] #76,$1.72
12368604,Pokemon Perfect Order,Klefki #59,$0.10
12368634,Pokemon Perfect Order,Klefki [Reverse Holo] #59,$1.69
12368595,Pokemon Perfect Order,Landorus #41,$0.30
12385644,Pokemon Perfect Order,Landorus [Reverse Holo] #41,
12368481,Pokemon Perfect Order,Lapras ex #22,$2.34
12368502,Pokemon Perfect Order,Lumiose City #111,$5.47
12368501,Pokemon Perfect Order,Lumiose City #77,$0.24
12368647,Pokemon Perfect Order,Lumiose City [Reverse Holo] #77,
12368680,Pokemon Perfect Order,Lumiose Galette #78,$0.04
12368548,Pokemon Perfect Order,Lumiose Galette [Reverse Holo] #78,$0.10
12368666,Pokemon Perfect Order,Luxio #27,$0.27
12368574,Pokemon Perfect Order,Luxio [Reverse Holo] #27,$0.34
12368664,Pokemon Perfect Order,Luxray #28,$0.77
12368575,Pokemon Perfect Order,Luxray [Reverse Holo] #28,$0.76
12396175,Pokemon Perfect Order,Luxray [Stamped] #28,
12368582,Pokemon Perfect Order,Mawile #32,$0.40
12368625,Pokemon Perfect Order,Mawile [Reverse Holo] #32,
12368541,Pokemon Perfect Order,Mega Clefable ex #103,$10.46
12368543,Pokemon Perfect Order,Mega Clefable ex #119,$75.04
12368540,Pokemon Perfect Order,Mega Clefable ex #31,$2.29
12368505,Pokemon Perfect Order,Mega Skarmory ex #106,$7.00
12368504,Pokemon Perfect Order,Mega Skarmory ex #55,$2.24
12368514,Pokemon Perfect Order,Mega Starmie ex #102,$17.58
12368515,Pokemon Perfect Order,Mega Starmie ex #118,$90.73
12368513,Pokemon Perfect Order,Mega Starmie ex #21,$2.90
12368489,Pokemon Perfect Order,Mega Zygarde ex #104,$19.20
12368490,Pokemon Perfect Order,Mega Zygarde ex #120,$138.31
12368491,Pokemon Perfect Order,Mega Zygarde ex #124,$193.51
12368488,Pokemon Perfect Order,Mega Zygarde ex #47,$3.67
12368585,Pokemon Perfect Order,Meowstic #34,$0.33
12368627,Pokemon Perfect Order,Meowstic [Reverse Holo] #34,$1.43
12368493,Pokemon Perfect Order,Meowth ex #107,$27.50
12368494,Pokemon Perfect Order,Meowth ex #121,$148.40
12368492,Pokemon Perfect Order,Meowth ex #62,$8.04
12368500,Pokemon Perfect Order,Naveen #112,$5.85
12368499,Pokemon Perfect Order,Naveen #79,$0.36
12368648,Pokemon Perfect Order,Naveen [Reverse Holo] #79,
12368689,Pokemon Perfect Order,Nosepass #37,$0.07
12368588,Pokemon Perfect Order,Nosepass [Reverse Holo] #37,$0.56
12368683,Pokemon Perfect Order,Poke Ball #80,$0.07
12368473,Pokemon Perfect Order,Poke Ball [Reverse Holo] #80,$0.24
12368485,Pokemon Perfect Order,Poke Pad #113,$24.69
12368681,Pokemon Perfect Order,Poke Pad #81,$2.78
12368484,Pokemon Perfect Order,Poke Pad [Reverse Holo] #81,$1.72
12368682,Pokemon Perfect Order,Pokemon Catcher #82,$0.13
12368476,Pokemon Perfect Order,Pokemon Catcher [Reverse Holo] #82,$0.30
12368472,Pokemon Perfect Order,Potion #83,$0.09
12368649,Pokemon Perfect Order,Potion [Reverse Holo] #83,
12368463,Pokemon Perfect Order,Premium Checklane Blister: Cinderace,$14.70
12368465,Pokemon Perfect Order,Premium Checklane Blister: Clawitzer,$14.49
12368462,Pokemon Perfect Order,Premium Checklane Blister: Meganium,$13.62
12368464,Pokemon Perfect Order,Premium Checklane Blister: Steelix,$14.00
12368668,Pokemon Perfect Order,Probopass #38,$0.25
12368590,Pokemon Perfect Order,Probopass #96,$2.35
12368589,Pokemon Perfect Order,Probopass [Reverse Holo] #38,$0.05
12368606,Pokemon Perfect Order,Raticate #61,$0.57
12368607,Pokemon Perfect Order,Raticate #99,$7.13
12368635,Pokemon Perfect Order,Raticate [Reverse Holo] #61,
12368676,Pokemon Perfect Order,Rattata #60,$1.99
12368605,Pokemon Perfect Order,Rattata [Reverse Holo] #60,$0.20
12368685,Pokemon Perfect Order,Rocky Fighting Energy #87,$0.25
12368503,Pokemon Perfect Order,Rocky Fighting Energy [Reverse Holo] #87,$1.59
12368551,Pokemon Perfect Order,Rosa's Encouragement #114,$17.12
12317666,Pokemon Perfect Order,Rosa's Encouragement #123,$102.09
12368549,Pokemon Perfect Order,Rosa's Encouragement #84,$1.00
12368650,Pokemon Perfect Order,Rosa's Encouragement [Reverse Holo] #84,$1.99
12368655,Pokemon Perfect Order,Rowlet #10,
12368523,Pokemon Perfect Order,Rowlet #90,$10.00
12368522,Pokemon Perfect Order,Rowlet [Reverse Holo] #10,$0.29
12368478,Pokemon Perfect Order,Sacred Ash #115,$4.05
12368658,Pokemon Perfect Order,Salandit #15,$0.06
12368539,Pokemon Perfect Order,Salandit [Reverse Holo] #15,$0.19
12368534,Pokemon Perfect Order,Salazzle ex #101,$3.39
12368533,Pokemon Perfect Order,Salazzle ex #16,$1.83
12368517,Pokemon Perfect Order,Scatterbug #7,$0.15
12368620,Pokemon Perfect Order,Scatterbug [Reverse Holo] #7,
12368660,Pokemon Perfect Order,Seel #18,$0.05
12368528,Pokemon Perfect Order,Seel [Reverse Holo] #18,$0.76
12368565,Pokemon Perfect Order,Serperior #6,$0.47
12385625,Pokemon Perfect Order,Serperior [Reverse Holo] #6,$1.25
12368564,Pokemon Perfect Order,Servine #5,$0.32
12368619,Pokemon Perfect Order,Servine [Reverse Holo] #5,
12368561,Pokemon Perfect Order,Shaymin #3,$0.25
12368618,Pokemon Perfect Order,Shaymin [Reverse Holo] #3,$1.60
12368573,Pokemon Perfect Order,Shinx #26,$0.28
12368688,Pokemon Perfect Order,Shinx [Reverse Holo] #26,$3.75
12368466,Pokemon Perfect Order,Single Pack Blister: Makuhita,$14.41
12368600,Pokemon Perfect Order,Skorupi #51,$0.06
12368631,Pokemon Perfect Order,Skorupi [Reverse Holo] #51,$1.37
12368468,Pokemon Perfect Order,Sleeved Booster Pack,$9.86
12368652,Pokemon Perfect Order,Snivy #4,$0.06
12368562,Pokemon Perfect Order,Snivy [Reverse Holo] #4,$0.42
12368608,Pokemon Perfect Order,Snorlax #63,$1.04
12368636,Pokemon Perfect Order,Snorlax [Reverse Holo] #63,$2.21
12368653,Pokemon Perfect Order,Spewpa #8,$0.10
12368519,Pokemon Perfect Order,Spewpa #89,$5.47
12368518,Pokemon Perfect Order,Spewpa [Reverse Holo] #8,$0.29
12368558,Pokemon Perfect Order,Spinarak #1,$0.20
12368617,Pokemon Perfect Order,Spinarak [Reverse Holo] #1,$1.37
12368665,Pokemon Perfect Order,Spritzee #35,$0.16
12368586,Pokemon Perfect Order,Spritzee [Reverse Holo] #35,$0.35
12368661,Pokemon Perfect Order,Staryu #20,$0.71
12368531,Pokemon Perfect Order,Staryu [Reverse Holo] #20,$0.27
12368657,Pokemon Perfect Order,Talonflame #14,$0.44
12368570,Pokemon Perfect Order,Talonflame #91,$5.37
12368569,Pokemon Perfect Order,Talonflame [Reverse Holo] #14,$1.00
12368497,Pokemon Perfect Order,Tarragon #116,$7.11
12368687,Pokemon Perfect Order,Tarragon #85,$0.05
12368496,Pokemon Perfect Order,Tarragon [Reverse Holo] #85,$1.19
12368686,Pokemon Perfect Order,Telepathic Psychic Energy #88,$1.71
12368557,Pokemon Perfect Order,Telepathic Psychic Energy [Reverse Holo] #88,$3.29
12368659,Pokemon Perfect Order,Turtonator #17,$0.22
12368571,Pokemon Perfect Order,Turtonator [Reverse Holo] #17,$0.76
12368512,Pokemon Perfect Order,Tyrantrum #45,$0.93
12385647,Pokemon Perfect Order,Tyrantrum [Reverse Holo] #45,$0.35
12368672,Pokemon Perfect Order,Tyrunt #44,$0.27
12368511,Pokemon Perfect Order,Tyrunt [Reverse Holo] #44,$0.45
12368654,Pokemon Perfect Order,Vivillon #9,$0.10
12368521,Pokemon Perfect Order,Vivillon [Reverse Holo] #9,$0.28
12368572,Pokemon Perfect Order,Volcanion #25,$0.27
12368622,Pokemon Perfect Order,Volcanion [Reverse Holo] #25,$0.13
12368483,Pokemon Perfect Order,Wondrous Patch #117,$6.69
12368545,Pokemon Perfect Order,Yveltal ex #105,$8.99
12368544,Pokemon Perfect Order,Yveltal ex #53,$2.66
