id,console-name,product-name,loose-price
11069124,Pokemon Phantasmal Flames,3 Pack Blister: Sneasel,$23.38
11069126,Pokemon Phantasmal Flames,3 Pack Blister: Weavile,$24.01
11068985,Pokemon Phantasmal Flames,Absol #63,$0.10
11069090,Pokemon Phantasmal Flames,Absol [Reverse Holo] #63,$0.63
11069011,Pokemon Phantasmal Flames,Aipom #78,$0.08
11069104,Pokemon Phantasmal Flames,Aipom [Reverse Holo] #78,$0.26
11068948,Pokemon Phantasmal Flames,Alcremie #44,$0.10
11069073,Pokemon Phantasmal Flames,Alcremie [Reverse Holo] #44,$0.49
11068964,Pokemon Phantasmal Flames,Ambipom #107,$3.63
11069013,Pokemon Phantasmal Flames,Ambipom #79,$0.06
11069105,Pokemon Phantasmal Flames,Ambipom [Reverse Holo] #79,$0.20
11069005,Pokemon Phantasmal Flames,Archaludon #75,$0.20
11069101,Pokemon Phantasmal Flames,Archaludon [Reverse Holo] #75,$0.15
11068979,Pokemon Phantasmal Flames,Battle Cage #116,$2.88
11069031,Pokemon Phantasmal Flames,Battle Cage #85,$0.35
11069110,Pokemon Phantasmal Flames,Battle Cage [Reverse Holo] #85,$0.70
11068981,Pokemon Phantasmal Flames,Blowtorch #117,$1.59
11069033,Pokemon Phantasmal Flames,Blowtorch #86,$0.08
11069111,Pokemon Phantasmal Flames,Blowtorch [Reverse Holo] #86,$0.18
11068935,Pokemon Phantasmal Flames,Boltund #31,$0.07
11069062,Pokemon Phantasmal Flames,Boltund [Reverse Holo] #31,$0.66
11069121,Pokemon Phantasmal Flames,Booster Box,$273.08
11069123,Pokemon Phantasmal Flames,Booster Bundle,$47.29
11069120,Pokemon Phantasmal Flames,Booster Pack,$7.93
11068951,Pokemon Phantasmal Flames,Brambleghast #47,$0.20
11069076,Pokemon Phantasmal Flames,Brambleghast [Reverse Holo] #47,$0.11
11068950,Pokemon Phantasmal Flames,Bramblin #46,$0.07
11069075,Pokemon Phantasmal Flames,Bramblin [Reverse Holo] #46,$0.09
11069000,Pokemon Phantasmal Flames,Bronzong #72,$0.08
11069098,Pokemon Phantasmal Flames,Bronzong [Reverse Holo] #72,$0.40
11068998,Pokemon Phantasmal Flames,Bronzor #71,$0.16
11069097,Pokemon Phantasmal Flames,Bronzor [Reverse Holo] #71,$0.42
11069130,Pokemon Phantasmal Flames,Build & Battle Box,$49.99
11069025,Pokemon Phantasmal Flames,Buneary #83,$0.25
11069109,Pokemon Phantasmal Flames,Buneary [Reverse Holo] #83,$0.40
11068980,Pokemon Phantasmal Flames,Carvanha #60,$0.13
11069088,Pokemon Phantasmal Flames,Carvanha [Reverse Holo] #60,$0.65
11068924,Pokemon Phantasmal Flames,Ceruledge #20,$0.23
11069039,Pokemon Phantasmal Flames,Ceruledge [Reverse Holo] #20,$0.79
11068923,Pokemon Phantasmal Flames,Charcadet #19,$0.13
11069038,Pokemon Phantasmal Flames,Charcadet [Reverse Holo] #19,$0.87
11068915,Pokemon Phantasmal Flames,Charmander #11,$0.53
11069027,Pokemon Phantasmal Flames,Charmander [Reverse Holo] #11,$0.99
11068916,Pokemon Phantasmal Flames,Charmeleon #12,$0.47
11069028,Pokemon Phantasmal Flames,Charmeleon [Reverse Holo] #12,$0.98
11068943,Pokemon Phantasmal Flames,Cresselia #39,$0.10
11069069,Pokemon Phantasmal Flames,Cresselia [Reverse Holo] #39,$0.77
11068920,Pokemon Phantasmal Flames,Darmanitan #16,$0.15
11069034,Pokemon Phantasmal Flames,Darmanitan [Reverse Holo] #16,$0.20
11068919,Pokemon Phantasmal Flames,Darumaka #15,$0.09
11069032,Pokemon Phantasmal Flames,Darumaka [Reverse Holo] #15,$0.26
11068983,Pokemon Phantasmal Flames,Dawn #118,$7.29
11069010,Pokemon Phantasmal Flames,Dawn #129,$32.00
11069035,Pokemon Phantasmal Flames,Dawn #87,$0.70
11069112,Pokemon Phantasmal Flames,Dawn [Reverse Holo] #87,$1.01
11068926,Pokemon Phantasmal Flames,Dewgong #22,$0.24
11069055,Pokemon Phantasmal Flames,Dewgong #97,$6.12
11069043,Pokemon Phantasmal Flames,Dewgong [Reverse Holo] #22,$0.40
11069037,Pokemon Phantasmal Flames,Dizzying Valley #88,$0.05
11069113,Pokemon Phantasmal Flames,Dizzying Valley [Reverse Holo] #88,$0.18
11069004,Pokemon Phantasmal Flames,Duraludon #74,$0.13
11069100,Pokemon Phantasmal Flames,Duraludon [Reverse Holo] #74,$0.62
11069122,Pokemon Phantasmal Flames,Elite Trainer Box,$83.77
11069127,Pokemon Phantasmal Flames,Elite Trainer Box [Pokemon Center],$181.56
11068976,Pokemon Phantasmal Flames,Empoleon ex #114,$3.44
11068995,Pokemon Phantasmal Flames,Empoleon ex #70,$1.33
11068994,Pokemon Phantasmal Flames,Eternatus #69,$0.18
11069096,Pokemon Phantasmal Flames,Eternatus [Reverse Holo] #69,$1.11
