id,console-name,product-name,loose-price
6942613,Pokemon Phantom Forces,3-Pack Blister,$912.73
958310,Pokemon Phantom Forces,AZ #117,$17.06
958284,Pokemon Phantom Forces,AZ #91,$0.30
958398,Pokemon Phantom Forces,AZ [Reverse Holo] #91,$1.59
958258,Pokemon Phantom Forces,Aegislash EX #65,$3.10
2390422,Pokemon Phantom Forces,Aegislash EX #65a,$15.68
958215,Pokemon Phantom Forces,Alomomola #22,$0.42
958337,Pokemon Phantom Forces,Alomomola [Reverse Holo] #22,$0.69
958285,Pokemon Phantom Forces,Battle Compressor #92,$2.73
958399,Pokemon Phantom Forces,Battle Compressor [Reverse Holo] #92,$7.79
958274,Pokemon Phantom Forces,Blissey #81,$1.55
10367206,Pokemon Phantom Forces,Blissey [Cosmos Holo] #81,$1.24
958388,Pokemon Phantom Forces,Blissey [Reverse Holo] #81,$1.14
7667685,Pokemon Phantom Forces,Blister Pack,$155.09
958242,Pokemon Phantom Forces,Boldore #49,$0.35
958360,Pokemon Phantom Forces,Boldore [Reverse Holo] #49,$0.46
2244985,Pokemon Phantom Forces,Booster Box,$11471.85
2244986,Pokemon Phantom Forces,Booster Pack,$189.44
958254,Pokemon Phantom Forces,Bronzong #61,$2.79
958371,Pokemon Phantom Forces,Bronzong [Reverse Holo] #61,$3.10
958253,Pokemon Phantom Forces,Bronzor #60,$0.32
958370,Pokemon Phantom Forces,Bronzor [Reverse Holo] #60,$1.28
958280,Pokemon Phantom Forces,Bunnelby #87,$0.15
958394,Pokemon Phantom Forces,Bunnelby [Reverse Holo] #87,$0.81
958236,Pokemon Phantom Forces,Chandelure #43,$2.50
958354,Pokemon Phantom Forces,Chandelure [Reverse Holo] #43,$1.89
958273,Pokemon Phantom Forces,Chansey #80,$0.77
958387,Pokemon Phantom Forces,Chansey [Reverse Holo] #80,$1.00
958226,Pokemon Phantom Forces,Crobat #33,$0.73
11027617,Pokemon Phantom Forces,Crobat [Cosmos Holo] #33,$7.93
958346,Pokemon Phantom Forces,Crobat [Reverse Holo] #33,$1.99
958209,Pokemon Phantom Forces,Croconaw #16,$0.50
958331,Pokemon Phantom Forces,Croconaw [Reverse Holo] #16,$1.89
958263,Pokemon Phantom Forces,Dedenne #70,$0.94
958377,Pokemon Phantom Forces,Dedenne [Reverse Holo] #70,$1.29
958265,Pokemon Phantom Forces,Deino #72,$0.23
958379,Pokemon Phantom Forces,Deino [Reverse Holo] #72,$1.02
958315,Pokemon Phantom Forces,Dialga EX #122,$366.30
958255,Pokemon Phantom Forces,Dialga EX #62,$7.87
