id,console-name,product-name,loose-price
959827,Pokemon Pikachu Libre & Suicune,Blitzle #12,$0.52
959850,Pokemon Pikachu Libre & Suicune,Blitzle #26,$0.18
959846,Pokemon Pikachu Libre & Suicune,Ducklett #24,$0.38
959823,Pokemon Pikachu Libre & Suicune,Ducklett #7,$0.27
959820,Pokemon Pikachu Libre & Suicune,Eevee #4,$2.18
959833,Pokemon Pikachu Libre & Suicune,Electabuzz #15,$0.60
959844,Pokemon Pikachu Libre & Suicune,Electabuzz #23,$0.99
959848,Pokemon Pikachu Libre & Suicune,Electivire #25,$0.74
959821,Pokemon Pikachu Libre & Suicune,Electivire #4,$0.17
959825,Pokemon Pikachu Libre & Suicune,Electrike #11,$0.39
959854,Pokemon Pikachu Libre & Suicune,Electrike #28,$0.24
959835,Pokemon Pikachu Libre & Suicune,Fletchling #16,$0.30
959826,Pokemon Pikachu Libre & Suicune,Froakie #11,$0.93
959845,Pokemon Pikachu Libre & Suicune,Froakie #23,$0.68
959841,Pokemon Pikachu Libre & Suicune,Frogadier #21,$0.28
959822,Pokemon Pikachu Libre & Suicune,Frogadier #6,$0.66
959819,Pokemon Pikachu Libre & Suicune,Glameow #1,$0.99
959852,Pokemon Pikachu Libre & Suicune,Glameow #27,$0.50
959829,Pokemon Pikachu Libre & Suicune,Goldeen #13,$0.15
959851,Pokemon Pikachu Libre & Suicune,Goldeen #26,$0.61
6735454,Pokemon Pikachu Libre & Suicune,Lightning Energy #3,$0.50
8650696,Pokemon Pikachu Libre & Suicune,Lightning Energy #8,
959830,Pokemon Pikachu Libre & Suicune,Manectric #13,$0.38
959843,Pokemon Pikachu Libre & Suicune,Manectric #22,$0.30
959831,Pokemon Pikachu Libre & Suicune,Pikachu Libre #14,$7.88
959855,Pokemon Pikachu Libre & Suicune,Pikachu Libre #30,$19.99
959836,Pokemon Pikachu Libre & Suicune,Piplup #16,$1.21
959834,Pokemon Pikachu Libre & Suicune,Potion #15,$0.15
959842,Pokemon Pikachu Libre & Suicune,Potion #21,$0.33
959838,Pokemon Pikachu Libre & Suicune,Purugly #19,$0.28
959847,Pokemon Pikachu Libre & Suicune,Purugly #24,$0.27
959828,Pokemon Pikachu Libre & Suicune,Seaking #12,$0.29
959849,Pokemon Pikachu Libre & Suicune,Seaking #25,$0.26
959832,Pokemon Pikachu Libre & Suicune,Suicune #14,$0.59
959856,Pokemon Pikachu Libre & Suicune,Suicune #30,$1.18
959837,Pokemon Pikachu Libre & Suicune,Swanna #18,$0.50
959853,Pokemon Pikachu Libre & Suicune,Swanna #27,$0.23
959824,Pokemon Pikachu Libre & Suicune,Taillow #7,$0.20
959839,Pokemon Pikachu Libre & Suicune,Tierno #20,$0.03
959857,Pokemon Pikachu Libre & Suicune,Tierno #29,$0.62
6076507,Pokemon Pikachu Libre & Suicune,Water Energy #19,$0.99
