id,console-name,product-name,loose-price
13644011,Pokemon Pitch Black,3-Pack Blister,$24.65
13644064,Pokemon Pitch Black,Annihilape #41,$0.21
13644989,Pokemon Pitch Black,Annihilape [Reverse Holo] #41,$1.65
13644094,Pokemon Pitch Black,Antique Armor Fossil #72,$1.05
13712358,Pokemon Pitch Black,Antique Armor Fossil [Reverse Holo] #72,$0.20
13644095,Pokemon Pitch Black,Antique Skull Fossil #73,$0.56
13685844,Pokemon Pitch Black,Antique Skull Fossil [Reverse Holo] #73,$0.50
13644038,Pokemon Pitch Black,Armarouge #12,$0.49
13644109,Pokemon Pitch Black,Armarouge #86,$7.72
13644964,Pokemon Pitch Black,Armarouge [Reverse Holo] #12,$1.68
13644097,Pokemon Pitch Black,Backtrack Badge #74,$0.30
13645016,Pokemon Pitch Black,Backtrack Badge [Reverse Holo] #74,$1.99
13644059,Pokemon Pitch Black,Banette #34,$1.73
13644983,Pokemon Pitch Black,Banette [Reverse Holo] #34,$2.17
13644085,Pokemon Pitch Black,Bastiodon #62,$1.09
13644134,Pokemon Pitch Black,Bastiodon #93,$5.35
13645007,Pokemon Pitch Black,Bastiodon [Reverse Holo] #62,$1.49
13644117,Pokemon Pitch Black,Bombirdier #71,$0.16
13645015,Pokemon Pitch Black,Bombirdier [Reverse Holo] #71,$1.45
13644012,Pokemon Pitch Black,Booster Box,$214.48
13644013,Pokemon Pitch Black,Booster Bundle,$43.15
13644015,Pokemon Pitch Black,Booster Pack,$7.24
13644125,Pokemon Pitch Black,Brave Bangle #104,$4.97
13644045,Pokemon Pitch Black,Brionne #19,$0.38
13644970,Pokemon Pitch Black,Brionne [Reverse Holo] #19,$1.50
13644088,Pokemon Pitch Black,Bronzong #64,$0.06
13645009,Pokemon Pitch Black,Bronzong [Reverse Holo] #64,$1.59
13644086,Pokemon Pitch Black,Bronzor #63,$0.23
13645008,Pokemon Pitch Black,Bronzor [Reverse Holo] #63,$1.63
13644017,Pokemon Pitch Black,Build & Battle Box,$48.22
13644036,Pokemon Pitch Black,Centiskorch #10,$0.07
13644962,Pokemon Pitch Black,Centiskorch [Reverse Holo] #10,$2.19
13644037,Pokemon Pitch Black,Charcadet #11,$0.14
13644963,Pokemon Pitch Black,Charcadet [Reverse Holo] #11,$1.59
13644051,Pokemon Pitch Black,Charjabug #25,$0.15
13644976,Pokemon Pitch Black,Charjabug [Reverse Holo] #25,$1.07
13644080,Pokemon Pitch Black,Chi-Yu #59,$0.47
13645004,Pokemon Pitch Black,Chi-Yu [Reverse Holo] #59,$1.59
13644066,Pokemon Pitch Black,Cranidos #44,$0.54
13644992,Pokemon Pitch Black,Cranidos [Reverse Holo] #44,$1.59
13644126,Pokemon Pitch Black,Crushing Hammer #105,$5.72
13644127,Pokemon Pitch Black,Dark Bell #106,$3.60
13644096,Pokemon Pitch Black,Dark Bell #75,$0.57
13645017,Pokemon Pitch Black,Dark Bell [Reverse Holo] #75,$1.99
13644084,Pokemon Pitch Black,Dhelmise #39,$1.27
13644114,Pokemon Pitch Black,Dhelmise #91,$9.27
13644987,Pokemon Pitch Black,Dhelmise [Reverse Holo] #39,$1.74
13644068,Pokemon Pitch Black,Drilbur #46,$1.05
13644993,Pokemon Pitch Black,Drilbur [Reverse Holo] #46,$1.95
13644049,Pokemon Pitch Black,Electrike #23,$0.20
