id,console-name,product-name,loose-price
957328,Pokemon Plasma Blast,Abomasnow #26,$0.38
957432,Pokemon Plasma Blast,Abomasnow [Reverse Holo] #26,$0.60
957310,Pokemon Plasma Blast,Accelgor #8,$0.75
957416,Pokemon Plasma Blast,Accelgor [Reverse Holo] #8,$1.47
957361,Pokemon Plasma Blast,Aggron #59,$1.22
957463,Pokemon Plasma Blast,Aggron [Reverse Holo] #59,$2.37
957355,Pokemon Plasma Blast,Archen #53,$0.75
957457,Pokemon Plasma Blast,Archen [Reverse Holo] #53,$1.53
957356,Pokemon Plasma Blast,Archeops #54,$2.04
957458,Pokemon Plasma Blast,Archeops [Reverse Holo] #54,$2.02
957359,Pokemon Plasma Blast,Aron #57,$0.50
957461,Pokemon Plasma Blast,Aron [Reverse Holo] #57,$0.84
957369,Pokemon Plasma Blast,Axew #67,$0.34
957468,Pokemon Plasma Blast,Axew [Reverse Holo] #67,$1.58
957340,Pokemon Plasma Blast,Azelf #38,$0.96
957443,Pokemon Plasma Blast,Azelf [Reverse Holo] #38,$2.72
957364,Pokemon Plasma Blast,Bagon #62,$0.43
957465,Pokemon Plasma Blast,Bagon [Reverse Holo] #62,$1.34
957318,Pokemon Plasma Blast,Blastoise #16,$7.25
7470053,Pokemon Plasma Blast,Blastoise [Cosmos Holo] #16,$4.99
957422,Pokemon Plasma Blast,Blastoise [Reverse Holo] #16,$10.00
2244997,Pokemon Plasma Blast,Booster Box,$4212.65
2244998,Pokemon Plasma Blast,Booster Pack,$120.68
957380,Pokemon Plasma Blast,Caitlin #78,$0.75
957479,Pokemon Plasma Blast,Caitlin [Reverse Holo] #78,$0.72
957330,Pokemon Plasma Blast,Carracosta #28,$1.43
957434,Pokemon Plasma Blast,Carracosta [Reverse Holo] #28,$1.98
957379,Pokemon Plasma Blast,Chatot #77,$0.38
957478,Pokemon Plasma Blast,Chatot [Reverse Holo] #77,$1.72
957381,Pokemon Plasma Blast,Cover Fossil #79,$0.47
957480,Pokemon Plasma Blast,Cover Fossil [Reverse Holo] #79,$0.48
957306,Pokemon Plasma Blast,Cradily #4,$1.60
957411,Pokemon Plasma Blast,Cradily [Reverse Holo] #4,$4.86
957367,Pokemon Plasma Blast,Dialga EX #65,$16.75
957401,Pokemon Plasma Blast,Dialga EX #99,$182.63
957337,Pokemon Plasma Blast,Drifblim #35,$0.50
957440,Pokemon Plasma Blast,Drifblim [Reverse Holo] #35,$0.97
957336,Pokemon Plasma Blast,Drifloon #34,$0.32
957439,Pokemon Plasma Blast,Drifloon [Reverse Holo] #34,$1.35
957372,Pokemon Plasma Blast,Druddigon #70,$0.35
957471,Pokemon Plasma Blast,Druddigon [Reverse Holo] #70,$1.29
957331,Pokemon Plasma Blast,Ducklett #29,$0.25
957435,Pokemon Plasma Blast,Ducklett [Reverse Holo] #29,$0.69
957345,Pokemon Plasma Blast,Duosion #43,$0.49
957448,Pokemon Plasma Blast,Duosion [Reverse Holo] #43,$0.59
957406,Pokemon Plasma Blast,Dusknoir #104,$72.50
957334,Pokemon Plasma Blast,Eelektrik #32,$0.29
957437,Pokemon Plasma Blast,Eelektrik [Reverse Holo] #32,$0.58
957335,Pokemon Plasma Blast,Eelektross #33,$1.42
957438,Pokemon Plasma Blast,Eelektross [Reverse Holo] #33,$1.96
6345650,Pokemon Plasma Blast,Elite Trainer Box,$6068.77
957382,Pokemon Plasma Blast,Energy Retrieval #80,$0.47
957481,Pokemon Plasma Blast,Energy Retrieval [Reverse Holo] #80,$0.69
957363,Pokemon Plasma Blast,Escavalier #61,$0.77
957464,Pokemon Plasma Blast,Escavalier [Reverse Holo] #61,$1.70
957404,Pokemon Plasma Blast,Exeggcute #102,$67.52
957370,Pokemon Plasma Blast,Fraxure #68,$0.86
957469,Pokemon Plasma Blast,Fraxure [Reverse Holo] #68,$1.07
957325,Pokemon Plasma Blast,Froslass #23,$1.23
957429,Pokemon Plasma Blast,Froslass [Reverse Holo] #23,$2.00
957394,Pokemon Plasma Blast,G Booster #92,$4.58
957395,Pokemon Plasma Blast,G Scope #93,$2.40
957312,Pokemon Plasma Blast,Genesect #10,$1.73
957313,Pokemon Plasma Blast,Genesect EX #11,$8.00
957399,Pokemon Plasma Blast,Genesect EX #97,$86.25
9544061,Pokemon Plasma Blast,Genesect [Cracked Ice] #10,$2.08
957417,Pokemon Plasma Blast,Genesect [Reverse Holo] #10,$1.05
957324,Pokemon Plasma Blast,Glalie #22,$0.38
957428,Pokemon Plasma Blast,Glalie [Reverse Holo] #22,$1.30
957347,Pokemon Plasma Blast,Golett #45,$0.27
957450,Pokemon Plasma Blast,Golett [Reverse Holo] #45,$0.34
957348,Pokemon Plasma Blast,Golurk #46,$0.99
957451,Pokemon Plasma Blast,Golurk [Reverse Holo] #46,$0.96
957371,Pokemon Plasma Blast,Haxorus #69,$2.42
8693385,Pokemon Plasma Blast,Haxorus [Cosmos Holo] #69,$3.47
957470,Pokemon Plasma Blast,Haxorus [Reverse Holo] #69,$2.95
957358,Pokemon Plasma Blast,Houndoom #56,$5.64
