id,console-name,product-name,loose-price
11998116,Pokemon Plasma Freeze,Absol #67,$6.99
957121,Pokemon Plasma Freeze,Absol [Holo] #67,$9.47
957277,Pokemon Plasma Freeze,Absol [Reverse Holo] #67,$13.09
957058,Pokemon Plasma Freeze,Beedrill #3,$1.22
957179,Pokemon Plasma Freeze,Beedrill [Reverse Holo] #3,$2.64
957276,Pokemon Plasma Freeze,Beldum #50,$0.32
957224,Pokemon Plasma Freeze,Beldum [Reverse Holo] #50,$1.04
957127,Pokemon Plasma Freeze,Bisharp #73,$1.50
957128,Pokemon Plasma Freeze,Bisharp #74,$1.72
957245,Pokemon Plasma Freeze,Bisharp [Reverse Holo] #73,$3.24
957246,Pokemon Plasma Freeze,Bisharp [Reverse Holo] #74,$2.87
2244999,Pokemon Plasma Freeze,Booster Box,$4800.00
2245000,Pokemon Plasma Freeze,Booster Pack,$166.50
957064,Pokemon Plasma Freeze,Cacnea #9,$0.28
957185,Pokemon Plasma Freeze,Cacnea [Reverse Holo] #9,$0.60
957065,Pokemon Plasma Freeze,Cacturne #10,$0.45
957186,Pokemon Plasma Freeze,Cacturne [Reverse Holo] #10,$3.67
957071,Pokemon Plasma Freeze,Chandelure #16,$4.06
957191,Pokemon Plasma Freeze,Chandelure [Reverse Holo] #16,$6.00
957090,Pokemon Plasma Freeze,Chinchou #35,$0.24
957210,Pokemon Plasma Freeze,Chinchou [Reverse Holo] #35,$0.94
957110,Pokemon Plasma Freeze,Cofagrigus #56,$3.35
957111,Pokemon Plasma Freeze,Cofagrigus #57,$1.69
957229,Pokemon Plasma Freeze,Cofagrigus [Reverse Holo] #56,$4.36
957230,Pokemon Plasma Freeze,Cofagrigus [Reverse Holo] #57,$5.07
957085,Pokemon Plasma Freeze,Cryogonal #30,$1.12
957205,Pokemon Plasma Freeze,Cryogonal [Reverse Holo] #30,$2.06
957129,Pokemon Plasma Freeze,Deino #75,$0.35
957130,Pokemon Plasma Freeze,Deino #76,$0.50
957247,Pokemon Plasma Freeze,Deino [Reverse Holo] #75,$1.15
957248,Pokemon Plasma Freeze,Deino [Reverse Holo] #76,$0.91
957165,Pokemon Plasma Freeze,Deoxys EX #111,$266.12
957107,Pokemon Plasma Freeze,Deoxys EX #53,$21.96
8011757,Pokemon Plasma Freeze,Deoxys EX [Jumbo] #53,$10.02
957136,Pokemon Plasma Freeze,Dragonair #82,$2.49
957254,Pokemon Plasma Freeze,Dragonair [Reverse Holo] #82,$7.19
957137,Pokemon Plasma Freeze,Dragonite #83,$11.51
957255,Pokemon Plasma Freeze,Dragonite [Reverse Holo] #83,$13.45
957135,Pokemon Plasma Freeze,Dratini #81,$1.00
957253,Pokemon Plasma Freeze,Dratini [Reverse Holo] #81,$4.17
957143,Pokemon Plasma Freeze,Eevee #89,$1.44
957144,Pokemon Plasma Freeze,Eevee #90,$1.48
957259,Pokemon Plasma Freeze,Eevee [Reverse Holo] #89,$9.51
957260,Pokemon Plasma Freeze,Eevee [Reverse Holo] #90,$7.59
957088,Pokemon Plasma Freeze,Electrode #33,$2.98
957208,Pokemon Plasma Freeze,Electrode [Reverse Holo] #33,$3.80
957171,Pokemon Plasma Freeze,Empoleon #117,$145.75
957103,Pokemon Plasma Freeze,Espeon #48,$3.55
957222,Pokemon Plasma Freeze,Espeon [Reverse Holo] #48,$29.99
