id,console-name,product-name,loose-price
7027422,Pokemon Plasma Storm,2-Pack Blister,$323.75
956811,Pokemon Plasma Storm,Amoonguss #13,$1.15
956948,Pokemon Plasma Storm,Amoonguss [Reverse Holo] #13,$2.29
956929,Pokemon Plasma Storm,Articuno EX #132,$183.18
956823,Pokemon Plasma Storm,Articuno EX #25,$10.00
956839,Pokemon Plasma Storm,Beartic #41,$0.98
956973,Pokemon Plasma Storm,Beartic [Reverse Holo] #41,$3.50
956868,Pokemon Plasma Storm,Beheeyem #70,$1.23
957001,Pokemon Plasma Storm,Beheeyem [Reverse Holo] #70,$2.77
956914,Pokemon Plasma Storm,Bicycle #117,$4.99
957044,Pokemon Plasma Storm,Bicycle [Reverse Holo] #117,$5.03
956892,Pokemon Plasma Storm,Black Kyurem EX #95,$4.79
956934,Pokemon Plasma Storm,Blastoise #137,$181.17
2245001,Pokemon Plasma Storm,Booster Box,$5808.71
2245002,Pokemon Plasma Storm,Booster Pack,$249.58
956911,Pokemon Plasma Storm,Bouffalant #114,$1.41
957041,Pokemon Plasma Storm,Bouffalant [Reverse Holo] #114,$2.26
956913,Pokemon Plasma Storm,Braviary #116,$0.77
957043,Pokemon Plasma Storm,Braviary [Reverse Holo] #116,$1.11
956830,Pokemon Plasma Storm,Carvanha #32,$0.23
956964,Pokemon Plasma Storm,Carvanha [Reverse Holo] #32,$1.12
956933,Pokemon Plasma Storm,Charizard #136,$499.00
956805,Pokemon Plasma Storm,Cherrim #7,$1.73
956942,Pokemon Plasma Storm,Cherrim [Reverse Holo] #7,$2.53
956804,Pokemon Plasma Storm,Cherubi #6,$0.30
956941,Pokemon Plasma Storm,Cherubi [Reverse Holo] #6,$0.79
956813,Pokemon Plasma Storm,Chimchar #15,$0.25
956949,Pokemon Plasma Storm,Chimchar [Reverse Holo] #15,$2.55
956895,Pokemon Plasma Storm,Clefable #98,$2.24
957026,Pokemon Plasma Storm,Clefable [Reverse Holo] #98,$2.94
956894,Pokemon Plasma Storm,Clefairy #97,$0.35
957025,Pokemon Plasma Storm,Clefairy [Reverse Holo] #97,$0.99
956930,Pokemon Plasma Storm,Cobalion EX #133,$30.00
956890,Pokemon Plasma Storm,Cobalion EX #93,$6.86
956915,Pokemon Plasma Storm,Colress #118,$2.46
956932,Pokemon Plasma Storm,Colress #135,$55.94
956916,Pokemon Plasma Storm,Colress Machine #119,$0.33
957046,Pokemon Plasma Storm,Colress Machine [Reverse Holo] #119,$2.60
6573160,Pokemon Plasma Storm,Colress [League Promo] #118,$13.00
957045,Pokemon Plasma Storm,Colress [Reverse Holo] #118,$8.54
956802,Pokemon Plasma Storm,Combee #4,$0.30
956939,Pokemon Plasma Storm,Combee [Reverse Holo] #4,$0.95
956878,Pokemon Plasma Storm,Conkeldurr #81,$1.63
957012,Pokemon Plasma Storm,Conkeldurr [Reverse Holo] #81,$2.25
956853,Pokemon Plasma Storm,Crobat #55,$3.89
956986,Pokemon Plasma Storm,Crobat [Reverse Holo] #55,$6.29
956838,Pokemon Plasma Storm,Cubchoo #40,$0.31
956972,Pokemon Plasma Storm,Cubchoo [Reverse Holo] #40,$2.83
956897,Pokemon Plasma Storm,Dodrio #100,$1.27
957028,Pokemon Plasma Storm,Dodrio [Reverse Holo] #100,$1.70
956896,Pokemon Plasma Storm,Doduo #99,$0.32
957027,Pokemon Plasma Storm,Doduo [Reverse Holo] #99,$0.66
956869,Pokemon Plasma Storm,Donphan #72,$0.86
957003,Pokemon Plasma Storm,Donphan [Reverse Holo] #72,$3.39
956925,Pokemon Plasma Storm,Dowsing Machine #128,$6.12
956891,Pokemon Plasma Storm,Druddigon #94,$1.60
8166059,Pokemon Plasma Storm,Druddigon [Cracked Ice Holo] #94,$1.96
957024,Pokemon Plasma Storm,Druddigon [Reverse Holo] #94,$2.96
956888,Pokemon Plasma Storm,Durant #91,$1.12
956889,Pokemon Plasma Storm,Durant #92,$0.50
957022,Pokemon Plasma Storm,Durant [Reverse Holo] #91,$1.67
957023,Pokemon Plasma Storm,Durant [Reverse Holo] #92,$2.10
956865,Pokemon Plasma Storm,Elgyem #68,$0.47
956867,Pokemon Plasma Storm,Elgyem #69,$0.50
