id,console-name,product-name,loose-price
805879,Pokemon Platinum,Altaria #18,$2.41
805880,Pokemon Platinum,Altaria [Reverse Holo] #18,$5.49
805881,Pokemon Platinum,Ampharos #1,$13.54
805882,Pokemon Platinum,Ampharos [Reverse Holo] #1,$10.04
805883,Pokemon Platinum,Armor Fossil #119,$0.25
805884,Pokemon Platinum,Armor Fossil [Reverse Holo] #119,$0.79
805885,Pokemon Platinum,Banette #19,$5.00
805886,Pokemon Platinum,Banette [Reverse Holo] #19,$7.23
805887,Pokemon Platinum,Bastiodon #20,$1.78
805888,Pokemon Platinum,Bastiodon [Reverse Holo] #20,$2.74
805889,Pokemon Platinum,Beautifly #21,$0.99
805890,Pokemon Platinum,Beautifly [Reverse Holo] #21,$3.54
805891,Pokemon Platinum,Blastoise #2,$22.88
805892,Pokemon Platinum,Blastoise [Reverse Holo] #2,$16.42
805893,Pokemon Platinum,Blaziken #3,$11.73
805894,Pokemon Platinum,Blaziken [Reverse Holo] #3,$7.95
805895,Pokemon Platinum,Blissey #22,$3.03
805896,Pokemon Platinum,Blissey [Reverse Holo] #22,$3.30
7023916,Pokemon Platinum,Blister Pack,$327.76
2245029,Pokemon Platinum,Booster Box,$12034.28
2245030,Pokemon Platinum,Booster Pack,$123.01
805897,Pokemon Platinum,Broken Time-Space #104,$2.49
8597943,Pokemon Platinum,Broken Time-Space [League] #104,$2.68
805898,Pokemon Platinum,Broken Time-Space [Reverse Holo] #104,$3.60
805899,Pokemon Platinum,Bronzong G #41,$0.86
805900,Pokemon Platinum,Bronzong G [Reverse Holo] #41,$3.29
805901,Pokemon Platinum,Cacnea #67,$0.62
805902,Pokemon Platinum,Cacnea [Reverse Holo] #67,$2.60
805903,Pokemon Platinum,Cacturne #42,$0.55
805904,Pokemon Platinum,Cacturne [Reverse Holo] #42,$3.65
805905,Pokemon Platinum,Carnivine #43,$0.46
886649,Pokemon Platinum,Carnivine #68,$0.65
805906,Pokemon Platinum,Carnivine [Reverse Holo] #43,$2.99
886650,Pokemon Platinum,Carnivine [Reverse Holo] #68,$2.50
805907,Pokemon Platinum,Cascoon #44,$0.70
805908,Pokemon Platinum,Cascoon [Reverse Holo] #44,$1.06
805909,Pokemon Platinum,Chansey #69,$1.39
805910,Pokemon Platinum,Chansey [Reverse Holo] #69,$4.37
805911,Pokemon Platinum,Chimchar #70,$0.97
805912,Pokemon Platinum,Chimchar [Reverse Holo] #70,$4.43
805913,Pokemon Platinum,Combee #71,$0.41
805914,Pokemon Platinum,Combee [Reverse Holo] #71,$1.88
805915,Pokemon Platinum,Combusken #45,$0.37
805916,Pokemon Platinum,Combusken [Reverse Holo] #45,$2.76
805917,Pokemon Platinum,Cranidos #46,$1.25
805918,Pokemon Platinum,Cranidos [Reverse Holo] #46,$3.54
805919,Pokemon Platinum,Crobat G #47,$2.80
805920,Pokemon Platinum,Crobat G [Reverse Holo] #47,$12.00
805921,Pokemon Platinum,Cyrus's Conspiracy #105,$2.99
805922,Pokemon Platinum,Cyrus's Conspiracy [Reverse Holo] #105,$5.79
805923,Pokemon Platinum,Delcatty #4,$5.92
805924,Pokemon Platinum,Delcatty [Reverse Holo] #4,$4.61
886652,Pokemon Platinum,Dialga #23,$2.88
805925,Pokemon Platinum,Dialga #5,$5.37
886651,Pokemon Platinum,Dialga #6,$9.93
805927,Pokemon Platinum,Dialga G #7,$10.33
805929,Pokemon Platinum,Dialga G LV. X #122,$18.66
6139286,Pokemon Platinum,Dialga G [Pokemon League] #7,$8.95
805928,Pokemon Platinum,Dialga G [Reverse Holo] #7,$5.99
805926,Pokemon Platinum,Dialga [Reverse Holo] #23,$4.38
886653,Pokemon Platinum,Dialga [Reverse Holo] #5,$6.52
886654,Pokemon Platinum,Dialga [Reverse Holo] #6,$5.00
805930,Pokemon Platinum,Diglett #72,$0.74
805931,Pokemon Platinum,Diglett [Reverse Holo] #72,$2.67
805932,Pokemon Platinum,Drapion LV. X #123,$14.14
805933,Pokemon Platinum,Dugtrio #24,$1.10
805934,Pokemon Platinum,Dugtrio [Reverse Holo] #24,$2.57
805935,Pokemon Platinum,Dunsparce #73,$0.60
805936,Pokemon Platinum,Dunsparce [Reverse Holo] #73,$2.94
805937,Pokemon Platinum,Dustox #25,$2.33
805938,Pokemon Platinum,Dustox [Reverse Holo] #25,$2.99
805939,Pokemon Platinum,Electabuzz #128,$11.20
805940,Pokemon Platinum,Electrike #74,$0.52
805941,Pokemon Platinum,Electrike [Reverse Holo] #74,$2.00
805942,Pokemon Platinum,Empoleon #26,$2.50
805943,Pokemon Platinum,Empoleon [Reverse Holo] #26,$5.63
805944,Pokemon Platinum,Energy Gain #116,$2.49
805945,Pokemon Platinum,Energy Gain [Reverse Holo] #116,$6.13
805946,Pokemon Platinum,Flaaffy #48,$0.99
805947,Pokemon Platinum,Flaaffy [Reverse Holo] #48,$2.69
805948,Pokemon Platinum,Galactic HQ #106,$0.88
805950,Pokemon Platinum,Galactic HQ [Reverse Holo] #106,$2.00
10949578,Pokemon Platinum,Gardevoir #8,$4.99
805949,Pokemon Platinum,Gardevoir [Holo] #8,$12.25
805951,Pokemon Platinum,Gardevoir [Reverse Holo] #8,$11.70
886655,Pokemon Platinum,Giratina #10,$35.50
