id,console-name,product-name,loose-price
889756,Pokemon Power Keepers,Absol EX #92,$59.53
889665,Pokemon Power Keepers,Aggron [Holo] #1,$9.68
889773,Pokemon Power Keepers,Aggron [Reverse Holo] #1,$15.50
4895155,Pokemon Power Keepers,Aggron [Stamped] #1,$6.42
889666,Pokemon Power Keepers,Altaria #2,$7.04
889774,Pokemon Power Keepers,Altaria [Reverse Holo] #2,$9.55
889690,Pokemon Power Keepers,Anorith #26,$1.73
889798,Pokemon Power Keepers,Anorith [Reverse Holo] #26,$5.19
4917001,Pokemon Power Keepers,Anorith [Stamped] #26,$3.83
889667,Pokemon Power Keepers,Armaldo #3,$5.43
889775,Pokemon Power Keepers,Armaldo [Reverse Holo] #3,$10.21
889706,Pokemon Power Keepers,Aron #42,$1.27
889814,Pokemon Power Keepers,Aron [Reverse Holo] #42,$8.00
889707,Pokemon Power Keepers,Bagon #43,$0.99
889815,Pokemon Power Keepers,Bagon [Reverse Holo] #43,$5.00
889708,Pokemon Power Keepers,Baltoy #44,$0.92
889816,Pokemon Power Keepers,Baltoy [Reverse Holo] #44,$4.92
889668,Pokemon Power Keepers,Banette #4,$5.63
889776,Pokemon Power Keepers,Banette [Reverse Holo] #4,$10.27
889735,Pokemon Power Keepers,Battle Frontier #71,$3.49
889842,Pokemon Power Keepers,Battle Frontier [Reverse Holo] #71,$5.60
889709,Pokemon Power Keepers,Beldum #45,$1.50
889817,Pokemon Power Keepers,Beldum [Reverse Holo] #45,$4.99
889669,Pokemon Power Keepers,Blaziken #5,$12.79
889777,Pokemon Power Keepers,Blaziken [Reverse Holo] #5,$23.24
6604515,Pokemon Power Keepers,Blister Pack,$875.00
2245043,Pokemon Power Keepers,Booster Box,$17013.00
2245044,Pokemon Power Keepers,Booster Pack,$444.50
889710,Pokemon Power Keepers,Cacnea #46,$0.74
889873,Pokemon Power Keepers,Cacnea [Reverse Holo] #46,$5.83
5056055,Pokemon Power Keepers,Cacnea [Stamped] #46,$4.89
889691,Pokemon Power Keepers,Cacturne #27,$1.49
4895157,Pokemon Power Keepers,Cacturne [Prerelease] #27,$15.08
889799,Pokemon Power Keepers,Cacturne [Reverse Holo] #27,$5.50
4895159,Pokemon Power Keepers,Cacturne [Stamped] #27,$4.05
889711,Pokemon Power Keepers,Carvanha #47,$0.49
889818,Pokemon Power Keepers,Carvanha [Reverse Holo] #47,$4.77
889670,Pokemon Power Keepers,Charizard #6,$114.98
889778,Pokemon Power Keepers,Charizard [Reverse Holo] #6,$100.33
889712,Pokemon Power Keepers,Charmander #48,$2.27
889819,Pokemon Power Keepers,Charmander [Reverse Holo] #48,$22.78
4895161,Pokemon Power Keepers,Charmander [Stamped] #48,$16.50
889692,Pokemon Power Keepers,Charmeleon #28,$1.89
889800,Pokemon Power Keepers,Charmeleon [Reverse Holo] #28,$19.91
889713,Pokemon Power Keepers,Chinchou #49,$1.25
889820,Pokemon Power Keepers,Chinchou [Reverse Holo] #49,$4.56
889748,Pokemon Power Keepers,Claw Fossil #84,$0.61
889855,Pokemon Power Keepers,Claw Fossil [Reverse Holo] #84,$2.85
889757,Pokemon Power Keepers,Claydol EX #93,$29.99
889693,Pokemon Power Keepers,Combusken #29,$1.75
889801,Pokemon Power Keepers,Combusken [Reverse Holo] #29,$5.13
889671,Pokemon Power Keepers,Cradily #7,$3.95
889779,Pokemon Power Keepers,Cradily [Reverse Holo] #7,$7.26
889754,Pokemon Power Keepers,Cyclone Energy #90,$1.57
889861,Pokemon Power Keepers,Cyclone Energy [Reverse Holo] #90,$4.80
11371516,Pokemon Power Keepers,Dark Blast Theme Deck,
889751,Pokemon Power Keepers,Darkness Energy #87,$1.88
889858,Pokemon Power Keepers,Darkness Energy [Reverse Holo] #87,$2.99
889672,Pokemon Power Keepers,Delcatty #8,$7.62
889780,Pokemon Power Keepers,Delcatty [Reverse Holo] #8,$11.55
889736,Pokemon Power Keepers,Drake's Stadium #72,$1.70
889843,Pokemon Power Keepers,Drake's Stadium [Reverse Holo] #72,$3.71
889678,Pokemon Power Keepers,Dusclops #14,$2.50
889786,Pokemon Power Keepers,Dusclops [Reverse Holo] #14,$5.58
889714,Pokemon Power Keepers,Duskull #50,$0.92
889821,Pokemon Power Keepers,Duskull [Reverse Holo] #50,$8.49
889737,Pokemon Power Keepers,Energy Recycle System #73,$2.51
889844,Pokemon Power Keepers,Energy Recycle System [Reverse Holo] #73,$3.53
889738,Pokemon Power Keepers,Energy Removal 2 #74,$1.58
889845,Pokemon Power Keepers,Energy Removal 2 [Reverse Holo] #74,$3.07
889739,Pokemon Power Keepers,Energy Switch #75,$2.05
889846,Pokemon Power Keepers,Energy Switch [Reverse Holo] #75,$5.00
889772,Pokemon Power Keepers,Fighting Energy [Holo] #108,$4.07
889768,Pokemon Power Keepers,Fire Energy [Holo] #104,$4.84
