id,console-name,product-name,loose-price
958579,Pokemon Primal Clash,Acro Bike #122,$0.49
958730,Pokemon Primal Clash,Acro Bike [Reverse Holo] #122,$1.23
958557,Pokemon Primal Clash,Aegislash #100,$0.68
958710,Pokemon Primal Clash,Aegislash [Reverse Holo] #100,$0.68
958610,Pokemon Primal Clash,Aggron EX #153,$20.27
958550,Pokemon Primal Clash,Aggron EX #93,$4.22
958580,Pokemon Primal Clash,Aggron Spirit Link #123,$0.25
958731,Pokemon Primal Clash,Aggron Spirit Link [Reverse Holo] #123,$0.75
958581,Pokemon Primal Clash,Archie's Ace in the Hole #124,$0.27
958614,Pokemon Primal Clash,Archie's Ace in the Hole #157,$20.00
958732,Pokemon Primal Clash,Archie's Ace in the Hole [Reverse Holo] #124,$0.27
958560,Pokemon Primal Clash,Azumarill #103,$1.10
958561,Pokemon Primal Clash,Azumarill #104,$5.00
958713,Pokemon Primal Clash,Azumarill [Reverse Holo] #103,$1.19
958714,Pokemon Primal Clash,Azumarill [Reverse Holo] #104,$5.10
958496,Pokemon Primal Clash,Barboach #39,$0.25
958656,Pokemon Primal Clash,Barboach [Reverse Holo] #39,$1.50
958461,Pokemon Primal Clash,Beedrill #3,$0.58
958624,Pokemon Primal Clash,Beedrill [Reverse Holo] #3,$0.73
958575,Pokemon Primal Clash,Bibarel #118,$0.36
958726,Pokemon Primal Clash,Bibarel [Reverse Holo] #118,$0.47
958573,Pokemon Primal Clash,Bidoof #116,$0.25
958574,Pokemon Primal Clash,Bidoof #117,$2.00
958724,Pokemon Primal Clash,Bidoof [Reverse Holo] #116,$1.06
958725,Pokemon Primal Clash,Bidoof [Reverse Holo] #117,$4.44
958485,Pokemon Primal Clash,Blaziken #28,$3.89
958647,Pokemon Primal Clash,Blaziken [Reverse Holo] #28,$3.00
6958904,Pokemon Primal Clash,Blister Pack,$58.28
2244983,Pokemon Primal Clash,Booster Box,$2950.00
2244984,Pokemon Primal Clash,Booster Pack,$50.83
958576,Pokemon Primal Clash,Bouffalant #119,$0.22
958727,Pokemon Primal Clash,Bouffalant [Reverse Holo] #119,$0.61
958473,Pokemon Primal Clash,Breloom #16,$0.47
958636,Pokemon Primal Clash,Breloom [Reverse Holo] #16,$0.68
958577,Pokemon Primal Clash,Bunnelby #120,$0.22
958578,Pokemon Primal Clash,Bunnelby #121,$0.99
958728,Pokemon Primal Clash,Bunnelby [Reverse Holo] #120,$0.73
958729,Pokemon Primal Clash,Bunnelby [Reverse Holo] #121,$3.32
958603,Pokemon Primal Clash,Camerupt EX #146,$13.47
958486,Pokemon Primal Clash,Camerupt EX #29,$2.25
958514,Pokemon Primal Clash,Chinchou #57,$0.19
958672,Pokemon Primal Clash,Chinchou [Reverse Holo] #57,$0.92
958506,Pokemon Primal Clash,Clamperl #49,$0.21
958666,Pokemon Primal Clash,Clamperl [Reverse Holo] #49,$1.28
958484,Pokemon Primal Clash,Combusken #27,$0.49
958646,Pokemon Primal Clash,Combusken [Reverse Holo] #27,$0.54
958499,Pokemon Primal Clash,Corphish #42,$0.22
958659,Pokemon Primal Clash,Corphish [Reverse Holo] #42,$1.03
958549,Pokemon Primal Clash,Crawdaunt [Holo] #92,$0.93
958704,Pokemon Primal Clash,Crawdaunt [Reverse Holo] #92,$0.87
958571,Pokemon Primal Clash,Delcatty #114,$0.47
958722,Pokemon Primal Clash,Delcatty [Reverse Holo] #114,$0.50
958547,Pokemon Primal Clash,Diggersby #90,$0.30
958703,Pokemon Primal Clash,Diggersby [Reverse Holo] #90,$0.47
958582,Pokemon Primal Clash,Dive Ball #125,$2.27
958618,Pokemon Primal Clash,Dive Ball #161,$16.53
958733,Pokemon Primal Clash,Dive Ball [Reverse Holo] #125,$3.13
958556,Pokemon Primal Clash,Doublade #99,$0.25
958709,Pokemon Primal Clash,Doublade [Reverse Holo] #99,$0.79
958546,Pokemon Primal Clash,Drilbur #89,$0.15
958702,Pokemon Primal Clash,Drilbur [Reverse Holo] #89,$0.98
958520,Pokemon Primal Clash,Eelektrik #63,$0.18
958521,Pokemon Primal Clash,Eelektrik #64,$1.11
958678,Pokemon Primal Clash,Eelektrik [Reverse Holo] #63,$0.32
958679,Pokemon Primal Clash,Eelektrik [Reverse Holo] #64,$1.80
958522,Pokemon Primal Clash,Eelektross #65,$1.14
958680,Pokemon Primal Clash,Eelektross [Reverse Holo] #65,$1.17
958516,Pokemon Primal Clash,Electrike #59,$0.32
958517,Pokemon Primal Clash,Electrike #60,$1.28
958674,Pokemon Primal Clash,Electrike [Reverse Holo] #59,$0.47
958675,Pokemon Primal Clash,Electrike [Reverse Holo] #60,$2.38
6346183,Pokemon Primal Clash,Elite Trainer Box [Groudon],$5741.50
4780173,Pokemon Primal Clash,Elite Trainer Box [Kyogre],$6000.25
958583,Pokemon Primal Clash,Energy Retrieval #126,$0.41
958734,Pokemon Primal Clash,Energy Retrieval [Reverse Holo] #126,$1.20
958619,Pokemon Primal Clash,Enhanced Hammer #162,$10.15
958584,Pokemon Primal Clash,Escape Rope #127,$0.29
958735,Pokemon Primal Clash,Escape Rope [Reverse Holo] #127,$1.22
958553,Pokemon Primal Clash,Excadrill #96,$0.50
