id,console-name,product-name,loose-price
8675456,Pokemon Prismatic Evolutions,2 Pack Blister,$34.48
9277454,Pokemon Prismatic Evolutions,Accessory Pouch Special Collection,$49.90
8244575,Pokemon Prismatic Evolutions,Amarys #132,$0.99
8244613,Pokemon Prismatic Evolutions,Amarys #170,$13.71
8244538,Pokemon Prismatic Evolutions,Amarys #93,$0.06
8321665,Pokemon Prismatic Evolutions,Amarys [Poke Ball] #93,$0.26
8321760,Pokemon Prismatic Evolutions,Amarys [Reverse] #93,$1.62
8244452,Pokemon Prismatic Evolutions,Applin #9,$0.10
8321506,Pokemon Prismatic Evolutions,Applin [Master Ball] #9,$2.27
8321604,Pokemon Prismatic Evolutions,Applin [Poke Ball] #9,$0.99
8321702,Pokemon Prismatic Evolutions,Applin [Reverse] #9,$0.61
8244513,Pokemon Prismatic Evolutions,Archaludon #70,$0.06
8321549,Pokemon Prismatic Evolutions,Archaludon [Master Ball] #70,$4.14
8321647,Pokemon Prismatic Evolutions,Archaludon [Poke Ball] #70,$0.37
8321744,Pokemon Prismatic Evolutions,Archaludon [Reverse] #70,$0.10
8244539,Pokemon Prismatic Evolutions,Area Zero Underdepths #94,$0.25
8329887,Pokemon Prismatic Evolutions,Area Zero Underdepths [Poke Ball] #94,$0.35
8329888,Pokemon Prismatic Evolutions,Area Zero Underdepths [Reverse] #94,$1.37
8244483,Pokemon Prismatic Evolutions,Aromatisse #39,$0.15
8321525,Pokemon Prismatic Evolutions,Aromatisse [Master Ball] #39,$5.27
8321623,Pokemon Prismatic Evolutions,Aromatisse [Poke Ball] #39,$0.84
8321721,Pokemon Prismatic Evolutions,Aromatisse [Reverse] #39,$0.25
8244576,Pokemon Prismatic Evolutions,Atticus #133,$1.54
8244577,Pokemon Prismatic Evolutions,Atticus #134,$1.67
8256649,Pokemon Prismatic Evolutions,Binder Collection,$71.25
8244540,Pokemon Prismatic Evolutions,Binding Mochi #95,$0.40
8321666,Pokemon Prismatic Evolutions,Binding Mochi [Poke Ball] #95,$0.49
8321765,Pokemon Prismatic Evolutions,Binding Mochi [Reverse] #95,$1.67
8244541,Pokemon Prismatic Evolutions,Black Belt's Training #96,$0.30
8244542,Pokemon Prismatic Evolutions,Black Belt's Training #97,$0.04
8244543,Pokemon Prismatic Evolutions,Black Belt's Training #98,$0.32
8244544,Pokemon Prismatic Evolutions,Black Belt's Training #99,$0.04
8321667,Pokemon Prismatic Evolutions,Black Belt's Training [Poke Ball] #96,$0.53
8321668,Pokemon Prismatic Evolutions,Black Belt's Training [Poke Ball] #97,$0.49
8321570,Pokemon Prismatic Evolutions,Black Belt's Training [Poke Ball] #98,$0.40
8321569,Pokemon Prismatic Evolutions,Black Belt's Training [Poke Ball] #99,$0.30
8321763,Pokemon Prismatic Evolutions,Black Belt's Training [Reverse] #96,$1.78
8321764,Pokemon Prismatic Evolutions,Black Belt's Training [Reverse] #97,$1.60
8244697,Pokemon Prismatic Evolutions,Black Belt's Training [Reverse] #98,$1.37
8244698,Pokemon Prismatic Evolutions,Black Belt's Training [Reverse] #99,$1.19
8244497,Pokemon Prismatic Evolutions,Bloodmoon Ursaluna #54,$0.42
