id,console-name,product-name,loose-price
6904832,Pokemon Promo,'s Tepig [Jumbo],$22.00
11162088,Pokemon Promo,"2 Pack Blister [Tornadus, Thundurus & Landorus]",$26.90
10908857,Pokemon Promo,"2-Pack Blister Pack [Team Rocket's Articuno, Zapdos & Tyranitar]",$18.45
12054014,Pokemon Promo,2-Pack Blister [Raikou],$17.06
12672468,Pokemon Promo,2-Pack Blister [Vileplume],$17.97
10313172,Pokemon Promo,2025 Holiday Calendar Box [Costco],$78.54
11710686,Pokemon Promo,2025 Pokemon Collector Chest,$44.64
10608271,Pokemon Promo,2025 World Championships Welcome Code Card,
12779269,Pokemon Promo,2026 Mini Portfolio,$11.75
12001084,Pokemon Promo,4-Pack Blister Pack,$1375.00
844648,Pokemon Promo,Absol #XY178,$60.61
844727,Pokemon Promo,Absol EX #XY62,$7.20
5927042,Pokemon Promo,Aegislash #60,$2.57
9076304,Pokemon Promo,Aegislash Ex Box,
844763,Pokemon Promo,Aerodactyl EX #XY97,$5.46
844765,Pokemon Promo,Aerodactyl Spirit Link #XY99,$1.97
2383368,Pokemon Promo,Aipom #SM244,$4.46
10690127,Pokemon Promo,Alakazam #9,$12.59
11579928,Pokemon Promo,Alakazam Ex [Star Error] #50,$30.25
1656612,Pokemon Promo,Alakazam V #SWSH083,$2.46
10809512,Pokemon Promo,Alakazam V [Jumbo] #83,
4196911,Pokemon Promo,Alakazam V [Jumbo] #SWSH083,$2.78
10721114,Pokemon Promo,Alakazam [Pokemon Center] #9,$77.07
10792618,Pokemon Promo,Alakazam [Stamped] #3,$22.37
5862194,Pokemon Promo,Alakazam ex #50,$1.24
10809481,Pokemon Promo,Alakazam ex [Jumbo] #50,$62.48
1656588,Pokemon Promo,Alcremie #SWSH058,$8.87
3684163,Pokemon Promo,Alolan Exeggutor V #SWSH225,$1.03
10809587,Pokemon Promo,Alolan Exeggutor V [Jumbo] #225,
4598015,Pokemon Promo,Alolan Exeggutor V [Jumbo] #SWSH225,$1.29
844877,Pokemon Promo,Alolan Marowak GX #SM187,$11.59
10809678,Pokemon Promo,Alolan Marowak GX [Jumbo] #190,
844946,Pokemon Promo,Alolan Meowth #SM43,$2.43
844954,Pokemon Promo,Alolan Meowth #SM51,$5.00
25431,Pokemon Promo,Alolan Ninetales #SM128,$5.09
844812,Pokemon Promo,Alolan Ninetales [Holo] #SM128,$6.26
844968,Pokemon Promo,Alolan Raichu #SM65,$3.21
844975,Pokemon Promo,Alolan Raichu #SM72,$27.15
10809694,Pokemon Promo,Alolan Raichu [Jumbo] #66,
4110298,Pokemon Promo,Alolan Raichu [Jumbo] #SM65,$13.81
5529176,Pokemon Promo,Alolan Raichu [Staff] #SM72,$96.18
25426,Pokemon Promo,Alolan Sandslash #SM127,$2.72
844869,Pokemon Promo,Alolan Sandslash #SM18,$19.63
844926,Pokemon Promo,Alolan Sandslash GX #SM236,$9.80
12468055,Pokemon Promo,Alolan Sandslash GX Box,$370.00
10809701,Pokemon Promo,Alolan Sandslash GX [Jumbo] #239,
5167985,Pokemon Promo,Alolan Sandslash GX [Jumbo] #SM236,$5.99
844811,Pokemon Promo,Alolan Sandslash [Holo] #SM127,$3.27
1563444,Pokemon Promo,Altaria #BW48,$32.48
844711,Pokemon Promo,Altaria #XY46,$24.00
4557000,Pokemon Promo,Altaria [Staff] #BW48,$68.33
5791404,Pokemon Promo,Altaria [Staff] #XY46,$54.56
844892,Pokemon Promo,Amoonguss #SM202,$5.29
4695527,Pokemon Promo,Amoonguss [Prerelease Staff] #SM202,$36.38
6903565,Pokemon Promo,Ampharos #109,$2.09
1563464,Pokemon Promo,Ampharos #BW67,$25.18
5115343,Pokemon Promo,Ampharos ex #16,$5.86
5977615,Pokemon Promo,Ampharos ex [Prize Pack] #16,$15.61
1958438,Pokemon Promo,Ancient Mew,$97.91
6206667,Pokemon Promo,Ancient Mew [Gameboy],$217.17
12564508,Pokemon Promo,Ancient Mew [Norway Sealed],
12455060,Pokemon Promo,Ancient Mew [Norway],
10034553,Pokemon Promo,Annihilape Ex Box,$27.49
5441928,Pokemon Promo,Annihilape ex #32,$1.06
4952787,Pokemon Promo,Arcanine #11,$2.33
643512,Pokemon Promo,Arcanine #6,$22.04
4863629,Pokemon Promo,Arcanine #SWSH304,$54.96
844651,Pokemon Promo,Arcanine BREAK #XY180,$18.02
10809772,Pokemon Promo,Arcanine BREAK [Jumbo] #183,
845092,Pokemon Promo,Arceus #DP50,$14.99
844578,Pokemon Promo,Arceus #XY116,$27.00
844668,Pokemon Promo,Arceus #XY197,$15.00
844749,Pokemon Promo,Arceus #XY83,$27.54
845095,Pokemon Promo,Arceus LV.X #DP53,$28.88
845098,Pokemon Promo,Arceus LV.X #DP56,$31.55
3404922,Pokemon Promo,Arceus V #SWSH204,$23.11
5324570,Pokemon Promo,Arceus V #SWSH306,$3.64
5324571,Pokemon Promo,Arceus VStar #SWSH307,$6.55
10809789,Pokemon Promo,Arceus [Jumbo] #50,
8197757,Pokemon Promo,Arceus [Jumbo] #DP50,$22.00
11356567,Pokemon Promo,Archaludon Ex Box,$34.99
4400360,Pokemon Promo,Archeops #SWSH272,$2.49
5963771,Pokemon Promo,Archeops [Prerelease Staff] #SWSH272,$24.75
5963311,Pokemon Promo,Arctibax #64,$0.99
1656567,Pokemon Promo,Arctozolt #SWSH036,$8.65
4360785,Pokemon Promo,Arctozolt [Prerelease Staff] #SWSH036,$35.45
6903518,Pokemon Promo,Armarouge Ex #105,$2.47
6714564,Pokemon Promo,Armarouge Ex #125,$1.43
844917,Pokemon Promo,Armored Mewtwo #SM228,$149.99
1656622,Pokemon Promo,Arrokuda #SWSH093,$1.75
643513,Pokemon Promo,Articuno #22,$15.25
2386850,Pokemon Promo,Articuno #48,$85.14
844830,Pokemon Promo,Articuno #SM144,$11.26
9353505,Pokemon Promo,Articuno & Moltres & Zapdos [Jumbo],$40.98
845034,Pokemon Promo,Articuno EX #32,$98.78
3366436,Pokemon Promo,Articuno [Corrected] #22,$34.95
10809814,Pokemon Promo,"Articuno, Moltres, and Zapdos [Jumbo] #2",
844790,Pokemon Promo,Ash's Pikachu #SM108,$37.21
844791,Pokemon Promo,Ash's Pikachu #SM109,$86.57
