id,console-name,product-name,loose-price
10231599,Pokemon Rebel Clash,3 Pack Blister: Duraludon,$35.80
10231600,Pokemon Rebel Clash,3 Pack Blister: Rayquaza,$41.15
886746,Pokemon Rebel Clash,Abomasnow #13,$0.20
886947,Pokemon Rebel Clash,Abomasnow [Reverse Holo] #13,$0.50
886862,Pokemon Rebel Clash,Aegislash #135,$0.41
887050,Pokemon Rebel Clash,Aegislash [Reverse Holo] #135,$0.57
886816,Pokemon Rebel Clash,Alcremie #87,$0.69
887007,Pokemon Rebel Clash,Alcremie [Reverse Holo] #87,$0.67
886756,Pokemon Rebel Clash,Appletun #23,$0.48
886954,Pokemon Rebel Clash,Appletun [Reverse Holo] #23,$0.64
886753,Pokemon Rebel Clash,Applin #20,$0.33
886754,Pokemon Rebel Clash,Applin #21,$0.25
4928140,Pokemon Rebel Clash,Applin [Cosmos Holo] #20,$0.52
886951,Pokemon Rebel Clash,Applin [Reverse Holo] #20,$0.29
886952,Pokemon Rebel Clash,Applin [Reverse Holo] #21,$0.36
886760,Pokemon Rebel Clash,Arcanine #28,$1.08
886958,Pokemon Rebel Clash,Arcanine [Reverse Holo] #28,$2.30
886783,Pokemon Rebel Clash,Arrokuda #52,$0.11
886977,Pokemon Rebel Clash,Arrokuda [Reverse Holo] #52,$0.20
886832,Pokemon Rebel Clash,Barbaracle #104,$0.33
887022,Pokemon Rebel Clash,Barbaracle [Reverse Holo] #104,$0.47
886827,Pokemon Rebel Clash,Barboach #99,$0.10
887017,Pokemon Rebel Clash,Barboach [Reverse Holo] #99,$0.40
886784,Pokemon Rebel Clash,Barraskewda #53,$0.37
886978,Pokemon Rebel Clash,Barraskewda [Reverse Holo] #53,$0.47
886875,Pokemon Rebel Clash,Bewear #150,$0.21
887063,Pokemon Rebel Clash,Bewear [Reverse Holo] #150,$0.26
836392,Pokemon Rebel Clash,Big Charm #206,$2.46
886831,Pokemon Rebel Clash,Binacle #103,$0.15
887021,Pokemon Rebel Clash,Binacle [Reverse Holo] #103,$0.23
886907,Pokemon Rebel Clash,Boltund V #181,$2.20
886796,Pokemon Rebel Clash,Boltund V #67,$1.46
2244941,Pokemon Rebel Clash,Booster Box,$392.66
2244942,Pokemon Rebel Clash,Booster Pack,$8.90
886880,Pokemon Rebel Clash,Boss's Orders #154,$1.79
886915,Pokemon Rebel Clash,Boss's Orders #189,$50.32
886926,Pokemon Rebel Clash,Boss's Orders #200,$34.99
4214883,Pokemon Rebel Clash,Boss's Orders [Regional Championships] #154,$20.21
887066,Pokemon Rebel Clash,Boss's Orders [Reverse Holo] #154,$2.75
886857,Pokemon Rebel Clash,Bronzong #130,$0.13
887045,Pokemon Rebel Clash,Bronzong [Reverse Holo] #130,$0.25
886856,Pokemon Rebel Clash,Bronzor #129,$0.12
887044,Pokemon Rebel Clash,Bronzor [Reverse Holo] #129,$0.20
10619390,Pokemon Rebel Clash,Build & Battle Box,$59.46
886872,Pokemon Rebel Clash,Bunnelby #146,$0.30
887059,Pokemon Rebel Clash,Bunnelby [Reverse Holo] #146,$0.38
886881,Pokemon Rebel Clash,Burning Scarf #155,$0.15
887067,Pokemon Rebel Clash,Burning Scarf [Reverse Holo] #155,$0.22
886736,Pokemon Rebel Clash,Butterfree #3,$0.60
886937,Pokemon Rebel Clash,Butterfree [Reverse Holo] #3,$1.00
886882,Pokemon Rebel Clash,Capacious Bucket #156,$0.19
887068,Pokemon Rebel Clash,Capacious Bucket [Reverse Holo] #156,$0.65
886897,Pokemon Rebel Clash,Capture Energy #171,$0.25
887083,Pokemon Rebel Clash,Capture Energy [Reverse Holo] #171,$1.57
886834,Pokemon Rebel Clash,Carkol #106,$0.19
887024,Pokemon Rebel Clash,Carkol [Reverse Holo] #106,$0.24
886734,Pokemon Rebel Clash,Caterpie #1,$0.17
886935,Pokemon Rebel Clash,Caterpie [Reverse Holo] #1,$0.36
886765,Pokemon Rebel Clash,Chandelure #33,$0.54
886963,Pokemon Rebel Clash,Chandelure [Reverse Holo] #33,$0.54
886794,Pokemon Rebel Clash,Charjabug #65,$0.22
886989,Pokemon Rebel Clash,Charjabug [Reverse Holo] #65,$0.25
886868,Pokemon Rebel Clash,Chatot #142,$0.19
887055,Pokemon Rebel Clash,Chatot [Reverse Holo] #142,$0.24
886904,Pokemon Rebel Clash,Cinderace V #178,$4.88
886767,Pokemon Rebel Clash,Cinderace V #35,$1.03
886920,Pokemon Rebel Clash,Cinderace VMAX #194,$15.85
886768,Pokemon Rebel Clash,Cinderace VMAX #36,$2.13
886804,Pokemon Rebel Clash,Clefable #75,$0.85
886995,Pokemon Rebel Clash,Clefable [Reverse Holo] #75,$1.16
886803,Pokemon Rebel Clash,Clefairy #74,$0.45
886994,Pokemon Rebel Clash,Clefairy [Reverse Holo] #74,$0.64
836323,Pokemon Rebel Clash,Coalossal #107,$0.46
887025,Pokemon Rebel Clash,Coalossal [Reverse Holo] #107,$1.04
886863,Pokemon Rebel Clash,Copperajah V #136,$0.96
886913,Pokemon Rebel Clash,Copperajah V #187,$1.96
836353,Pokemon Rebel Clash,Copperajah VMAX #137,$2.34
886925,Pokemon Rebel Clash,Copperajah VMAX #199,$7.00
886782,Pokemon Rebel Clash,Cramorant #51,$0.44
886976,Pokemon Rebel Clash,Cramorant [Reverse Holo] #51,$0.51
886883,Pokemon Rebel Clash,Cursed Shovel #157,$0.24
887069,Pokemon Rebel Clash,Cursed Shovel [Reverse Holo] #157,$0.24
886884,Pokemon Rebel Clash,Dan #158,$0.20
887070,Pokemon Rebel Clash,Dan [Reverse Holo] #158,$0.20
886873,Pokemon Rebel Clash,Diggersby #147,$0.35
887060,Pokemon Rebel Clash,Diggersby [Reverse Holo] #147,$0.47
886861,Pokemon Rebel Clash,Doublade #134,$0.17
887049,Pokemon Rebel Clash,Doublade [Reverse Holo] #134,$0.28
