id,console-name,product-name,loose-price
925484,Pokemon Rising Rivals,Aaron's Collection #88,$0.74
925603,Pokemon Rising Rivals,Aaron's Collection [Reverse Holo] #88,$4.00
925451,Pokemon Rising Rivals,Aerodactyl GL #55,$1.64
925570,Pokemon Rising Rivals,Aerodactyl GL [Reverse Holo] #55,$8.68
925410,Pokemon Rising Rivals,Aggron #14,$2.62
925530,Pokemon Rising Rivals,Aggron [Reverse Holo] #14,$4.25
925434,Pokemon Rising Rivals,Alakazam #38,$3.63
925499,Pokemon Rising Rivals,Alakazam LV.X #103,$65.31
925553,Pokemon Rising Rivals,Alakazam [Reverse Holo] #38,$7.98
925452,Pokemon Rising Rivals,Ambipom G #56,$1.31
925571,Pokemon Rising Rivals,Ambipom G [Reverse Holo] #56,$3.00
925397,Pokemon Rising Rivals,Arcanine #1,$19.87
925517,Pokemon Rising Rivals,Arcanine [Reverse Holo] #1,$25.00
925453,Pokemon Rising Rivals,Aron #57,$0.65
925572,Pokemon Rising Rivals,Aron [Reverse Holo] #57,$2.75
925398,Pokemon Rising Rivals,Bastiodon GL #2,$5.49
925518,Pokemon Rising Rivals,Bastiodon GL [Reverse Holo] #2,$5.14
925485,Pokemon Rising Rivals,Bebe's Search #89,$0.88
8597942,Pokemon Rising Rivals,Bebe's Search [League] #89,$2.62
925604,Pokemon Rising Rivals,Bebe's Search [Reverse Holo] #89,$2.54
925411,Pokemon Rising Rivals,Beedrill #15,$1.17
925531,Pokemon Rising Rivals,Beedrill [Reverse Holo] #15,$2.61
925486,Pokemon Rising Rivals,Bertha's Warmth #90,$0.95
925605,Pokemon Rising Rivals,Bertha's Warmth [Reverse Holo] #90,$3.71
7457007,Pokemon Rising Rivals,Blister Pack,$429.19
2245027,Pokemon Rising Rivals,Booster Box,$8995.00
2245028,Pokemon Rising Rivals,Booster Pack,$242.41
925412,Pokemon Rising Rivals,Bronzong #16,$1.98
925532,Pokemon Rising Rivals,Bronzong [Reverse Holo] #16,$3.94
925454,Pokemon Rising Rivals,Carvanha #58,$0.37
925573,Pokemon Rising Rivals,Carvanha [Reverse Holo] #58,$1.71
925516,Pokemon Rising Rivals,Charon's Choice #RT6,$10.39
925495,Pokemon Rising Rivals,Darkness Energy #99,$0.43
925614,Pokemon Rising Rivals,Darkness Energy [Reverse Holo] #99,$2.10
925399,Pokemon Rising Rivals,Darkrai G #3,$24.76
925519,Pokemon Rising Rivals,Darkrai G [Reverse Holo] #3,$20.47
