id,console-name,product-name,loose-price
7183610,Pokemon Roaring Skies,3-Pack Blister,$130.31
958863,Pokemon Roaring Skies,Absol #40,$1.76
958970,Pokemon Roaring Skies,Absol [Reverse Holo] #40,$0.87
958876,Pokemon Roaring Skies,Altaria #53,$0.28
958897,Pokemon Roaring Skies,Altaria #74,$2.88
958983,Pokemon Roaring Skies,Altaria [Reverse Holo] #53,$0.99
958999,Pokemon Roaring Skies,Altaria [Reverse Holo] #74,$3.98
958839,Pokemon Roaring Skies,Articuno #16,$1.69
958840,Pokemon Roaring Skies,Articuno #17,$3.08
3395652,Pokemon Roaring Skies,Articuno [Cracked Ice] #16,$4.37
958949,Pokemon Roaring Skies,Articuno [Reverse Holo] #16,$2.99
958950,Pokemon Roaring Skies,Articuno [Reverse Holo] #17,$6.09
958877,Pokemon Roaring Skies,Bagon #54,$0.18
958878,Pokemon Roaring Skies,Bagon #55,$0.25
958984,Pokemon Roaring Skies,Bagon [Reverse Holo] #54,$0.66
958985,Pokemon Roaring Skies,Bagon [Reverse Holo] #55,$1.00
958854,Pokemon Roaring Skies,Banette #31,$0.48
958855,Pokemon Roaring Skies,Banette #32,$1.87
958963,Pokemon Roaring Skies,Banette [Reverse Holo] #31,$1.18
958964,Pokemon Roaring Skies,Banette [Reverse Holo] #32,$2.00
958828,Pokemon Roaring Skies,Beautifly #5,$0.86
958938,Pokemon Roaring Skies,Beautifly [Reverse Holo] #5,$0.80
958861,Pokemon Roaring Skies,Binacle #38,$0.20
958968,Pokemon Roaring Skies,Binacle [Reverse Holo] #38,$0.25
7024728,Pokemon Roaring Skies,Blister Pack,$99.95
2244981,Pokemon Roaring Skies,Booster Box,$3328.55
2244982,Pokemon Roaring Skies,Booster Pack,$54.27
958870,Pokemon Roaring Skies,Carbink #47,$0.43
958977,Pokemon Roaring Skies,Carbink [Reverse Holo] #47,$0.49
958829,Pokemon Roaring Skies,Cascoon #6,$0.17
958939,Pokemon Roaring Skies,Cascoon [Reverse Holo] #6,$0.33
958856,Pokemon Roaring Skies,Deoxys #33,$2.05
958965,Pokemon Roaring Skies,Deoxys [Reverse Holo] #33,$2.10
958920,Pokemon Roaring Skies,Double Dragon Energy #97,$3.21
959019,Pokemon Roaring Skies,Double Dragon Energy [Reverse Holo] #97,$8.14
958873,Pokemon Roaring Skies,Dragonair #50,$1.17
958980,Pokemon Roaring Skies,Dragonair [Reverse Holo] #50,$1.49
958874,Pokemon Roaring Skies,Dragonite #51,$2.26
958875,Pokemon Roaring Skies,Dragonite #52,$14.40
958981,Pokemon Roaring Skies,Dragonite [Reverse Holo] #51,$6.08
958982,Pokemon Roaring Skies,Dragonite [Reverse Holo] #52,$11.25
958872,Pokemon Roaring Skies,Dratini #49,$0.37
