id,console-name,product-name,loose-price
762881,Pokemon Ruby & Sapphire,Aggron #1,$17.72
762963,Pokemon Ruby & Sapphire,Aggron [Reverse Holo] #1,$15.68
762902,Pokemon Ruby & Sapphire,Aron #25,$2.51
886606,Pokemon Ruby & Sapphire,Aron #49,$1.26
886607,Pokemon Ruby & Sapphire,Aron #50,$1.69
762984,Pokemon Ruby & Sapphire,Aron [Reverse Holo] #25,$7.00
886633,Pokemon Ruby & Sapphire,Aron [Reverse Holo] #49,$4.55
886634,Pokemon Ruby & Sapphire,Aron [Reverse Holo] #50,$8.99
762882,Pokemon Ruby & Sapphire,Beautifly #2,$12.95
762964,Pokemon Ruby & Sapphire,Beautifly [Reverse Holo] #2,$8.99
886594,Pokemon Ruby & Sapphire,Blaziken #15,$2.23
4946942,Pokemon Ruby & Sapphire,Blaziken #3,$8.64
762883,Pokemon Ruby & Sapphire,Blaziken [Holo] #3,$27.94
886621,Pokemon Ruby & Sapphire,Blaziken [Reverse Holo] #15,$18.99
762965,Pokemon Ruby & Sapphire,Blaziken [Reverse Holo] #3,$29.17
9909060,Pokemon Ruby & Sapphire,Blister Pack,$645.52
7596590,Pokemon Ruby & Sapphire,Booster Box,$16245.70
5639057,Pokemon Ruby & Sapphire,Booster Pack,$409.29
762895,Pokemon Ruby & Sapphire,Breloom #16,$3.11
762977,Pokemon Ruby & Sapphire,Breloom [Reverse Holo] #16,$11.31
762884,Pokemon Ruby & Sapphire,Camerupt #4,$8.69
762966,Pokemon Ruby & Sapphire,Camerupt [Reverse Holo] #4,$8.12
762917,Pokemon Ruby & Sapphire,Carvanha #51,$1.09
762999,Pokemon Ruby & Sapphire,Carvanha [Reverse Holo] #51,$8.70
762903,Pokemon Ruby & Sapphire,Cascoon #26,$3.45
762985,Pokemon Ruby & Sapphire,Cascoon [Reverse Holo] #26,$4.63
762949,Pokemon Ruby & Sapphire,Chansey EX #96,$28.15
762904,Pokemon Ruby & Sapphire,Combusken #27,$1.56
886597,Pokemon Ruby & Sapphire,Combusken #28,$2.86
762986,Pokemon Ruby & Sapphire,Combusken [Reverse Holo] #27,$9.39
886624,Pokemon Ruby & Sapphire,Combusken [Reverse Holo] #28,$8.00
762946,Pokemon Ruby & Sapphire,Darkness Energy #93,$1.69
6985216,Pokemon Ruby & Sapphire,Darkness Energy [Holo] #93,$7.78
763028,Pokemon Ruby & Sapphire,Darkness Energy [Reverse Holo] #93,$4.06
5324999,Pokemon Ruby & Sapphire,Darkness Energy [Winner] #93,$35.63
886598,Pokemon Ruby & Sapphire,Delcatty #29,$1.54
762885,Pokemon Ruby & Sapphire,Delcatty #5,$12.46
886625,Pokemon Ruby & Sapphire,Delcatty [Reverse Holo] #29,$6.08
762967,Pokemon Ruby & Sapphire,Delcatty [Reverse Holo] #5,$11.50
762896,Pokemon Ruby & Sapphire,Donphan #17,$1.86
762978,Pokemon Ruby & Sapphire,Donphan [Reverse Holo] #17,$5.48
762886,Pokemon Ruby & Sapphire,Dustox #6,$13.36
762968,Pokemon Ruby & Sapphire,Dustox [Reverse Holo] #6,$11.24
762950,Pokemon Ruby & Sapphire,Electabuzz EX #97,$37.00
