id,console-name,product-name,loose-price
3398932,Pokemon Rumble,Bastiodon #14,$25.88
3398934,Pokemon Rumble,Bibarel #16,$45.15
3398919,Pokemon Rumble,Cherrim #2,$31.63
3398929,Pokemon Rumble,Diglett #11,$67.21
3398924,Pokemon Rumble,Gyarados #6,$113.35
3398921,Pokemon Rumble,Heatran #4,$45.87
3398930,Pokemon Rumble,Lucario #12,$130.00
3398928,Pokemon Rumble,Mew #10,$187.16
3398927,Pokemon Rumble,Mewtwo #9,$129.64
3398923,Pokemon Rumble,Ninetales #3,$101.04
3398925,Pokemon Rumble,Pikachu #7,$326.99
3398933,Pokemon Rumble,Rattata #15,$53.29
3398931,Pokemon Rumble,Skuntank #13,$29.99
3398922,Pokemon Rumble,Starmie #5,$75.00
3398920,Pokemon Rumble,Venusaur #1,$87.56
3398926,Pokemon Rumble,Zapdos #8,$96.40
