id,console-name,product-name,loose-price
849282,Pokemon Sandstorm,Aerodactyl EX #94,$72.50
849283,Pokemon Sandstorm,Aggron EX #95,$50.00
849215,Pokemon Sandstorm,Anorith #27,$1.32
849216,Pokemon Sandstorm,Anorith #28,$2.00
849315,Pokemon Sandstorm,Anorith [Reverse Holo] #27,$5.99
849316,Pokemon Sandstorm,Anorith [Reverse Holo] #28,$6.99
849217,Pokemon Sandstorm,Arbok #29,$2.85
849317,Pokemon Sandstorm,Arbok [Reverse Holo] #29,$7.75
849204,Pokemon Sandstorm,Arcanine #15,$6.17
849303,Pokemon Sandstorm,Arcanine [Reverse Holo] #15,$52.10
920602,Pokemon Sandstorm,Armaldo #1,$11.90
3978640,Pokemon Sandstorm,Armaldo [Prerelease] #1,$36.88
849289,Pokemon Sandstorm,Armaldo [Reverse Holo] #1,$9.71
849244,Pokemon Sandstorm,Aron #56,$1.34
849344,Pokemon Sandstorm,Aron [Reverse Holo] #56,$8.97
849218,Pokemon Sandstorm,Azumarill #30,$2.00
849318,Pokemon Sandstorm,Azumarill [Reverse Holo] #30,$10.15
849219,Pokemon Sandstorm,Azurill #31,$5.49
849319,Pokemon Sandstorm,Azurill [Reverse Holo] #31,$15.50
849220,Pokemon Sandstorm,Baltoy #32,$1.51
849320,Pokemon Sandstorm,Baltoy [Reverse Holo] #32,$5.99
7025156,Pokemon Sandstorm,Blister Pack,$600.00
5639056,Pokemon Sandstorm,Booster Pack,$437.04
849221,Pokemon Sandstorm,Breloom #33,$2.00
849321,Pokemon Sandstorm,Breloom [Reverse Holo] #33,$8.99
849245,Pokemon Sandstorm,Cacnea #57,$1.02
849246,Pokemon Sandstorm,Cacnea #58,$1.00
849345,Pokemon Sandstorm,Cacnea [Reverse Holo] #57,$4.99
849346,Pokemon Sandstorm,Cacnea [Reverse Holo] #58,$5.43
920604,Pokemon Sandstorm,Cacturne #2,$18.00
849290,Pokemon Sandstorm,Cacturne [Reverse Holo] #2,$12.45
849278,Pokemon Sandstorm,Claw Fossil #90,$0.39
849378,Pokemon Sandstorm,Claw Fossil [Reverse Holo] #90,$2.99
849192,Pokemon Sandstorm,Cradily #3,$5.99
849291,Pokemon Sandstorm,Cradily [Reverse Holo] #3,$7.50
849247,Pokemon Sandstorm,Cyndaquil #59,$1.72
849347,Pokemon Sandstorm,Cyndaquil [Reverse Holo] #59,$14.76
849222,Pokemon Sandstorm,Delcatty #34,$1.92
849322,Pokemon Sandstorm,Delcatty [Reverse Holo] #34,$6.60
849274,Pokemon Sandstorm,Double Full Heal #86,$0.50
849374,Pokemon Sandstorm,Double Full Heal [Reverse Holo] #86,$4.75
849248,Pokemon Sandstorm,Dunsparce #60,$2.00
849348,Pokemon Sandstorm,Dunsparce [Reverse Holo] #60,$5.00
849193,Pokemon Sandstorm,Dusclops #4,$15.46
849292,Pokemon Sandstorm,Dusclops [Reverse Holo] #4,$12.24
849249,Pokemon Sandstorm,Duskull #61,$1.39
849250,Pokemon Sandstorm,Duskull #62,$1.51
849349,Pokemon Sandstorm,Duskull [Reverse Holo] #61,$12.00
849350,Pokemon Sandstorm,Duskull [Reverse Holo] #62,$10.17
849251,Pokemon Sandstorm,Eevee #63,$4.98
849351,Pokemon Sandstorm,Eevee [Reverse Holo] #63,$47.50
849252,Pokemon Sandstorm,Ekans #64,$0.75
849352,Pokemon Sandstorm,Ekans [Reverse Holo] #64,$5.00
849223,Pokemon Sandstorm,Electabuzz #35,$2.38
849323,Pokemon Sandstorm,Electabuzz [Reverse Holo] #35,$11.91
849224,Pokemon Sandstorm,Elekid #36,$2.44
849324,Pokemon Sandstorm,Elekid [Reverse Holo] #36,$7.93
849205,Pokemon Sandstorm,Espeon #16,$9.50
849304,Pokemon Sandstorm,Espeon [Reverse Holo] #16,$50.00
849225,Pokemon Sandstorm,Fearow #37,$2.24
849325,Pokemon Sandstorm,Fearow [Reverse Holo] #37,$8.35
849194,Pokemon Sandstorm,Flareon #5,$48.97
849293,Pokemon Sandstorm,Flareon [Reverse Holo] #5,$42.08
849284,Pokemon Sandstorm,Gardevoir EX #96,$70.52
849206,Pokemon Sandstorm,Golduck #17,$2.99
849305,Pokemon Sandstorm,Golduck [Reverse Holo] #17,$18.42
849253,Pokemon Sandstorm,Growlithe #65,$2.49
849353,Pokemon Sandstorm,Growlithe [Reverse Holo] #65,$14.58
849226,Pokemon Sandstorm,Illumise #38,$2.57
849326,Pokemon Sandstorm,Illumise [Reverse Holo] #38,$6.90
849195,Pokemon Sandstorm,Jolteon #6,$53.29
849294,Pokemon Sandstorm,Jolteon [Reverse Holo] #6,$35.90
849227,Pokemon Sandstorm,Kabuto #39,$4.00
849327,Pokemon Sandstorm,Kabuto [Reverse Holo] #39,$11.64
849285,Pokemon Sandstorm,Kabutops EX #97,$56.31
849207,Pokemon Sandstorm,Kecleon #18,$1.95
849306,Pokemon Sandstorm,Kecleon [Reverse Holo] #18,$7.59
849228,Pokemon Sandstorm,Kirlia #40,$4.07
849328,Pokemon Sandstorm,Kirlia [Reverse Holo] #40,$8.35
849229,Pokemon Sandstorm,Lairon #41,$2.54
849329,Pokemon Sandstorm,Lairon [Reverse Holo] #41,$6.86
849275,Pokemon Sandstorm,Lanette's Net Search #87,$1.70
849375,Pokemon Sandstorm,Lanette's Net Search [Reverse Holo] #87,$5.26
849230,Pokemon Sandstorm,Lileep #42,$1.35
849231,Pokemon Sandstorm,Lileep #43,$2.70
849330,Pokemon Sandstorm,Lileep [Reverse Holo] #42,$6.99
849331,Pokemon Sandstorm,Lileep [Reverse Holo] #43,$6.99
849232,Pokemon Sandstorm,Linoone #44,$1.81
849332,Pokemon Sandstorm,Linoone [Reverse Holo] #44,$5.58
849233,Pokemon Sandstorm,Lombre #45,$3.46
849234,Pokemon Sandstorm,Lombre #46,$2.57
849333,Pokemon Sandstorm,Lombre [Reverse Holo] #45,$13.82
849334,Pokemon Sandstorm,Lombre [Reverse Holo] #46,$6.53
849254,Pokemon Sandstorm,Lotad #66,$1.65
849255,Pokemon Sandstorm,Lotad #67,$1.72
