id,console-name,product-name,loose-price
7322836,Pokemon Scarlet & Violet 151,151 Mini Tin,$28.73
7917742,Pokemon Scarlet & Violet 151,5-Pack Mini Tin,$169.08
9432700,Pokemon Scarlet & Violet 151,5-Pack Mini Tin [Magneton],$148.96
5809444,Pokemon Scarlet & Violet 151,Abra #63,$0.34
5862188,Pokemon Scarlet & Violet 151,Abra [Cosmos Holo] #63,$0.70
5809648,Pokemon Scarlet & Violet 151,Abra [Reverse Holo] #63,$0.50
5809523,Pokemon Scarlet & Violet 151,Aerodactyl #142,$1.51
5809723,Pokemon Scarlet & Violet 151,Aerodactyl [Reverse Holo] #142,$1.54
6240871,Pokemon Scarlet & Violet 151,Alakazam EX Collection,$71.26
5809571,Pokemon Scarlet & Violet 151,Alakazam ex #188,$9.29
5809584,Pokemon Scarlet & Violet 151,Alakazam ex #201,$49.50
5809446,Pokemon Scarlet & Violet 151,Alakazam ex #65,$2.22
5810590,Pokemon Scarlet & Violet 151,Antique Dome Fossil #152,$0.55
5810591,Pokemon Scarlet & Violet 151,Antique Dome Fossil [Reverse Holo] #152,$0.85
5809534,Pokemon Scarlet & Violet 151,Antique Helix Fossil #153,$0.64
5809732,Pokemon Scarlet & Violet 151,Antique Helix Fossil [Reverse Holo] #153,$1.00
5809535,Pokemon Scarlet & Violet 151,Antique Old Amber #154,$0.62
5809733,Pokemon Scarlet & Violet 151,Antique Old Amber [Reverse Holo] #154,$0.79
5809568,Pokemon Scarlet & Violet 151,Arbok ex #185,$6.44
5809404,Pokemon Scarlet & Violet 151,Arbok ex #24,$2.37
5809440,Pokemon Scarlet & Violet 151,Arcanine #59,$0.46
5809644,Pokemon Scarlet & Violet 151,Arcanine [Reverse Holo] #59,$0.50
5809525,Pokemon Scarlet & Violet 151,Articuno #144,$1.44
5809725,Pokemon Scarlet & Violet 151,Articuno [Reverse Holo] #144,$0.97
5809395,Pokemon Scarlet & Violet 151,Beedrill #15,$1.18
5809603,Pokemon Scarlet & Violet 151,Beedrill [Reverse Holo] #15,$0.99
5809450,Pokemon Scarlet & Violet 151,Bellsprout #69,$0.14
