id,console-name,product-name,loose-price
7549847,Pokemon Scarlet & Violet Energy,Basic Darkness Energy #15,$2.04
10046378,Pokemon Scarlet & Violet Energy,Basic Darkness Energy #23,$0.26
5013890,Pokemon Scarlet & Violet Energy,Basic Darkness Energy #7,$0.02
8909510,Pokemon Scarlet & Violet Energy,Basic Darkness Energy [Cosmos Holo] #15,
5917678,Pokemon Scarlet & Violet Energy,Basic Darkness Energy [Cosmos Holo] #7,$0.91
8909511,Pokemon Scarlet & Violet Energy,Basic Darkness Energy [Holo] #15,$2.35
10045243,Pokemon Scarlet & Violet Energy,Basic Darkness Energy [Holo] #23,$1.00
7321552,Pokemon Scarlet & Violet Energy,Basic Darkness Energy [Holo] #7,$1.99
9572312,Pokemon Scarlet & Violet Energy,Basic Darkness Energy [Ice Cracked] #15,$3.29
10951992,Pokemon Scarlet & Violet Energy,Basic Darkness Energy [Prize Pack Cosmos Holo] #15,$0.98
10909863,Pokemon Scarlet & Violet Energy,Basic Darkness Energy [Prize Pack Cosmos Holo] #7,$3.93
10951994,Pokemon Scarlet & Violet Energy,Basic Darkness Energy [Prize Pack] #15,$0.12
7211576,Pokemon Scarlet & Violet Energy,Basic Darkness Energy [Prize Pack] #7,$0.14
7549849,Pokemon Scarlet & Violet Energy,Basic Fighting Energy #14,$0.72
10046377,Pokemon Scarlet & Violet Energy,Basic Fighting Energy #22,
4934032,Pokemon Scarlet & Violet Energy,Basic Fighting Energy #258,$7.19
5013889,Pokemon Scarlet & Violet Energy,Basic Fighting Energy #6,$0.02
9758060,Pokemon Scarlet & Violet Energy,Basic Fighting Energy [Cosmic Holo Prize Pack] #6,$0.95
8909509,Pokemon Scarlet & Violet Energy,Basic Fighting Energy [Cosmos Holo] #14,$0.99
5826824,Pokemon Scarlet & Violet Energy,Basic Fighting Energy [Cosmos Holo] #6,$0.50
8431357,Pokemon Scarlet & Violet Energy,Basic Fighting Energy [Holo] #14,$3.85
10042702,Pokemon Scarlet & Violet Energy,Basic Fighting Energy [Holo] #22,$0.69
9572292,Pokemon Scarlet & Violet Energy,Basic Fighting Energy [Ice Cracked] #14,$1.30
10951990,Pokemon Scarlet & Violet Energy,Basic Fighting Energy [Prize Pack Cosmos Holo] #14,$0.63
10951988,Pokemon Scarlet & Violet Energy,Basic Fighting Energy [Prize Pack] #14,$0.10
7211577,Pokemon Scarlet & Violet Energy,Basic Fighting Energy [Prize Pack] #6,$0.14
7321548,Pokemon Scarlet & Violet Energy,Basic Fighting Energy [Reverse Holo] #6,$1.20
7549850,Pokemon Scarlet & Violet Energy,Basic Fire Energy #10,$0.17
10046271,Pokemon Scarlet & Violet Energy,Basic Fire Energy #18,$1.35
4991224,Pokemon Scarlet & Violet Energy,Basic Fire Energy #2,$0.03
8909505,Pokemon Scarlet & Violet Energy,Basic Fire Energy [Cosmos Holo] #10,$1.22
5917674,Pokemon Scarlet & Violet Energy,Basic Fire Energy [Cosmos Holo] #2,$0.78
8431759,Pokemon Scarlet & Violet Energy,Basic Fire Energy [Holo] #10,$0.20
10042692,Pokemon Scarlet & Violet Energy,Basic Fire Energy [Holo] #18,$0.99
7321544,Pokemon Scarlet & Violet Energy,Basic Fire Energy [Holo] #2,$2.16
9572286,Pokemon Scarlet & Violet Energy,Basic Fire Energy [Ice Cracked] #10,$2.99
10951980,Pokemon Scarlet & Violet Energy,Basic Fire Energy [Prize Pack Cosmos Holo] #10,$0.66
10909859,Pokemon Scarlet & Violet Energy,Basic Fire Energy [Prize Pack Cosmos Holo] #2,$0.95
10602295,Pokemon Scarlet & Violet Energy,Basic Fire Energy [Prize Pack] #10,$0.12
8765735,Pokemon Scarlet & Violet Energy,Basic Fire Energy [Prize Pack] #2,$0.18
4956295,Pokemon Scarlet & Violet Energy,Basic Grass Energy #1,$0.05
10046270,Pokemon Scarlet & Violet Energy,Basic Grass Energy #17,$2.91
7549846,Pokemon Scarlet & Violet Energy,Basic Grass Energy #9,$2.01
8765736,Pokemon Scarlet & Violet Energy,Basic Grass Energy [Cosmos Holo Prize Pack] #1,$0.52
5874635,Pokemon Scarlet & Violet Energy,Basic Grass Energy [Cosmos Holo] #1,$0.77
8909504,Pokemon Scarlet & Violet Energy,Basic Grass Energy [Cosmos Holo] #9,
7136274,Pokemon Scarlet & Violet Energy,Basic Grass Energy [Holo] #1,$1.99
10042701,Pokemon Scarlet & Violet Energy,Basic Grass Energy [Holo] #17,$1.38
8453093,Pokemon Scarlet & Violet Energy,Basic Grass Energy [Holo] #9,$0.18
