id,console-name,product-name,loose-price
4933824,Pokemon Scarlet & Violet,Alomomola #48,$0.18
4934077,Pokemon Scarlet & Violet,Alomomola [Reverse Holo] #48,$0.50
5133979,Pokemon Scarlet & Violet,Annihilape #109,$2.35
4933884,Pokemon Scarlet & Violet,Annihilape [Holo] #109,$0.15
4934134,Pokemon Scarlet & Violet,Annihilape [Reverse Holo] #109,$0.15
5862192,Pokemon Scarlet & Violet,Arboliva #23,$1.82
4933800,Pokemon Scarlet & Violet,Arboliva [Holo] #23,$0.25
4934054,Pokemon Scarlet & Violet,Arboliva [Reverse Holo] #23,$0.20
5325003,Pokemon Scarlet & Violet,Arcanine 3-Pack Blister,$21.80
4933998,Pokemon Scarlet & Violet,Arcanine ex #224,$9.00
4933809,Pokemon Scarlet & Violet,Arcanine ex #32,$2.06
4933977,Pokemon Scarlet & Violet,Armarouge #203,$11.74
8596995,Pokemon Scarlet & Violet,Armarouge Ex Premium Collection,$34.40
4933817,Pokemon Scarlet & Violet,Armarouge [Holo] #41,$0.20
6399967,Pokemon Scarlet & Violet,Armarouge [Prize Pack] #41,$0.19
4934071,Pokemon Scarlet & Violet,Armarouge [Reverse Holo] #41,$0.23
4933940,Pokemon Scarlet & Violet,Arven #166,$1.00
4934009,Pokemon Scarlet & Violet,Arven #235,$7.47
4934023,Pokemon Scarlet & Violet,Arven #249,$7.76
8953379,Pokemon Scarlet & Violet,Arven [Prize Pack Cosmos Holo] #166,$6.22
8953378,Pokemon Scarlet & Violet,Arven [Prize Pack] #166,$1.98
5881530,Pokemon Scarlet & Violet,Arven [Regional Championships Staff] #166,$75.00
6302886,Pokemon Scarlet & Violet,Arven [Regional Championships] #166,$8.42
4934186,Pokemon Scarlet & Violet,Arven [Reverse Holo] #166,$1.54
9146177,Pokemon Scarlet & Violet,Banette Ex [Jumbo] #88,$2.70
4934003,Pokemon Scarlet & Violet,Banette ex #229,$2.00
4933864,Pokemon Scarlet & Violet,Banette ex #88,$0.96
5827242,Pokemon Scarlet & Violet,Base Booster Bundle,$63.50
4998474,Pokemon Scarlet & Violet,Base Set Booster Box,$238.36
4933941,Pokemon Scarlet & Violet,Beach Court #167,$0.06
10909779,Pokemon Scarlet & Violet,Beach Court [Prize Pack Cosmos Holo] #167,$0.15
5810918,Pokemon Scarlet & Violet,Beach Court [Prize Pack] #167,$0.16
4934187,Pokemon Scarlet & Violet,Beach Court [Reverse Holo] #167,$0.14
4933908,Pokemon Scarlet & Violet,Bisharp #133,$0.12
4934155,Pokemon Scarlet & Violet,Bisharp [Reverse Holo] #133,$0.15
4933919,Pokemon Scarlet & Violet,Blissey #145,$0.43
4934166,Pokemon Scarlet & Violet,Blissey [Reverse Holo] #145,$0.30
4933912,Pokemon Scarlet & Violet,Bombirdier #138,$0.10
4933993,Pokemon Scarlet & Violet,Bombirdier #219,$3.82
4934160,Pokemon Scarlet & Violet,Bombirdier [Reverse Holo] #138,$0.22
4954135,Pokemon Scarlet & Violet,Booster Pack,$7.52
11955475,Pokemon Scarlet & Violet,Booster Pack [Heavy],$14.52
4933782,Pokemon Scarlet & Violet,Breloom #4,$0.15
4934036,Pokemon Scarlet & Violet,Breloom [Reverse Holo] #4,$0.20
4933827,Pokemon Scarlet & Violet,Bruxish #51,$0.14
4934080,Pokemon Scarlet & Violet,Bruxish [Reverse Holo] #51,$0.14
5834348,Pokemon Scarlet & Violet,Build & Battle Box,$30.46
7150037,Pokemon Scarlet & Violet,Build & Battle Display Box,$365.31
7077651,Pokemon Scarlet & Violet,Build & Battle Stadium,$73.50
4933822,Pokemon Scarlet & Violet,Buizel #46,$0.15
4934075,Pokemon Scarlet & Violet,Buizel [Reverse Holo] #46,$0.12
4933783,Pokemon Scarlet & Violet,Cacnea #5,$0.11
4934037,Pokemon Scarlet & Violet,Cacnea [Reverse Holo] #5,$0.19
4933784,Pokemon Scarlet & Violet,Cacturne #6,$0.15
4934038,Pokemon Scarlet & Violet,Cacturne [Reverse Holo] #6,$0.20
4933804,Pokemon Scarlet & Violet,Capsakid #27,$0.13
4933805,Pokemon Scarlet & Violet,Capsakid #28,$0.18
4934058,Pokemon Scarlet & Violet,Capsakid [Reverse Holo] #27,$0.14
4934059,Pokemon Scarlet & Violet,Capsakid [Reverse Holo] #28,$0.22
4933836,Pokemon Scarlet & Violet,Cetitan #60,$0.18
4934089,Pokemon Scarlet & Violet,Cetitan [Reverse Holo] #60,$0.16
4933834,Pokemon Scarlet & Violet,Cetoddle #58,$0.16
4933835,Pokemon Scarlet & Violet,Cetoddle #59,$0.15
4934087,Pokemon Scarlet & Violet,Cetoddle [Reverse Holo] #58,$0.25
4934088,Pokemon Scarlet & Violet,Cetoddle [Reverse Holo] #59,$0.18
4933918,Pokemon Scarlet & Violet,Chansey #144,$0.25
4934165,Pokemon Scarlet & Violet,Chansey [Reverse Holo] #144,$0.25
4933815,Pokemon Scarlet & Violet,Charcadet #39,$0.25
4933816,Pokemon Scarlet & Violet,Charcadet #40,$0.13
4934069,Pokemon Scarlet & Violet,Charcadet [Reverse Holo] #39,$0.24
4934070,Pokemon Scarlet & Violet,Charcadet [Reverse Holo] #40,$0.19
5964675,Pokemon Scarlet & Violet,Charizard ex Premium Collection Box,$76.95
10908641,Pokemon Scarlet & Violet,Checklane Blister [Hisuian Arcanine],$15.00
10908646,Pokemon Scarlet & Violet,Checklane Blister [Hisuian Zoroark],$14.99
10908822,Pokemon Scarlet & Violet,Checklane Blister: Espathra,$9.99
4933979,Pokemon Scarlet & Violet,Clauncher #205,$5.33
4933825,Pokemon Scarlet & Violet,Clauncher #49,$0.13
4934078,Pokemon Scarlet & Violet,Clauncher [Reverse Holo] #49,$0.15
4933826,Pokemon Scarlet & Violet,Clawitzer #50,$0.09
4934079,Pokemon Scarlet & Violet,Clawitzer [Reverse Holo] #50,$0.11
4933905,Pokemon Scarlet & Violet,Croagunk #130,$0.09
4934153,Pokemon Scarlet & Violet,Croagunk [Reverse Holo] #130,$0.14
4933813,Pokemon Scarlet & Violet,Crocalor #37,$0.16
4934067,Pokemon Scarlet & Violet,Crocalor [Reverse Holo] #37,$0.30
4933942,Pokemon Scarlet & Violet,Crushing Hammer #168,$0.30
4934188,Pokemon Scarlet & Violet,Crushing Hammer [Reverse Holo] #168,$0.25
4933937,Pokemon Scarlet & Violet,Cyclizar #163,$0.13
5133982,Pokemon Scarlet & Violet,Cyclizar #164,$2.05
4933938,Pokemon Scarlet & Violet,Cyclizar [Holo] #164,$0.12
4934183,Pokemon Scarlet & Violet,Cyclizar [Reverse Holo] #163,$0.20
4934184,Pokemon Scarlet & Violet,Cyclizar [Reverse Holo] #164,$0.18
4933875,Pokemon Scarlet & Violet,Dachsbun #99,$0.20
4934124,Pokemon Scarlet & Violet,Dachsbun [Reverse Holo] #99,$0.22
4933870,Pokemon Scarlet & Violet,Dedenne #94,$0.12
4933871,Pokemon Scarlet & Violet,Dedenne #95,$0.19
4934119,Pokemon Scarlet & Violet,Dedenne [Reverse Holo] #94,$0.25
4934120,Pokemon Scarlet & Violet,Dedenne [Reverse Holo] #95,$0.66
4933943,Pokemon Scarlet & Violet,Defiance Band #169,$0.20
6399950,Pokemon Scarlet & Violet,Defiance Band [Prize Pack] #169,$0.16
4934189,Pokemon Scarlet & Violet,Defiance Band [Reverse Holo] #169,$0.36
4933974,Pokemon Scarlet & Violet,Dolliv #200,$4.31
4933799,Pokemon Scarlet & Violet,Dolliv #22,$0.10
4934053,Pokemon Scarlet & Violet,Dolliv [Reverse Holo] #22,$0.11
4933981,Pokemon Scarlet & Violet,Dondozo #207,$9.19
5058654,Pokemon Scarlet & Violet,Dondozo #61,$1.64
5325011,Pokemon Scarlet & Violet,Dondozo 3-Pack Blister,$22.24
4933837,Pokemon Scarlet & Violet,Dondozo [Holo] #61,$0.25
4934090,Pokemon Scarlet & Violet,Dondozo [Reverse Holo] #61,$0.16
4933866,Pokemon Scarlet & Violet,Drifblim #90,$0.16
4934115,Pokemon Scarlet & Violet,Drifblim [Reverse Holo] #90,$0.17
4933865,Pokemon Scarlet & Violet,Drifloon #89,$0.25
9908475,Pokemon Scarlet & Violet,Drifloon [Prize Pack] #89,$0.35
4934114,Pokemon Scarlet & Violet,Drifloon [Reverse Holo] #89,$0.16
4933984,Pokemon Scarlet & Violet,Drowzee #210,$32.00
4933858,Pokemon Scarlet & Violet,Drowzee #82,$0.09
4934109,Pokemon Scarlet & Violet,Drowzee [Reverse Holo] #82,$0.20
4933944,Pokemon Scarlet & Violet,Electric Generator #170,$0.28
10909788,Pokemon Scarlet & Violet,Electric Generator [Prize Pack Cosmos Holo] #170,$0.20
6658426,Pokemon Scarlet & Violet,Electric Generator [Prize Pack] #170,$0.24
4934190,Pokemon Scarlet & Violet,Electric Generator [Reverse Holo] #170,$0.20
4780193,Pokemon Scarlet & Violet,Elite Trainer Box [Koraidon],$90.70
4780192,Pokemon Scarlet & Violet,Elite Trainer Box [Miraidon],$97.20
5013826,Pokemon Scarlet & Violet,Elite Trainer Box: Koraidon [Pokemon Center],$229.29
5013825,Pokemon Scarlet & Violet,Elite Trainer Box: Miraidon [Pokemon Center],$272.50
4933945,Pokemon Scarlet & Violet,Energy Retrieval #171,$0.11
4934191,Pokemon Scarlet & Violet,Energy Retrieval [Reverse Holo] #171,$0.14
4933946,Pokemon Scarlet & Violet,Energy Search #172,$0.15
4934192,Pokemon Scarlet & Violet,Energy Search [Reverse Holo] #172,$0.20
4933947,Pokemon Scarlet & Violet,Energy Switch #173,$0.17
4934193,Pokemon Scarlet & Violet,Energy Switch [Reverse Holo] #173,$0.20
4933879,Pokemon Scarlet & Violet,Espathra #103,$0.10
4934128,Pokemon Scarlet & Violet,Espathra [Reverse Holo] #103,$0.14
4933948,Pokemon Scarlet & Violet,Exp. Share #174,$0.15
4934194,Pokemon Scarlet & Violet,Exp. Share [Reverse Holo] #174,$0.25
4933987,Pokemon Scarlet & Violet,Fidough #213,$14.00
4933873,Pokemon Scarlet & Violet,Fidough #97,$0.21
4933874,Pokemon Scarlet & Violet,Fidough #98,$0.24
4934122,Pokemon Scarlet & Violet,Fidough [Reverse Holo] #97,$0.33
4934123,Pokemon Scarlet & Violet,Fidough [Reverse Holo] #98,$0.28
7328194,Pokemon Scarlet & Violet,Fire Energy [Professor Program] #2,$27.67
4933843,Pokemon Scarlet & Violet,Flaaffy #67,$0.20
4934095,Pokemon Scarlet & Violet,Flaaffy [Reverse Holo] #67,$0.16
4933867,Pokemon Scarlet & Violet,Flabebe #91,$0.15
4934116,Pokemon Scarlet & Violet,Flabebe [Reverse Holo] #91,$0.20
4933939,Pokemon Scarlet & Violet,Flamigo #165,$0.16
4934185,Pokemon Scarlet & Violet,Flamigo [Reverse Holo] #165,$0.20
4933876,Pokemon Scarlet & Violet,Flittle #100,$0.12
4933877,Pokemon Scarlet & Violet,Flittle #101,$0.17
4933878,Pokemon Scarlet & Violet,Flittle #102,$0.14
4934125,Pokemon Scarlet & Violet,Flittle [Reverse Holo] #100,$0.17
4934126,Pokemon Scarlet & Violet,Flittle [Reverse Holo] #101,$0.16
4934127,Pokemon Scarlet & Violet,Flittle [Reverse Holo] #102,$0.15
4933823,Pokemon Scarlet & Violet,Floatzel #47,$0.09
4934076,Pokemon Scarlet & Violet,Floatzel [Reverse Holo] #47,$0.25
4933868,Pokemon Scarlet & Violet,Floette #92,$0.13
4934117,Pokemon Scarlet & Violet,Floette [Reverse Holo] #92,$0.25
4933791,Pokemon Scarlet & Violet,Floragato #14,$0.20
4934046,Pokemon Scarlet & Violet,Floragato [Reverse Holo] #14,$0.29
4933869,Pokemon Scarlet & Violet,Florges #93,$0.16
