id,console-name,product-name,loose-price
920912,Pokemon Secret Wonders,Absol #21,$4.00
921043,Pokemon Secret Wonders,Absol [Reverse Holo] #21,$6.99
920894,Pokemon Secret Wonders,Ampharos #1,$5.97
921023,Pokemon Secret Wonders,Ampharos [Reverse Holo] #1,$4.97
921153,Pokemon Secret Wonders,Arcanine #22,$4.29
921044,Pokemon Secret Wonders,Arcanine [Reverse Holo] #22,$20.99
920966,Pokemon Secret Wonders,Bagon #76,$0.74
921097,Pokemon Secret Wonders,Bagon [Reverse Holo] #76,$2.42
920913,Pokemon Secret Wonders,Banette #23,$2.20
921045,Pokemon Secret Wonders,Banette [Reverse Holo] #23,$2.64
921009,Pokemon Secret Wonders,Bebe's Search #119,$0.59
921141,Pokemon Secret Wonders,Bebe's Search [Reverse Holo] #119,$4.99
920892,Pokemon Secret Wonders,Blastoise #2,$23.08
921024,Pokemon Secret Wonders,Blastoise [Reverse Holo] #2,$22.94
9176180,Pokemon Secret Wonders,Blister Pack,$1000.00
2245037,Pokemon Secret Wonders,Booster Box,$12500.00
2245038,Pokemon Secret Wonders,Booster Pack,$233.30
920935,Pokemon Secret Wonders,Breloom #45,$1.19
921067,Pokemon Secret Wonders,Breloom [Reverse Holo] #45,$2.99
920967,Pokemon Secret Wonders,Bulbasaur #77,$2.17
921098,Pokemon Secret Wonders,Bulbasaur [Reverse Holo] #77,$18.81
920968,Pokemon Secret Wonders,Burmy #78,$0.77
920969,Pokemon Secret Wonders,Burmy #79,$0.50
920970,Pokemon Secret Wonders,Burmy #80,$1.11
921099,Pokemon Secret Wonders,Burmy [Reverse Holo] #78,$2.95
921100,Pokemon Secret Wonders,Burmy [Reverse Holo] #79,$1.86
921101,Pokemon Secret Wonders,Burmy [Reverse Holo] #80,$2.55
920971,Pokemon Secret Wonders,Carvanha #81,$0.61
921102,Pokemon Secret Wonders,Carvanha [Reverse Holo] #81,$1.00
920893,Pokemon Secret Wonders,Charizard #3,$63.07
921025,Pokemon Secret Wonders,Charizard [Reverse Holo] #3,$52.77
920972,Pokemon Secret Wonders,Charmander #82,$1.79
921103,Pokemon Secret Wonders,Charmander [Reverse Holo] #82,$18.98
920936,Pokemon Secret Wonders,Charmeleon #46,$1.46
921068,Pokemon Secret Wonders,Charmeleon [Reverse Holo] #46,$8.50
920973,Pokemon Secret Wonders,Clefairy #83,$1.25
