id,console-name,product-name,loose-price
1341608,Pokemon Shining Fates,Alcremie #SV058,$3.99
1341541,Pokemon Shining Fates,Alcremie V #64,$4.52
1341550,Pokemon Shining Fates,Alcremie VMAX #73,$4.26
1341564,Pokemon Shining Fates,Appletun #SV014,$4.33
1341562,Pokemon Shining Fates,Applin #SV012,$5.19
1341587,Pokemon Shining Fates,Arctovish #SV037,$1.92
1341596,Pokemon Shining Fates,Arctozolt #SV046,$3.62
1341581,Pokemon Shining Fates,Arrokuda #SV031,$1.82
1341534,Pokemon Shining Fates,Ball Guy #57,$0.06
1341542,Pokemon Shining Fates,Ball Guy #65,$5.11
1341716,Pokemon Shining Fates,Ball Guy [Reverse Holo] #57,$0.38
1341582,Pokemon Shining Fates,Barraskewda #SV032,$1.67
1341543,Pokemon Shining Fates,Bird Keeper #66,$2.46
1341557,Pokemon Shining Fates,Blipbug #SV007,$1.52
1341590,Pokemon Shining Fates,Boltund #SV040,$2.06
7978822,Pokemon Shining Fates,Boltund V Tin,$44.97
2189389,Pokemon Shining Fates,Booster Pack,$13.00
1341535,Pokemon Shining Fates,Boss's Orders #58,$0.26
8616861,Pokemon Shining Fates,Boss's Orders [Holo] #58,$6.66
9370282,Pokemon Shining Fates,Boss's Orders [Prize Pack] #58,$7.21
1341717,Pokemon Shining Fates,Boss's Orders [Reverse Holo] #58,$0.50
1341499,Pokemon Shining Fates,Buizel #22,$0.10
1341689,Pokemon Shining Fates,Buizel [Reverse Holo] #22,$0.20
1341647,Pokemon Shining Fates,Bunnelby #SV097,$1.07
1341479,Pokemon Shining Fates,Cacnea #4,$0.13
1341675,Pokemon Shining Fates,Cacnea [Reverse Holo] #4,$0.12
1341544,Pokemon Shining Fates,Cara Liss #67,$1.49
1341618,Pokemon Shining Fates,Carkol #SV068,$1.49
1341480,Pokemon Shining Fates,Celebi #3,$0.27
1341674,Pokemon Shining Fates,Celebi [Reverse Holo] #3,$0.60
1341569,Pokemon Shining Fates,Centiskorch #SV019,$1.95
1341658,Pokemon Shining Fates,Centiskorch V #SV108,$1.75
1341659,Pokemon Shining Fates,Centiskorch VMAX #SV109,$2.32
1341657,Pokemon Shining Fates,Charizard VMAX #SV107,$121.21
1341503,Pokemon Shining Fates,Chewtle #26,$0.15
1341578,Pokemon Shining Fates,Chewtle #SV028,$1.95
1341693,Pokemon Shining Fates,Chewtle [Reverse Holo] #26,$0.30
1341644,Pokemon Shining Fates,Cinccino #SV094,$4.44
