id,console-name,product-name,loose-price
961106,Pokemon Shining Legends,Arbok #37,$0.84
2978770,Pokemon Shining Legends,Arbok [Reverse Holo] #37,$1.09
4555923,Pokemon Shining Legends,Booster Pack,$69.75
961074,Pokemon Shining Legends,Breloom #5,$0.25
2978748,Pokemon Shining Legends,Breloom [Reverse Holo] #5,$0.51
961091,Pokemon Shining Legends,Buizel #22,$0.25
2978761,Pokemon Shining Legends,Buizel [Reverse Holo] #22,$0.51
961070,Pokemon Shining Legends,Bulbasaur #1,$0.99
8844351,Pokemon Shining Legends,Bulbasaur [General Mills] #1,$15.95
2978745,Pokemon Shining Legends,Bulbasaur [Reverse Holo] #1,$2.37
961075,Pokemon Shining Legends,Carnivine #6,$0.45
2978749,Pokemon Shining Legends,Carnivine [Reverse Holo] #6,$0.57
961088,Pokemon Shining Legends,Croconaw #19,$0.72
2978758,Pokemon Shining Legends,Croconaw [Reverse Holo] #19,$0.66
961127,Pokemon Shining Legends,Damage Mover #58,$0.20
2978780,Pokemon Shining Legends,Damage Mover [Reverse Holo] #58,$0.36
961138,Pokemon Shining Legends,Double Colorless Energy #69,$0.63
2978789,Pokemon Shining Legends,Double Colorless Energy [Reverse Holo] #69,$1.12
961105,Pokemon Shining Legends,Ekans #36,$0.22
2978769,Pokemon Shining Legends,Ekans [Reverse Holo] #36,$0.50
961100,Pokemon Shining Legends,Electrode #31,$0.26
2978767,Pokemon Shining Legends,Electrode [Reverse Holo] #31,$0.86
4780180,Pokemon Shining Legends,Elite Trainer Box,$735.96
961128,Pokemon Shining Legends,Energy Retrieval #59,$0.30
2978781,Pokemon Shining Legends,Energy Retrieval [Reverse Holo] #59,$0.40
961079,Pokemon Shining Legends,Entei GX #10,$3.03
2418264,Pokemon Shining Legends,Entei GX #10a,$4.48
961140,Pokemon Shining Legends,Entei GX #71,$8.00
961143,Pokemon Shining Legends,Entei GX #74,$27.14
961089,Pokemon Shining Legends,Feraligatr #20,$0.73
2978759,Pokemon Shining Legends,Feraligatr [Reverse Holo] #20,$0.99
11266973,Pokemon Shining Legends,Figure Collection Shiny Darkrai GX,$375.49
961092,Pokemon Shining Legends,Floatzel #23,$0.15
2978762,Pokemon Shining Legends,Floatzel [Reverse Holo] #23,$0.22
961112,Pokemon Shining Legends,Golett #43,$0.25
2975518,Pokemon Shining Legends,Golett [Reverse Holo] #43,$0.29
961113,Pokemon Shining Legends,Golurk #44,$0.27
2978773,Pokemon Shining Legends,Golurk [Reverse Holo] #44,$0.83
961129,Pokemon Shining Legends,Great Ball #60,$0.19
2978782,Pokemon Shining Legends,Great Ball [Reverse Holo] #60,$0.49
961130,Pokemon Shining Legends,Hau #61,$0.18
2978783,Pokemon Shining Legends,Hau [Reverse Holo] #61,$0.50
961124,Pokemon Shining Legends,Hoopa #55,$0.54
2424373,Pokemon Shining Legends,Hoopa [Reverse Holo] #55,$1.54
961086,Pokemon Shining Legends,Incineroar #17,$0.50
2978756,Pokemon Shining Legends,Incineroar [Reverse Holo] #17,$0.51
961071,Pokemon Shining Legends,Ivysaur #2,$0.90
2864133,Pokemon Shining Legends,Ivysaur [Reverse Holo] #2,$1.74
961107,Pokemon Shining Legends,Jynx #38,$0.50
2250685,Pokemon Shining Legends,Jynx [Reverse Holo] #38,$1.05
961095,Pokemon Shining Legends,Keldeo #26,$0.35
2978763,Pokemon Shining Legends,Keldeo [Reverse Holo] #26,$1.50
