id,console-name,product-name,loose-price
7108656,Pokemon Shrouded Fable,3 Pack Blister,$33.12
7108687,Pokemon Shrouded Fable,Absol #30,$0.12
7108784,Pokemon Shrouded Fable,Absol [Reverse Holo] #30,$0.40
7108711,Pokemon Shrouded Fable,Academy at Night #54,$0.15
7108805,Pokemon Shrouded Fable,Academy at Night [Reverse Holo] #54,$1.71
7108701,Pokemon Shrouded Fable,Axew #44,$0.10
7108795,Pokemon Shrouded Fable,Axew [Reverse Holo] #44,$1.18
7108755,Pokemon Shrouded Fable,Basic Darkness Energy #98,$41.05
7108756,Pokemon Shrouded Fable,Basic Metal Energy #99,$25.07
7108710,Pokemon Shrouded Fable,Bewear #53,$0.10
7108736,Pokemon Shrouded Fable,Bewear #79,$15.75
7108804,Pokemon Shrouded Fable,Bewear [Reverse Holo] #53,$1.25
7108712,Pokemon Shrouded Fable,Binding Mochi #55,$0.20
10601614,Pokemon Shrouded Fable,Binding Mochi [Prize Pack Cosmos Holo] #55,$0.19
10601613,Pokemon Shrouded Fable,Binding Mochi [Prize Pack] #55,$0.20
7108806,Pokemon Shrouded Fable,Binding Mochi [Reverse Holo] #55,$1.31
7108682,Pokemon Shrouded Fable,Bloodmoon Ursaluna #25,$0.27
7108779,Pokemon Shrouded Fable,Bloodmoon Ursaluna [Reverse Holo] #25,$0.12
7108651,Pokemon Shrouded Fable,Booster Bundle,$42.98
7446052,Pokemon Shrouded Fable,Booster Bundle Display Box,$546.55
7108652,Pokemon Shrouded Fable,Booster Pack,$8.25
7108713,Pokemon Shrouded Fable,Cassiopeia #56,$0.18
7108743,Pokemon Shrouded Fable,Cassiopeia #86,$3.18
7108751,Pokemon Shrouded Fable,Cassiopeia #94,$30.14
7108807,Pokemon Shrouded Fable,Cassiopeia [Reverse Holo] #56,$1.74
7108714,Pokemon Shrouded Fable,Colress's Tenacity #57,$0.17
7108744,Pokemon Shrouded Fable,Colress's Tenacity #87,$4.26
10951951,Pokemon Shrouded Fable,Colress's Tenacity [Prize Pack] #57,$0.13
7108808,Pokemon Shrouded Fable,Colress's Tenacity [Reverse Holo] #57,$1.44
7108699,Pokemon Shrouded Fable,Copperajah #42,$0.16
7108793,Pokemon Shrouded Fable,Copperajah [Reverse Holo] #42,$1.61
7108678,Pokemon Shrouded Fable,Cresselia #21,$0.16
7108728,Pokemon Shrouded Fable,Cresselia #71,$17.77
7108775,Pokemon Shrouded Fable,Cresselia [Reverse Holo] #21,$0.25
7108680,Pokemon Shrouded Fable,Croagunk #23,$0.20
7108777,Pokemon Shrouded Fable,Croagunk [Reverse Holo] #23,$0.11
7108686,Pokemon Shrouded Fable,Crobat #29,$0.21
7108783,Pokemon Shrouded Fable,Crobat [Reverse Holo] #29,$0.21
7108698,Pokemon Shrouded Fable,Cufant #41,$0.10
7108733,Pokemon Shrouded Fable,Cufant #76,$10.18
7108792,Pokemon Shrouded Fable,Cufant [Reverse Holo] #41,$1.31
7108715,Pokemon Shrouded Fable,Dangerous Laser #58,$0.73
7108661,Pokemon Shrouded Fable,Dartrix #4,$0.23
7108760,Pokemon Shrouded Fable,Dartrix [Reverse Holo] #4,$0.25
7108662,Pokemon Shrouded Fable,Decidueye #5,$0.15
7108761,Pokemon Shrouded Fable,Decidueye [Reverse Holo] #5,$0.17
7108673,Pokemon Shrouded Fable,Drowzee #16,$0.09
7108770,Pokemon Shrouded Fable,Drowzee [Reverse Holo] #16,$0.13
7108676,Pokemon Shrouded Fable,Dusclops #19,$0.30
7108726,Pokemon Shrouded Fable,Dusclops #69,$25.08
10951301,Pokemon Shrouded Fable,Dusclops [Prize Pack Cosmos Holo] #19,$3.49
10951300,Pokemon Shrouded Fable,Dusclops [Prize Pack] #19,$0.20
7108773,Pokemon Shrouded Fable,Dusclops [Reverse Holo] #19,$0.35
7108677,Pokemon Shrouded Fable,Dusknoir #20,$0.30
7108727,Pokemon Shrouded Fable,Dusknoir #70,$21.95
10951920,Pokemon Shrouded Fable,Dusknoir [Prize Pack Cosmos Holo] #20,$5.99
10951919,Pokemon Shrouded Fable,Dusknoir [Prize Pack] #20,$0.29
7108774,Pokemon Shrouded Fable,Dusknoir [Reverse Holo] #20,$0.25
7108675,Pokemon Shrouded Fable,Duskull #18,$0.11
7108725,Pokemon Shrouded Fable,Duskull #68,$33.10
7108772,Pokemon Shrouded Fable,Duskull [Reverse Holo] #18,$0.23
7108753,Pokemon Shrouded Fable,Earthen Vessel #96,$29.72
7108707,Pokemon Shrouded Fable,Eevee #50,$0.78
7108801,Pokemon Shrouded Fable,Eevee [Reverse Holo] #50,$1.79
7108653,Pokemon Shrouded Fable,Elite Trainer Box,$74.85
7306693,Pokemon Shrouded Fable,Elite Trainer Box [Pokemon Center],$122.75
7108730,Pokemon Shrouded Fable,Fezandipiti #73,$8.14
10951921,Pokemon Shrouded Fable,Fezandipiti Ex [Prize Pack] #38,$7.55
7108695,Pokemon Shrouded Fable,Fezandipiti ex #38,$5.84
7108741,Pokemon Shrouded Fable,Fezandipiti ex #84,$13.28
7108749,Pokemon Shrouded Fable,Fezandipiti ex #92,$43.98
7108702,Pokemon Shrouded Fable,Fraxure #45,$0.07
7108734,Pokemon Shrouded Fable,Fraxure #77,$9.00
7108796,Pokemon Shrouded Fable,Fraxure [Reverse Holo] #45,$1.29
7108708,Pokemon Shrouded Fable,Furfrou #51,$0.05
7108802,Pokemon Shrouded Fable,Furfrou [Reverse Holo] #51,$1.34
7108659,Pokemon Shrouded Fable,Galvantula #2,$0.10
10656700,Pokemon Shrouded Fable,Galvantula [Prize Pack] #2,$0.27
7108758,Pokemon Shrouded Fable,Galvantula [Reverse Holo] #2,$0.36
