id,console-name,product-name,loose-price
10113047,Pokemon Silver Tempest,3 Pack Blister: Togetic,$22.50
4277294,Pokemon Silver Tempest,Alolan Vulpix V #173,$7.09
4277152,Pokemon Silver Tempest,Alolan Vulpix V #33,$1.97
11749011,Pokemon Silver Tempest,Alolan Vulpix V [Prize Pack] #33,$5.71
5810879,Pokemon Silver Tempest,Alolan Vulpix V [Snowflake Stamp] #33,$1.55
4277318,Pokemon Silver Tempest,Alolan Vulpix VSTAR #197,$15.60
4277153,Pokemon Silver Tempest,Alolan Vulpix VSTAR #34,$2.96
11749012,Pokemon Silver Tempest,Alolan Vulpix VSTAR [Prize Pack] #34,$10.22
4277264,Pokemon Silver Tempest,Altaria #143,$0.16
4277099,Pokemon Silver Tempest,Altaria #TG11,$4.77
4293863,Pokemon Silver Tempest,Altaria [Reverse Holo] #143,$0.59
4277130,Pokemon Silver Tempest,Amoonguss #12,$0.25
4293763,Pokemon Silver Tempest,Amoonguss [Reverse Holo] #12,$0.25
4277216,Pokemon Silver Tempest,Anorith #95,$0.10
4293826,Pokemon Silver Tempest,Anorith [Reverse Holo] #95,$0.56
4277168,Pokemon Silver Tempest,Araquanid #48,$0.18
4293889,Pokemon Silver Tempest,Araquanid [Reverse Holo] #48,$0.18
4277138,Pokemon Silver Tempest,Arcanine #20,$0.50
4293770,Pokemon Silver Tempest,Arcanine [Reverse Holo] #20,$0.47
4277267,Pokemon Silver Tempest,Archen #146,$0.10
4293866,Pokemon Silver Tempest,Archen [Reverse Holo] #146,$0.19
4277268,Pokemon Silver Tempest,Archeops #147,$0.26
4522169,Pokemon Silver Tempest,Archeops [Holo] #147,$0.50
10100355,Pokemon Silver Tempest,Archeops [Prize Pack] #147,$2.95
4293867,Pokemon Silver Tempest,Archeops [Reverse Holo] #147,$0.40
4277122,Pokemon Silver Tempest,Ariados [Holo] #4,$0.16
4293757,Pokemon Silver Tempest,Ariados [Reverse Holo] #4,$0.26
4277217,Pokemon Silver Tempest,Armaldo #96,$0.32
4293827,Pokemon Silver Tempest,Armaldo [Reverse Holo] #96,$0.32
4951556,Pokemon Silver Tempest,Articuno [Cosmos Holo] #36,$1.27
4277155,Pokemon Silver Tempest,Articuno [Holo] #36,$0.47
4293780,Pokemon Silver Tempest,Articuno [Reverse Holo] #36,$0.43
4277214,Pokemon Silver Tempest,Baltoy #93,$0.40
4293824,Pokemon Silver Tempest,Baltoy [Reverse Holo] #93,$0.49
