id,console-name,product-name,loose-price
842706,Pokemon Skyridge,Abra #46,$16.29
2252644,Pokemon Skyridge,Abra [Reverse Holo] #46,$60.95
842665,Pokemon Skyridge,Aerodactyl #1,$35.50
2252602,Pokemon Skyridge,Aerodactyl [Reverse Holo] #1,$54.21
842666,Pokemon Skyridge,Alakazam #2,$43.19
887990,Pokemon Skyridge,Alakazam #H1,$719.50
2252603,Pokemon Skyridge,Alakazam [Reverse Holo] #2,$153.80
842769,Pokemon Skyridge,Ancient Ruins #119,$6.47
2252718,Pokemon Skyridge,Ancient Ruins [Reverse Holo] #119,$24.99
842771,Pokemon Skyridge,Apricorn Maker #121,$8.42
2252720,Pokemon Skyridge,Apricorn Maker [Reverse Holo] #121,$21.99
842667,Pokemon Skyridge,Arcanine #3,$50.68
888001,Pokemon Skyridge,Arcanine #H2,$262.50
2252604,Pokemon Skyridge,Arcanine [Reverse Holo] #3,$72.50
842668,Pokemon Skyridge,Articuno #4,$39.99
888012,Pokemon Skyridge,Articuno #H3,$340.76
2252605,Pokemon Skyridge,Articuno [Reverse Holo] #4,$70.99
842669,Pokemon Skyridge,Beedrill #5,$22.88
888016,Pokemon Skyridge,Beedrill #H4,$159.68
2252606,Pokemon Skyridge,Beedrill [Reverse Holo] #5,$36.57
6234250,Pokemon Skyridge,Blister Pack,$2585.55
2245067,Pokemon Skyridge,Booster Box,$58325.88
2245068,Pokemon Skyridge,Booster Pack,$2069.05
842787,Pokemon Skyridge,Bounce Energy #142,$4.99
2252741,Pokemon Skyridge,Bounce Energy [Reverse Holo] #142,$29.72
842707,Pokemon Skyridge,Buried Fossil #47,$18.09
2252645,Pokemon Skyridge,Buried Fossil [Reverse Holo] #47,$26.06
842790,Pokemon Skyridge,Celebi #145,$585.08
2252744,Pokemon Skyridge,Celebi [Reverse Holo] #145,$389.19
842791,Pokemon Skyridge,Charizard #146,$2258.19
3930135,Pokemon Skyridge,Charizard [Box Topper] #9,$704.97
2250668,Pokemon Skyridge,Charizard [Reverse Holo] #146,$1113.47
842708,Pokemon Skyridge,Cleffa #48,$11.80
2252646,Pokemon Skyridge,Cleffa [Reverse Holo] #48,$69.99
887988,Pokemon Skyridge,Crobat #147,$437.45
842670,Pokemon Skyridge,Crobat #6,$35.73
888017,Pokemon Skyridge,Crobat #H5,$240.28
9994474,Pokemon Skyridge,Crobat [Box Topper] #10,$134.92
2252745,Pokemon Skyridge,Crobat [Reverse Holo] #147,$241.11
2252607,Pokemon Skyridge,Crobat [Reverse Holo] #6,$56.60
842772,Pokemon Skyridge,Crystal Shard #122,$4.36
2252721,Pokemon Skyridge,Crystal Shard [Reverse Holo] #122,$18.47
842788,Pokemon Skyridge,Cyclone Energy #143,$5.80
2252742,Pokemon Skyridge,Cyclone Energy [Reverse Holo] #143,$19.34
842709,Pokemon Skyridge,Delibird #49,$14.58
2252647,Pokemon Skyridge,Delibird [Reverse Holo] #49,$36.86
842773,Pokemon Skyridge,Desert Shaman #123,$23.37
2252722,Pokemon Skyridge,Desert Shaman [Reverse Holo] #123,$33.37
842671,Pokemon Skyridge,Dewgong #7,$21.62
888018,Pokemon Skyridge,Dewgong #H6,$208.40
2252780,Pokemon Skyridge,Dewgong [Reverse Holo] #7,$26.59
842710,Pokemon Skyridge,Diglett #50,$21.00
2252648,Pokemon Skyridge,Diglett [Reverse Holo] #50,$50.00
842711,Pokemon Skyridge,Ditto #51,$41.69
2252649,Pokemon Skyridge,Ditto [Reverse Holo] #51,$167.46
842712,Pokemon Skyridge,Dugtrio #52,$14.22
