id,console-name,product-name,loose-price
960169,Pokemon Steam Siege,Aipom #90,$0.51
960272,Pokemon Steam Siege,Aipom [Reverse Holo] #90,$0.55
960170,Pokemon Steam Siege,Ambipom #91,$0.14
960273,Pokemon Steam Siege,Ambipom [Reverse Holo] #91,$0.26
960092,Pokemon Steam Siege,Amoonguss #13,$0.32
960207,Pokemon Steam Siege,Amoonguss [Reverse Holo] #13,$0.99
960119,Pokemon Steam Siege,Ampharos #40,$1.36
960230,Pokemon Steam Siege,Ampharos [Reverse Holo] #40,$1.19
960135,Pokemon Steam Siege,Anorith #56,$0.40
960246,Pokemon Steam Siege,Anorith [Reverse Holo] #56,$0.77
960136,Pokemon Steam Siege,Armaldo #57,$0.40
960247,Pokemon Steam Siege,Armaldo [Reverse Holo] #57,$0.90
960177,Pokemon Steam Siege,Armor Fossil Shieldon #98,$0.16
960280,Pokemon Steam Siege,Armor Fossil Shieldon [Reverse Holo] #98,$0.45
960116,Pokemon Steam Siege,Avalugg #37,$0.60
960227,Pokemon Steam Siege,Avalugg [Reverse Holo] #37,$0.68
960156,Pokemon Steam Siege,Azumarill #77,$1.80
960263,Pokemon Steam Siege,Azumarill [Reverse Holo] #77,$10.35
960149,Pokemon Steam Siege,Bastiodon #70,$0.33
960257,Pokemon Steam Siege,Bastiodon [Reverse Holo] #70,$0.69
960115,Pokemon Steam Siege,Bergmite #36,$0.15
960226,Pokemon Steam Siege,Bergmite [Reverse Holo] #36,$0.50
960143,Pokemon Steam Siege,Bisharp #64,$1.30
7457048,Pokemon Steam Siege,Bisharp [Cosmos Holo] #64,$2.18
960254,Pokemon Steam Siege,Bisharp [Reverse Holo] #64,$1.61
9438068,Pokemon Steam Siege,Blister Pack: Floette,$36.65
11860518,Pokemon Steam Siege,Blister Pack: Lucario,$84.07
2244969,Pokemon Steam Siege,Booster Box,$1130.00
2244970,Pokemon Steam Siege,Booster Pack,$24.74
960172,Pokemon Steam Siege,Braviary #93,$0.19
960275,Pokemon Steam Siege,Braviary [Reverse Holo] #93,$0.41
960178,Pokemon Steam Siege,Captivating Poke Puff #99,$0.32
960281,Pokemon Steam Siege,Captivating Poke Puff [Reverse Holo] #99,$0.42
960129,Pokemon Steam Siege,Chandelure #50,$1.66
960240,Pokemon Steam Siege,Chandelure [Reverse Holo] #50,$2.38
960097,Pokemon Steam Siege,Chimchar #18,$0.30
