id,console-name,product-name,loose-price
7418550,Pokemon Stellar Crown,Alcremie #65,$0.73
7418719,Pokemon Stellar Crown,Alcremie [Reverse Holo] #65,$0.21
7418614,Pokemon Stellar Crown,Antique Cover Fossil #129,$0.12
7418776,Pokemon Stellar Crown,Antique Cover Fossil [Reverse Holo] #129,$0.43
7418615,Pokemon Stellar Crown,Antique Root Fossil #130,$0.29
7418777,Pokemon Stellar Crown,Antique Root Fossil [Reverse Holo] #130,$0.49
7418497,Pokemon Stellar Crown,Applin #12,$0.08
7418671,Pokemon Stellar Crown,Applin [Reverse Holo] #12,$0.17
7418592,Pokemon Stellar Crown,Archaludon #107,$0.33
7418640,Pokemon Stellar Crown,Archaludon #155,$3.08
9637859,Pokemon Stellar Crown,Archaludon [Cosmos Holo Gamestop] #107,$9.57
7445419,Pokemon Stellar Crown,Archaludon [Cosmos Holo Stamped] #107,$12.65
8877645,Pokemon Stellar Crown,Archaludon [Cosmos Holo] #107,$2.48
7763014,Pokemon Stellar Crown,Archaludon [EB Games] #107,$15.02
7419342,Pokemon Stellar Crown,Archaludon [GameStop] #107,$13.15
10601616,Pokemon Stellar Crown,Archaludon [Prize Pack Cosmos Holo] #107,$0.09
10601615,Pokemon Stellar Crown,Archaludon [Prize Pack] #107,$0.10
7418756,Pokemon Stellar Crown,Archaludon [Reverse Holo] #107,$0.15
7418616,Pokemon Stellar Crown,Area Zero Underdepths #131,$0.05
7418659,Pokemon Stellar Crown,Area Zero Underdepths #174,$8.02
10366693,Pokemon Stellar Crown,Area Zero Underdepths [Gym Stamp Asia] #131,$25.00
10045701,Pokemon Stellar Crown,Area Zero Underdepths [Prize Pack] #131,$0.10
7418778,Pokemon Stellar Crown,Area Zero Underdepths [Reverse Holo] #131,$0.18
7418519,Pokemon Stellar Crown,Azumarill #34,$0.10
7418690,Pokemon Stellar Crown,Azumarill [Reverse Holo] #34,$0.21
10212998,Pokemon Stellar Crown,Blastoise Ex [Stamped] #30,$3.96
7418515,Pokemon Stellar Crown,Blastoise ex #30,$2.26
7418582,Pokemon Stellar Crown,Bombirdier #97,$0.08
7418747,Pokemon Stellar Crown,Bombirdier [Reverse Holo] #97,$0.13
7418476,Pokemon Stellar Crown,Booster Box,$259.99
7418480,Pokemon Stellar Crown,Booster Bundle,$48.73
7418479,Pokemon Stellar Crown,Booster Pack,$8.07
7518557,Pokemon Stellar Crown,Bouffalant #119,$0.15
7418604,Pokemon Stellar Crown,Bouffalant [Holo] #119,$0.13
9370139,Pokemon Stellar Crown,Bouffalant [Prize Pack] #119,$0.18
7418767,Pokemon Stellar Crown,Bouffalant [Reverse Holo] #119,$0.19
7418660,Pokemon Stellar Crown,Bravery Charm #175,$8.80
7418617,Pokemon Stellar Crown,Briar #132,$0.06
7418648,Pokemon Stellar Crown,Briar #163,$2.13
7418656,Pokemon Stellar Crown,Briar #171,$15.05
10235802,Pokemon Stellar Crown,Briar [Prize Pack Series 7] #132,$2.99
7640442,Pokemon Stellar Crown,Briar [Regional Championships Staff] #132,$138.37
7640441,Pokemon Stellar Crown,Briar [Regional Championships] #132,$20.67
7418779,Pokemon Stellar Crown,Briar [Reverse Holo] #132,$0.30
7629316,Pokemon Stellar Crown,Build & Battle Display Box,$340.00
7418478,Pokemon Stellar Crown,Build and Battle Box,$39.99
7418628,Pokemon Stellar Crown,Bulbasaur #143,$65.09
7418492,Pokemon Stellar Crown,Carnivine #7,$0.18
7418666,Pokemon Stellar Crown,Carnivine [Reverse Holo] #7,$0.13
7418523,Pokemon Stellar Crown,Carracosta #38,$0.35
7418694,Pokemon Stellar Crown,Carracosta [Reverse Holo] #38,$0.20
7418489,Pokemon Stellar Crown,Celebi #4,$0.11
7418663,Pokemon Stellar Crown,Celebi [Reverse Holo] #4,$0.21
7418514,Pokemon Stellar Crown,Charcadet #29,$0.14
7418686,Pokemon Stellar Crown,Charcadet [Reverse Holo] #29,$0.18
7418537,Pokemon Stellar Crown,Charjabug #52,$0.15
7418706,Pokemon Stellar Crown,Charjabug [Reverse Holo] #52,$0.15
7418528,Pokemon Stellar Crown,Chewtle #43,$0.17
7418698,Pokemon Stellar Crown,Chewtle [Reverse Holo] #43,$0.20
7418533,Pokemon Stellar Crown,Chinchou #48,$0.10
7418703,Pokemon Stellar Crown,Chinchou [Reverse Holo] #48,$0.14
7418642,Pokemon Stellar Crown,Cinderace ex #157,$3.45
7418513,Pokemon Stellar Crown,Cinderace ex #28,$1.75
7418548,Pokemon Stellar Crown,Comfey #63,$0.20
7418717,Pokemon Stellar Crown,Comfey [Reverse Holo] #63,$0.15
7418634,Pokemon Stellar Crown,Crabominable #149,$2.77
7418527,Pokemon Stellar Crown,Crabominable #42,$0.10
10310351,Pokemon Stellar Crown,Crabominable [Holiday Calendar] #149,$2.73
7418697,Pokemon Stellar Crown,Crabominable [Reverse Holo] #42,$0.14
7418572,Pokemon Stellar Crown,Crabrawler #87,$0.14
7418738,Pokemon Stellar Crown,Crabrawler [Reverse Holo] #87,$0.15
7418491,Pokemon Stellar Crown,Cradily #6,$0.25
7418665,Pokemon Stellar Crown,Cradily [Reverse Holo] #6,$0.25
7418618,Pokemon Stellar Crown,Crispin #133,$0.21
7418649,Pokemon Stellar Crown,Crispin #164,$4.95
10257277,Pokemon Stellar Crown,Crispin [Prize Pack] #133,$0.18
7418780,Pokemon Stellar Crown,Crispin [Reverse Holo] #133,$0.62
