id,console-name,product-name,loose-price
7307263,Pokemon Stormfront,2-Pack Blister,$499.00
6969247,Pokemon Stormfront,3-Pack Blister,$999.95
925225,Pokemon Stormfront,Abomasnow #12,$1.33
925317,Pokemon Stormfront,Abomasnow [Reverse Holo] #12,$2.33
925266,Pokemon Stormfront,Bagon #53,$1.34
925352,Pokemon Stormfront,Bagon [Reverse Holo] #53,$4.77
925245,Pokemon Stormfront,Bibarel #32,$0.50
925331,Pokemon Stormfront,Bibarel [Reverse Holo] #32,$1.53
925267,Pokemon Stormfront,Bidoof #54,$2.08
925353,Pokemon Stormfront,Bidoof [Reverse Holo] #54,$14.56
6737055,Pokemon Stormfront,Blister Pack,$359.43
2245031,Pokemon Stormfront,Booster Box,$14382.35
2245032,Pokemon Stormfront,Booster Pack,$215.88
925226,Pokemon Stormfront,Bronzong #13,$1.17
925316,Pokemon Stormfront,Bronzong [Reverse Holo] #13,$1.90
925268,Pokemon Stormfront,Bronzor #55,$0.50
925354,Pokemon Stormfront,Bronzor [Reverse Holo] #55,$1.87
925246,Pokemon Stormfront,Budew #33,$5.01
925333,Pokemon Stormfront,Budew [Reverse Holo] #33,$10.99
925879,Pokemon Stormfront,Charizard #103,$165.15
925301,Pokemon Stormfront,Charmander #101,$84.35
925303,Pokemon Stormfront,Charmeleon #102,$35.00
925227,Pokemon Stormfront,Cherrim #14,$1.99
925882,Pokemon Stormfront,Cherrim [Reverse Holo] #14,$4.50
925269,Pokemon Stormfront,Cherubi #56,$1.02
925355,Pokemon Stormfront,Cherubi [Reverse Holo] #56,$4.30
925867,Pokemon Stormfront,Combee #57,$0.52
925356,Pokemon Stormfront,Combee [Reverse Holo] #57,$2.89
925875,Pokemon Stormfront,Conductive Quarry #82,$0.49
925381,Pokemon Stormfront,Conductive Quarry [Reverse Holo] #82,$1.88
925296,Pokemon Stormfront,Cyclone Energy #94,$0.84
925393,Pokemon Stormfront,Cyclone Energy [Reverse Holo] #94,$1.49
925228,Pokemon Stormfront,Drapion #15,$1.99
925318,Pokemon Stormfront,Drapion [Reverse Holo] #15,$2.60
925229,Pokemon Stormfront,Drifblim #16,$1.74
925883,Pokemon Stormfront,Drifblim [Reverse Holo] #16,$4.99
925270,Pokemon Stormfront,Drifloon #58,$0.42
925880,Pokemon Stormfront,Drifloon #SH1,$34.95
925357,Pokemon Stormfront,Drifloon [Reverse Holo] #58,$4.37
925247,Pokemon Stormfront,Dusclops #34,$0.75
925248,Pokemon Stormfront,Dusclops #35,$0.64
925334,Pokemon Stormfront,Dusclops [Reverse Holo] #34,$1.72
925335,Pokemon Stormfront,Dusclops [Reverse Holo] #35,$1.95
925214,Pokemon Stormfront,Dusknoir #1,$5.78
925230,Pokemon Stormfront,Dusknoir #17,$1.19
925297,Pokemon Stormfront,Dusknoir LV. X #96,$29.00
925881,Pokemon Stormfront,Dusknoir [Reverse Holo] #1,$4.72
925319,Pokemon Stormfront,Dusknoir [Reverse Holo] #17,$3.26
925868,Pokemon Stormfront,Duskull #59,$0.91
925271,Pokemon Stormfront,Duskull #60,$1.00
925304,Pokemon Stormfront,Duskull #SH2,$45.10
925358,Pokemon Stormfront,Duskull [Reverse Holo] #59,$5.00
925359,Pokemon Stormfront,Duskull [Reverse Holo] #60,$5.99
925249,Pokemon Stormfront,Electrode #36,$0.50
925250,Pokemon Stormfront,Electrode #37,$1.08
925338,Pokemon Stormfront,Electrode [Reverse Holo] #36,$1.99
925336,Pokemon Stormfront,Electrode [Reverse Holo] #37,$2.79
925215,Pokemon Stormfront,Empoleon #2,$4.30
7517767,Pokemon Stormfront,Empoleon [Cosmic Holo] #2,$10.10
925306,Pokemon Stormfront,Empoleon [Reverse Holo] #2,$4.99
925876,Pokemon Stormfront,Energy Link #83,$0.50
925382,Pokemon Stormfront,Energy Link [Reverse Holo] #83,$1.99
925287,Pokemon Stormfront,Energy Switch #84,$0.86
925383,Pokemon Stormfront,Energy Switch [Reverse Holo] #84,$3.62
925251,Pokemon Stormfront,Farfetch'd #38,$1.12
925337,Pokemon Stormfront,Farfetch'd [Reverse Holo] #38,$6.14
925869,Pokemon Stormfront,Finneon #61,$0.27
925360,Pokemon Stormfront,Finneon [Reverse Holo] #61,$1.78
925272,Pokemon Stormfront,Gastly #62,$2.53
925361,Pokemon Stormfront,Gastly [Reverse Holo] #62,$7.99
925231,Pokemon Stormfront,Gengar #18,$29.99
925320,Pokemon Stormfront,Gengar [Reverse Holo] #18,$99.00
925288,Pokemon Stormfront,Great Ball #85,$0.99
925384,Pokemon Stormfront,Great Ball [Reverse Holo] #85,$1.99
925252,Pokemon Stormfront,Grovyle #39,$1.44
925339,Pokemon Stormfront,Grovyle [Reverse Holo] #39,$3.17
925232,Pokemon Stormfront,Gyarados #19,$6.89
5962589,Pokemon Stormfront,Gyarados [Holo] #19,$10.12
925321,Pokemon Stormfront,Gyarados [Reverse Holo] #19,$17.60
925253,Pokemon Stormfront,Haunter #40,$2.98
925343,Pokemon Stormfront,Haunter [Reverse Holo] #40,$5.95
925298,Pokemon Stormfront,Heatran LV. X #97,$10.02
925216,Pokemon Stormfront,Infernape #3,$8.35
925307,Pokemon Stormfront,Infernape [Reverse Holo] #3,$6.88
925273,Pokemon Stormfront,Larvitar #63,$1.40
925362,Pokemon Stormfront,Larvitar [Reverse Holo] #63,$11.49
925217,Pokemon Stormfront,Lumineon #4,$3.18
925308,Pokemon Stormfront,Lumineon [Reverse Holo] #4,$2.95
925289,Pokemon Stormfront,Luxury Ball #86,$1.94
925385,Pokemon Stormfront,Luxury Ball [Reverse Holo] #86,$10.00
925233,Pokemon Stormfront,Machamp #20,$4.50
925299,Pokemon Stormfront,Machamp LV. X #98,$22.09
925884,Pokemon Stormfront,Machamp [Reverse Holo] #20,$5.42
925254,Pokemon Stormfront,Machoke #41,$1.35
925340,Pokemon Stormfront,Machoke [Reverse Holo] #41,$3.00
925274,Pokemon Stormfront,Machop #64,$0.29
925363,Pokemon Stormfront,Machop [Reverse Holo] #64,$2.54
925870,Pokemon Stormfront,Magikarp #65,$3.00
925364,Pokemon Stormfront,Magikarp [Reverse Holo] #65,$36.60
925275,Pokemon Stormfront,Magnemite #66,$0.32
925872,Pokemon Stormfront,Magnemite #67,$0.35
925365,Pokemon Stormfront,Magnemite [Reverse Holo] #66,$2.57
925366,Pokemon Stormfront,Magnemite [Reverse Holo] #67,$2.33
925255,Pokemon Stormfront,Magneton #42,$0.75
925256,Pokemon Stormfront,Magneton #43,$1.00
925341,Pokemon Stormfront,Magneton [Reverse Holo] #42,$2.99
925342,Pokemon Stormfront,Magneton [Reverse Holo] #43,$1.54
925218,Pokemon Stormfront,Magnezone #5,$3.95
925219,Pokemon Stormfront,Magnezone #6,$4.00
925309,Pokemon Stormfront,Magnezone [Reverse Holo] #5,$3.19
925310,Pokemon Stormfront,Magnezone [Reverse Holo] #6,$3.88
925234,Pokemon Stormfront,Mamoswine #21,$1.97
925322,Pokemon Stormfront,Mamoswine [Reverse Holo] #21,$5.33
925291,Pokemon Stormfront,Marley's Request #87,$0.87
925386,Pokemon Stormfront,Marley's Request [Reverse Holo] #87,$2.50
925257,Pokemon Stormfront,Miltank #44,$1.70
925886,Pokemon Stormfront,Miltank [Reverse Holo] #44,$3.27
925276,Pokemon Stormfront,Misdreavus #68,$0.42
925367,Pokemon Stormfront,Misdreavus [Reverse Holo] #68,$3.00
925220,Pokemon Stormfront,Mismagius #7,$4.84
925311,Pokemon Stormfront,Mismagius [Reverse Holo] #7,$3.84
925871,Pokemon Stormfront,Onix #69,$0.69
925368,Pokemon Stormfront,Onix [Reverse Holo] #69,$1.97
925258,Pokemon Stormfront,Pichu #45,$4.02
4384631,Pokemon Stormfront,Pichu [Platinum] #45,$18.85
925344,Pokemon Stormfront,Pichu [Reverse Holo] #45,$9.47
925277,Pokemon Stormfront,Pikachu #70,$4.21
925369,Pokemon Stormfront,Pikachu [Reverse Holo] #70,$17.31
925259,Pokemon Stormfront,Piloswine #46,$0.99
4916946,Pokemon Stormfront,Piloswine [Prerelease Staff] #46,$36.50
3322147,Pokemon Stormfront,Piloswine [Prerelease] #46,$12.50
925345,Pokemon Stormfront,Piloswine [Reverse Holo] #46,$1.75
925290,Pokemon Stormfront,Poke Blower + #88,$0.85
925387,Pokemon Stormfront,Poke Blower + [Reverse Holo] #88,$2.75
925293,Pokemon Stormfront,Poke Drawer + #89,$1.69
925388,Pokemon Stormfront,Poke Drawer + [Reverse Holo] #89,$4.93
925292,Pokemon Stormfront,Poke Healer + #90,$1.42
925389,Pokemon Stormfront,Poke Healer + [Reverse Holo] #90,$2.21
925278,Pokemon Stormfront,Ponyta #71,$0.75
925370,Pokemon Stormfront,Ponyta [Reverse Holo] #71,$4.21
925294,Pokemon Stormfront,Potion #92,$0.26
925391,Pokemon Stormfront,Potion [Reverse Holo] #92,$1.12
925295,Pokemon Stormfront,Premier Ball #91,$1.38
925390,Pokemon Stormfront,Premier Ball [Reverse Holo] #91,$2.95
925260,Pokemon Stormfront,Pupitar #47,$0.73
925346,Pokemon Stormfront,Pupitar [Reverse Holo] #47,$2.47
925221,Pokemon Stormfront,Raichu #8,$8.65
925302,Pokemon Stormfront,Raichu LV. X #99,$24.48
925312,Pokemon Stormfront,Raichu [Reverse Holo] #8,$8.00
925235,Pokemon Stormfront,Rapidash #22,$3.28
925323,Pokemon Stormfront,Rapidash [Reverse Holo] #22,$3.57
925222,Pokemon Stormfront,Regigigas #9,$5.88
925300,Pokemon Stormfront,Regigigas LV. X #100,$22.33
925313,Pokemon Stormfront,Regigigas [Reverse Holo] #9,$3.96
925279,Pokemon Stormfront,Roselia #72,$0.32
925371,Pokemon Stormfront,Roselia [Reverse Holo] #72,$4.12
925236,Pokemon Stormfront,Roserade #23,$1.80
925324,Pokemon Stormfront,Roserade [Reverse Holo] #23,$6.17
925261,Pokemon Stormfront,Sableye #48,$4.74
925347,Pokemon Stormfront,Sableye [Reverse Holo] #48,$7.95
925237,Pokemon Stormfront,Salamence #24,$2.99
925325,Pokemon Stormfront,Salamence [Reverse Holo] #24,$8.30
925223,Pokemon Stormfront,Sceptile #10,$8.20
