id,console-name,product-name,loose-price
10466811,Pokemon Sun & Moon,2019 Fall Collectors Chest,$1297.90
806830,Pokemon Sun & Moon,Alolan Diglett #86,$0.17
806962,Pokemon Sun & Moon,Alolan Diglett [Reverse Holo] #86,$0.76
806831,Pokemon Sun & Moon,Alolan Dugtrio #87,$0.42
10982968,Pokemon Sun & Moon,Alolan Dugtrio [Cosmo Holo] #87,$10.00
806963,Pokemon Sun & Moon,Alolan Dugtrio [Reverse Holo] #87,$0.46
806805,Pokemon Sun & Moon,Alolan Grimer #57,$0.23
806936,Pokemon Sun & Moon,Alolan Grimer [Reverse Holo] #57,$0.95
806822,Pokemon Sun & Moon,Alolan Meowth #78,$0.20
806955,Pokemon Sun & Moon,Alolan Meowth [Reverse Holo] #78,$0.39
806806,Pokemon Sun & Moon,Alolan Muk #58,$1.09
806937,Pokemon Sun & Moon,Alolan Muk [Reverse Holo] #58,$1.20
806823,Pokemon Sun & Moon,Alolan Persian #79,$0.30
5610846,Pokemon Sun & Moon,Alolan Persian [Holo] #79,$3.65
806956,Pokemon Sun & Moon,Alolan Persian [Reverse Holo] #79,$0.71
9863872,Pokemon Sun & Moon,Alolan Raichu Box,$157.88
806821,Pokemon Sun & Moon,Alolan Raticate #77,$0.25
806954,Pokemon Sun & Moon,Alolan Raticate [Reverse Holo] #77,$0.27
806820,Pokemon Sun & Moon,Alolan Rattata #76,$0.31
806953,Pokemon Sun & Moon,Alolan Rattata [Reverse Holo] #76,$0.36
806795,Pokemon Sun & Moon,Araquanid #46,$0.15
806925,Pokemon Sun & Moon,Araquanid [Reverse Holo] #46,$0.35
806771,Pokemon Sun & Moon,Arcanine #22,$2.24
9962615,Pokemon Sun & Moon,Arcanine [Cosmos Holo] #22,$9.97
806904,Pokemon Sun & Moon,Arcanine [Reverse Holo] #22,$2.23
806856,Pokemon Sun & Moon,Bewear #112,$0.20
806985,Pokemon Sun & Moon,Bewear [Reverse Holo] #112,$0.94
806858,Pokemon Sun & Moon,Big Malasada #114,$0.19
806987,Pokemon Sun & Moon,Big Malasada [Reverse Holo] #114,$0.35
6944882,Pokemon Sun & Moon,Blister Pack,$32.74
806815,Pokemon Sun & Moon,Boldore #70,$0.14
806947,Pokemon Sun & Moon,Boldore [Reverse Holo] #70,$0.32
2244991,Pokemon Sun & Moon,Booster Box,$728.35
2244992,Pokemon Sun & Moon,Booster Pack,$15.21
806767,Pokemon Sun & Moon,Bounsweet #18,$0.12
806900,Pokemon Sun & Moon,Bounsweet [Reverse Holo] #18,$0.60
806789,Pokemon Sun & Moon,Brionne #40,$0.30
9705800,Pokemon Sun & Moon,Brionne [Cosmos Holo] #40,$3.37
806920,Pokemon Sun & Moon,Brionne [Reverse Holo] #40,$0.99
806797,Pokemon Sun & Moon,Bruxish #48,$0.25
806927,Pokemon Sun & Moon,Bruxish [Reverse Holo] #48,$0.38
806752,Pokemon Sun & Moon,Butterfree #3,$0.59
806887,Pokemon Sun & Moon,Butterfree [Reverse Holo] #3,$0.99
806825,Pokemon Sun & Moon,Carvanha #81,$0.14
806957,Pokemon Sun & Moon,Carvanha [Reverse Holo] #81,$0.44
806750,Pokemon Sun & Moon,Caterpie #1,$0.25
806885,Pokemon Sun & Moon,Caterpie [Reverse Holo] #1,$1.21
5407997,Pokemon Sun & Moon,Charizard GX Premium Collection Box,$300.00
806800,Pokemon Sun & Moon,Charjabug #51,$0.12
806930,Pokemon Sun & Moon,Charjabug [Reverse Holo] #51,$0.37
806798,Pokemon Sun & Moon,Chinchou #49,$0.10
806928,Pokemon Sun & Moon,Chinchou [Reverse Holo] #49,$0.20
806783,Pokemon Sun & Moon,Cloyster #34,$0.25
806915,Pokemon Sun & Moon,Cloyster [Reverse Holo] #34,$0.47
806785,Pokemon Sun & Moon,Corsola #36,$0.26
806916,Pokemon Sun & Moon,Corsola [Reverse Holo] #36,$0.65
806812,Pokemon Sun & Moon,Cosmoem #65,$0.46
806943,Pokemon Sun & Moon,Cosmoem [Reverse Holo] #65,$0.73
806811,Pokemon Sun & Moon,Cosmog #64,$0.16
806942,Pokemon Sun & Moon,Cosmog [Reverse Holo] #64,$1.36
9160379,Pokemon Sun & Moon,Cosmog [Toys R Us Promo] #64,
806792,Pokemon Sun & Moon,Crabominable #43,$0.14
806922,Pokemon Sun & Moon,Crabominable [Reverse Holo] #43,$0.62
806817,Pokemon Sun & Moon,Crabrawler #72,$0.17
806949,Pokemon Sun & Moon,Crabrawler [Reverse Holo] #72,$0.25
806804,Pokemon Sun & Moon,Crobat #56,$0.67
10251239,Pokemon Sun & Moon,Crobat [Cosmos Holo] #56,$3.50
806935,Pokemon Sun & Moon,Crobat [Reverse Holo] #56,$0.67
806859,Pokemon Sun & Moon,Crushing Hammer #115,$0.19
806988,Pokemon Sun & Moon,Crushing Hammer [Reverse Holo] #115,$0.33
806836,Pokemon Sun & Moon,Cutiefly #92,$0.24
806967,Pokemon Sun & Moon,Cutiefly [Reverse Holo] #92,$0.50
3399221,Pokemon Sun & Moon,Darkness Energy,$0.50
806759,Pokemon Sun & Moon,Dartrix #10,$0.50
806894,Pokemon Sun & Moon,Dartrix [Reverse Holo] #10,$0.25
806760,Pokemon Sun & Moon,Decidueye #11,$0.26
806761,Pokemon Sun & Moon,Decidueye GX #12,$2.23
