id,console-name,product-name,loose-price
1287049,Pokemon Supreme Victors,Absol G #1,$13.49
1287189,Pokemon Supreme Victors,Absol G LV. X #141,$20.00
1287202,Pokemon Supreme Victors,Absol G [Reverse Holo] #1,$11.78
1287096,Pokemon Supreme Victors,Altaria C #49,$2.58
1287250,Pokemon Supreme Victors,Altaria C [Reverse Holo] #49,$5.88
1287097,Pokemon Supreme Victors,Arcanine #50,$3.95
1287062,Pokemon Supreme Victors,Arcanine G #15,$4.74
7465399,Pokemon Supreme Victors,Arcanine G [Crosshatch Pokemon League] #15,$11.33
1287216,Pokemon Supreme Victors,Arcanine G [Reverse Holo] #15,$10.94
1287251,Pokemon Supreme Victors,Arcanine [Reverse Holo] #50,$7.85
1287196,Pokemon Supreme Victors,Articuno #148,$111.50
1287063,Pokemon Supreme Victors,Articuno #16,$5.99
1287217,Pokemon Supreme Victors,Articuno [Reverse Holo] #16,$9.37
1287136,Pokemon Supreme Victors,Baltoy #89,$0.79
1287290,Pokemon Supreme Victors,Baltoy [Reverse Holo] #89,$2.00
1287182,Pokemon Supreme Victors,Battle Tower #134,$0.52
1287335,Pokemon Supreme Victors,Battle Tower [Reverse Holo] #134,$2.00
1287137,Pokemon Supreme Victors,Beldum #90,$0.30
1287291,Pokemon Supreme Victors,Beldum [Reverse Holo] #90,$2.99
1287098,Pokemon Supreme Victors,Bibarel #51,$0.55
1287252,Pokemon Supreme Victors,Bibarel [Reverse Holo] #51,$2.29
1287138,Pokemon Supreme Victors,Bidoof #91,$0.50
1287292,Pokemon Supreme Victors,Bidoof [Reverse Holo] #91,$5.00
1287530,Pokemon Supreme Victors,Blaziken FB #2,$11.00
1287190,Pokemon Supreme Victors,Blaziken FB LV. X #142,$30.63
1287203,Pokemon Supreme Victors,Blaziken FB [Reverse Holo] #2,$9.29
6879720,Pokemon Supreme Victors,Blister Pack,$325.55
2245025,Pokemon Supreme Victors,Booster Box,$14364.98
2245026,Pokemon Supreme Victors,Booster Pack,$259.98
1287099,Pokemon Supreme Victors,Breloom #52,$0.97
1287253,Pokemon Supreme Victors,Breloom [Reverse Holo] #52,$4.55
1287139,Pokemon Supreme Victors,Buizel #92,$0.45
1287293,Pokemon Supreme Victors,Buizel [Reverse Holo] #92,$4.99
1287140,Pokemon Supreme Victors,Bulbasaur #93,$2.54
1287294,Pokemon Supreme Victors,Bulbasaur [Reverse Holo] #93,$29.39
1287141,Pokemon Supreme Victors,Buneary #94,$0.78
1287295,Pokemon Supreme Victors,Buneary [Reverse Holo] #94,$4.99
1287064,Pokemon Supreme Victors,Butterfree FB #17,$7.25
7457012,Pokemon Supreme Victors,Butterfree FB [Crosshatch Holo] #17,$5.00
1287218,Pokemon Supreme Victors,Butterfree FB [Reverse Holo] #17,$10.40
1287065,Pokemon Supreme Victors,Camerupt #18,$0.99
1287066,Pokemon Supreme Victors,Camerupt G #19,$1.75
1287220,Pokemon Supreme Victors,Camerupt G [Reverse Holo] #19,$4.65
1287219,Pokemon Supreme Victors,Camerupt [Reverse Holo] #18,$2.41
1287100,Pokemon Supreme Victors,Carnivine #53,$0.74
1287254,Pokemon Supreme Victors,Carnivine [Reverse Holo] #53,$2.68
1287183,Pokemon Supreme Victors,Champion's Room #135,$0.43
1287336,Pokemon Supreme Victors,Champion's Room [Reverse Holo] #135,$2.99
1287067,Pokemon Supreme Victors,Charizard G #20,$32.71
