id,console-name,product-name,loose-price
7800032,Pokemon Surging Sparks,Abra Checklane Blister,$32.00
7800155,Pokemon Surging Sparks,Alolan Diglett #122,$0.21
7812922,Pokemon Surging Sparks,Alolan Diglett [Reverse Holo] #122,$0.23
7800156,Pokemon Surging Sparks,Alolan Dugtrio #123,$0.51
7800241,Pokemon Surging Sparks,Alolan Dugtrio #208,$6.55
7812923,Pokemon Surging Sparks,Alolan Dugtrio [Reverse Holo] #123,$1.61
7800166,Pokemon Surging Sparks,Alolan Exeggutor ex #133,$1.00
7800258,Pokemon Surging Sparks,Alolan Exeggutor ex #225,$2.88
7800275,Pokemon Surging Sparks,Alolan Exeggutor ex #242,$27.22
7800281,Pokemon Surging Sparks,Alolan Exeggutor ex #248,$10.86
7800167,Pokemon Surging Sparks,Altaria #134,$0.25
7812932,Pokemon Surging Sparks,Altaria [Reverse Holo] #134,$1.46
7800195,Pokemon Surging Sparks,Amulet of Hope #162,$1.79
7800133,Pokemon Surging Sparks,Annihilape #100,$0.13
7812902,Pokemon Surging Sparks,Annihilape [Reverse Holo] #100,$1.49
7800173,Pokemon Surging Sparks,Appletun #140,$0.39
7800244,Pokemon Surging Sparks,Appletun #211,$4.63
7812938,Pokemon Surging Sparks,Appletun [Reverse Holo] #140,$0.44
7800171,Pokemon Surging Sparks,Applin #138,$0.18
7812936,Pokemon Surging Sparks,Applin [Reverse Holo] #138,$0.30
8438816,Pokemon Surging Sparks,Arcanine Checklane Blister,$20.25
10263451,Pokemon Surging Sparks,Archaludon Ex [Prize Pack Series 7] #130,$1.15
11370173,Pokemon Surging Sparks,Archaludon Ex [Stamped] #130,$1.25
7800163,Pokemon Surging Sparks,Archaludon ex #130,$1.36
7800257,Pokemon Surging Sparks,Archaludon ex #224,$2.02
7800274,Pokemon Surging Sparks,Archaludon ex #241,$11.91
10809462,Pokemon Surging Sparks,Archaludon ex [Jumbo] #130,$2.01
7800067,Pokemon Surging Sparks,Armarouge #34,$0.19
7812845,Pokemon Surging Sparks,Armarouge [Reverse Holo] #34,$1.71
7800113,Pokemon Surging Sparks,Azelf #80,$0.48
7812884,Pokemon Surging Sparks,Azelf [Reverse Holo] #80,$1.91
7800107,Pokemon Surging Sparks,Azumarill #74,$1.30
10951294,Pokemon Surging Sparks,Azumarill [Prize Pack] #74,$0.20
8213227,Pokemon Surging Sparks,Azumarill [Reverse Holo] #74,$1.94
7800196,Pokemon Surging Sparks,Babiri Berry #163,$0.17
7812957,Pokemon Surging Sparks,Babiri Berry [Reverse Holo] #163,$1.49
11580214,Pokemon Surging Sparks,Black Kyurem Ex [Stamped] #48,$1.89
7800251,Pokemon Surging Sparks,Black Kyurem ex #218,$3.37
7800081,Pokemon Surging Sparks,Black Kyurem ex #48,$1.00
10809460,Pokemon Surging Sparks,Black Kyurem ex [Jumbo] #48,$4.01
7800095,Pokemon Surging Sparks,Blitzle #62,$0.09
7812868,Pokemon Surging Sparks,Blitzle [Reverse Holo] #62,$1.24
8337400,Pokemon Surging Sparks,Bloodmoon Ursaluna Ex Box,$34.99
7800021,Pokemon Surging Sparks,Booster Box,$252.07
7800024,Pokemon Surging Sparks,Booster Bundle,$46.29
7800022,Pokemon Surging Sparks,Booster Pack,$5.45
7800183,Pokemon Surging Sparks,Bouffalant #151,$0.16
7812947,Pokemon Surging Sparks,Bouffalant [Reverse Holo] #151,$1.64
7800186,Pokemon Surging Sparks,Braviary #153,$0.12
7800247,Pokemon Surging Sparks,Braviary #214,$4.66
7812949,Pokemon Surging Sparks,Braviary [Reverse Holo] #153,$0.19
7800197,Pokemon Surging Sparks,Brilliant Blender #164,$0.85
10951949,Pokemon Surging Sparks,Brilliant Blender [Prize Pack] #164,$9.57
7812958,Pokemon Surging Sparks,Brilliant Blender [Reverse Holo] #164,$2.33
7800160,Pokemon Surging Sparks,Bronzong #127,$0.05
7812927,Pokemon Surging Sparks,Bronzong [Reverse Holo] #127,$1.38
7800159,Pokemon Surging Sparks,Bronzor #126,$0.05
7812926,Pokemon Surging Sparks,Bronzor [Reverse Holo] #126,$1.34
7800233,Pokemon Surging Sparks,Bruxish #200,$1.99
7800082,Pokemon Surging Sparks,Bruxish #49,$0.19
7812856,Pokemon Surging Sparks,Bruxish [Reverse Holo] #49,$1.31
8051542,Pokemon Surging Sparks,Build & Battle Display Box,$279.99
7800026,Pokemon Surging Sparks,Build and Battle Box,$48.87
7800198,Pokemon Surging Sparks,Call Bell #165,$0.11
7812959,Pokemon Surging Sparks,Call Bell [Reverse Holo] #165,$1.49
7800045,Pokemon Surging Sparks,Capsakid #12,$0.10
