id,console-name,product-name,loose-price
9042123,Pokemon Sword & Shield,2 Booster Packs & Celebi Collector's Pin,$30.00
8876928,Pokemon Sword & Shield,2 Pack Blister,$27.98
807016,Pokemon Sword & Shield,Air Balloon #156,$0.66
2336175,Pokemon Sword & Shield,Air Balloon #213,$14.60
9056491,Pokemon Sword & Shield,Air Balloon [Prize Pack] #156,$6.10
807017,Pokemon Sword & Shield,Air Balloon [Reverse Holo] #156,$2.00
807018,Pokemon Sword & Shield,Aurora Energy #186,$0.64
807019,Pokemon Sword & Shield,Aurora Energy [Reverse Holo] #186,$0.77
807020,Pokemon Sword & Shield,Baltoy #101,$0.10
1431221,Pokemon Sword & Shield,Baltoy #102,$0.11
807021,Pokemon Sword & Shield,Baltoy [Reverse Holo] #101,$0.44
1431235,Pokemon Sword & Shield,Baltoy [Reverse Holo] #102,$0.17
807022,Pokemon Sword & Shield,Bede #157,$0.23
2336162,Pokemon Sword & Shield,Bede #199,$3.16
2336170,Pokemon Sword & Shield,Bede #207,$4.15
807023,Pokemon Sword & Shield,Bede [Reverse Holo] #157,$0.36
807024,Pokemon Sword & Shield,Big Charm #158,$0.18
807025,Pokemon Sword & Shield,Big Charm [Reverse Holo] #158,$0.48
807026,Pokemon Sword & Shield,Bisharp #134,$0.11
807027,Pokemon Sword & Shield,Bisharp [Reverse Holo] #134,$0.47
807028,Pokemon Sword & Shield,Blipbug #16,$0.13
1431208,Pokemon Sword & Shield,Blipbug #17,$0.20
807029,Pokemon Sword & Shield,Blipbug [Reverse Holo] #16,$0.25
1431205,Pokemon Sword & Shield,Blipbug [Reverse Holo] #17,$0.29
807030,Pokemon Sword & Shield,Boltund #75,$0.38
1431219,Pokemon Sword & Shield,Boltund #76,$0.50
9079469,Pokemon Sword & Shield,Boltund [Cosmos Holo] #76,$0.25
807031,Pokemon Sword & Shield,Boltund [Reverse Holo] #75,$0.42
1431233,Pokemon Sword & Shield,Boltund [Reverse Holo] #76,$0.80
5134202,Pokemon Sword & Shield,Booster Box [Base Set],$550.32
4200082,Pokemon Sword & Shield,Booster Pack [Base Set],$7.95
10619368,Pokemon Sword & Shield,Build & Battle Box,$68.91
807032,Pokemon Sword & Shield,Celebi V #1,$2.25
807033,Pokemon Sword & Shield,Centiskorch #39,$0.37
807034,Pokemon Sword & Shield,Centiskorch [Reverse Holo] #39,$0.41
807035,Pokemon Sword & Shield,Chewtle #60,$0.10
807036,Pokemon Sword & Shield,Chewtle [Reverse Holo] #60,$0.24
807037,Pokemon Sword & Shield,Chinchou #67,$0.16
1431217,Pokemon Sword & Shield,Chinchou #68,$0.15
807038,Pokemon Sword & Shield,Chinchou [Reverse Holo] #67,$0.29
1431231,Pokemon Sword & Shield,Chinchou [Reverse Holo] #68,$0.25
807039,Pokemon Sword & Shield,Cinccino #147,$0.50
8370297,Pokemon Sword & Shield,Cinccino [Prize Pack] #147,$3.79
807040,Pokemon Sword & Shield,Cinccino [Reverse Holo] #147,$0.78
807041,Pokemon Sword & Shield,Cinderace #34,$0.45
1431209,Pokemon Sword & Shield,Cinderace #35,$0.94
1431210,Pokemon Sword & Shield,Cinderace #36,$0.42
4643278,Pokemon Sword & Shield,Cinderace [Cosmos Holo] #34,$0.26
5166969,Pokemon Sword & Shield,Cinderace [Cracked Ice Holo] #36,$3.92
3402794,Pokemon Sword & Shield,Cinderace [Pokemon League] #34,$2.49
807042,Pokemon Sword & Shield,Cinderace [Reverse Holo] #34,$0.80
1431225,Pokemon Sword & Shield,Cinderace [Reverse Holo] #35,$0.57
1431226,Pokemon Sword & Shield,Cinderace [Reverse Holo] #36,$0.70
807043,Pokemon Sword & Shield,Claydol #103,$0.33
807044,Pokemon Sword & Shield,Claydol [Reverse Holo] #103,$0.73
807045,Pokemon Sword & Shield,Clobbopus #111,$0.14
1431223,Pokemon Sword & Shield,Clobbopus #112,$0.15
807046,Pokemon Sword & Shield,Clobbopus [Reverse Holo] #111,$0.25
1431238,Pokemon Sword & Shield,Clobbopus [Reverse Holo] #112,$0.20
807047,Pokemon Sword & Shield,Cloyster #41,$0.40
807048,Pokemon Sword & Shield,Cloyster [Reverse Holo] #41,$0.50
3233467,Pokemon Sword & Shield,Copperajah #137,$3.93
807049,Pokemon Sword & Shield,Copperajah [Holo] #137,$0.27
807050,Pokemon Sword & Shield,Copperajah [Reverse Holo] #137,$0.99
807051,Pokemon Sword & Shield,Corviknight #135,$0.34
807052,Pokemon Sword & Shield,Corviknight [Reverse Holo] #135,$0.66
807053,Pokemon Sword & Shield,Corvisquire #151,$0.18
807054,Pokemon Sword & Shield,Corvisquire [Reverse Holo] #151,$0.44
807055,Pokemon Sword & Shield,Cottonee #5,$0.15
807056,Pokemon Sword & Shield,Cottonee [Reverse Holo] #5,$0.23
807057,Pokemon Sword & Shield,Cramorant #62,$0.29
807059,Pokemon Sword & Shield,Cramorant V #155,$0.89
2336161,Pokemon Sword & Shield,Cramorant V #198,$2.46
807058,Pokemon Sword & Shield,Cramorant [Reverse Holo] #62,$0.30
807061,Pokemon Sword & Shield,Croagunk #123,$0.16
807060,Pokemon Sword & Shield,Croagunk [Reverse Holo] #123,$0.33
807062,Pokemon Sword & Shield,Crushing Hammer #159,$0.13
807063,Pokemon Sword & Shield,Crushing Hammer [Reverse Holo] #159,$0.35
807064,Pokemon Sword & Shield,Cufant #136,$0.11
807065,Pokemon Sword & Shield,Cufant [Reverse Holo] #136,$0.25
9135464,Pokemon Sword & Shield,Cyclizar Ex Box,$32.74
10907354,Pokemon Sword & Shield,Cyrus Premium Tournament Collection,$58.16
3920922,Pokemon Sword & Shield,Dark Energy,$0.38
2336153,Pokemon Sword & Shield,Dhelmise V #187,$3.08
807066,Pokemon Sword & Shield,Dhelmise V #9,$1.00
