id,console-name,product-name,loose-price
6142544,Pokemon TCG Classic: Blastoise Deck,Articuno #9,$7.45
6142553,Pokemon TCG Classic: Blastoise Deck,Bill #18,$1.54
6142538,Pokemon TCG Classic: Blastoise Deck,Blastoise #3,$33.45
6142554,Pokemon TCG Classic: Blastoise Deck,Boss's Orders #19,$2.47
6142555,Pokemon TCG Classic: Blastoise Deck,Computer Search #20,$1.40
6142567,Pokemon TCG Classic: Blastoise Deck,Double Colorless Energy #32,$2.34
9419936,Pokemon TCG Classic: Blastoise Deck,Drops In The Ocean [Cosmos Holo] #21,$0.23
6142556,Pokemon TCG Classic: Blastoise Deck,Drops in the Ocean #21,$0.21
6142546,Pokemon TCG Classic: Blastoise Deck,Drowzee #11,$2.99
6142557,Pokemon TCG Classic: Blastoise Deck,Fisherman #22,$1.68
6142542,Pokemon TCG Classic: Blastoise Deck,Gyarados #7,$7.67
6142547,Pokemon TCG Classic: Blastoise Deck,Hypno #12,$2.78
6142552,Pokemon TCG Classic: Blastoise Deck,Kangaskhan #17,$3.25
6142551,Pokemon TCG Classic: Blastoise Deck,LT. Surge's Raticate #16,$2.96
6142550,Pokemon TCG Classic: Blastoise Deck,LT. Surge's Rattata #15,$2.45
6142543,Pokemon TCG Classic: Blastoise Deck,Lapras #8,$4.39
6142541,Pokemon TCG Classic: Blastoise Deck,Magikarp #6,$6.47
6142549,Pokemon TCG Classic: Blastoise Deck,Mewtwo #14 ,$11.00
6142548,Pokemon TCG Classic: Blastoise Deck,Mr. Mime #13,$1.91
6142558,Pokemon TCG Classic: Blastoise Deck,Poke Ball #23,$1.25
6142559,Pokemon TCG Classic: Blastoise Deck,Pokemon Fan Club #24,$1.87
6142560,Pokemon TCG Classic: Blastoise Deck,Professor Oak #25,$1.99
6142569,Pokemon TCG Classic: Blastoise Deck,Psychic Energy #34,$2.22
6142561,Pokemon TCG Classic: Blastoise Deck,Rare Candy #26,$1.92
6142562,Pokemon TCG Classic: Blastoise Deck,Rocket's Admin. #27,$1.64
6142536,Pokemon TCG Classic: Blastoise Deck,Squirtle #1,$8.92
6142540,Pokemon TCG Classic: Blastoise Deck,Starmie #5,$2.99
6142539,Pokemon TCG Classic: Blastoise Deck,Staryu #4,$2.89
6142545,Pokemon TCG Classic: Blastoise Deck,Suicune EX #10,$1.35
6142563,Pokemon TCG Classic: Blastoise Deck,Super Rod #28,$2.65
6142564,Pokemon TCG Classic: Blastoise Deck,Switch #29,$2.21
6142565,Pokemon TCG Classic: Blastoise Deck,Ultra Ball #30,$2.07
6142566,Pokemon TCG Classic: Blastoise Deck,VS Seeker #31,$2.51
6142537,Pokemon TCG Classic: Blastoise Deck,Wartortle #2,$5.37
6142568,Pokemon TCG Classic: Blastoise Deck,Water Energy #33,$2.40
