id,console-name,product-name,loose-price
6142485,Pokemon TCG Classic: Charizard Deck,Bill #18,$1.72
6142486,Pokemon TCG Classic: Charizard Deck,Boss's Orders #19,$2.23
6142470,Pokemon TCG Classic: Charizard Deck,Charizard #3,$121.37
6142468,Pokemon TCG Classic: Charizard Deck,Charmander #1,$10.27
6142469,Pokemon TCG Classic: Charizard Deck,Charmeleon #2,$6.13
6142481,Pokemon TCG Classic: Charizard Deck,Clefable #14,$3.50
6142480,Pokemon TCG Classic: Charizard Deck,Clefairy #13,$4.47
6142487,Pokemon TCG Classic: Charizard Deck,Computer Search #20,$1.90
6142499,Pokemon TCG Classic: Charizard Deck,Double Colorless Energy #32,$2.18
6142482,Pokemon TCG Classic: Charizard Deck,Dunsparce #15,$2.26
6142478,Pokemon TCG Classic: Charizard Deck,Electrode #11,$3.01
6142500,Pokemon TCG Classic: Charizard Deck,Fire Energy #33,$2.05
6142474,Pokemon TCG Classic: Charizard Deck,Ho-Oh ex #7,$0.99
6142501,Pokemon TCG Classic: Charizard Deck,Lightning Energy #34,$2.53
6142473,Pokemon TCG Classic: Charizard Deck,Magmar #6,$3.78
6142484,Pokemon TCG Classic: Charizard Deck,Miltank #17,$3.45
6142475,Pokemon TCG Classic: Charizard Deck,Pikachu #8,$18.24
6142488,Pokemon TCG Classic: Charizard Deck,Poke Ball #21,$1.74
8197949,Pokemon TCG Classic: Charizard Deck,Pokemon Fan Club #22,$2.26
6142489,Pokemon TCG Classic: Charizard Deck,Pokemon Fan Club #28,
6142471,Pokemon TCG Classic: Charizard Deck,Ponyta #4,$2.48
6142490,Pokemon TCG Classic: Charizard Deck,Professor Oak #23,$1.84
8011643,Pokemon TCG Classic: Charizard Deck,Professor Oak #27,
6142476,Pokemon TCG Classic: Charizard Deck,Raichu #9,$4.50
6142472,Pokemon TCG Classic: Charizard Deck,Rapidash #5,$1.05
6142491,Pokemon TCG Classic: Charizard Deck,Rare Candy #24,$2.00
6142492,Pokemon TCG Classic: Charizard Deck,Rocket's Admin. #25,$1.99
6142493,Pokemon TCG Classic: Charizard Deck,Scorching Charcoal #26,$0.25
6142483,Pokemon TCG Classic: Charizard Deck,Stantler #16,$2.39
6142494,Pokemon TCG Classic: Charizard Deck,Super Rod #27,$2.26
6142495,Pokemon TCG Classic: Charizard Deck,Super Scoop Up #28,$1.50
6142496,Pokemon TCG Classic: Charizard Deck,Switch #29,$2.30
6142497,Pokemon TCG Classic: Charizard Deck,Ultra Ball #30,$2.13
6142498,Pokemon TCG Classic: Charizard Deck,VS Seeker #31,$2.50
6142477,Pokemon TCG Classic: Charizard Deck,Voltorb #10,$0.62
6142479,Pokemon TCG Classic: Charizard Deck,Zapdos #12,$3.79
