id,console-name,product-name,loose-price
6142519,Pokemon TCG Classic: Venusaur Deck,Bill #18,$1.25
6142520,Pokemon TCG Classic: Venusaur Deck,Boss's Orders #19,$2.22
6142502,Pokemon TCG Classic: Venusaur Deck,Bulbasaur #1,$9.00
6142516,Pokemon TCG Classic: Venusaur Deck,Chansey #15,$5.83
6142521,Pokemon TCG Classic: Venusaur Deck,Computer Search #20,$2.20
6142515,Pokemon TCG Classic: Venusaur Deck,Dodrio #14,$3.00
6142514,Pokemon TCG Classic: Venusaur Deck,Doduo #13,$2.07
6142533,Pokemon TCG Classic: Venusaur Deck,Double Colorless Energy #32,$2.13
6142535,Pokemon TCG Classic: Venusaur Deck,Fighting Energy #34,$1.99
6142534,Pokemon TCG Classic: Venusaur Deck,Grass Energy #33,$2.04
6142513,Pokemon TCG Classic: Venusaur Deck,Hitmonchan #12,$4.95
6142512,Pokemon TCG Classic: Venusaur Deck,Hitmonlee #11,$4.87
6142503,Pokemon TCG Classic: Venusaur Deck,Ivysaur #2,$5.40
6142518,Pokemon TCG Classic: Venusaur Deck,Lugia EX #17,$1.48
6618952,Pokemon TCG Classic: Venusaur Deck,Lugia EX [Jumbo] #17,$1.00
6142511,Pokemon TCG Classic: Venusaur Deck,Onix #10,$3.65
6142505,Pokemon TCG Classic: Venusaur Deck,Paras #4,$2.10
6142506,Pokemon TCG Classic: Venusaur Deck,Parasect #5,$2.55
6142508,Pokemon TCG Classic: Venusaur Deck,Pinsir #7,$2.35
6142522,Pokemon TCG Classic: Venusaur Deck,Poke Ball #21,$1.93
6142523,Pokemon TCG Classic: Venusaur Deck,Pokemon Fan Club #22,$1.99
6142524,Pokemon TCG Classic: Venusaur Deck,Pokemon Nurse #23,$3.50
6142525,Pokemon TCG Classic: Venusaur Deck,Professor Oak #24,$1.99
6142526,Pokemon TCG Classic: Venusaur Deck,Rare Candy #25,$0.99
6142527,Pokemon TCG Classic: Venusaur Deck,Rocket's Admin. #26,$1.99
6142509,Pokemon TCG Classic: Venusaur Deck,Sandshrew #8,$2.67
6142510,Pokemon TCG Classic: Venusaur Deck,Sandslash #9,$2.89
6142507,Pokemon TCG Classic: Venusaur Deck,Scyther #6,$8.38
6142517,Pokemon TCG Classic: Venusaur Deck,Snorlax #16,$4.11
6142528,Pokemon TCG Classic: Venusaur Deck,Sun Seed #27,$0.17
6142529,Pokemon TCG Classic: Venusaur Deck,Super Rod #28,$2.09
6142530,Pokemon TCG Classic: Venusaur Deck,Switch #29,$2.33
6142531,Pokemon TCG Classic: Venusaur Deck,Ultra Ball #30,$1.99
6142532,Pokemon TCG Classic: Venusaur Deck,VS Seeker #31,$2.35
6142504,Pokemon TCG Classic: Venusaur Deck,Venusaur #3,$27.92
