id,console-name,product-name,loose-price
849665,Pokemon Team Magma & Team Aqua,Absol #96,$160.37
849576,Pokemon Team Magma & Team Aqua,Aggron #7,$10.07
849674,Pokemon Team Magma & Team Aqua,Aggron [Reverse Holo] #7,$21.41
849655,Pokemon Team Magma & Team Aqua,Aqua Energy #86,$4.00
849752,Pokemon Team Magma & Team Aqua,Aqua Energy [Reverse Holo] #86,$12.50
849640,Pokemon Team Magma & Team Aqua,Archie #71,$4.15
849738,Pokemon Team Magma & Team Aqua,Archie [Reverse Holo] #71,$4.98
849627,Pokemon Team Magma & Team Aqua,Aron #58,$1.18
849628,Pokemon Team Magma & Team Aqua,Aron #59,$1.40
849724,Pokemon Team Magma & Team Aqua,Aron [Reverse Holo] #58,$8.22
849725,Pokemon Team Magma & Team Aqua,Aron [Reverse Holo] #59,$7.99
849644,Pokemon Team Magma & Team Aqua,Ball #75,$1.75
849649,Pokemon Team Magma & Team Aqua,Ball #80,$1.18
849741,Pokemon Team Magma & Team Aqua,Ball [Reverse Holo] #75,$7.40
849745,Pokemon Team Magma & Team Aqua,Ball [Reverse Holo] #80,$6.10
849601,Pokemon Team Magma & Team Aqua,Baltoy #32,$3.20
849629,Pokemon Team Magma & Team Aqua,Baltoy #60,$0.35
849630,Pokemon Team Magma & Team Aqua,Baltoy #61,$0.84
849698,Pokemon Team Magma & Team Aqua,Baltoy [Reverse Holo] #32,$3.99
849726,Pokemon Team Magma & Team Aqua,Baltoy [Reverse Holo] #60,$7.00
849727,Pokemon Team Magma & Team Aqua,Baltoy [Reverse Holo] #61,$4.96
849645,Pokemon Team Magma & Team Aqua,Belt #76,$2.60
849650,Pokemon Team Magma & Team Aqua,Belt #81,$1.50
849742,Pokemon Team Magma & Team Aqua,Belt [Reverse Holo] #76,$5.06
849747,Pokemon Team Magma & Team Aqua,Belt [Reverse Holo] #81,$6.47
849658,Pokemon Team Magma & Team Aqua,Blaziken EX #89,$135.05
9808318,Pokemon Team Magma & Team Aqua,Blister Pack,$792.50
9157751,Pokemon Team Magma & Team Aqua,Booster Box,$17500.00
5639055,Pokemon Team Magma & Team Aqua,Booster Pack,$420.16
849608,Pokemon Team Magma & Team Aqua,Bulbasaur #39,$13.68
849705,Pokemon Team Magma & Team Aqua,Bulbasaur [Reverse Holo] #39,$70.94
849593,Pokemon Team Magma & Team Aqua,Cacnea #24,$2.46
6136581,Pokemon Team Magma & Team Aqua,Cacnea [Prerelease] #24,$29.99
849690,Pokemon Team Magma & Team Aqua,Cacnea [Reverse Holo] #24,$5.10
849570,Pokemon Team Magma & Team Aqua,Cacturne #1,$17.82
849667,Pokemon Team Magma & Team Aqua,Cacturne [Reverse Holo] #1,$14.99
849588,Pokemon Team Magma & Team Aqua,Camerupt #19,$2.89
849685,Pokemon Team Magma & Team Aqua,Camerupt [Reverse Holo] #19,$9.00
849594,Pokemon Team Magma & Team Aqua,Carvanha #25,$1.75
849616,Pokemon Team Magma & Team Aqua,Carvanha #47,$1.69
849617,Pokemon Team Magma & Team Aqua,Carvanha #48,$0.74
849691,Pokemon Team Magma & Team Aqua,Carvanha [Reverse Holo] #25,$4.50
849713,Pokemon Team Magma & Team Aqua,Carvanha [Reverse Holo] #47,$6.43
849714,Pokemon Team Magma & Team Aqua,Carvanha [Reverse Holo] #48,$7.14
849618,Pokemon Team Magma & Team Aqua,Chinchou #49,$0.51
849715,Pokemon Team Magma & Team Aqua,Chinchou [Reverse Holo] #49,$5.22
849602,Pokemon Team Magma & Team Aqua,Claydol #33,$1.02
849577,Pokemon Team Magma & Team Aqua,Claydol #8,$15.99
849699,Pokemon Team Magma & Team Aqua,Claydol [Reverse Holo] #33,$6.00
849673,Pokemon Team Magma & Team Aqua,Claydol [Reverse Holo] #8,$8.52
849646,Pokemon Team Magma & Team Aqua,Conspirator #77,$0.62
849651,Pokemon Team Magma & Team Aqua,Conspirator #82,$1.46
849743,Pokemon Team Magma & Team Aqua,Conspirator [Reverse Holo] #77,$4.75
849748,Pokemon Team Magma & Team Aqua,Conspirator [Reverse Holo] #82,$7.45
849595,Pokemon Team Magma & Team Aqua,Corphish #26,$1.95
849619,Pokemon Team Magma & Team Aqua,Corphish #50,$1.23
849620,Pokemon Team Magma & Team Aqua,Corphish #51,$0.83
849692,Pokemon Team Magma & Team Aqua,Corphish [Reverse Holo] #26,$5.99
849716,Pokemon Team Magma & Team Aqua,Corphish [Reverse Holo] #50,$10.00
849717,Pokemon Team Magma & Team Aqua,Corphish [Reverse Holo] #51,$9.74
849659,Pokemon Team Magma & Team Aqua,Cradily EX #90,$50.00
849583,Pokemon Team Magma & Team Aqua,Crawdaunt #14,$1.87
849571,Pokemon Team Magma & Team Aqua,Crawdaunt #2,$14.97
849680,Pokemon Team Magma & Team Aqua,Crawdaunt [Reverse Holo] #14,$6.99
849668,Pokemon Team Magma & Team Aqua,Crawdaunt [Reverse Holo] #2,$13.50
849609,Pokemon Team Magma & Team Aqua,Cubone #40,$4.99
849706,Pokemon Team Magma & Team Aqua,Cubone [Reverse Holo] #40,$27.89
849657,Pokemon Team Magma & Team Aqua,Double Rainbow Energy #88,$5.83
849754,Pokemon Team Magma & Team Aqua,Double Rainbow Energy [Reverse Holo] #88,$10.26
849641,Pokemon Team Magma & Team Aqua,Dual Ball #72,$1.46
849737,Pokemon Team Magma & Team Aqua,Dual Ball [Reverse Holo] #72,$3.94
849596,Pokemon Team Magma & Team Aqua,Electrike #27,$2.20
849621,Pokemon Team Magma & Team Aqua,Electrike #52,$1.90
849622,Pokemon Team Magma & Team Aqua,Electrike #53,$0.99
849693,Pokemon Team Magma & Team Aqua,Electrike [Reverse Holo] #27,$4.99
849718,Pokemon Team Magma & Team Aqua,Electrike [Reverse Holo] #52,$7.20
849719,Pokemon Team Magma & Team Aqua,Electrike [Reverse Holo] #53,$5.89
849660,Pokemon Team Magma & Team Aqua,Entei EX #91,$148.64
849578,Pokemon Team Magma & Team Aqua,Groudon #9,$89.77
849675,Pokemon Team Magma & Team Aqua,Groudon [Reverse Holo] #9,$73.71
849647,Pokemon Team Magma & Team Aqua,Hideout #78,$1.75
849652,Pokemon Team Magma & Team Aqua,Hideout #83,$1.62
849744,Pokemon Team Magma & Team Aqua,Hideout [Reverse Holo] #78,$7.56
849749,Pokemon Team Magma & Team Aqua,Hideout [Reverse Holo] #83,$9.00
849579,Pokemon Team Magma & Team Aqua,Houndoom #10,$63.77
849603,Pokemon Team Magma & Team Aqua,Houndoom #34,$3.25
849676,Pokemon Team Magma & Team Aqua,Houndoom [Reverse Holo] #10,$40.00
849700,Pokemon Team Magma & Team Aqua,Houndoom [Reverse Holo] #34,$24.03
849604,Pokemon Team Magma & Team Aqua,Houndour #35,$4.35
849631,Pokemon Team Magma & Team Aqua,Houndour #62,$1.17
849632,Pokemon Team Magma & Team Aqua,Houndour #63,$2.44
849701,Pokemon Team Magma & Team Aqua,Houndour [Reverse Holo] #35,$11.25
849728,Pokemon Team Magma & Team Aqua,Houndour [Reverse Holo] #62,$17.49
849729,Pokemon Team Magma & Team Aqua,Houndour [Reverse Holo] #63,$10.99
849610,Pokemon Team Magma & Team Aqua,Jigglypuff #41,$4.35
849707,Pokemon Team Magma & Team Aqua,Jigglypuff [Reverse Holo] #41,$18.92
849666,Pokemon Team Magma & Team Aqua,Jirachi #97,$72.93
849572,Pokemon Team Magma & Team Aqua,Kyogre #3,$9.04
6330965,Pokemon Team Magma & Team Aqua,Kyogre [Holo] #3,$33.82
849669,Pokemon Team Magma & Team Aqua,Kyogre [Reverse Holo] #3,$48.36
849589,Pokemon Team Magma & Team Aqua,Lairon #20,$3.00
849605,Pokemon Team Magma & Team Aqua,Lairon #36,$0.99
849686,Pokemon Team Magma & Team Aqua,Lairon [Reverse Holo] #20,$9.99
849702,Pokemon Team Magma & Team Aqua,Lairon [Reverse Holo] #36,$5.57
849597,Pokemon Team Magma & Team Aqua,Lanturn #28,$1.49
849694,Pokemon Team Magma & Team Aqua,Lanturn [Reverse Holo] #28,$6.99
849656,Pokemon Team Magma & Team Aqua,Magma Energy #87,$7.00
849753,Pokemon Team Magma & Team Aqua,Magma Energy [Reverse Holo] #87,$18.35
849598,Pokemon Team Magma & Team Aqua,Manectric #29,$2.99
849573,Pokemon Team Magma & Team Aqua,Manectric #4,$12.38
849695,Pokemon Team Magma & Team Aqua,Manectric [Reverse Holo] #29,$8.00
849670,Pokemon Team Magma & Team Aqua,Manectric [Reverse Holo] #4,$16.68
849642,Pokemon Team Magma & Team Aqua,Maxie #73,$4.22
849739,Pokemon Team Magma & Team Aqua,Maxie [Reverse Holo] #73,$5.25
849611,Pokemon Team Magma & Team Aqua,Meowth #42,$4.39
849708,Pokemon Team Magma & Team Aqua,Meowth [Reverse Holo] #42,$18.71
849584,Pokemon Team Magma & Team Aqua,Mightyena #15,$2.28
849590,Pokemon Team Magma & Team Aqua,Mightyena #21,$3.50
849599,Pokemon Team Magma & Team Aqua,Mightyena #30,$2.07
849606,Pokemon Team Magma & Team Aqua,Mightyena #37,$2.11
849681,Pokemon Team Magma & Team Aqua,Mightyena [Reverse Holo] #15,$11.30
849687,Pokemon Team Magma & Team Aqua,Mightyena [Reverse Holo] #21,$12.34
849696,Pokemon Team Magma & Team Aqua,Mightyena [Reverse Holo] #30,$7.07
849703,Pokemon Team Magma & Team Aqua,Mightyena [Reverse Holo] #37,$9.23
849633,Pokemon Team Magma & Team Aqua,Numel #64,$1.63
849730,Pokemon Team Magma & Team Aqua,Numel [Reverse Holo] #64,$11.50
849612,Pokemon Team Magma & Team Aqua,Pikachu #43,$9.00
849709,Pokemon Team Magma & Team Aqua,Pikachu [Reverse Holo] #43,$33.29
849623,Pokemon Team Magma & Team Aqua,Poochyena #54,$1.23
849624,Pokemon Team Magma & Team Aqua,Poochyena #55,$1.77
849634,Pokemon Team Magma & Team Aqua,Poochyena #65,$1.26
849635,Pokemon Team Magma & Team Aqua,Poochyena #66,$1.99
849720,Pokemon Team Magma & Team Aqua,Poochyena [Reverse Holo] #54,$7.82
849721,Pokemon Team Magma & Team Aqua,Poochyena [Reverse Holo] #55,$7.99
849731,Pokemon Team Magma & Team Aqua,Poochyena [Reverse Holo] #65,$8.00
849732,Pokemon Team Magma & Team Aqua,Poochyena [Reverse Holo] #66,$5.71
849613,Pokemon Team Magma & Team Aqua,Psyduck #44,$15.25
849710,Pokemon Team Magma & Team Aqua,Psyduck [Reverse Holo] #44,$39.53
849582,Pokemon Team Magma & Team Aqua,Raichu #13,$8.37
849679,Pokemon Team Magma & Team Aqua,Raichu [Reverse Holo] #13,$28.06
849661,Pokemon Team Magma & Team Aqua,Raikou EX #92,$122.89
849580,Pokemon Team Magma & Team Aqua,Rhydon #11,$18.02
849591,Pokemon Team Magma & Team Aqua,Rhydon #22,$2.43
849677,Pokemon Team Magma & Team Aqua,Rhydon [Reverse Holo] #11,$25.16
849688,Pokemon Team Magma & Team Aqua,Rhydon [Reverse Holo] #22,$10.00
849607,Pokemon Team Magma & Team Aqua,Rhyhorn #38,$3.99
849636,Pokemon Team Magma & Team Aqua,Rhyhorn #67,$0.99
849637,Pokemon Team Magma & Team Aqua,Rhyhorn #68,$0.60
849704,Pokemon Team Magma & Team Aqua,Rhyhorn [Reverse Holo] #38,$9.99
849733,Pokemon Team Magma & Team Aqua,Rhyhorn [Reverse Holo] #67,$7.32
849735,Pokemon Team Magma & Team Aqua,Rhyhorn [Reverse Holo] #68,$7.99
849662,Pokemon Team Magma & Team Aqua,Sceptile EX #93,$171.22
849638,Pokemon Team Magma & Team Aqua,Schemer #69,$0.49
849639,Pokemon Team Magma & Team Aqua,Schemer #70,$0.83
849734,Pokemon Team Magma & Team Aqua,Schemer [Reverse Holo] #69,$4.99
849736,Pokemon Team Magma & Team Aqua,Schemer [Reverse Holo] #70,$6.25
849585,Pokemon Team Magma & Team Aqua,Sealeo #16,$2.10
849600,Pokemon Team Magma & Team Aqua,Sealeo #31,$0.94
849682,Pokemon Team Magma & Team Aqua,Sealeo [Reverse Holo] #16,$12.29
849697,Pokemon Team Magma & Team Aqua,Sealeo [Reverse Holo] #31,$5.70
849586,Pokemon Team Magma & Team Aqua,Seviper #17,$2.75
849683,Pokemon Team Magma & Team Aqua,Seviper [Reverse Holo] #17,$10.49
849587,Pokemon Team Magma & Team Aqua,Sharpedo #18,$3.20
849574,Pokemon Team Magma & Team Aqua,Sharpedo #5,$30.00
849684,Pokemon Team Magma & Team Aqua,Sharpedo [Reverse Holo] #18,$9.00
849671,Pokemon Team Magma & Team Aqua,Sharpedo [Reverse Holo] #5,$34.50
849614,Pokemon Team Magma & Team Aqua,Slowpoke #45,$7.00
849711,Pokemon Team Magma & Team Aqua,Slowpoke [Reverse Holo] #45,$31.00
849625,Pokemon Team Magma & Team Aqua,Spheal #56,$1.68
849626,Pokemon Team Magma & Team Aqua,Spheal #57,$1.98
849722,Pokemon Team Magma & Team Aqua,Spheal [Reverse Holo] #56,$17.38
849723,Pokemon Team Magma & Team Aqua,Spheal [Reverse Holo] #57,$19.99
849615,Pokemon Team Magma & Team Aqua,Squirtle #46,$19.99
849712,Pokemon Team Magma & Team Aqua,Squirtle [Reverse Holo] #46,$115.00
849643,Pokemon Team Magma & Team Aqua,Strength Charm #74,$1.89
849740,Pokemon Team Magma & Team Aqua,Strength Charm [Reverse Holo] #74,$5.00
849663,Pokemon Team Magma & Team Aqua,Suicune EX #94,$245.79
849664,Pokemon Team Magma & Team Aqua,Swampert EX #95,$99.00
9906691,Pokemon Team Magma & Team Aqua,Team Magma's Groudon #9,$5.50
849648,Pokemon Team Magma & Team Aqua,Technical Machine 01 #79,$2.17
849653,Pokemon Team Magma & Team Aqua,Technical Machine 01 #84,$2.40
849746,Pokemon Team Magma & Team Aqua,Technical Machine 01 [Reverse Holo] #79,$6.00
849750,Pokemon Team Magma & Team Aqua,Technical Machine 01 [Reverse Holo] #84,$7.00
849581,Pokemon Team Magma & Team Aqua,Torkoal #12,$21.24
849678,Pokemon Team Magma & Team Aqua,Torkoal [Reverse Holo] #12,$12.00
849575,Pokemon Team Magma & Team Aqua,Walrein #6,$6.96
849672,Pokemon Team Magma & Team Aqua,Walrein [Reverse Holo] #6,$9.84
849654,Pokemon Team Magma & Team Aqua,Warp Point #85,$1.61
849751,Pokemon Team Magma & Team Aqua,Warp Point [Reverse Holo] #85,$6.91
849592,Pokemon Team Magma & Team Aqua,Zangoose #23,$5.23
849689,Pokemon Team Magma & Team Aqua,Zangoose [Reverse Holo] #23,$29.31
