id,console-name,product-name,loose-price
643444,Pokemon Team Rocket,Abra #49,$1.42
1341317,Pokemon Team Rocket,Abra [1st Edition] #49,$2.66
2189358,Pokemon Team Rocket,Booster Box,$8455.45
2189359,Pokemon Team Rocket,Booster Box [1st Edition],$27500.00
2189362,Pokemon Team Rocket,Booster Pack,$264.00
2189361,Pokemon Team Rocket,Booster Pack [1st Edition],$628.52
643445,Pokemon Team Rocket,Challenge! #74,$2.29
1341415,Pokemon Team Rocket,Challenge! [1st Edition] #74,$5.10
643446,Pokemon Team Rocket,Charmander #50,$3.00
1341391,Pokemon Team Rocket,Charmander [1st Edition] #50,$7.99
643447,Pokemon Team Rocket,Dark Alakazam #1,$39.91
1341823,Pokemon Team Rocket,Dark Alakazam #18,$11.54
1341343,Pokemon Team Rocket,Dark Alakazam [1st Edition] #1,$102.95
1341360,Pokemon Team Rocket,Dark Alakazam [1st Edition] #18,$19.99
1341824,Pokemon Team Rocket,Dark Arbok #19,$6.59
643448,Pokemon Team Rocket,Dark Arbok #2,$9.16
1341361,Pokemon Team Rocket,Dark Arbok [1st Edition] #19,$13.50
1341344,Pokemon Team Rocket,Dark Arbok [1st Edition] #2,$45.00
2336214,Pokemon Team Rocket,Dark Arbok [W Stamp] #19,$43.49
1341825,Pokemon Team Rocket,Dark Blastoise #20,$17.75
643449,Pokemon Team Rocket,Dark Blastoise #3,$104.86
1341362,Pokemon Team Rocket,Dark Blastoise [1st Edition] #20,$33.04
1341345,Pokemon Team Rocket,Dark Blastoise [1st Edition] #3,$262.27
1341826,Pokemon Team Rocket,Dark Charizard #21,$39.82
643450,Pokemon Team Rocket,Dark Charizard #4,$181.57
1341363,Pokemon Team Rocket,Dark Charizard [1st Edition] #21,$111.50
1341346,Pokemon Team Rocket,Dark Charizard [1st Edition] #4,$457.21
643451,Pokemon Team Rocket,Dark Charmeleon #32,$4.73
1341374,Pokemon Team Rocket,Dark Charmeleon [1st Edition] #32,$14.18
2336238,Pokemon Team Rocket,Dark Charmeleon [W Stamp] #32,$222.29
643452,Pokemon Team Rocket,Dark Dragonair #33,$3.99
1341375,Pokemon Team Rocket,Dark Dragonair [1st Edition] #33,$9.50
1341827,Pokemon Team Rocket,Dark Dragonite #22,$14.76
5528495,Pokemon Team Rocket,Dark Dragonite #5,$73.26
4050361,Pokemon Team Rocket,Dark Dragonite [1st Edition Error] #5,$1542.70
1341364,Pokemon Team Rocket,Dark Dragonite [1st Edition] #22,$44.40
1341347,Pokemon Team Rocket,Dark Dragonite [1st Edition] #5,$328.50
7226038,Pokemon Team Rocket,Dark Dragonite [Error] #5,$489.32
643453,Pokemon Team Rocket,Dark Dragonite [Holo] #5,$98.78
1341828,Pokemon Team Rocket,Dark Dugtrio #23,$4.85
643454,Pokemon Team Rocket,Dark Dugtrio #6,$26.18
1341365,Pokemon Team Rocket,Dark Dugtrio [1st Edition] #23,$13.99
1341348,Pokemon Team Rocket,Dark Dugtrio [1st Edition] #6,$60.49
643455,Pokemon Team Rocket,Dark Electrode #34,$2.62
1341376,Pokemon Team Rocket,Dark Electrode [1st Edition] #34,$3.50
643456,Pokemon Team Rocket,Dark Flareon #35,$4.38
1341377,Pokemon Team Rocket,Dark Flareon [1st Edition] #35,$13.00
643457,Pokemon Team Rocket,Dark Gloom #36,$2.00
1341378,Pokemon Team Rocket,Dark Gloom [1st Edition] #36,$4.26
1341829,Pokemon Team Rocket,Dark Golbat #24,$5.03
643458,Pokemon Team Rocket,Dark Golbat #7,$19.99
1341366,Pokemon Team Rocket,Dark Golbat [1st Edition] #24,$11.50
1341349,Pokemon Team Rocket,Dark Golbat [1st Edition] #7,$51.43
643459,Pokemon Team Rocket,Dark Golduck #37,$2.21
1341379,Pokemon Team Rocket,Dark Golduck [1st Edition] #37,$6.12
1341830,Pokemon Team Rocket,Dark Gyarados #25,$10.00
643460,Pokemon Team Rocket,Dark Gyarados #8,$31.12
1341367,Pokemon Team Rocket,Dark Gyarados [1st Edition] #25,$23.89
1341350,Pokemon Team Rocket,Dark Gyarados [1st Edition] #8,$96.20
2253360,Pokemon Team Rocket,Dark Gyarados [Prerelease] #8,$26.49
1341831,Pokemon Team Rocket,Dark Hypno #26,$6.97
643461,Pokemon Team Rocket,Dark Hypno #9,$26.59
1341368,Pokemon Team Rocket,Dark Hypno [1st Edition] #26,$12.32
1341351,Pokemon Team Rocket,Dark Hypno [1st Edition] #9,$62.14
643462,Pokemon Team Rocket,Dark Jolteon #38,$6.06
1341380,Pokemon Team Rocket,Dark Jolteon [1st Edition] #38,$14.25
643463,Pokemon Team Rocket,Dark Kadabra #39,$1.99
1341381,Pokemon Team Rocket,Dark Kadabra [1st Edition] #39,$4.84
643464,Pokemon Team Rocket,Dark Machamp #10,$43.83
1341799,Pokemon Team Rocket,Dark Machamp #27,$6.95
1341352,Pokemon Team Rocket,Dark Machamp [1st Edition] #10,$84.74
1341369,Pokemon Team Rocket,Dark Machamp [1st Edition] #27,$14.50
643465,Pokemon Team Rocket,Dark Machoke #40,$2.52
1341382,Pokemon Team Rocket,Dark Machoke [1st Edition] #40,$4.43
643466,Pokemon Team Rocket,Dark Magneton #11,$24.99
1341832,Pokemon Team Rocket,Dark Magneton #28,$6.30
1341353,Pokemon Team Rocket,Dark Magneton [1st Edition] #11,$64.00
1341370,Pokemon Team Rocket,Dark Magneton [1st Edition] #28,$11.00
643467,Pokemon Team Rocket,Dark Muk #41,$2.19
1341383,Pokemon Team Rocket,Dark Muk [1st Edition] #41,$4.75
643468,Pokemon Team Rocket,Dark Persian #42,$2.29
1341384,Pokemon Team Rocket,Dark Persian [1st Edition] #42,$4.96
643469,Pokemon Team Rocket,Dark Primeape #43,$3.02
1341385,Pokemon Team Rocket,Dark Primeape [1st Edition] #43,$4.10
643470,Pokemon Team Rocket,Dark Raichu #83,$60.47
1341424,Pokemon Team Rocket,Dark Raichu [1st Edition] #83,$182.99
643471,Pokemon Team Rocket,Dark Rapidash #44,$2.48
1341386,Pokemon Team Rocket,Dark Rapidash [1st Edition] #44,$5.44
643472,Pokemon Team Rocket,Dark Raticate #51,$1.19
1341392,Pokemon Team Rocket,Dark Raticate [1st Edition] #51,$3.31
643473,Pokemon Team Rocket,Dark Slowbro #12,$30.00
1341833,Pokemon Team Rocket,Dark Slowbro #29,$7.97
1341354,Pokemon Team Rocket,Dark Slowbro [1st Edition] #12,$65.07
1341371,Pokemon Team Rocket,Dark Slowbro [1st Edition] #29,$16.00
643474,Pokemon Team Rocket,Dark Vaporeon #45,$4.01
1341387,Pokemon Team Rocket,Dark Vaporeon [1st Edition] #45,$16.00
643475,Pokemon Team Rocket,Dark Vileplume #13,$22.72
1341834,Pokemon Team Rocket,Dark Vileplume #30,$6.99
1341355,Pokemon Team Rocket,Dark Vileplume [1st Edition] #13,$48.41
1341372,Pokemon Team Rocket,Dark Vileplume [1st Edition] #30,$12.00
643476,Pokemon Team Rocket,Dark Wartortle #46,$2.99
1341388,Pokemon Team Rocket,Dark Wartortle [1st Edition] #46,$8.33
643477,Pokemon Team Rocket,Dark Weezing #14,$6.90
1341835,Pokemon Team Rocket,Dark Weezing #31,$5.99
1341356,Pokemon Team Rocket,Dark Weezing [1st Edition] #14,$28.50
1341373,Pokemon Team Rocket,Dark Weezing [1st Edition] #31,$9.99
643478,Pokemon Team Rocket,Digger #75,$2.34
1341416,Pokemon Team Rocket,Digger [1st Edition] #75,$2.74
643479,Pokemon Team Rocket,Diglett #52,$1.23
1341393,Pokemon Team Rocket,Diglett [1st Edition] #52,$2.65
643480,Pokemon Team Rocket,Dratini #53,$1.80
1341394,Pokemon Team Rocket,Dratini [1st Edition] #53,$3.11
643481,Pokemon Team Rocket,Drowzee #54,$1.19
1341395,Pokemon Team Rocket,Drowzee [1st Edition] #54,$2.70
643482,Pokemon Team Rocket,Eevee #55,$2.00
1341396,Pokemon Team Rocket,Eevee [1st Edition] #55,$6.95
643483,Pokemon Team Rocket,Ekans #56,$1.28
1341397,Pokemon Team Rocket,Ekans [1st Edition] #56,$2.23
643484,Pokemon Team Rocket,Full Heal Energy #81,$1.26
1341422,Pokemon Team Rocket,Full Heal Energy [1st Edition] #81,$2.25
643485,Pokemon Team Rocket,Goop Gas Attack #78,$1.48
1341419,Pokemon Team Rocket,Goop Gas Attack [1st Edition] #78,$1.90
643486,Pokemon Team Rocket,Grimer #57,$1.60
1341398,Pokemon Team Rocket,Grimer [1st Edition] #57,$3.02
643487,Pokemon Team Rocket,Here Comes Team Rocket #15,$16.00
2371055,Pokemon Team Rocket,Here Comes Team Rocket #71,$11.12
1341357,Pokemon Team Rocket,Here Comes Team Rocket [1st Edition] #15,$38.87
1341412,Pokemon Team Rocket,Here Comes Team Rocket [1st Edition] #71,$16.60
643488,Pokemon Team Rocket,Imposter Oak's Revenge #76,$2.99
1341417,Pokemon Team Rocket,Imposter Oak's Revenge [1st Edition] #76,$8.49
643489,Pokemon Team Rocket,Koffing #58,$1.33
1341399,Pokemon Team Rocket,Koffing [1st Edition] #58,$2.25
643490,Pokemon Team Rocket,Machop #59,$1.26
1341400,Pokemon Team Rocket,Machop [1st Edition] #59,$2.28
643491,Pokemon Team Rocket,Magikarp #47,$3.39
1341389,Pokemon Team Rocket,Magikarp [1st Edition] #47,$5.00
643492,Pokemon Team Rocket,Magnemite #60,$1.77
1341401,Pokemon Team Rocket,Magnemite [1st Edition] #60,$2.00
643493,Pokemon Team Rocket,Mankey #61,$1.29
1341402,Pokemon Team Rocket,Mankey [1st Edition] #61,$2.27
643494,Pokemon Team Rocket,Meowth #62,$1.90
1341403,Pokemon Team Rocket,Meowth [1st Edition] #62,$4.03
643495,Pokemon Team Rocket,Nightly Garbage Run #77,$2.00
1341418,Pokemon Team Rocket,Nightly Garbage Run [1st Edition] #77,$2.99
643496,Pokemon Team Rocket,Oddish #63,$1.75
1341404,Pokemon Team Rocket,Oddish [1st Edition] #63,$2.00
643497,Pokemon Team Rocket,Ponyta #64,$1.30
1341405,Pokemon Team Rocket,Ponyta [1st Edition] #64,$2.99
643498,Pokemon Team Rocket,Porygon #48,$2.25
1341390,Pokemon Team Rocket,Porygon [1st Edition] #48,$4.00
643499,Pokemon Team Rocket,Potion Energy #82,$1.72
