id,console-name,product-name,loose-price
7339810,Pokemon Team Up,3-Pack Blister,$310.00
962886,Pokemon Team Up,Absol [Holo] #88,$2.94
963074,Pokemon Team Up,Absol [Reverse Holo] #88,$3.89
962907,Pokemon Team Up,Aegislash #109,$0.69
963092,Pokemon Team Up,Aegislash [Reverse Holo] #109,$1.14
962928,Pokemon Team Up,Aerodactyl #130,$1.42
963111,Pokemon Team Up,Aerodactyl [Reverse Holo] #130,$1.97
962912,Pokemon Team Up,Alolan Exeggutor #114,$0.42
962913,Pokemon Team Up,Alolan Exeggutor #115,$0.50
963096,Pokemon Team Up,Alolan Exeggutor [Reverse Holo] #114,$0.45
963097,Pokemon Team Up,Alolan Exeggutor [Reverse Holo] #115,$1.08
962832,Pokemon Team Up,Alolan Geodude #34,$0.25
962833,Pokemon Team Up,Alolan Geodude #35,$0.39
963025,Pokemon Team Up,Alolan Geodude [Reverse Holo] #34,$0.40
963026,Pokemon Team Up,Alolan Geodude [Reverse Holo] #35,$1.39
962835,Pokemon Team Up,Alolan Golem #37,$0.49
963028,Pokemon Team Up,Alolan Golem [Reverse Holo] #37,$0.75
962834,Pokemon Team Up,Alolan Graveler #36,$0.25
963027,Pokemon Team Up,Alolan Graveler [Reverse Holo] #36,$0.50
962881,Pokemon Team Up,Alolan Grimer #83,$0.20
963069,Pokemon Team Up,Alolan Grimer [Reverse Holo] #83,$0.81
962862,Pokemon Team Up,Alolan Marowak #64,$0.99
963052,Pokemon Team Up,Alolan Marowak [Reverse Holo] #64,$4.38
962882,Pokemon Team Up,Alolan Muk #84,$0.60
963070,Pokemon Team Up,Alolan Muk [Reverse Holo] #84,$1.00
962909,Pokemon Team Up,Alolan Ninetales #111,$7.19
963094,Pokemon Team Up,Alolan Ninetales [Reverse Holo] #111,$8.01
962961,Pokemon Team Up,Ampharos GX #163,$22.90
962983,Pokemon Team Up,Ampharos GX #185,$32.92
962841,Pokemon Team Up,Ampharos GX #43,$4.76
962830,Pokemon Team Up,Articuno #32,$3.24
963024,Pokemon Team Up,Articuno [Reverse Holo] #32,$3.89
962803,Pokemon Team Up,Beedrill #5,$0.65
962998,Pokemon Team Up,Beedrill [Reverse Holo] #5,$0.79
962931,Pokemon Team Up,Bill's Analysis #133,$0.67
963114,Pokemon Team Up,Bill's Analysis [Reverse Holo] #133,$0.84
962903,Pokemon Team Up,Bisharp #105,$0.53
963089,Pokemon Team Up,Bisharp [Reverse Holo] #105,$0.74
962932,Pokemon Team Up,Black Market #134,$2.50
962823,Pokemon Team Up,Blastoise #25,$6.23
11859381,Pokemon Team Up,Blastoise Theme Deck - Torrential Cannon,$70.23
6665622,Pokemon Team Up,Blastoise [Cracked Ice] #25,$18.40
963017,Pokemon Team Up,Blastoise [Reverse Holo] #25,$11.86
6948790,Pokemon Team Up,Blister Pack,$207.87
962842,Pokemon Team Up,Blitzle #44,$0.10
963034,Pokemon Team Up,Blitzle [Reverse Holo] #44,$0.62
2244951,Pokemon Team Up,Booster Box,$8850.00
2244952,Pokemon Team Up,Booster Pack,$179.12
962933,Pokemon Team Up,Brock's Grit #135,$0.24
962970,Pokemon Team Up,Brock's Grit #172,$38.79
963115,Pokemon Team Up,Brock's Grit [Reverse Holo] #135,$0.39
962899,Pokemon Team Up,Bronzong #101,$0.31
963085,Pokemon Team Up,Bronzong [Reverse Holo] #101,$0.55
962898,Pokemon Team Up,Bronzor #100,$0.16
963084,Pokemon Team Up,Bronzor [Reverse Holo] #100,$1.56
962934,Pokemon Team Up,Buff Padding #136,$0.20
963116,Pokemon Team Up,Buff Padding [Reverse Holo] #136,$0.28
8217595,Pokemon Team Up,Build & Battle Display Box,$3000.00
10637797,Pokemon Team Up,Build And Battle Box,$900.00
962799,Pokemon Team Up,Celebi & Venusaur GX #1,$35.00
962957,Pokemon Team Up,Celebi & Venusaur GX #159,$55.50
962980,Pokemon Team Up,Celebi & Venusaur GX #182,$86.46
962812,Pokemon Team Up,Charizard #14,$12.00
11859878,Pokemon Team Up,Charizard Theme Deck - Relentless Flame,
5013677,Pokemon Team Up,Charizard [Cosmos Holo] #14,$20.44
4955992,Pokemon Team Up,Charizard [Cracked Ice] #14,$26.20
963006,Pokemon Team Up,Charizard [Reverse Holo] #14,$15.47
962809,Pokemon Team Up,Charmander #11,$1.20
962810,Pokemon Team Up,Charmander #12,$0.84
963003,Pokemon Team Up,Charmander [Reverse Holo] #11,$3.07
963004,Pokemon Team Up,Charmander [Reverse Holo] #12,$3.38
962811,Pokemon Team Up,Charmeleon #13,$0.49
963005,Pokemon Team Up,Charmeleon [Reverse Holo] #13,$1.14
962904,Pokemon Team Up,Cobalion GX #106,$2.79
962966,Pokemon Team Up,Cobalion GX #168,$6.29
962987,Pokemon Team Up,Cobalion GX #189,$12.00
962868,Pokemon Team Up,Cosmoem #70,$0.27
963057,Pokemon Team Up,Cosmoem [Reverse Holo] #70,$0.36
962867,Pokemon Team Up,Cosmog #69,$0.29
963056,Pokemon Team Up,Cosmog [Reverse Holo] #69,$0.62
962935,Pokemon Team Up,Dana #137,$0.21
962971,Pokemon Team Up,Dana #173,$43.50
963117,Pokemon Team Up,Dana [Reverse Holo] #137,$1.17
962936,Pokemon Team Up,Dangerous Drill #138,$0.20
962990,Pokemon Team Up,Dangerous Drill #192,$4.11
963118,Pokemon Team Up,Dangerous Drill [Reverse Holo] #138,$0.60
962906,Pokemon Team Up,Doublade #108,$0.15
963091,Pokemon Team Up,Doublade [Reverse Holo] #108,$0.35
962916,Pokemon Team Up,Dragonair #118,$0.78
963100,Pokemon Team Up,Dragonair [Reverse Holo] #118,$1.29
962917,Pokemon Team Up,Dragonite #119,$4.25
6390604,Pokemon Team Up,Dragonite [Cosmos Holo] #119,$3.31
963101,Pokemon Team Up,Dragonite [Reverse Holo] #119,$4.40
962914,Pokemon Team Up,Dratini #116,$0.34
962915,Pokemon Team Up,Dratini #117,$0.25
963098,Pokemon Team Up,Dratini [Reverse Holo] #116,$0.66
963099,Pokemon Team Up,Dratini [Reverse Holo] #117,$0.71
962918,Pokemon Team Up,Eevee & Snorlax GX #120,$60.00
962969,Pokemon Team Up,Eevee & Snorlax GX #171,$140.00
962989,Pokemon Team Up,Eevee & Snorlax GX #191,$179.29
962937,Pokemon Team Up,Electrocharger #139,$0.14
962991,Pokemon Team Up,Electrocharger #193,$3.83
963119,Pokemon Team Up,Electrocharger [Reverse Holo] #139,$0.21
962837,Pokemon Team Up,Electrode #39,$17.45
963030,Pokemon Team Up,Electrode [Reverse Holo] #39,$22.50
4780191,Pokemon Team Up,Elite Trainer Box,$2746.40
962844,Pokemon Team Up,Emolga #46,$0.35
963036,Pokemon Team Up,Emolga [Reverse Holo] #46,$0.75
962938,Pokemon Team Up,Erika's Hospitality #140,$1.46
962972,Pokemon Team Up,Erika's Hospitality #174,$106.47
963120,Pokemon Team Up,Erika's Hospitality [Reverse Holo] #140,$1.42
962939,Pokemon Team Up,Evelyn #141,$0.20
962973,Pokemon Team Up,Evelyn #175,$54.99
963121,Pokemon Team Up,Evelyn [Reverse Holo] #141,$0.99
962806,Pokemon Team Up,Exeggcute #8,$0.15
963001,Pokemon Team Up,Exeggcute [Reverse Holo] #8,$0.30
962940,Pokemon Team Up,Fairy Charm UB #142,$0.25
963122,Pokemon Team Up,Fairy Charm UB [Reverse Holo] #142,$0.47
3102805,Pokemon Team Up,Fairy Energy,$0.28
962925,Pokemon Team Up,Farfetch'd #127,$0.34
963108,Pokemon Team Up,Farfetch'd [Reverse Holo] #127,$1.36
962900,Pokemon Team Up,Ferroseed #102,$0.14
963086,Pokemon Team Up,Ferroseed [Reverse Holo] #102,$0.30
962901,Pokemon Team Up,Ferrothorn #103,$0.23
963087,Pokemon Team Up,Ferrothorn [Reverse Holo] #103,$0.99
962840,Pokemon Team Up,Flaaffy #42,$0.25
963033,Pokemon Team Up,Flaaffy [Reverse Holo] #42,$1.23
962846,Pokemon Team Up,Galvantula #48,$0.38
963038,Pokemon Team Up,Galvantula [Reverse Holo] #48,$0.69
962962,Pokemon Team Up,Gengar & Mimikyu GX #164,$216.25
962963,Pokemon Team Up,Gengar & Mimikyu GX #165,$1067.26
962984,Pokemon Team Up,Gengar & Mimikyu GX #186,$305.43
962851,Pokemon Team Up,Gengar & Mimikyu GX #53,$180.00
962825,Pokemon Team Up,Golduck #27,$0.25
963019,Pokemon Team Up,Golduck [Reverse Holo] #27,$1.11
962941,Pokemon Team Up,Grass Memory #143,$0.25
963123,Pokemon Team Up,Grass Memory [Reverse Holo] #143,$0.38
962860,Pokemon Team Up,Grimer #62,$0.14
963050,Pokemon Team Up,Grimer [Reverse Holo] #62,$0.65
962828,Pokemon Team Up,Gyarados #30,$6.04
963022,Pokemon Team Up,Gyarados [Reverse Holo] #30,$7.36
962848,Pokemon Team Up,Heliolisk #50,$0.15
963040,Pokemon Team Up,Heliolisk [Reverse Holo] #50,$0.27
962847,Pokemon Team Up,Helioptile #49,$0.26
963039,Pokemon Team Up,Helioptile [Reverse Holo] #49,$0.44
962872,Pokemon Team Up,Hitmonchan #74,$0.91
963061,Pokemon Team Up,Hitmonchan [Reverse Holo] #74,$2.88
962871,Pokemon Team Up,Hitmonlee #73,$0.61
963060,Pokemon Team Up,Hitmonlee [Reverse Holo] #73,$1.27
962905,Pokemon Team Up,Honedge #107,$0.18
963090,Pokemon Team Up,Honedge [Reverse Holo] #107,$0.67
962964,Pokemon Team Up,Hoopa GX #166,$9.75
962985,Pokemon Team Up,Hoopa GX #187,$21.30
962894,Pokemon Team Up,Hoopa GX #96,$2.99
962965,Pokemon Team Up,Incineroar GX #167,$7.36
962986,Pokemon Team Up,Incineroar GX #188,$21.10
962895,Pokemon Team Up,Incineroar GX #97,$2.53
962942,Pokemon Team Up,Ingo & Emmet #144,$0.20
962974,Pokemon Team Up,Ingo & Emmet #176,$37.33
963124,Pokemon Team Up,Ingo & Emmet [Reverse Holo] #144,$0.66
962943,Pokemon Team Up,Jasmine #145,$0.30
962975,Pokemon Team Up,Jasmine #177,$64.46
963125,Pokemon Team Up,Jasmine [Reverse Holo] #145,$0.47
11805313,Pokemon Team Up,Jirachi #99,$0.55
962897,Pokemon Team Up,Jirachi [Holo] #99,$5.79
963083,Pokemon Team Up,Jirachi [Reverse Holo] #99,$7.86
962845,Pokemon Team Up,Joltik #47,$0.51
