id,console-name,product-name,loose-price
9042124,Pokemon Temporal Forces,3 Pack Blister: Cyclizar,$22.16
6495600,Pokemon Temporal Forces,Ancient Booster Energy Capsule #140,$0.15
6495804,Pokemon Temporal Forces,Ancient Booster Energy Capsule [Reverse Holo] #140,$0.25
6495561,Pokemon Temporal Forces,Arbok #101,$0.12
6495637,Pokemon Temporal Forces,Arbok #176,$14.70
6495771,Pokemon Temporal Forces,Arbok [Reverse Holo] #101,$0.25
6495601,Pokemon Temporal Forces,Awakening Drum #141,$0.99
10909675,Pokemon Temporal Forces,Awakening Drum [Prize Pack] #141,$1.80
6495525,Pokemon Temporal Forces,Azumarill #65,$0.10
6495737,Pokemon Temporal Forces,Azumarill [Reverse Holo] #65,$0.14
6495534,Pokemon Temporal Forces,Beheeyem #74,$0.10
6495746,Pokemon Temporal Forces,Beheeyem [Reverse Holo] #74,$0.20
6495573,Pokemon Temporal Forces,Beldum #113,$0.10
6495780,Pokemon Temporal Forces,Beldum [Reverse Holo] #113,$0.19
6495602,Pokemon Temporal Forces,Bianca's Devotion #142,$0.14
6495657,Pokemon Temporal Forces,Bianca's Devotion #197,$2.64
6495669,Pokemon Temporal Forces,Bianca's Devotion #209,$20.17
10951947,Pokemon Temporal Forces,Bianca's Devotion [Prize Pack] #142,$0.21
6495806,Pokemon Temporal Forces,Bianca's Devotion [Reverse Holo] #142,$0.31
6495519,Pokemon Temporal Forces,Boltund #59,$0.15
6495732,Pokemon Temporal Forces,Boltund [Reverse Holo] #59,$0.09
6495459,Pokemon Temporal Forces,Booster Box,$257.50
6654038,Pokemon Temporal Forces,Booster Bundle,$49.91
6495460,Pokemon Temporal Forces,Booster Pack,$7.50
6495603,Pokemon Temporal Forces,Boxed Order #143,$0.16
6495807,Pokemon Temporal Forces,Boxed Order [Reverse Holo] #143,$0.30
6495481,Pokemon Temporal Forces,Brambleghast #21,$0.15
10909647,Pokemon Temporal Forces,Brambleghast [Prize Pack] #21,$0.13
6495699,Pokemon Temporal Forces,Brambleghast [Reverse Holo] #21,$0.22
6495480,Pokemon Temporal Forces,Bramblin #20,$0.11
6495698,Pokemon Temporal Forces,Bramblin [Reverse Holo] #20,$0.15
6495467,Pokemon Temporal Forces,Breloom #7,$0.10
6495686,Pokemon Temporal Forces,Breloom [Reverse Holo] #7,$0.11
6495529,Pokemon Temporal Forces,Bronzong #69,$0.09
6495741,Pokemon Temporal Forces,Bronzong [Reverse Holo] #69,$0.33
6495630,Pokemon Temporal Forces,Bronzor #170,$4.79
6495528,Pokemon Temporal Forces,Bronzor #68,$0.09
6495740,Pokemon Temporal Forces,Bronzor [Reverse Holo] #68,$0.10
6495604,Pokemon Temporal Forces,Buddy-Buddy Poffin #144,$0.29
8457763,Pokemon Temporal Forces,Buddy-Buddy Poffin [League Promo] #144,$3.77
10045236,Pokemon Temporal Forces,Buddy-Buddy Poffin [North America] #144,$19.07
10909867,Pokemon Temporal Forces,Buddy-Buddy Poffin [Prize Pack Cosmos Holo] #144,$0.24
8765739,Pokemon Temporal Forces,Buddy-Buddy Poffin [Prize Pack] #144,$0.25
6495808,Pokemon Temporal Forces,Buddy-Buddy Poffin [Reverse Holo] #144,$0.45
6495554,Pokemon Temporal Forces,Carkol #94,$0.13
6495765,Pokemon Temporal Forces,Carkol [Reverse Holo] #94,$0.41
6495502,Pokemon Temporal Forces,Carvanha #42,$0.10
6495716,Pokemon Temporal Forces,Carvanha [Reverse Holo] #42,$0.15
6495497,Pokemon Temporal Forces,Centiskorch #37,$0.08
6495712,Pokemon Temporal Forces,Centiskorch [Reverse Holo] #37,$0.12
6495629,Pokemon Temporal Forces,Charjabug #169,$4.89
6495515,Pokemon Temporal Forces,Charjabug #55,$0.08
6495728,Pokemon Temporal Forces,Charjabug [Reverse Holo] #55,$0.25
6495592,Pokemon Temporal Forces,Chatot #132,$0.07
6495641,Pokemon Temporal Forces,Chatot #181,$8.00
6495796,Pokemon Temporal Forces,Chatot [Reverse Holo] #132,$0.08
6495597,Pokemon Temporal Forces,Cinccino #137,$0.25
6495643,Pokemon Temporal Forces,Cinccino #183,$15.03
6495801,Pokemon Temporal Forces,Cinccino [Reverse Holo] #137,$0.21
6495605,Pokemon Temporal Forces,Ciphermaniac's Codebreaking #145,$0.13
6495658,Pokemon Temporal Forces,Ciphermaniac's Codebreaking #198,$3.99
10909868,Pokemon Temporal Forces,Ciphermaniac's Codebreaking [Prize Pack Cosmos Holo] #145,$0.15
8805224,Pokemon Temporal Forces,Ciphermaniac's Codebreaking [Prize Pack] #145,$0.14
6495809,Pokemon Temporal Forces,Ciphermaniac's Codebreaking [Reverse Holo] #145,$0.23
6495555,Pokemon Temporal Forces,Coalossal #95,$0.17
6495766,Pokemon Temporal Forces,Coalossal [Reverse Holo] #95,$0.17
6495474,Pokemon Temporal Forces,Cottonee #14,$0.11
6495692,Pokemon Temporal Forces,Cottonee [Reverse Holo] #14,$0.10
6495500,Pokemon Temporal Forces,Croconaw #40,$0.26
6495714,Pokemon Temporal Forces,Croconaw [Reverse Holo] #40,$0.50
6495632,Pokemon Temporal Forces,Cutiefly #172,$4.99
6495535,Pokemon Temporal Forces,Cutiefly #75,$0.09
6495747,Pokemon Temporal Forces,Cutiefly [Reverse Holo] #75,$0.15
6495476,Pokemon Temporal Forces,Deerling #16,$0.12
6495625,Pokemon Temporal Forces,Deerling #165,$22.00
6495694,Pokemon Temporal Forces,Deerling [Reverse Holo] #16,$0.19
6495591,Pokemon Temporal Forces,Delcatty #131,$0.22
6495795,Pokemon Temporal Forces,Delcatty [Reverse Holo] #131,$0.35
6495479,Pokemon Temporal Forces,Dhelmise #19,$0.15
6495697,Pokemon Temporal Forces,Dhelmise [Reverse Holo] #19,$0.15
6495644,Pokemon Temporal Forces,Drampa #184,$12.98
6495598,Pokemon Temporal Forces,Drampa [Holo] #138,$0.14
6495802,Pokemon Temporal Forces,Drampa [Reverse Holo] #138,$0.18
6495545,Pokemon Temporal Forces,Drilbur #85,$0.10
10951298,Pokemon Temporal Forces,Drilbur [Prize Pack] #85,$0.36
6495756,Pokemon Temporal Forces,Drilbur [Reverse Holo] #85,$0.19
6495589,Pokemon Temporal Forces,Dudunsparce #129,$0.53
10951299,Pokemon Temporal Forces,Dudunsparce [Prize Pack] #129,$0.41
6495793,Pokemon Temporal Forces,Dudunsparce [Reverse Holo] #129,$0.39
6495588,Pokemon Temporal Forces,Dunsparce #128,$0.21
6495792,Pokemon Temporal Forces,Dunsparce [Reverse Holo] #128,$0.19
6495531,Pokemon Temporal Forces,Duosion #71,$0.10
6495743,Pokemon Temporal Forces,Duosion [Reverse Holo] #71,$0.40
6495560,Pokemon Temporal Forces,Ekans #100,$0.10
6495770,Pokemon Temporal Forces,Ekans [Reverse Holo] #100,$0.22
6495513,Pokemon Temporal Forces,Electabuzz #53,$0.14
6495726,Pokemon Temporal Forces,Electabuzz [Reverse Holo] #53,$0.38
6495514,Pokemon Temporal Forces,Electivire #54,$0.08
6495727,Pokemon Temporal Forces,Electivire [Reverse Holo] #54,$0.15
6495533,Pokemon Temporal Forces,Elgyem #73,$0.14
