id,console-name,product-name,loose-price
5732710,Pokemon Trick or Trade 2023,Banette #73,$0.10
5769895,Pokemon Trick or Trade 2023,Booster Bundle,$39.95
5862250,Pokemon Trick or Trade 2023,Booster Bundle [120],$60.00
5769896,Pokemon Trick or Trade 2023,Booster Pack,$1.27
5732687,Pokemon Trick or Trade 2023,Chandelure [Holo] #26,$0.16
5732703,Pokemon Trick or Trade 2023,Dhelmise #19,$0.11
5732711,Pokemon Trick or Trade 2023,Drifblim #90,$0.08
5732712,Pokemon Trick or Trade 2023,Drifloon #89,$0.12
5732713,Pokemon Trick or Trade 2023,Dusclops #70,$0.10
5732692,Pokemon Trick or Trade 2023,Dusknoir [Holo] #71,$0.12
5732714,Pokemon Trick or Trade 2023,Duskull #69,$0.09
5732707,Pokemon Trick or Trade 2023,Galarian Runerigus #102,$0.16
5732715,Pokemon Trick or Trade 2023,Gastly #64,$0.18
5732693,Pokemon Trick or Trade 2023,Gengar [Holo] #66,$1.23
5732716,Pokemon Trick or Trade 2023,Greavard #104,$0.05
5732717,Pokemon Trick or Trade 2023,Haunter #65,$0.23
5732690,Pokemon Trick or Trade 2023,Houndoom [Holo] #34,$0.20
5732694,Pokemon Trick or Trade 2023,Houndstone [Holo] #106,$0.12
5732704,Pokemon Trick or Trade 2023,Lampent #25,$0.09
5732705,Pokemon Trick or Trade 2023,Litwick #24,$0.12
5732706,Pokemon Trick or Trade 2023,Lycanroc #95,$0.13
5732695,Pokemon Trick or Trade 2023,Marshadow [Holo] #80,$0.15
5732696,Pokemon Trick or Trade 2023,Mimikyu [Holo] #97,$0.47
5732718,Pokemon Trick or Trade 2023,Mismagius #88,$0.67
5732708,Pokemon Trick or Trade 2023,Murkrow #131,$0.10
5770965,Pokemon Trick or Trade 2023,Phantump #16,$0.09
5732691,Pokemon Trick or Trade 2023,Pikachu [Holo] #62,$0.75
5732719,Pokemon Trick or Trade 2023,Polteageist #90,$0.10
5732720,Pokemon Trick or Trade 2023,Shuppet #87,$0.12
5732721,Pokemon Trick or Trade 2023,Sinistea #89,$0.10
5732697,Pokemon Trick or Trade 2023,Spectrier [Holo] #81,$0.25
5732686,Pokemon Trick or Trade 2023,Trevenant [Holo] #17,$0.10
5732709,Pokemon Trick or Trade 2023,Zubat #103,$0.12
