id,console-name,product-name,loose-price
926148,Pokemon Triumphant,Absol #91,$57.99
926059,Pokemon Triumphant,Aggron #1,$6.25
926161,Pokemon Triumphant,Aggron [Reverse Holo] #1,$4.00
926113,Pokemon Triumphant,Aipom #55,$0.35
926215,Pokemon Triumphant,Aipom [Reverse Holo] #55,$2.39
926160,Pokemon Triumphant,Alph Lithograph #FOUR,$58.00
926060,Pokemon Triumphant,Altaria #2,$7.82
926162,Pokemon Triumphant,Altaria [Reverse Holo] #2,$8.13
926074,Pokemon Triumphant,Ambipom #13,$0.67
926173,Pokemon Triumphant,Ambipom [Reverse Holo] #13,$2.55
926114,Pokemon Triumphant,Aron #56,$0.86
926216,Pokemon Triumphant,Aron [Reverse Holo] #56,$4.41
926072,Pokemon Triumphant,Banette #14,$1.01
926174,Pokemon Triumphant,Banette [Reverse Holo] #14,$5.45
926115,Pokemon Triumphant,Bellsprout #57,$0.45
926217,Pokemon Triumphant,Bellsprout [Reverse Holo] #57,$2.00
926142,Pokemon Triumphant,Black Belt #85,$0.43
7532304,Pokemon Triumphant,Black Belt [League Stamp] #85,$8.29
926245,Pokemon Triumphant,Black Belt [Reverse Holo] #85,$4.50
7096137,Pokemon Triumphant,Blister Pack,$298.78
2245017,Pokemon Triumphant,Booster Box,$5188.71
2245018,Pokemon Triumphant,Booster Pack,$260.77
926075,Pokemon Triumphant,Bronzong #15,$4.74
926175,Pokemon Triumphant,Bronzong [Reverse Holo] #15,$7.10
926116,Pokemon Triumphant,Bronzor #58,$1.21
926218,Pokemon Triumphant,Bronzor [Reverse Holo] #58,$2.78
926071,Pokemon Triumphant,Carnivine #16,$0.81
926176,Pokemon Triumphant,Carnivine [Reverse Holo] #16,$2.01
926117,Pokemon Triumphant,Carvanha #59,$0.47
926219,Pokemon Triumphant,Carvanha [Reverse Holo] #59,$1.86
926061,Pokemon Triumphant,Celebi #3,$11.00
926149,Pokemon Triumphant,Celebi #92,$34.21
926163,Pokemon Triumphant,Celebi [Reverse Holo] #3,$10.47
926118,Pokemon Triumphant,Cubone #60,$2.03
926220,Pokemon Triumphant,Cubone [Reverse Holo] #60,$14.00
926157,Pokemon Triumphant,Darkrai & Cresselia LEGEND #100,$92.50
926156,Pokemon Triumphant,Darkrai & Cresselia LEGEND #99,$113.59
10809784,Pokemon Triumphant,Darkrai & Cresselia LEGEND [Jumbo] #99,$59.99
6226170,Pokemon Triumphant,Darkrai & Cresselia Legend [Jumbo],$131.06
926119,Pokemon Triumphant,Diglett #61,$1.16
926221,Pokemon Triumphant,Diglett [Reverse Holo] #61,$4.00
926073,Pokemon Triumphant,Ditto #17,$11.13
926177,Pokemon Triumphant,Ditto [Reverse Holo] #17,$15.50
926090,Pokemon Triumphant,Dragonair #32,$1.50
926192,Pokemon Triumphant,Dragonair [Reverse Holo] #32,$9.41
926076,Pokemon Triumphant,Dragonite #18,$7.50
