id,console-name,product-name,loose-price
6769872,Pokemon Twilight Masquerade,3 Pack Blister [Revavroom],$9.00
6769871,Pokemon Twilight Masquerade,3 Pack Blister [Snorlax],$24.43
6769560,Pokemon Twilight Masquerade,Abra #80,$0.15
6769779,Pokemon Twilight Masquerade,Abra [Reverse Holo] #80,$0.27
6769622,Pokemon Twilight Masquerade,Accompanying Flute #142,$0.17
6769835,Pokemon Twilight Masquerade,Accompanying Flute [Reverse Holo] #142,$0.22
6769602,Pokemon Twilight Masquerade,Aggron #122,$0.31
6769818,Pokemon Twilight Masquerade,Aggron [Reverse Holo] #122,$0.26
6769617,Pokemon Twilight Masquerade,Aipom #137,$0.18
6769831,Pokemon Twilight Masquerade,Aipom [Reverse Holo] #137,$0.26
6769562,Pokemon Twilight Masquerade,Alakazam #82,$1.37
8087392,Pokemon Twilight Masquerade,Alakazam [Cosmos Holo] #82,$4.31
6769781,Pokemon Twilight Masquerade,Alakazam [Reverse Holo] #82,$0.85
6769618,Pokemon Twilight Masquerade,Ambipom #138,$0.14
6769832,Pokemon Twilight Masquerade,Ambipom [Reverse Holo] #138,$0.20
6769606,Pokemon Twilight Masquerade,Applin #126,$0.11
6769497,Pokemon Twilight Masquerade,Applin #17,$0.20
6775703,Pokemon Twilight Masquerade,Applin #185,$5.99
6769822,Pokemon Twilight Masquerade,Applin [Reverse Holo] #126,$0.47
6769723,Pokemon Twilight Masquerade,Applin [Reverse Holo] #17,$0.18
6769485,Pokemon Twilight Masquerade,Ariados #5,$0.12
6769710,Pokemon Twilight Masquerade,Ariados [Reverse Holo] #5,$0.13
6769600,Pokemon Twilight Masquerade,Aron #120,$0.15
6769816,Pokemon Twilight Masquerade,Aron [Reverse Holo] #120,$0.15
6769554,Pokemon Twilight Masquerade,Bellibolt #74,$0.25
6769774,Pokemon Twilight Masquerade,Bellibolt [Reverse Holo] #74,$0.27
10951295,Pokemon Twilight Masquerade,Blissey Ex [Prize Pack Cosmos Holo] #134,$1.13
11514930,Pokemon Twilight Masquerade,Blissey Ex [Stamped] #134,$1.09
6769614,Pokemon Twilight Masquerade,Blissey ex #134,$0.99
6775718,Pokemon Twilight Masquerade,Blissey ex #201,$3.00
6769874,Pokemon Twilight Masquerade,Blister Pack [Pupitar],$3.77
6769873,Pokemon Twilight Masquerade,Blister Pack [Toxel],$0.55
8927900,Pokemon Twilight Masquerade,Bloodmoon Ursaluna Ex [Prize Pack] #141,$2.66
6769621,Pokemon Twilight Masquerade,Bloodmoon Ursaluna ex #141,$2.22
6775719,Pokemon Twilight Masquerade,Bloodmoon Ursaluna ex #202,$3.36
6775733,Pokemon Twilight Masquerade,Bloodmoon Ursaluna ex #216,$36.50
6769701,Pokemon Twilight Masquerade,Bloodmoon Ursaluna ex #222,$8.25
6769646,Pokemon Twilight Masquerade,Boomerang Energy #166,$0.19
6769859,Pokemon Twilight Masquerade,Boomerang Energy [Reverse Holo] #166,$0.36
6769479,Pokemon Twilight Masquerade,Booster Box,$300.00
6769869,Pokemon Twilight Masquerade,Booster Bundle,$53.04
6769480,Pokemon Twilight Masquerade,Booster Pack,$7.15
6769598,Pokemon Twilight Masquerade,Brute Bonnet #118,$0.16
6769814,Pokemon Twilight Masquerade,Brute Bonnet [Reverse Holo] #118,$0.19
6769702,Pokemon Twilight Masquerade,Buddy-Buddy Poffin #223,$11.00
6769623,Pokemon Twilight Masquerade,Bug Catching Set #143,$0.18
